,Concept_ID,sv,vep
0,Auge::N,öga,sil'm
1,Ohr::N,öra,korv
2,Nase::N,näsa,nena
3,Mund::N,mun,su
4,Zahn::N,tand,pi
5,Zahn::N,tand,hambaz
6,Zunge::N,tunga,kel'
7,Lippe::N,läpp,hul'
8,Wange::N,kind,modpolišk
9,Gesicht::N,syn,mod
10,Gesicht::N,ansikte,mod
11,Stirn::N,panna,oc
12,Haar::N,hår,tuk
13,Haar::N,hår,hibuz
14,Schnurrbart::N,mustasch,habinod
15,Bart::N,skägg,bard
16,Kinn::N,haka,löug
17,Kiefer[Anatomie]::N,käke,hambazlu
18,Kehle::N,strupe,kurk
19,Hals::N,hals,kagl
20,Genick::N,nacke,tagarai
21,Kopf::N,huvud,pä
22,Rücken::N,rygg,sel'g
23,Bauch::N,buk,vac
24,Bauch::N,buk,koht
25,Bauch::N,mage,vac
26,Bauch::N,mage,koht
27,Nabel::N,navel,naba
28,Busen::N,barm,niža
29,Brust::N,bröst,rind
30,Schulter::N,skuldra,oug
31,Arm::N,arm,käzi
32,Ellenbogen::N,armbåge,künambruz
33,Hand::N,hand,käzi
34,Hand::N,hand,käzitera
35,Handfläche::N,handflata,kämen
36,Finger::N,finger,sor'm
37,Fingernagel::N,fingernagel,künz'
38,Nagel[Anatomie]::N,nagel,künz'
39,Zeh::N,tå,barbaz
40,Fuß::N,fot,jaug
41,Ferse::N,häl,kand
42,Knie::N,knä,komb
43,Knie::N,knä,pol'v
44,Oberschenkel::N,lår,riiže
45,Bein::N,ben,jaug
46,Körper::N,kropp,hibj
47,Haut::N,hud,nahk
48,Haut::N,skinn,nahk
49,Blut::N,blod,čak
50,Blut::N,blod,veri
51,Ader::N,åder,son'
52,Sehne::N,sena,jände
53,Knochen::N,ben,lu
54,Gehirn::N,hjärna,aivod
55,Herz::N,hjärta,südäin
56,Magen::N,mage,südäikoht
57,Leber::N,lever,maks
58,Atem::N,anda,hengaiduz
59,Atem::N,andedräkt,hengaiduz
60,Hunger::N,svält,näl'g
61,Hunger::N,hunger,näl'g
62,Träne::N,tår,kündal'
63,Geschmack::N,smak,magu
64,Geruch::N,lukt,haju
