,Concept_ID,cy,fi
0,Auge::N,llygad,silmä
1,Ohr::N,clust,korva
2,Nase::N,trwyn,nenä
3,Mund::N,ceg,suu
4,Zahn::N,dant,hammas
5,Zunge::N,tafod,kieli
6,Lippe::N,gwefus,huuli
7,Wange::N,boch,poski
8,Gesicht::N,wyneb,naama
9,Gesicht::N,wyneb,kasvot
10,Stirn::N,talcen,otsa
11,Haar::N,blew,hius
12,Haar::N,blew,tukka
13,Schnurrbart::N,mwstas,viikset
14,Bart::N,barf,parta
15,Kinn::N,gên,leuka
16,Kiefer[Anatomie]::N,gên,leukaluu
17,Kehle::N,gwddf,kurkku
18,Hals::N,gwddf,kaula
19,Genick::N,gwar,niska
20,Genick::N,gwegil,niska
21,Kopf::N,pen,pää
22,Rücken::N,cefn,selkä
23,Bauch::N,bol,maha
24,Bauch::N,bol,vatsa
25,Nabel::N,bogail,napa
26,Busen::N,bron,rinta
27,Brust::N,brest,rinta
28,Schulter::N,ysgwydd,olka
29,Schulter::N,ysgwydd,hartia
30,Schulter::N,ysgwydd,olkapää
31,Arm::N,braich,käsivarsi
32,Ellenbogen::N,penelin,kyynärpää
33,Hand::N,llaw,käsi
34,Handfläche::N,palf,kämmen
35,Finger::N,bys,sormi
36,Fingernagel::N,ewin,kynsi
37,Nagel[Anatomie]::N,ewin,kynsi
38,Zeh::N,bys troed,varvas
39,Fuß::N,troed,jalka
40,Ferse::N,sawdl,kantapää
41,Knie::N,glin,polvi
42,Oberschenkel::N,clun,reisi
43,Bein::N,coes,jalka
44,Körper::N,corff,keho
45,Körper::N,corff,ruumis
46,Haut::N,croen,iho
47,Blut::N,gwaed,veri
48,Ader::N,gwythïen,suoni
49,Sehne::N,gewyn,jänne
50,Knochen::N,asgwrn,luu
51,Gehirn::N,ymennydd,aivot
52,Herz::N,calon,sydän
53,Magen::N,cylla,maha
54,Magen::N,cylla,vatsa
55,Magen::N,stumog,maha
56,Magen::N,stumog,vatsa
57,Leber::N,iau,maksa
58,Atem::N,anadl,henki
59,Atem::N,anadl,hengitys
60,Hunger::N,newyn,nälkä
61,Träne::N,deigryn,kyynel
62,Geschmack::N,cyflas,maku
63,Geruch::N,aroglau,haju
64,Schlaf::N,cwsg,uni
65,Traum::N,breuddwyd,uni
66,Himmel::N,awyr,taivas
67,Sonne::N,haul,aurinko
68,Mond::N,lleuad,kuu
69,Stern::N,seren,tähti
70,Luft::N,awyr,ilma
71,Wind::N,gwynt,tuuli
72,Welle::N,ton,aalto
73,Wasser::N,dŵr,vesi
74,Stein::N,carreg,kivi
75,Boden::N,llawr,maa
76,Boden::N,llawr,maaperä
77,Erde::N,pridd,maa
78,Staub::N,llwch,pöly
79,Rauch::N,mwg,savu
80,Funke::N,gwreichioni,kipinä
81,Feuer::N,tân,tuli
82,Licht::N,golau,valo
83,Schatten::N,cysgod,varjo
84,Wetter::N,tywydd,sää
85,Nebel::N,niwl,sumu
86,Wolke::N,cwmwl,pilvi
87,Regen::N,glaw,sade
88,Schnee::N,ôd,lumi
89,Schnee::N,eira,lumi
90,Eis::N,iâ,jää
91,Frost::N,rhew,halla
92,Frost::N,rhew,pakkanen
93,Kälte::N,oerni,vilu
94,Kälte::N,oerni,kylmyys
95,Kälte::N,annwyd,vilu
96,Kälte::N,annwyd,kylmyys
97,Hitze::N,gwres,helle
98,Hitze::N,gwres,kuumuus
99,Raureif::N,barrug,huurre
100,Regenbogen::N,enfys,sateenkaari
101,Donner::N,tyrfau,jyrinä
102,Strömung::N,cerrynt,virtaus
103,Tropfen::N,dafn,tippa
104,Tropfen::N,dafn,pisara
105,Tropfen::N,diferyn,tippa
106,Tropfen::N,diferyn,pisara
107,Schaum::N,ewyn,vaahto
108,Schmutz::N,baw,loka
109,Schmutz::N,budreddi,loka
110,See::N,llyn,järvi
111,Sumpf::N,cors,suo
112,Moor::N,rhos,räme
113,Wiese::N,dôl,niitty
114,Wald::N,coedwig,metsä
115,Hügel::N,bryn,mäki
116,Hügel::N,bryn,kumpu
117,Hügel::N,bryn,kukkula
118,Anhöhe::N,bryn,mäki
119,Anhöhe::N,bryn,kumpare
120,Berg::N,mynydd,mäki
121,Berg::N,mynydd,vuori
122,Gipfel::N,copa,laki
123,Gipfel::N,copa,huippu
