,Concept_ID,eu,cs
101,Donner::N,ostots,hrom
102,Donner::N,ihurtzuri,hrom
103,Strömung::N,laster,proudění
104,Tropfen::N,xorta,kapka
105,Schaum::N,bits,pěna
106,Schmutz::N,lohi,špína
107,Schmutz::N,zikin,špína
108,See::N,laku,jezero
109,See::N,aintzira,jezero
110,Sumpf::N,zingira,močál
111,Sumpf::N,zingira,bažina
112,Moor::N,zohikaztegi,bažina
113,Moor::N,zohikaztegi,slatina
114,Wiese::N,larre,louka
115,Wiese::N,belardi,louka
116,Wald::N,baso,les
117,Wald::N,oihan,les
118,Hügel::N,muino,kopec
119,Hügel::N,pentoka,kopec
120,Anhöhe::N,garai,pahorek
121,Anhöhe::N,goragune,pahorek
122,Berg::N,mendi,hora
123,Gipfel::N,gain,vrchol
124,Gipfel::N,tontor,vrchol
125,Höhle::N,kobazulo,jeskyně
126,Abhang::N,aldapa,svah
127,Abhang::N,aldapa,stráň
128,Quelle::N,iturri,pramen
129,Quelle::N,iturbegi,pramen
130,Bach::N,lats,potok
131,Bach::N,erreka,potok
132,Fluss::N,ibai,řeka
133,Fluss::N,uhaitz,řeka
134,Ufer::N,bazter,břeh
135,Küste::N,itsasalde,pobřeží
136,Festland::N,lehor,souš
137,Festland::N,lehor,pevnina
138,Meer::N,itsaso,moře
139,Bucht::N,golko,záliv
140,Bucht::N,golko,zátoka
141,Insel::N,irla,ostrov
142,Insel::N,uharte,ostrov
143,Blume::N,lili,květina
144,Gras::N,belar,tráva
145,Wurzel::N,zuztar,kořen
146,Wurzel::N,sustrai,kořen
147,Baum::N,zuhaitz,strom
148,Stamm::N,enbor,kmen
149,Rinde::N,azal,kůra
150,Ast::N,adar,větev
151,Zweig::N,abar,větev
152,Blatt::N,hosto,lupen
153,Birke::N,urki,bříza
154,Kiefer[Baum]::N,ler,sosna
155,Kiefer[Baum]::N,ler,borovice
156,Weide[Baum]::N,zume,vrba
157,Weide[Baum]::N,sahats,vrba
158,Tanne::N,izei,jedle
159,Horn::N,adar,roh
160,Feder::N,luma,pero
161,Feder::N,hegaki,pero
162,Fell::N,ile,srst
163,Fell::N,larru,srst
164,Flügel::N,hego,křídlo
165,Klaue::N,atzapar,dráp
166,Klaue::N,atzapar,pazneht
167,Kralle::N,erpe,dráp
