,Concept_ID,os,ps
0,Auge::N,цӕст,سترګه
1,Ohr::N,хъус,غوږ
2,Nase::N,фындз,پوزه
3,Mund::N,дзых,خوله
4,Zahn::N,дӕндаг,غاښ
5,Zunge::N,ӕвзаг,جبه
6,Lippe::N,был,شونډه
7,Wange::N,рус,باړخو
8,Wange::N,уадул,باړخو
9,Wange::N,ӕхсӕрфарс,باړخو
10,Gesicht::N,цӕсгом,مخ
11,Stirn::N,ных,تندی
12,Stirn::N,ных,وچولی
13,Haar::N,хил,وېښته
14,Schnurrbart::N,рихи,برېت
15,Bart::N,зачъе,ږیره
16,Kinn::N,роцъо,زنه
17,Kiefer[Anatomie]::N,ӕфсӕр,جامه
18,Kehle::N,хъуыр,غاړه
19,Hals::N,къубал,غاړه
20,Genick::N,къӕбут,ورمېږ
21,Kopf::N,сӕр,سر
22,Rücken::N,фӕсонтӕ,شا
23,Bauch::N,гуыбын,نس
24,Bauch::N,гуыбын,ګېډه
25,Nabel::N,бикъ,نوم
26,Busen::N,дзидзи,تی
27,Brust::N,риу,سینه
28,Schulter::N,уӕхск,اوږه
29,Arm::N,цонг,لاس
30,Ellenbogen::N,рæмбын,څنګل
31,Hand::N,къух,لاس
32,Handfläche::N,армытъӕпӕн,ورغوی
33,Finger::N,ӕнруылдз,ګوته
34,Fingernagel::N,ных,نوک
35,Nagel[Anatomie]::N,ных,نوک
36,Zeh::N,къух,ګوته
37,Fuß::N,фад,پښه
38,Ferse::N,зӕвӕт,پونده
39,Knie::N,уӕраг,زنګون
40,Oberschenkel::N,агъд,پتون
41,Bein::N,зӕнг,پښه
42,Körper::N,буар,ځان
43,Haut::N,царм,پوټکی
44,Blut::N,туг,وینه
45,Ader::N,дадзин,رګ
46,Ader::N,тугдадзин,رګ
47,Sehne::N,хъиутæ,پله
48,Sehne::N,нуар,پله
49,Knochen::N,стӕг,هډوکی
50,Gehirn::N,магъз,ماغزه
51,Herz::N,зӕрдӕ,زړه
52,Magen::N,ахсӕн,معده
53,Leber::N,игæр,ينه
54,Leber::N,игæр,ځیګر
55,Atem::N,улӕфт,نفس
56,Hunger::N,стонг,ولږه
57,Träne::N,цæссыг,اوښکه
58,Geschmack::N,ад,مزه
59,Geschmack::N,ад,خوند
60,Geruch::N,смаг,بوی
61,Schlaf::N,хуыссӕг,خوب
62,Traum::N,фын,خوب
63,Himmel::N,арв,اسمان
64,Himmel::N,уӕларв,اسمان
65,Sonne::N,хур,لمر
66,Mond::N,мӕй,سپوږمۍ
67,Stern::N,стъалы,ستوری
68,Luft::N,уӕлдӕф,هوا
69,Wind::N,дымгӕ,ورښ
70,Welle::N,уылӕн,موج
71,Wasser::N,дон,اوبه
72,Stein::N,дур,ډبره
73,Boden::N,зӕхх,مځکه
74,Erde::N,сыджыт,خاوره
75,Staub::N,рыг,ګرد
76,Staub::N,рыг,خاوره
77,Rauch::N,фӕздӕг,دود
78,Rauch::N,фӕздӕг,لوګی
79,Funke::N,цӕхӕр,سپرغۍ
80,Feuer::N,зынг,اور
81,Licht::N,рухс,رڼا
82,Schatten::N,аууон,سیوری
83,Wetter::N,боныхъӕд,هوا
84,Nebel::N,мигъ,لړه
85,Wolke::N,ӕврагъ,ورېځ
86,Regen::N,уарын,وریا
87,Regen::N,уарын,باران
88,Schnee::N,мит,واوره
89,Eis::N,их,یخ
90,Eis::N,их,کنګل
91,Frost::N,ихæн,یخ
92,Kälte::N,уазал,ساړه
93,Hitze::N,ӕнтӕф,تودوخي
94,Raureif::N,халас,سپینه پرخه
95,Regenbogen::N,арвырон,بوډۍ ټال
96,Regenbogen::N,арвырон,سره زرغونه
97,Regenbogen::N,арвырдын,بوډۍ ټال
98,Regenbogen::N,арвырдын,سره زرغونه
99,Donner::N,æрвнæрын,تالنده
100,Strömung::N,цыд,بهېدنه
101,Tropfen::N,æртах,قطره
102,Tropfen::N,æртах,څاڅکی
103,Schaum::N,фынк,ځګ
104,Schmutz::N,цъыф,ناپاکي
105,See::N,цад,جهیل
106,Sumpf::N,цъыфдзаст,جبه
107,Moor::N,цъыфдзаст,جبه
108,Wiese::N,уыгӕрдӕн,چمن
109,Wiese::N,уыгӕрдӕн,شنېلی
110,Wald::N,хъӕд,ځنګل
111,Hügel::N,обау,تپه
112,Hügel::N,къуыбыр,تپه
113,Anhöhe::N,уæлвæз,غونډۍ
114,Anhöhe::N,уæлхох,غونډۍ
115,Berg::N,хох,غ‍‍‍‍‍ر
116,Gipfel::N,цъупп,څوکه
117,Höhle::N,лӕгӕт,کاز
118,Abhang::N,къул,لمن
119,Quelle::N,суадон,چینه
120,Bach::N,мӕсчъыдон,واله
121,Fluss::N,дон,سیند
122,Fluss::N,цӕугӕдон,سیند
123,Ufer::N,был,غاړه
124,Küste::N,донбыл,ساحل
125,Festland::N,сурзæхх,وچه
126,Meer::N,денджыз,بحر
127,Meer::N,денджыз,سمندر
128,Bucht::N,донбакæлæн,کارۍ
129,Insel::N,сакъадах,ټاپو
130,Insel::N,сакъадах,جزيره
131,Blume::N,дидинӕг,ګل
132,Gras::N,кӕрдӕг,واښه
133,Wurzel::N,уидаг,ریښه
134,Baum::N,бӕлас,ونه
135,Stamm::N,хӕтӕл,ډډ
136,Rinde::N,цъар,پوستکی
137,Ast::N,арх,ښاخ
138,Zweig::N,къалиу,څانګه
139,Blatt::N,сыф,پاڼه
140,Birke::N,бæрз,توس
141,Kiefer[Baum]::N,нӕзы,نښتر
142,Weide[Baum]::N,хӕрис,وله
143,Tanne::N,наз,ناجو
144,Horn::N,сыкъа,ښکر
145,Feder::N,сис,بڼکه
146,Fell::N,царм,پوستکی
147,Flügel::N,базыр,وزر
148,Klaue::N,ных,پنجه
149,Klaue::N,ных,منګول
150,Kralle::N,дзӕмбы,پنجه
151,Kralle::N,дзӕмбы,منګول
152,Schwanz::N,къӕдзил,لکۍ
153,Ei::N,айк,وۍ
154,Ei::N,айк,هګۍ
155,Nest::N,ахстон,جاله
156,Bau::N,хуынкъ,کاز
157,Tier::N,сырд,ژوی
158,Tier::N,сырд,حیوان
159,Tier::N,цӕрӕгой,ژوی
160,Tier::N,цӕрӕгой,حیوان
161,Herde::N,дзуг,رمه
162,Herde::N,дзуг,غېله
163,Herde::N,рӕгъау,رمه
164,Herde::N,рӕгъау,غېله
165,Kuh::N,хъуг,غوا
166,Bulle::N,гал,غوئی
167,Pferd::N,бӕх,آس
168,Schaf::N,фыс,پسه
169,Schwein::N,хуы,سرکوزی
170,Hund::N,куыдз,سپی
171,Katze::N,гӕды,پشه
172,Bär::N,арс,خرس
173,Eichhörnchen::N,æхсæрæг,خړ لمی
174,Elch::N,цæгатаг саг,ګوزن
175,Fuchs::N,рувас,سپلم
176,Hase::N,тæрхъус,سوی
177,Maus::N,мыст,مږک
178,Wolf::N,бирӕгъ,لېوه
179,Vogel::N,цъиу,مرغه
180,Vogel::N,маргъ,مرغه
181,Schwarm::N,бал,سېل
182,Huhn::N,карк,چرګه
183,Hahn::N,уасӕг,چرګ
184,Gans::N,хъаз,بته
185,Adler::N,цӕргӕс,عقاب
186,Ente::N,ацц,ایلۍ
187,Eule::N, уыг,ګونګی
188,Eule::N,сидахъ,ګونګی
189,Kranich::N,зырнæг,کلنګ
190,Kranich::N,хърихъупп,کلنګ
191,Krähe::N,халон,کارغه
192,Kuckuck::N,гаккук,فاخته
193,Schwan::N,доныхъаз,قو
194,Fisch::N,кӕсаг,کب
195,Fisch::N,кӕсаг,ماهی
196,Barsch::N,окунь,
197,Hecht::N,хихор кӕсаг,
198,Schlange[Tier]::N,калм,مار
199,Wurm::N,зулкъ,چینجی
200,Wurm::N,къуыдыргалм,چینجی
201,Spinne::N,хӕлуарӕг,غڼه
202,Spinne::N,хӕлуарӕг,تارکښ
203,Ameise::N,мæлдзыг,مېږی
204,Laus::N,сыст,سپږه
205,Mücke::N,къогъо,ماشی
206,Fliege::N,бындз,مچ
207,Schmetterling::N,гæлæбу,پتنګ
208,Beere::N,гагадыргъ,مېوۍ
209,Apfel::N,фӕткъуы,مڼه
210,Pilz::N,зокъо,خرېړی
211,Pilz::N,къозо,خرېړی
212,Zwiebel::N,хъӕдындз,پیاز
213,Saat::N,тауинаг,تخم
214,Saat::N,мыггаг,تخم
215,Korn::N,мыггаг,تخم
216,Korn::N,мыггаг,دانه
217,Korn::N,тауинаг,تخم
218,Korn::N,тауинаг,دانه
219,Heu::N,хос,بوس
220,Heu::N,хос,پروړه
221,Schale::N,цъар,پوستکی
222,Grube::N,урм,کنده
223,Grube::N,къахт,کنده
224,Grube::N,дзыхъхъ,کنده
225,Falle::N,цъысым,دام
226,Falle::N,цъысым,لومه
227,Falle::N,къӕппӕг,دام
228,Falle::N,къӕппӕг,لومه
