,Concept_ID,ku,br
0,Auge::N,çav,lagad
1,Ohr::N,guh,skouarn
2,Nase::N,bêvil,fri
3,Mund::N,dev,genoù
4,Zahn::N,didan,dant
5,Zunge::N,ziman,teod
6,Lippe::N,lêv,muzell
7,Wange::N,dêm,chot
8,Wange::N,hinarik,chot
9,Gesicht::N,rû,dremm
10,Stirn::N,enî,tal
11,Haar::N,por,blev
12,Schnurrbart::N,simbêl,mourenn
13,Bart::N,rih,barv
14,Kinn::N,zenî,groñj
15,Kiefer[Anatomie]::N,arguşk,javed
16,Kehle::N,qirik,gouzoug
17,Hals::N,stû,gouzoug
18,Hals::N,qirik,gouzoug
19,Genick::N,stû,choug
20,Kopf::N,serî,penn
21,Rücken::N,pişt,kein
22,Bauch::N,ûr,kof
23,Bauch::N,zik,kof
24,Nabel::N,navik,begel
25,Busen::N,sîng,bronn
26,Brust::N,sîng,bruched
27,Schulter::N,mil,skoaz
28,Arm::N,çepil,brec'h
29,Ellenbogen::N,enîşk,ilin
30,Hand::N,dest,dorn
31,Handfläche::N,kefadest,palv
32,Finger::N,tilî,biz
33,Fingernagel::N,neynuk,ivin
34,Nagel[Anatomie]::N,bizmar,ivin
35,Zeh::N,tilî linga,biz-troad
36,Fuß::N,ling,troad
37,Ferse::N,pahnî,seul
38,Knie::N,kabok,glin
39,Oberschenkel::N,rahn,morzhed
40,Bein::N,çip,gar
41,Körper::N,laş,korf
42,Körper::N,gowde,korf
43,Haut::N,çerm,kroc'hen
44,Blut::N,xwîn,gwad
45,Ader::N,reh,gwazhi
46,Sehne::N,reh,stir
47,Knochen::N,hestî,askorn
48,Gehirn::N,mêjî,empenn
49,Herz::N,dil,kalon
50,Magen::N,navêş,stomog
51,Leber::N,kezeb,avu
52,Atem::N,hilm,anal
53,Hunger::N,birçîtî,naon
54,Träne::N,hêstir,daer
55,Geschmack::N,tam,blaz
56,Geruch::N,bêhn,c'hwezh
57,Schlaf::N,xew,kousked
58,Traum::N,xewn,hune
59,Himmel::N,ezman,oabl
60,Sonne::N,roj,heol
61,Mond::N,heyv,loar
62,Stern::N,stêrk,steredenn
63,Luft::N,ba,aer
64,Wind::N,ba,avel
65,Welle::N,şewl,houlenn
66,Wasser::N,av,dour
67,Stein::N,kevir,maen
68,Boden::N,herd,tachenn
69,Erde::N,ax,douar
70,Staub::N,toz,poultr
71,Rauch::N,dû,moged
72,Funke::N,çirûşk,ful
73,Feuer::N,agir,tan
74,Licht::N,ronahî,gouloù
75,Schatten::N,sî,disheol
76,Wetter::N,hewa,amzer
77,Nebel::N,mij,brumenn
78,Wolke::N,ewr,koumoulenn
79,Regen::N,baran,glav
80,Schnee::N,berf,erc'h
81,Eis::N,qeşa,skorn
82,Frost::N,xûsik,rev
83,Kälte::N,serma,yen
84,Hitze::N,germayî,tommder
85,Raureif::N,şext,frim
86,Regenbogen::N,heftreng,gwareg-ar-glav
87,Donner::N,gire-gir,kurun
88,Strömung::N,şewl,red
89,Tropfen::N,dilop,bannac'h
90,Tropfen::N,dilop,takenn
91,Schaum::N,kef,spoum
92,Schmutz::N,gemar,fank
93,See::N,gol,lenn
94,Sumpf::N,hezek,gwern
95,Moor::N,mafêl,taouarc'heg
96,Wiese::N,sûrik,prad
97,Wald::N,çiya,koad
98,Wald::N,daristan,koad
99,Hügel::N,gir,torgenn
100,Anhöhe::N,sere gir,run
101,Berg::N,kaş,menez
102,Gipfel::N,sere gir,barr
103,Höhle::N,şikeft,kav
104,Abhang::N,kaş,naou
105,Quelle::N,kanî,feunteun
106,Bach::N,çem,gwazh
107,Fluss::N,çem,stêr
108,Fluss::N,rûbar,stêr
109,Ufer::N,kevî,ribl
110,Küste::N,berav,aod
111,Festland::N,bejahî,douar
112,Meer::N,behr,mor
113,Bucht::N,derav,mor-bihan
114,Insel::N,girav,enez
115,Blume::N,kulînk,bleunienn
116,Gras::N,giha,geot
117,Wurzel::N,reh,gwrizienn
118,Baum::N,dar,gwezenn
119,Stamm::N,bavik,kef
120,Rinde::N,qaqil,rusk
121,Ast::N,gulî,barr
122,Zweig::N,şax,bod
123,Blatt::N,pel,delienn
124,Birke::N,dara sipî,bezvenn
125,Kiefer[Baum]::N,dara bî,pinenn
126,Weide[Baum]::N,dara belalûk,halegenn
127,Tanne::N,merx,sapenn
128,Horn::N,strô,korn
129,Feder::N,pîrtîk,pluñv
130,Fell::N,heyar,kreoñ
131,Flügel::N,per,askell
132,Klaue::N,napîk,skilf
133,Kralle::N,dinik,skilf
134,Kralle::N,dirnax,skilf
135,Schwanz::N,dûv,lost
136,Ei::N,hêk,vi
137,Nest::N,hêlîn,neizh
138,Bau::N,avahî,douarenn
139,Tier::N,heywan,loen
140,Herde::N,hoz,tropell
141,Kuh::N,çêlek,buoc'h
142,Bulle::N,ga,tarv
143,Pferd::N,hesp,marc'h
144,Schaf::N,mîh,dañvad
145,Schwein::N,beraz,pemoc'h
146,Hund::N,seh,ki
147,Katze::N,pişîk,kazh
148,Bär::N,hirç,arzh
149,Eichhörnchen::N,pilûr,gwiñver
150,Elch::N,pazkovî,karv-dour
151,Fuchs::N,rovî,louarn
152,Hase::N,kîroşk,gad
153,Maus::N,mişk,logodenn
154,Wolf::N,gur,bleiz
155,Vogel::N,çûk,labous
156,Schwarm::N,lufik,nijad
157,Huhn::N,mirîşk,yar
158,Hahn::N,dîk,kilhog
159,Gans::N,qaz,gwazenn
160,Adler::N,eylo,erer
161,Ente::N,werdek,houad
162,Eule::N,bûm,toud
163,Eule::N,kund,toud
164,Kranich::N,quling,garan
165,Krähe::N,qijik,bran
166,Kuckuck::N,pepûk,koukoug
167,Schwan::N,qû,alarc'h
168,Fisch::N,masî,pesk
169,Barsch::N,okûn,brell
170,Hecht::N,mesîyê lûf,beked
171,Schlange[Tier]::N,mar,naer
172,Wurm::N,kurm,preñv
173,Spinne::N,pîrê,kevnidenn
174,Ameise::N,mîro,merion
175,Ameise::N,gêrîk,merion
176,Laus::N,spi,laouenn
177,Mücke::N,mêş,moustik
178,Fliege::N,mêş,kelienenn
179,Schmetterling::N,perperîk,balafenn
180,Beere::N,hirç,hog
181,Apfel::N,sêv,aval
182,Pilz::N,bîrov,kabell-touseg
183,Zwiebel::N,pîvaz,ognonenn
184,Saat::N,tov,had
185,Korn::N,dexl,ed
186,Heu::N,sap,foenn
187,Schale::N,qaşik,peliadur
188,Grube::N,çahl,
189,Falle::N,dafik,pech
190,Schlinge::N,dahf,krouglas
191,Spur::N,rêç,
192,Asche::N,xweli,ludu
193,Dreck::N,gemarî,fank
194,Eisen::N,hesing,houarn
195,Gold::N,zêr,aour
196,Silber::N,zîv,arc'hant
197,Kohle::N,komir,glaou
198,Glas::N,qedeh,gwer
199,Lehm::N,kelpîç,
200,Sand::N,qûm,traezh
201,Mensch::N,mirov,den
202,Mann::N,mêr,den
203,Frau::N,jin,maouez
204,Kind::N,zarok,bugel
205,Junge::N,kur,paotr
206,Mädchen::N,keç,plac'h
207,Mädchen::N,keçik,plac'h
208,Familie::N,malbat,familh
209,Großvater::N,bapîr,tad-kozh
210,Großmutter::N,pîrik,mamm-gozh
211,Eltern::N,bavudê,kerent
212,Vater::N,bav,tad
213,Mutter::N,dê,mamm
214,Mutter::N,dayik,mamm
215,Sohn::N,kur,mab
216,Tochter::N,keç,merc'h
217,Bruder::N,bira,breur
218,Schwester::N,xweh,c'hoar
219,Onkel::N,am,eontr
220,Onkel::N,xal,eontr
221,Tante::N,metik,moereb
222,Tante::N,xaltîk,moereb
223,Ehemann::N,mêr,gwaz
224,Ehefrau::N,kulfet,gwreg
225,Freude::N,kêfxweşî,levenez
226,Gelächter::N,pîrqînî,c'hoarzherezh
227,Glück::N,bext,chañs
228,Kummer::N,derd,doan
229,Wunsch::N,daxwaz,c'hoant
230,Wunsch::N,xwestek,c'hoant
231,Lust::N,şewq,c'hoant
232,Geist::N,aqil,spered
233,Gedanke::N,fikir,soñj
234,Gedächtnis::N,aqil,eñvor
235,Verstand::N,fêm,skiant
236,Sinn::N,aqil,ster
237,Grund::N,asas,kaoz
238,Wahrheit::N,rastî,gwirionez
239,Gespräch::N,guftûgo,kaozeadenn
240,Märchen::N,çirok,kaoz korriganez
241,Erzählung::N,çirok,kontadenn
242,Erzählung::N,vegotin,kontadenn
243,Nachricht::N,nûçe,keloù
244,Neuigkeit::N,hewal,kelaouenn
245,Name::N,nav,anv
246,Name::N,paşnav,anv
247,Rätsel::N,tiştonek,divinatez
248,Rede::N,gotar,diskour
249,Rede::N,axavtin,diskour
250,Sprache::N,ziman,yezh
251,Stimme::N,pejn,mouezh
252,Wort::N,gotin,ger
253,Zeichen::N,şanek,sin
254,Ruf::N,hawar,galv
255,Lärm::N,xarbalix,trouz
256,Laut::N,deng,
257,Laut::N,hês,
258,Ton::N,awaz,ton
259,Lied::N,sitran,kanaouenn
260,Ruhe::N,rihetî,sioulded
261,Leute::N,xelk,tud
262,Volk::N,xelk,pobl
263,Arbeit::N,xebat,labour
264,Gast::N,mêvan,kouviad
265,Geschenk::N,diyarî,prof
266,Spiel::N,lîstik,c'hoari
267,Gesellschaft::N,komal,kompagnunezh
268,Gesellschaft::N,komal,kavandad
269,Hilfe::N,alîkarî,sikour
270,Freund::N,heval,mignon
271,Kamerad::N,heval,kamarad
272,Angelegenheit::N,pirsgirêk,afer
273,Anzahl::N,çend,niver
274,Art::N,çeh,sort
275,Stück::N,lib,tamm
276,Stück::N,parçe,tamm
277,Teil::N,parçe,pezh
278,Hälfte::N,nîvî,hanterenn
279,Kreis::N,çemil,kelc'h
280,Kreuz::N,xaç,kroaz
281,Linie::N,xezik,linenn
282,Strich::N,xezik,tenn
283,Abstand::N,dûrahî,distok
284,Entfernung::N,dûrahî,keid
285,Entfernung::N,dûrahî,kehid
286,Gegend::N,dever,korn-bro
287,Platz::N,çih,plasenn
288,Ort::N,dever,lec'h
289,Seite::N,rûpel,tu
290,Mitte::N,nav,kreiz
291,Mitte::N,nabênê,kreiz
292,Gegenstand::N,tişt,tra
293,Sache::N,tişt,tra
294,Rand::N,kevî,kantenn
295,Kante::N,kevî,kantenn
296,Ecke::N,qunç,korn
297,Spitze::N,derzî,begell
298,Ende::N,talî,dibenn
299,Loch::N,qul,toull
300,Winkel::N,kurnîşk,
301,Muster::N,desen,tresadenn
302,Größe::N,mezinî,ment
303,Länge::N,dirêjahî,hirder
304,Höhe::N,bilindayî,uhelder
305,Gewicht::N,giranî,pouez
306,Menge::N,qas,bern
307,Haufen::N,lod,bern
308,Reihe::N,rêz,steud
309,Boot::N,kelek,bag
310,Ruder::N,bêrik,roeñv
311,Schlitten::N,xîjik,trainell
312,Ski::N,lakan,ski
313,Lagerfeuer::N,agir,
314,Last::N,bar,karg
315,Gang::N,fîtêz,kerzh
316,Schritt::N,gav,paz
317,Norden::N,bakur,norzh
318,Norden::N,bakur,hanternoz
319,Süden::N,başur,su
320,Süden::N,başur,kreisteiz
321,Westen::N,rojava,kuzh-heol
322,Osten::N,rojhilat,reter
323,Osten::N,rojhilat,sav-heol
324,Holz::N,dep,koad
325,Brett::N,dep,plankenn
326,Platte::N,dep,plakenn
327,Stütze::N,destek,harp
328,Stange::N,sing,sparl
329,Stock::N,çam,bazh
330,Stab::N,qat,bazh
331,Rohr::N,borî,tub
332,Rohr::N,borî,korz
333,Haus::N,mal,ti
334,Haus::N,xanî,ti
335,Heim::N,mal,kêr
336,Ofen::N,sobe,forn
337,Fußboden::N,binpê,plañchod
338,Tisch::N,mase,taol
339,Stuhl::N,kursî,kador
340,Wiege::N,derguş,kavell
341,Bett::N,qerewêle,gwele
342,Regal::N,rêbaz,estajerenn
343,Kiste::N,sindoq,kased
344,Fenster::N,çam,prenestr
345,Fenster::N,şibeke,prenestr
346,Tür::N,derî,dor
347,Tor::N,derge,portal
348,Zaun::N,hejik,sklotur
349,Dach::N,sere xanî,toenn
350,Leiter::N,pêling,skeul
351,Besen::N,melkes,skubell
352,Spaten::N,mer,pal
353,Schaufel::N,bêr,pal
354,Gabel::N,çetel,fourchetez
355,Löffel::N,kevçî,loa
356,Messer::N,kêr,kontell
357,Nagel::N,bizmar,tach
358,Netz::N,tor,roued
359,Haken::N,çenqel,krog
360,Griff::N,destî,kemer
361,Schloss::N,qonax,potenn
362,Bild::N,dimen,skeudenn
363,Figur::N,figûr,skeud
364,Figur::N,figûr,figur
365,Puppe::N,bûk,merc'hodenn
366,Beutel::N,kîsik,sac'h
367,Bündel::N,pêçek,feskenn
368,Tasche::N,bêrîk,sac'h
369,Eimer::N,dewl,sailh
370,Deckel::N,devik,pallenn
371,Geschirr::N,ferax,listriaj
372,Sack::N,tûr,sac'h
373,Tasse::N,kada,tas
374,Topf::N,beroş,pod
375,Kessel::N,şîril,chaodouron
376,Essen::N,xwarin,pred
377,Nahrung::N,xwarin,boued
378,Speise::N,xwarin,meuz
379,Fleisch::N,goşt,kig
380,Getreide::N,zad,ed
381,Brei::N,hewdêl,yod
382,Brot::N,,bara
383,Scheibe::N,parçe,tailhenn
384,Fett::N,rûn,lard
385,Butter::N,rûn,amann
386,Öl::N,rûn,eoul
387,Salz::N,xwe,holen
388,Suppe::N,şorbe,soubenn
389,Honig::N,hingiv,mel
390,Milch::N,şîr,laezh
391,Tee::N,çay,te
392,Leder::N,çerm,lêr
393,Wolle::N,herî,gloan
394,Stoff::N,paç,danvez
395,Nadel::N,derzî,nadoz
396,Faden::N,ta,neudenn
397,Knopf::N,bişkok,bouton
398,Knoten::N,girêk,skoulm
399,Farbe::N,boyax,liv
400,Kleidung::N,çil,dilhad
401,Hemd::N,qutik,roc'hed
402,Hemd::N,miltan,roc'hed
403,Kragen::N,stûvang,gouzoug
404,Ärmel::N,hûçik,milgin
405,Hose::N,şewel,bragoù
406,Gürtel::N,qayiş,gouriz
407,Mütze::N,fîno,boned
408,Schuh::N,şêkal,botez
409,Stiefel::N,gizme,botez
410,Stiefel::N,çizme,botez
411,Ring::N,xelek,gwalenn
412,Band::N,band,bagad
413,Kamm::N,şeh,krib
414,Spiegel::N,eynik,melezour
415,Riemen::N,qayiş,lerenn
416,Schnur::N,doxin,kordenn
417,Leine::N,şirît,roll
418,Decke::N,bataniye,golo
419,Kissen::N,balgî,goubenner
420,Tuch::N,şar,mezher
421,Handtuch::N,dezmal,toailhon
422,Kraft::N,hêz,nerzh
423,Kraft::N,qewet,nerzh
424,Stärke::N,xurtî,nerzhder
425,Gesundheit::N,nojdarî,yec'hed
426,Krankheit::N,nexweşî,klañved
427,Schmerz::N,êş,poan
428,Schmerz::N,êş,droug
429,Wunde::N,kul,gloazadenn
430,Fieber::N,ta,terzhienn
431,Arznei::N,derman,louzoù
432,Brücke::N,kopî,pont
433,Brunnen::N,çal,puñs
434,Brunnen::N,kani,puñs
435,Weide::N,beyar,prad
436,Pfad::N,xaçirek,gwenodenn
437,Weg::N,rê,hent
438,Straße::N,rê,ru
439,Straße::N,rê,hent
440,Dorf::N,gund,kêr
441,Dorf::N,gund,kêriadenn
442,Stadt::N,baçar,kêr
443,Brief::N,name,lizher
444,Buch::N,kitêb,levr
445,Buch::N,pirtûk,levr
446,Buchstabe::N,herf,lizherenn
447,Zeitung::N,rojname,kazetenn
448,Leben::N,jiyan,buhez
449,Tod::N,mirin,marv
450,Grab::N,mezel,bez
451,Kirche::N,gilyas,iliz
452,Sünde::N,guneh,pec'hed
453,Gott::N,xwedê,doue
454,Arbeiter::N,hîşçî,labourer
455,Arbeiter::N,hîşçî,micherour
456,Chef::N,bêg,penn
457,Meister::N,hoste,mestr
458,Arzt::N,doktor,mezeg
459,Arzt::N,doktor,medisin
460,Lehrer::N,mamoste,skolaer
461,Lehrer::N,mamoste,kelenner
462,Geld::N,pere,arc'hant
463,Geschäft::N,firoşgeh,stal
464,Laden::N,dikan,stal
465,Preis::N,buha,priz
466,Ware::N,tişt,marc'hadourezh
467,Nutzen::N,fêde,gounidegezh
468,Nutzen::N,fêde,lañs
469,Nutzen::N,fêde,profit
470,Nutzen::N,fêde,spleit
471,Reichtum::N,serwet,pinvidigezh
472,Welt::N,dinya,douar
473,Land::N,welat,bro
474,Staat::N,dewlet,stad
475,König::N,şah,roue
476,König::N,qral,roue
477,Macht::N,qewet,galloud
