,Concept_ID,lez,ps
0,Auge::N,вил,سترګه
1,Ohr::N,яб,غوږ
2,Nase::N,нер,پوزه
3,Mund::N,сив,خوله
4,Zahn::N,сас,غاښ
5,Zahn::N,свах,غاښ
6,Zunge::N,мез,جبه
7,Lippe::N,пӏуз,شونډه
8,Wange::N,хъвехъ,باړخو
9,Gesicht::N,ччин,مخ
10,Stirn::N,пел,تندی
11,Stirn::N,пел,وچولی
12,Haar::N,чӏар,وېښته
13,Schnurrbart::N,спел,برېت
14,Schnurrbart::N,спелар,برېت
15,Bart::N,ччуру,ږیره
16,Kinn::N,чене,زنه
17,Kiefer[Anatomie]::N,чене,جامه
18,Kehle::N,туьд,غاړه
19,Hals::N,гардан,غاړه
20,Genick::N,кьам,ورمېږ
21,Kopf::N,кьил,سر
22,Rücken::N,далу,شا
23,Bauch::N,руфун,نس
24,Bauch::N,руфун,ګېډه
25,Nabel::N,пицӏ,نوم
26,Busen::N,мам,تی
27,Brust::N,хур,سینه
28,Schulter::N,къуьн,اوږه
29,Arm::N,гъил,لاس
30,Ellenbogen::N,кьуьнт,څنګل
31,Hand::N,капаш,لاس
32,Handfläche::N,капан юкь,ورغوی
33,Finger::N,тӏуб,ګوته
34,Fingernagel::N,кек,نوک
35,Nagel[Anatomie]::N,кек,نوک
36,Zeh::N,кул,ګوته
37,Fuß::N,кӏвач,پښه
38,Ferse::N,дабан,پونده
39,Knie::N,мет,زنګون
40,Bein::N,кӏвач,پښه
41,Körper::N,беден,ځان
42,Haut::N,хам,پوټکی
43,Blut::N,иви,وینه
44,Ader::N,дамар,رګ
45,Sehne::N,кьуру дамар,پله
46,Knochen::N,кӏараб,هډوکی
47,Gehirn::N,мефт,ماغزه
48,Herz::N,рикӏ,زړه
49,Magen::N,хук,معده
50,Leber::N,лекь,ينه
51,Leber::N,лекь,ځیګر
52,Atem::N,ял,نفس
53,Atem::N,нефес,نفس
54,Hunger::N,каш,ولږه
55,Träne::N,вилин нагъв,اوښکه
56,Geschmack::N,дад,مزه
57,Geschmack::N,дад,خوند
58,Geschmack::N,тӏям,مزه
59,Geschmack::N,тӏям,خوند
60,Geruch::N,ни,بوی
61,Schlaf::N,ахвар,خوب
62,Traum::N,ахвар,خوب
63,Himmel::N,цав,اسمان
64,Sonne::N,рагъ,لمر
65,Mond::N,варз,سپوږمۍ
66,Stern::N,гъед,ستوری
67,Luft::N,гьава,هوا
68,Wind::N,гар,ورښ
69,Welle::N,лепе,موج
