,Concept_ID,ca,lez
0,Auge::N,ull,вил
1,Ohr::N,orella,яб
2,Nase::N,nas,нер
3,Mund::N,boca,сив
4,Zahn::N,dent,сас
5,Zahn::N,dent,свах
6,Zunge::N,llēngua,мез
7,Lippe::N,llavi,пӏуз
8,Wange::N,galta,хъвехъ
9,Gesicht::N,cara,ччин
10,Stirn::N,front,пел
11,Haar::N,cabēll,чӏар
12,Schnurrbart::N,bigoti,спел
13,Schnurrbart::N,bigoti,спелар
14,Bart::N,barba,ччуру
15,Kinn::N,mentó,чене
16,Kinn::N,barbeta,чене
17,Kiefer[Anatomie]::N,queix,чене
18,Kiefer[Anatomie]::N,mandíbula,чене
19,Kehle::N,gola,туьд
20,Kehle::N,gorja,туьд
21,Hals::N,coll,гардан
22,Genick::N,nuca,кьам
23,Kopf::N,cap,кьил
24,Rücken::N,esquena,далу
25,Bauch::N,panxa,руфун
26,Nabel::N,llombrígol,пицӏ
27,Busen::N,pit,мам
28,Busen::N,mama,мам
29,Brust::N,pit,хур
30,Schulter::N,espatlla,къуьн
31,Arm::N,braç,гъил
32,Ellenbogen::N,colze,кьуьнт
33,Hand::N,mà,капаш
34,Handfläche::N,palma,капан юкь
35,Finger::N,dit,тӏуб
36,Fingernagel::N,ungla,кек
37,Nagel[Anatomie]::N,ungla,кек
38,Zeh::N,dit del peu,кул
39,Fuß::N,peu,кӏвач
40,Ferse::N,taló,дабан
41,Knie::N,genoll,мет
42,Oberschenkel::N,cuixa,
43,Bein::N,cama,кӏвач
44,Körper::N,cos,беден
45,Haut::N,pell,хам
46,Blut::N,sang,иви
47,Ader::N,vena,дамар
48,Sehne::N,tendó,кьуру дамар
49,Knochen::N,os,кӏараб
50,Gehirn::N,cervell,мефт
51,Herz::N,cor,рикӏ
52,Magen::N,estómac,хук
53,Leber::N,fetge,лекь
54,Atem::N,alè,ял
55,Atem::N,alè,нефес
56,Atem::N,hàlit,ял
57,Atem::N,hàlit,нефес
58,Hunger::N,fam,каш
59,Hunger::N,gana,каш
60,Träne::N,llàgrima,вилин нагъв
61,Geschmack::N,gust,дад
62,Geschmack::N,gust,тӏям
63,Geschmack::N,sabor,дад
64,Geschmack::N,sabor,тӏям
65,Geruch::N,olor,ни
66,Schlaf::N,son,ахвар
67,Traum::N,somni,ахвар
68,Himmel::N,celm,цав
69,Sonne::N,sol,рагъ
70,Mond::N,lluna,варз
71,Stern::N,estel,гъед
72,Stern::N,estrella,гъед
73,Luft::N,aire,гьава
74,Wind::N,vent,гар
75,Welle::N,ona,лепе
76,Wasser::N,āigua,яд
77,Stein::N,pedra,къван
78,Boden::N,sòl,накьв
79,Erde::N,terra,ччил
80,Staub::N,pols,руг
81,Rauch::N,fum,гум
82,Funke::N,guspira,цӏелхем
83,Funke::N,centella,цӏелхем
84,Feuer::N,foc,цӏай
85,Licht::N,llum,экв
86,Schatten::N,ombra,серин
87,Wetter::N,temps,гьава
88,Nebel::N,boira,ччилин циф
89,Wolke::N,núvol,циф
90,Regen::N,pluja,марф
91,Schnee::N,neu,жив
92,Eis::N,gel,мурк
93,Eis::N,glaç,мурк
94,Frost::N,glaçada,аяз
95,Kälte::N,fred,мекь
96,Kälte::N,fred,мекьивал
97,Hitze::N,calor,зегьем
98,Raureif::N,gebre,къирав
99,Regenbogen::N,arc iris,яргъируш
100,Donner::N,tro,цавун ван
101,Strömung::N,corrent,
102,Tropfen::N,gota,стӏал
103,Schaum::N,escuma,каф
104,Schmutz::N,brutícia,чирк
105,Schmutz::N,brutícia,кьуруш
106,See::N,llac,вир
107,Sumpf::N,pantà,уьлен
108,Moor::N,pantà,
109,Wiese::N,prat,векь
110,Wiese::N,prada,векь
111,Wald::N,bosc,там
112,Hügel::N,puig,кӏунтӏ
113,Hügel::N,pujol,кӏунтӏ
114,Anhöhe::N,turó,тепе
115,Anhöhe::N,turó,гьуьндуьрвал
116,Berg::N,muntanya,дагъ
117,Gipfel::N,cim,кӏукӏ
118,Höhle::N,cova,кьветӏ
119,Abhang::N,coster,гуьне
120,Quelle::N,font,чешме
121,Bach::N,riera,булах
