,Concept_ID,os,it
0,Auge::N,цӕст,occhio
1,Ohr::N,хъус,orecchio
2,Nase::N,фындз,naso
3,Mund::N,дзых,bocca
4,Zahn::N,дӕндаг,dente
5,Zunge::N,ӕвзаг,lingua
6,Lippe::N,был,labbro
7,Wange::N,рус,guancia
8,Wange::N,уадул,guancia
9,Wange::N,ӕхсӕрфарс,guancia
10,Gesicht::N,цӕсгом,viso
11,Gesicht::N,цӕсгом,faccia
12,Stirn::N,ных,fronte
13,Haar::N,хил,capello
14,Schnurrbart::N,рихи,baffi
15,Schnurrbart::N,рихи,mustacchi
16,Bart::N,зачъе,barba
17,Kinn::N,роцъо,mento
18,Kiefer[Anatomie]::N,ӕфсӕр,mascella
19,Kehle::N,хъуыр,gola
20,Hals::N,къубал,collo
21,Genick::N,къӕбут,nuca
22,Kopf::N,сӕр,capo
23,Kopf::N,сӕр,testa
24,Rücken::N,фӕсонтӕ,dorso
25,Rücken::N,фӕсонтӕ,schiena
26,Bauch::N,гуыбын,ventre
27,Nabel::N,бикъ,ombelico
28,Busen::N,дзидзи,seno
29,Brust::N,риу,petto
30,Schulter::N,уӕхск,spalla
31,Arm::N,цонг,braccio
32,Ellenbogen::N,рæмбын,gomito
33,Hand::N,къух,mano
34,Handfläche::N,армытъӕпӕн,palma
35,Finger::N,ӕнруылдз,dito
36,Fingernagel::N,ных,unghia
37,Nagel[Anatomie]::N,ных,unghia
38,Zeh::N,къух,dito del piede
39,Fuß::N,фад,piede
40,Ferse::N,зӕвӕт,tallone
41,Ferse::N,зӕвӕт,calcagno
42,Knie::N,уӕраг,ginocchio
43,Oberschenkel::N,агъд,fèmore
44,Bein::N,зӕнг,gamba
45,Körper::N,буар,corpo
46,Haut::N,царм,pelle
47,Blut::N,туг,sangue
48,Ader::N,дадзин,vena
49,Ader::N,тугдадзин,vena
50,Sehne::N,хъиутæ,tèndine
51,Sehne::N,нуар,tèndine
52,Knochen::N,стӕг,osso
53,Gehirn::N,магъз,cervello
54,Herz::N,зӕрдӕ,cuore
55,Magen::N,ахсӕн,stòmaco
56,Leber::N,игæр,fegato
57,Atem::N,улӕфт,fiato
58,Atem::N,улӕфт,respiro
59,Hunger::N,стонг,fame
60,Träne::N,цæссыг,làcrima
61,Geschmack::N,ад,gusto
62,Geschmack::N,ад,sapore
63,Geruch::N,смаг,odore
64,Schlaf::N,хуыссӕг,sonno
65,Traum::N,фын,sogno
66,Himmel::N,арв,cielo
67,Himmel::N,уӕларв,cielo
68,Sonne::N,хур,sole
69,Mond::N,мӕй,luna
70,Stern::N,стъалы,stella
71,Luft::N,уӕлдӕф,aria
72,Wind::N,дымгӕ,vento
73,Welle::N,уылӕн,onda
74,Wasser::N,дон,acqua
75,Stein::N,дур,sasso
76,Stein::N,дур,pietra
77,Boden::N,зӕхх,suolo
78,Boden::N,зӕхх,terreno
79,Erde::N,сыджыт,terra
80,Staub::N,рыг,polvere
81,Rauch::N,фӕздӕг,fumo
82,Funke::N,цӕхӕр,scintilla
83,Feuer::N,зынг,fuoco
84,Licht::N,рухс,luce
85,Schatten::N,аууон,ombra
86,Wetter::N,боныхъӕд,tempo
87,Nebel::N,мигъ,nebbia
88,Wolke::N,ӕврагъ,nube
89,Wolke::N,ӕврагъ,nùvola
90,Regen::N,уарын,pioggia
91,Schnee::N,мит,neve
92,Eis::N,их,ghiaccio
93,Frost::N,ихæн,gelo
94,Kälte::N,уазал,freddo
95,Hitze::N,ӕнтӕф,caldo
96,Hitze::N,ӕнтӕф,calura
97,Raureif::N,халас,brina
98,Regenbogen::N,арвырон,arcobaleno
99,Regenbogen::N,арвырдын,arcobaleno
