,Concept_ID,ru,az
0,Auge::N,глаз,göz
1,Ohr::N,ухо,qulaq
2,Nase::N,нос,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язык,dil
6,Lippe::N,губа,dodaq
7,Wange::N,щека,yanaq
8,Gesicht::N,лицо,üz
9,Stirn::N,лоб,alın
10,Haar::N,волос,saç
11,Haar::N,волосы,saç
12,Schnurrbart::N,ус,bığ
13,Schnurrbart::N,усы,bığ
14,Bart::N,борода,saqqal
15,Kinn::N,подбородок,çənə
16,Kiefer[Anatomie]::N,челюсть,çənə
17,Kehle::N,горло,boğaz
18,Hals::N,шея,boyun
19,Genick::N,затылок,ənsə
20,Kopf::N,голова,baş
21,Rücken::N,спина,bel
22,Bauch::N,живот,qarın
23,Nabel::N,пупок,göbək
24,Busen::N,женская грудь,məmə
25,Brust::N,грудь,döş
26,Schulter::N,плечо,çiyin
27,Arm::N,рука,qol
28,Ellenbogen::N,локоть,dirsək
29,Hand::N,кисть,əl
30,Handfläche::N,ладонь,ovuc
31,Finger::N,палец,barmaq
32,Fingernagel::N,ноготь,barmaq dırnağı
33,Nagel[Anatomie]::N,ноготь,dırnak
34,Zeh::N,палец,ayaq barmağı
35,Fuß::N,ступня,ayaq
36,Ferse::N,пята,daban
37,Ferse::N,пятка,daban
38,Knie::N,колено,diz
39,Oberschenkel::N,бедро,bud
40,Bein::N,нога,qıç
41,Körper::N,тело,əndam
42,Haut::N,кожа,dəri
43,Blut::N,кровь,qan
44,Ader::N,вена,damar
45,Ader::N,сосуд,damar
46,Sehne::N,жила,vətər
47,Sehne::N,тетива,vətər
48,Sehne::N,сухожилие,vətər
49,Knochen::N,кость,sümük
50,Gehirn::N,мозг,beyin
51,Herz::N,сердце,ürək
52,Magen::N,желудок,mədə
53,Leber::N,печень,qara ciyər
54,Atem::N,дух,nəfəs
55,Atem::N,дыхание,nəfəs
56,Hunger::N,голод,aclıq
57,Träne::N,слеза,göz yaşı
58,Geschmack::N,вкус,tam
59,Geschmack::N,вкус,ləzzət
60,Geruch::N,запах,qoxu
61,Schlaf::N,сон,yuxu
62,Traum::N,сновидение,röya
63,Himmel::N,небо,göy
64,Himmel::N,небо,səma
65,Sonne::N,солнце,günəş
66,Mond::N,луна,ay
67,Stern::N,звезда,ulduz
68,Luft::N,воздух,hava
69,Wind::N,ветер,yel
70,Wind::N,ветер,külək
71,Welle::N,волна,dalğa
72,Wasser::N,вода,su
73,Stein::N,камень,daş
74,Boden::N,почва,yer
75,Boden::N,почва,zəmin
76,Erde::N,земля,yer torpaq
77,Staub::N,пыль,toz
78,Rauch::N,дым,tüstü
79,Funke::N,искра,qığılcım
80,Feuer::N,огонь,od
81,Licht::N,свет,işıq
82,Schatten::N,тень,kölgə
83,Wetter::N,погода,hava
84,Nebel::N,туман,duman
85,Wolke::N,облако,bulud
86,Regen::N,дождь,yağış
87,Regen::N,дождь,yağmur
88,Schnee::N,снег,qar
89,Eis::N,лед,buz
90,Frost::N,мороз,ayaz
91,Kälte::N,холод,soyuq
92,Hitze::N,жара,coşğunluq
93,Raureif::N,иней,qırov
94,Regenbogen::N,радуга,göy qurşağı
95,Donner::N,гром,göy gurultusu
96,Strömung::N,течение,axın
97,Tropfen::N,капля,damcı
98,Schaum::N,пена,köpük
99,Schmutz::N,грязь,çamır
100,See::N,озеро,göl
101,Sumpf::N,топь,bataqlıq
102,Moor::N,болото,bataqlıq
103,Wiese::N,луг,çəmən
104,Wald::N,лес,meşə
105,Hügel::N,холм,təpə
106,Anhöhe::N,возвышенность,təpə
107,Berg::N,гора,dağ
108,Gipfel::N,вершина,zirvə
109,Höhle::N,пещера,mağara
110,Abhang::N,склон,yamac
111,Quelle::N,источник,bulaq
112,Bach::N,ручей,kiçik çay
113,Fluss::N,река,çay
114,Ufer::N,берег,kənar
115,Küste::N,побережье,sahil
116,Festland::N,суша,materik
117,Meer::N,море,dəniz
118,Bucht::N,бухта,körfəz
119,Insel::N,остров,ada
120,Blume::N,цветок,çiçək
121,Gras::N,трава,ot
122,Wurzel::N,корень,kök
123,Baum::N,дерево,ağac
124,Stamm::N,ствол,gövdə
125,Rinde::N,кора,qabıq
126,Ast::N,сук,şax
127,Zweig::N,ветвь,budaq
128,Blatt::N,лист,yarpaq
129,Birke::N,береза,tozağacı
130,Kiefer[Baum]::N,сосна,şam
131,Weide[Baum]::N,ива,söyüd
132,Tanne::N,ель,küknar
133,Horn::N,рог,buynuz
134,Feder::N,перо,tük
135,Feder::N,перо,lələk
136,Fell::N,шкура,xəz
137,Flügel::N,крыло,qanad
138,Klaue::N,коготь,pəncə
139,Kralle::N,лапа,dırnaq
140,Schwanz::N,хвост,quyruq
141,Ei::N,яйцо,yumurta
142,Nest::N,гнездо,yuva
143,Bau::N,нора,yuva
144,Tier::N,животное,heyvan
145,Herde::N,стадо,sürü
146,Kuh::N,корова,inək
147,Bulle::N,бык,öküz
148,Pferd::N,лошадь,at
149,Schaf::N,овца,qoyun
150,Schwein::N,свинья,donuz
151,Hund::N,собака,it
152,Hund::N,собака,köpək
153,Katze::N,кошка,pişik
154,Bär::N,медведь,ayı
155,Eichhörnchen::N,белка,dələ
156,Elch::N,лось,sığın
157,Fuchs::N,лиса,tülkü
158,Hase::N,заяц,dovşan
159,Maus::N,мышь,siçan
160,Wolf::N,волк,qurd
161,Vogel::N,птица,quş
162,Schwarm::N,стая,sürü
163,Huhn::N,курица,toyuq
164,Hahn::N,петух,xoruz
165,Gans::N,гусь,qaz
166,Adler::N,орел,qartal
167,Adler::N,орел,qaraquş
168,Ente::N,утка,ördək
169,Eule::N,сова,bayquş
170,Kranich::N,журавль,durna
171,Krähe::N,ворона,qarğa
172,Kuckuck::N,кукушка,ququ
173,Schwan::N,лебедь,qu quşu
174,Fisch::N,рыба,balıq
175,Barsch::N,окунь,tar
176,Hecht::N,щука,durnabalığı
177,Schlange[Tier]::N,змея,ilan
178,Wurm::N,червяк,qurd
179,Spinne::N,паук,hörümçək
180,Ameise::N,муравей,qarışqa
181,Laus::N,вошь,bit
182,Mücke::N,комар,ağcaqanad
183,Fliege::N,муха,milçək
184,Schmetterling::N,бабочка,kəpənək
185,Beere::N,ягода,gilə
186,Apfel::N,яблоко,alma
187,Pilz::N,гриб,göbələk
188,Zwiebel::N,луковица,soğan
189,Saat::N,семя,əkin
190,Korn::N,зерно,taxıl
191,Heu::N,сено,quru ot
192,Schale::N,шелуха,qabıq
193,Grube::N,яма,çuxur
194,Falle::N,ловушка,tələ
195,Falle::N,ловушка,duzaq
196,Schlinge::N,силок,ilmək
197,Spur::N,след,iz
198,Asche::N,зола,kül
199,Asche::N,пепел,kül
200,Dreck::N,грязь,kir
201,Eisen::N,железо,dəmir
202,Gold::N,золото,altun
203,Silber::N,серебро,gümüş
204,Kohle::N,уголь,kömür
205,Glas::N,стекло,şüşə
206,Lehm::N,глина,gil
207,Lehm::N,глина,palçıq
208,Sand::N,песок,qum
209,Mensch::N,человек,adam
210,Mensch::N,человек,insan
211,Mann::N,мужчина,kişi
212,Frau::N,женщина,qadın
213,Kind::N,ребенок,uşaq
214,Junge::N,мальчик,oğlan
215,Mädchen::N,девочка,qız
216,Familie::N,семья,ailə
217,Großvater::N,дедушка,baba
218,Großmutter::N,бабушка,nənə
219,Eltern::N,родители,valideyn
220,Vater::N,отец,ata
221,Mutter::N,мать,ana
222,Sohn::N,сын,oğul
223,Tochter::N,дочь,qız
224,Bruder::N,брат,qardaş
225,Schwester::N,сестра,bacı
226,Onkel::N,дядя,əmi
227,Onkel::N,дядя,dayı
228,Tante::N,тетя,bibi
229,Ehemann::N,муж,ər
230,Ehefrau::N,жена,arvad
231,Freude::N,радость,nəşə
232,Freude::N,радость,sevinc
233,Gelächter::N,смех,gülüş
234,Gelächter::N,смех,qəhqəhə
235,Glück::N,счастье,səadət
236,Glück::N,счастье,xoşbəxtlik
237,Kummer::N,горе,qəm
238,Kummer::N,горе,kədər
239,Wunsch::N,желание,arzu
240,Lust::N,влечение,həvəs
241,Geist::N,дух,ruh
242,Gedanke::N,мысль,fikir
243,Gedanke::N,мысль,düşüncə
244,Gedächtnis::N,память,xatir
245,Gedächtnis::N,память,hafizə
246,Verstand::N,ум,ağıl
247,Sinn::N,смысл,məna
248,Grund::N,повод,səbəb
249,Wahrheit::N,правда,haqq
250,Wahrheit::N,правда,doğruluq
251,Gespräch::N,беседа,söhbət
252,Gespräch::N,беседа,qonuşma
253,Märchen::N,сказка,nağıl
254,Erzählung::N,рассказ,hekayə
255,Nachricht::N,сообщение,xəbər
256,Neuigkeit::N,новость,xəbər
257,Neuigkeit::N,новость,yenilik
258,Name::N,имя,ad
259,Rätsel::N,загадка,tapmaca
260,Rede::N,речь,nitq
261,Sprache::N,язык,dil
262,Stimme::N,голос,səs
263,Wort::N,слово,söz
264,Wort::N,слово,kəlmə
265,Zeichen::N,знак,nişan
266,Ruf::N,зов,çığırtı
267,Lärm::N,шум,gurultu
268,Laut::N,звук,səs
269,Ton::N,звучание,ton
270,Lied::N,песня,mahnı
271,Ruhe::N,покой,sakitlik
272,Leute::N,люди,xalq
273,Volk::N,народ,millət
274,Arbeit::N,работа,iş
275,Arbeit::N,работа,əmək
276,Gast::N,гость,qonaq
277,Gast::N,гость,müsafir
278,Geschenk::N,подарок,hədiyyə
279,Spiel::N,игра,oyun
280,Spiel::N,игра,tamaşa
281,Gesellschaft::N,общество,cəmiyyet
282,Hilfe::N,помощь,kömək
283,Hilfe::N,помощь,yardım
284,Freund::N,друг,dost
285,Kamerad::N,приятель,yoldaş
286,Angelegenheit::N,дело,iş
287,Anzahl::N,количество,say
288,Art::N,вид,çeşid
