,Concept_ID,fr,ba
0,Auge::N,œil,күҙ
1,Ohr::N,oreille,ҡолаҡ
2,Nase::N,nez,танау
3,Mund::N,bouche,ауыҙ
4,Zahn::N,dent,теш
5,Zunge::N,langue,тел
6,Lippe::N,lèvre,ирен
7,Wange::N,joue,яцаҡтар
8,Gesicht::N,face,бит
9,Gesicht::N,visage,бит
10,Stirn::N,front,маңлай
11,Haar::N,cheveu,сәс
12,Schnurrbart::N,moustache,мылтыҡ
13,Bart::N,barbe,һаҡал
14,Kinn::N,menton,эйэк
15,Kiefer[Anatomie]::N,mâchoire,яңаҡ һөйәге
16,Kehle::N,gorge,тамаҡ
17,Hals::N,cou,муйын
18,Genick::N,nuque,соңҡа
19,Kopf::N,tête,баш
20,Rücken::N,dos,арҡа
21,Bauch::N,ventre,ҡорһаҡ
22,Nabel::N,nombril,кендек
23,Busen::N,sein,күкрәк
24,Brust::N,poitrine,түш
25,Schulter::N,épaule,яурын
26,Arm::N,bras,ҡул
27,Ellenbogen::N,coude,терһәк
28,Hand::N,main,ҡул
29,Hand::N,main,ҡул суғы
30,Handfläche::N,paume,ус төбө
31,Finger::N,doigt,бармаҡ
32,Fingernagel::N,ongle,тырнаҡ
33,Nagel[Anatomie]::N,ongle,тырнаҡ
34,Zeh::N,orteil,бармаҡ
35,Zeh::N,doigt de pied,бармаҡ
36,Fuß::N,pied,табан
37,Ferse::N,talon,үксә
38,Knie::N,genou,тубыҡ
39,Oberschenkel::N,cuisse,сандыр
40,Bein::N,jambe,аяҡ
41,Körper::N,corps,тән
42,Haut::N,peau,тире
43,Blut::N,sang,ҡан
44,Ader::N,veine,тамыр
45,Sehne::N,tendon,һеңер
46,Sehne::N,tendon,тарамыш
47,Knochen::N,os,һойәк
48,Gehirn::N,cerveau,мейе
49,Herz::N,cœur,йорәк
50,Magen::N,estomac,ашҡаҙан
51,Leber::N,foie,бауыр
52,Atem::N,haleine,һулыш
53,Hunger::N,faim,аслыҡ
54,Träne::N,larme,күҙ иәше
55,Geschmack::N,goût,тәм
56,Geschmack::N,saveur,тәм
57,Geruch::N,odeur,еҫ
58,Schlaf::N,sommeil,йоҡлау
59,Traum::N,songe,төш
60,Himmel::N,ciel,күк
61,Sonne::N,soleil,ҡояш
62,Mond::N,lune,ай
63,Stern::N,étoile,йондоҙ
64,Luft::N,air,һауа
65,Wind::N,vent,ел
66,Welle::N,vague,тулҡын
67,Wasser::N,eau,һыу
68,Stein::N,pierre,таш
69,Boden::N,sol,тупраҡ
70,Boden::N,terrain,тупраҡ
71,Erde::N,terre,балсҡ
72,Staub::N,poussière,туҙан
73,Rauch::N,fumée,төтөн
74,Funke::N,étincelle,осҡон
75,Feuer::N,feu,ут
76,Licht::N,lumière,яҡтылыҡ
77,Schatten::N,ombre,күләгә
78,Wetter::N,temps,һауа торошо
79,Nebel::N,brume,төман
80,Nebel::N,brouillard,төман
81,Wolke::N,nuage,болот
82,Regen::N,pluie,ямғыр
83,Schnee::N,neige,ҡар
84,Eis::N,glace,боҙ
85,Frost::N,gel,һалҡын
86,Frost::N,gelée,һалҡын
87,Kälte::N,froid,һыуыҡ
88,Hitze::N,chaleur,томра
89,Hitze::N,chaleur,эҫелек
90,Raureif::N,givre,ҡырау
91,Regenbogen::N,arc-en-ciel,йәйғор
92,Donner::N,tonnerre,күк күкрәү
93,Strömung::N,courant,ағым
94,Tropfen::N,goutte,тамсы
95,Schaum::N,écume,күбек
96,Schaum::N,mousse,күбек
97,Schmutz::N,boue,батҡаҡ
98,Schmutz::N,saleté,батҡаҡ
99,See::N,lac,күл
100,Sumpf::N,marais,һаҙлык
101,Sumpf::N,marécage,һаҙлык
102,Moor::N,tourbière,һаҙ
103,Wiese::N,pré,болон
104,Wald::N,bois,урман
105,Wald::N,forêt,урман
106,Hügel::N,coteau,түбә
107,Hügel::N,colline,түбә
108,Anhöhe::N,éminence,түбә
109,Anhöhe::N,éminence,ҡалҡыулыҡ
110,Anhöhe::N,élévation,түбә
111,Anhöhe::N,élévation,ҡалҡыулыҡ
112,Berg::N,mont,тау
113,Berg::N,montagne,тау
114,Gipfel::N,cime,түбә
115,Gipfel::N,sommet,түбә
116,Höhle::N,caverne,мәмерйә
117,Abhang::N,pente,ипкен
118,Abhang::N,versant,ипкен
119,Quelle::N,source,шишмә
120,Quelle::N,fontaine,шишмә
121,Bach::N,ruisseau,шишмә
122,Fluss::N,fleuve,йылға
123,Fluss::N,rivière,йылға
124,Ufer::N,bord,яр
125,Ufer::N,rivage,яр
126,Küste::N,côte,яр буйы
127,Festland::N,terre ferme,ҡоро ер
128,Meer::N,mer,диңгез
129,Bucht::N,baie,бухта
130,Insel::N,île,үтрау
131,Blume::N,fleur,сәскә
132,Gras::N,herbe,үлән
133,Wurzel::N,racine,тамыр
134,Baum::N,arbre,ағас
135,Stamm::N,tronc,олон
136,Stamm::N,tronc,көбәк
137,Rinde::N,écorce,ҡабыҡ
138,Ast::N,branche,ботаҡ
139,Zweig::N,rameau,ботаҡ
140,Zweig::N,rameau,тармаҡ
141,Blatt::N,feuille,япраҡ
142,Birke::N,bouleau,ҡайын
143,Kiefer[Baum]::N,pin,ҡарғай
144,Weide[Baum]::N,saule,тал
145,Tanne::N,sapin,шыршы
146,Horn::N,corne,мөғөҙ
147,Feder::N,plume,ҡауырһын
148,Fell::N,peau,тире
149,Flügel::N,aile,ҡанат
150,Klaue::N,serre,тырнаҡ
151,Kralle::N,ongle,аяҡ
