,Concept_ID,br,no
0,Auge::N,lagad,øye
1,Ohr::N,skouarn,øre
2,Nase::N,fri,nese
3,Mund::N,genoù,munn
4,Zahn::N,dant,tann
5,Zunge::N,teod,tunge
6,Lippe::N,muzell,leppe
7,Wange::N,chot,kinn
8,Gesicht::N,dremm,fjes
9,Gesicht::N,dremm,ansikt
10,Stirn::N,tal,panne
11,Haar::N,blev,hår
12,Schnurrbart::N,mourenn,bart
13,Bart::N,barv,skjegg
14,Kinn::N,groñj,hake
15,Kiefer[Anatomie]::N,javed,kjeve
16,Kehle::N,gouzoug,strupe
17,Hals::N,gouzoug,hals
18,Genick::N,choug,nakke
19,Kopf::N,penn,hode
20,Rücken::N,kein,rygg
21,Bauch::N,kof,buk
22,Bauch::N,kof,mage
23,Nabel::N,begel,navle
24,Busen::N,bronn,barm
25,Brust::N,bruched,bryst
26,Schulter::N,skoaz,skulder
27,Arm::N,brec'h,arm
28,Ellenbogen::N,ilin,albue
29,Hand::N,dorn,hånd
30,Handfläche::N,palv,håndflate
31,Finger::N,biz,finger
32,Fingernagel::N,ivin,fingernegl
33,Nagel[Anatomie]::N,ivin,negl
34,Zeh::N,biz-troad,tå
35,Fuß::N,troad,fot
36,Ferse::N,seul,hæl
37,Knie::N,glin,kne
38,Oberschenkel::N,morzhed,lår
39,Bein::N,gar,bein
40,Körper::N,korf,kropp
41,Körper::N,korf,legeme
42,Haut::N,kroc'hen,hud
43,Haut::N,kroc'hen,skinn
44,Blut::N,gwad,blod
45,Ader::N,gwazhi,åre
46,Sehne::N,stir,sene
47,Knochen::N,askorn,bein
48,Knochen::N,askorn,knokkel
49,Gehirn::N,empenn,hjerne
50,Herz::N,kalon,hjerte
51,Magen::N,stomog,mage
52,Leber::N,avu,lever
53,Atem::N,anal,pust
54,Hunger::N,naon,sult
55,Träne::N,daer,tåre
56,Geschmack::N,blaz,smak
57,Geruch::N,c'hwezh,lukt
58,Schlaf::N,kousked,søvn
59,Traum::N,hune,drøm
60,Himmel::N,oabl,himmel
61,Sonne::N,heol,sol
62,Mond::N,loar,måne
63,Stern::N,steredenn,stjerne
64,Luft::N,aer,luft
65,Wind::N,avel,vind
66,Welle::N,houlenn,bølge
67,Wasser::N,dour,vann
68,Stein::N,maen,stein
69,Boden::N,tachenn,bakke
70,Erde::N,douar,jord
71,Staub::N,poultr,støv
72,Rauch::N,moged,røyk
73,Funke::N,ful,gnist
74,Feuer::N,tan,ild
75,Licht::N,gouloù,lys
76,Schatten::N,disheol,skygge
77,Wetter::N,amzer,vær
78,Nebel::N,brumenn,tåke
79,Wolke::N,koumoulenn,sky
80,Regen::N,glav,regn
81,Schnee::N,erc'h,snø
82,Eis::N,skorn,is
83,Frost::N,rev,frost
84,Kälte::N,yen,kulde
85,Hitze::N,tommder,hete
86,Raureif::N,frim,rimfrost
87,Regenbogen::N,gwareg-ar-glav,regnbue
88,Donner::N,kurun,torden
89,Strömung::N,red,strømning
90,Tropfen::N,bannac'h,dråpe
91,Tropfen::N,takenn,dråpe
92,Schaum::N,spoum,skum
93,Schmutz::N,fank,søl
94,Schmutz::N,fank,skitt
95,See::N,lenn,sjø
96,Sumpf::N,gwern,sump
97,Sumpf::N,gwern,myrlende
98,Moor::N,taouarc'heg,myr
99,Moor::N,taouarc'heg,myrhei
100,Wiese::N,prad,eng
101,Wald::N,koad,skog
102,Hügel::N,torgenn,haug
103,Hügel::N,torgenn,bakke
104,Anhöhe::N,run,haug
105,Anhöhe::N,run,bakke
106,Berg::N,menez,berg
107,Berg::N,menez,fjell
108,Gipfel::N,barr,topp
109,Höhle::N,kav,hule
110,Abhang::N,naou,li
111,Abhang::N,naou,skråning
112,Quelle::N,feunteun,kilde
113,Bach::N,gwazh,bekk
114,Fluss::N,stêr,elv
115,Ufer::N,ribl,bredd
116,Küste::N,aod,kyst
117,Festland::N,douar,fastland
118,Meer::N,mor,hav
119,Bucht::N,mor-bihan,bukt
120,Insel::N,enez,øy
121,Blume::N,bleunienn,blomst
122,Gras::N,geot,gress
123,Wurzel::N,gwrizienn,rot
124,Baum::N,gwezenn,tre
125,Stamm::N,kef,stamme
126,Rinde::N,rusk,bark
127,Ast::N,barr,gren
128,Zweig::N,bod,kvist
129,Blatt::N,delienn,blad
130,Birke::N,bezvenn,bjørk
131,Kiefer[Baum]::N,pinenn,furu
132,Weide[Baum]::N,halegenn,selje
133,Weide[Baum]::N,halegenn,piletre
134,Tanne::N,sapenn,gran
135,Horn::N,korn,horn
136,Feder::N,pluñv,fjær
137,Fell::N,kreoñ,skinn
138,Flügel::N,askell,vinge
