,Concept_ID,bn,udm
0,Auge::N,চক্ষু,син
1,Ohr::N,কর্ণ,пель
2,Nase::N,নাক,ныр
3,Mund::N,মুখ,ым
4,Zahn::N,দাঁত,пинь
5,Zunge::N,জিহবা,кыл
6,Lippe::N,অধর,ымдур
7,Wange::N,গণ্ড,бам
8,Gesicht::N,মুখমণ্ডল,ымныр
9,Stirn::N,কপাল,кымес
10,Haar::N,চুল,йырси
11,Schnurrbart::N,গোঁফ,мыйык
12,Bart::N,শ্মশ্রু,туш
13,Kinn::N,চিবুক,ангес
14,Kiefer[Anatomie]::N,চোয়াল,ан
15,Kiefer[Anatomie]::N,চোয়াল,анлы
16,Kehle::N,কণ্ঠ,гульым
17,Hals::N,গল,чырты
18,Genick::N,ঘাড়,йырбер
19,Kopf::N,মাথা,йыр
20,Rücken::N,পৃষ্ঠ,мыш
21,Bauch::N,উদর,кӧт
22,Nabel::N,নাভি,гогы
23,Busen::N,স্তন,ноны
24,Brust::N,বুক,мӧля
25,Schulter::N,স্কন্ধ,пельпум
26,Arm::N,বাহু,суй
27,Ellenbogen::N,কনুই,гырпум
28,Hand::N,হাত,ки
29,Handfläche::N,করতল,ки пыдэс
30,Handfläche::N,করতল,кырым пыдэс
31,Finger::N,আঙ্গুল,чиньы
32,Fingernagel::N,হাতের নখ,гижы
33,Fingernagel::N,হাতের নখ,гиждӥнь
34,Nagel[Anatomie]::N,নখ,гижы
35,Zeh::N,আঙ্গুল,пыдчиньы
36,Fuß::N,পা,пыд
37,Ferse::N,গোড়ালি,пыдбер
38,Knie::N,হাঁটু,пыдес
39,Oberschenkel::N,ঊরু,макес
40,Bein::N,পা,пыд
41,Körper::N,দেহ,мугор
42,Körper::N,দেহ,вылтыр
43,Haut::N,ত্বক,ку
44,Blut::N,রক্ত,вир
45,Ader::N,শিরা,вирсэр
46,Sehne::N,কণ্ডরা,вуж
47,Knochen::N,অস্থি,лы
48,Gehirn::N,মস্তিষ্ক,вим
49,Herz::N,হৃৎপিণ্ড,сюлэм
50,Magen::N,পাকস্থলী,ӝуш
51,Leber::N,যকৃৎ,мус
52,Atem::N,শ্বাস,лул
53,Atem::N,শ্বাস,шокан
54,Hunger::N,ক্ষুধা,кӧтсюман
55,Träne::N,অশ্রু,синкыли
56,Geschmack::N,স্বাদ,шӧм
57,Geruch::N,গন্ধ,зын
58,Schlaf::N,ঘুম,вӧт
59,Traum::N,স্বপ্ন,уйвӧт
