,Concept_ID,be,ba
0,Auge::N,вока,күҙ
1,Ohr::N,вуха,ҡолаҡ
2,Nase::N,нос,танау
3,Mund::N,рот,ауыҙ
4,Zahn::N,зуб,теш
5,Zunge::N,язык,тел
6,Lippe::N,губа,ирен
7,Wange::N,шчака,яцаҡтар
8,Gesicht::N,твар,бит
9,Stirn::N,лоб,маңлай
10,Haar::N,волас,сәс
11,Haar::N,валасы,сәс
12,Schnurrbart::N,вус,мылтыҡ
13,Schnurrbart::N,вусы,мылтыҡ
14,Bart::N,барада,һаҡал
15,Kinn::N,падбародак,эйэк
16,Kiefer[Anatomie]::N,сківіца,яңаҡ һөйәге
17,Kehle::N,горла,тамаҡ
18,Hals::N,шыя,муйын
19,Genick::N,патыліца,соңҡа
20,Kopf::N,галава,баш
21,Rücken::N,спіна,арҡа
22,Bauch::N,жывот,ҡорһаҡ
23,Nabel::N,пупок,кендек
24,Busen::N,грудзі,күкрәк
25,Brust::N,грудзі,түш
26,Schulter::N,плячо,яурын
27,Arm::N,рука,ҡул
28,Ellenbogen::N,локаць,терһәк
29,Hand::N,кісць,ҡул
30,Hand::N,кісць,ҡул суғы
31,Handfläche::N,далонь,ус төбө
32,Finger::N,палец,бармаҡ
33,Fingernagel::N,ногаць,тырнаҡ
34,Nagel[Anatomie]::N,ногаць,тырнаҡ
35,Zeh::N,палец,бармаҡ
36,Fuß::N,нага,табан
37,Ferse::N,пята,үксә
38,Ferse::N,пятка,үксә
39,Knie::N,калена,тубыҡ
40,Oberschenkel::N,бядро,сандыр
41,Oberschenkel::N,сцягно,сандыр
42,Bein::N,нага,аяҡ
43,Körper::N,цела,тән
44,Haut::N,скура,тире
45,Blut::N,кроў,ҡан
46,Ader::N,вена,тамыр
47,Ader::N,сасуд,тамыр
48,Sehne::N,жыла,һеңер
49,Sehne::N,жыла,тарамыш
50,Sehne::N,цеціва,һеңер
51,Sehne::N,цеціва,тарамыш
52,Sehne::N,сухажылле,һеңер
53,Sehne::N,сухажылле,тарамыш
54,Knochen::N,косць,һойәк
55,Gehirn::N,мозг,мейе
56,Herz::N,сэрца,йорәк
57,Magen::N,страўнік,ашҡаҙан
58,Leber::N,печань,бауыр
59,Atem::N,дыханне,һулыш
60,Hunger::N,голад,аслыҡ
61,Träne::N,сляза,күҙ иәше
62,Geschmack::N,смак,тәм
63,Geruch::N,пах,еҫ
64,Schlaf::N,сон,йоҡлау
65,Traum::N,сон,төш
66,Himmel::N,неба,күк
67,Sonne::N,сонца,ҡояш
68,Mond::N,месяц,ай
69,Stern::N,зорка,йондоҙ
70,Luft::N,паветра,һауа
71,Wind::N,вецер,ел
72,Welle::N,хваля,тулҡын
73,Wasser::N,вада,һыу
74,Stein::N,камень,таш
75,Boden::N,глеба,тупраҡ
76,Erde::N,зямля,балсҡ
77,Staub::N,пыл,туҙан
78,Rauch::N,дым,төтөн
79,Funke::N,іскра,осҡон
80,Feuer::N,агонь,ут
81,Licht::N,святло,яҡтылыҡ
82,Schatten::N,цень,күләгә
83,Wetter::N,пагода,һауа торошо
84,Wetter::N,надворʼе,һауа торошо
85,Nebel::N,туман,төман
86,Wolke::N,воблака,болот
87,Regen::N,дождж,ямғыр
88,Schnee::N,снег,ҡар
89,Eis::N,лёд,боҙ
90,Frost::N,мароз,һалҡын
91,Kälte::N,холад,һыуыҡ
92,Hitze::N,спёка,томра
93,Hitze::N,спёка,эҫелек
94,Raureif::N,іней,ҡырау
95,Regenbogen::N,вясёлка,йәйғор
96,Donner::N,гром,күк күкрәү
97,Strömung::N,цячэнне,ағым
98,Tropfen::N,кропля,тамсы
99,Schaum::N,пена,күбек
100,Schmutz::N,гразь,батҡаҡ
101,See::N,возера,күл
102,Sumpf::N,багна,һаҙлык
103,Moor::N,балота,һаҙ
104,Wiese::N,луг,болон
105,Wald::N,лес,урман
106,Hügel::N,узгорак,түбә
107,Anhöhe::N,узвышша,түбә
108,Anhöhe::N,узвышша,ҡалҡыулыҡ
109,Berg::N,гара,тау
110,Gipfel::N,вяршыня,түбә
111,Höhle::N,пячора,мәмерйә
112,Abhang::N,схіл,ипкен
113,Quelle::N,крыніца,шишмә
114,Bach::N,ручай,шишмә
115,Fluss::N,рака,йылға
116,Ufer::N,бераг,яр
117,Küste::N,узбярэжжа,яр буйы
118,Festland::N,суша,ҡоро ер
119,Meer::N,мора,диңгез
120,Bucht::N,бухта,бухта
121,Insel::N,востраў,үтрау
122,Blume::N,кветка,сәскә
123,Gras::N,трава,үлән
124,Wurzel::N,корань,тамыр
125,Baum::N,дрэва,ағас
126,Stamm::N,ствол,олон
127,Stamm::N,ствол,көбәк
128,Rinde::N,кара,ҡабыҡ
129,Ast::N,сук,ботаҡ
130,Zweig::N,галіна,ботаҡ
131,Zweig::N,галіна,тармаҡ
