,Concept_ID,pt,ady
0,Auge::N,olho,нэ
1,Ohr::N,orelha,тхьакӏу́м
2,Nase::N,nariz,пэ
3,Mund::N,boca,жэ
4,Zahn::N,dente,цэ
5,Zunge::N,língua,бзэгу
6,Lippe::N,lábio,ӏупшӏэ́
7,Wange::N,face,нэкӏу́шъу
8,Gesicht::N,cara,нэ́гу
9,Gesicht::N,rosto,нэ́гу
10,Stirn::N,testa,натӏэ́
11,Haar::N,cabelo,шъхьацы́
12,Schnurrbart::N,bigode,
13,Bart::N,barba,жакӏэ́
14,Kinn::N,queixo,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,maxila,жэпкъы́
16,Kiefer[Anatomie]::N,mandíbula,жэпкъы́
17,Kehle::N,garganta,чый
18,Hals::N,colo,пшъэ
19,Hals::N,pescoço,пшъэ
20,Genick::N,nuca,шъхьэпхэтыку
21,Kopf::N,cabeça,шъхьэ́
22,Rücken::N,dorso,кӏыбы́
23,Rücken::N,costas,кӏыбы́
24,Bauch::N,ventre,ныбэ́
25,Bauch::N,barriga,ныбэ́
26,Nabel::N,umbigo,
27,Busen::N,seio,бгъэ́
28,Brust::N,peito,бгъэ́
29,Schulter::N,ombro,блыпкъ
30,Arm::N,braço,ӏэ
31,Ellenbogen::N,cotovelo,ӏэнтэ́гъу
32,Hand::N,mão,ӏэтхьэцу
33,Handfläche::N,palma,ӏэ́гу
34,Handfläche::N,palma da mão,ӏэ́гу
35,Finger::N,dedo,ӏэхъуа́мб
36,Fingernagel::N,unha,ӏэбжъа́н
37,Nagel[Anatomie]::N,unha,ӏэбжъа́н
38,Zeh::N,dedo do pé,ӏэхъуа́мб
39,Fuß::N,pé,лъэгу
40,Ferse::N,calcanhar,лъэдакъэ
41,Knie::N,joelho,лъагуа́ндж
42,Oberschenkel::N,coxa,ко
43,Bein::N,perna,лъакъо́
44,Körper::N,corpo,пкъышъол
45,Haut::N,pele,кӏы́шъу
46,Blut::N,sangue,лъы
47,Ader::N,veia,льытф
48,Sehne::N,tendão,фэ
49,Knochen::N,osso,къупшъхьэ́
50,Gehirn::N,cérebro,куцӏы
51,Herz::N,coração,гу
52,Magen::N,estômago,мышкӏу
53,Leber::N,fígado,шӏу
54,Atem::N,fôlego,къэщэныр
55,Hunger::N,fome,гъаблэ́
56,Träne::N,lágrima,нэпсы
57,Geschmack::N,gosto,ӏэшӏугъа́кӏ
58,Geruch::N,odor,мэ
59,Geruch::N,cheiro,мэ
60,Schlaf::N,sono,пчыхьы́пӏ
61,Traum::N,sonho,пчыхьы́пӏ
62,Himmel::N,céu,уашъо́
63,Sonne::N,sol,тыгъэ
64,Mond::N,lua,мазэ
65,Stern::N,estrela,жъуагъо́
66,Luft::N,ar,жьы
67,Wind::N,vento,жьыбгъэ́
68,Welle::N,onda,ор
69,Welle::N,onda,оры
70,Wasser::N,água,псы
71,Stein::N,pedra,мыжъо́
72,Boden::N,solo,чӏ́ыгу
73,Erde::N,terra,чӏ́ыгу
74,Staub::N,pó,сап
75,Rauch::N,fumo,ӏугъо́
76,Funke::N,faísca,мэшӏуа́ч
77,Funke::N,centelha,мэшӏуа́ч
78,Feuer::N,fogo,машӏо́
79,Licht::N,luz,нэфы
80,Licht::N,luz,нэфын
81,Schatten::N,sombra,жьау́
82,Schatten::N,sombra,ныбжьыкъу
83,Wetter::N,tempo,
84,Nebel::N,nevoeiro,пща́гъу
85,Wolke::N,nuvem,ошъуапщэ
86,Regen::N,chuva,ощхы
87,Schnee::N,neve,осы́
88,Eis::N,gelo,мылы
89,Frost::N,gelo,
90,Frost::N,geada,
91,Kälte::N,frio,чъыӏэ́
