,Concept_ID,fi,sah
0,Auge::N,silmä,харах
1,Ohr::N,korva,кулгаах
2,Nase::N,nenä,мурун
3,Mund::N,suu,айах
4,Zahn::N,hammas,тиис
5,Zunge::N,kieli,тыл
6,Lippe::N,huuli,уос
7,Wange::N,poski,иэдэс
8,Gesicht::N,naama,сирэй
9,Gesicht::N,kasvot,сирэй
10,Stirn::N,otsa,сүүс
11,Haar::N,hius,баттах
12,Haar::N,tukka,баттах
13,Schnurrbart::N,viikset,уос бытыга
14,Bart::N,parta,сэҥийэ бытыга
15,Kinn::N,leuka,сэҥийэ
16,Kiefer[Anatomie]::N,leukaluu,сыҥаах
17,Kehle::N,kurkku,тамах
18,Kehle::N,kurkku,күөмэй
19,Hals::N,kaula,моой
20,Genick::N,niska,кэтэх
21,Kopf::N,pää,бас
22,Rücken::N,selkä,көҕүс
23,Bauch::N,maha,ис
24,Bauch::N,vatsa,ис
25,Nabel::N,napa,киин
26,Busen::N,rinta,эмиий
27,Brust::N,rinta,түөс
28,Schulter::N,olka,сарын
29,Schulter::N,hartia,сарын
30,Schulter::N,olkapää,сарын
31,Arm::N,käsivarsi,илии
32,Ellenbogen::N,kyynärpää,тоҕонох
33,Hand::N,käsi,илии
34,Handfläche::N,kämmen,ытыс
35,Finger::N,sormi,тарбах
36,Fingernagel::N,kynsi,тыҥырах
37,Nagel[Anatomie]::N,kynsi,тыҥырах
38,Zeh::N,varvas,тарбах
39,Fuß::N,jalka,уллуҥах
40,Ferse::N,kantapää,тилэх
41,Knie::N,polvi,тобук
42,Knie::N,polvi,дьилбэк
43,Oberschenkel::N,reisi,уллук
44,Oberschenkel::N,reisi,өттүк
45,Bein::N,jalka,атах
46,Körper::N,keho,бэйэ
47,Körper::N,ruumis,бэйэ
48,Haut::N,iho,тирии
49,Blut::N,veri,хаан
50,Ader::N,suoni,вена
51,Ader::N,suoni,күөх_тымыр
52,Sehne::N,jänne,иҥиир
53,Knochen::N,luu,уҥуох
54,Knochen::N,luu,уҥгуох
55,Gehirn::N,aivot,мэйии
56,Herz::N,sydän,сүрэх
57,Magen::N,maha,куртах
58,Magen::N,vatsa,куртах
59,Leber::N,maksa,быар
60,Atem::N,henki,тыын
61,Atem::N,hengitys,тыын
62,Hunger::N,nälkä,аас
63,Träne::N,kyynel,харах уута
64,Geschmack::N,maku,амтан
65,Geruch::N,haju,сыт
66,Schlaf::N,uni,утуйуу
67,Traum::N,uni,түүл
68,Himmel::N,taivas,халлаан
69,Sonne::N,aurinko,күн
70,Mond::N,kuu,ый
71,Stern::N,tähti,сулус
72,Luft::N,ilma,салгын
73,Wind::N,tuuli,тыал
74,Welle::N,aalto,долгун
75,Welle::N,aalto,балхаан
76,Wasser::N,vesi,уу
77,Stein::N,kivi,таас
78,Boden::N,maa,сир
79,Boden::N,maaperä,сир
80,Erde::N,maa,буор
81,Staub::N,pöly,быыл
82,Rauch::N,savu,буруо
83,Funke::N,kipinä,кыым
84,Feuer::N,tuli,уот
85,Licht::N,valo,уот
86,Schatten::N,varjo,күлүк
87,Wetter::N,sää,күн-дьыл
88,Nebel::N,sumu,туман
89,Wolke::N,pilvi,былыт
90,Regen::N,sade,самыыр
91,Schnee::N,lumi,хаар
92,Eis::N,jää,муус
93,Frost::N,halla,тымныы
94,Frost::N,pakkanen,тымныы
95,Kälte::N,vilu,тымныы
96,Kälte::N,kylmyys,тымныы
97,Hitze::N,helle,куйаас
98,Hitze::N,kuumuus,куйаас
99,Raureif::N,huurre,кырыа
100,Regenbogen::N,sateenkaari,кустук
101,Donner::N,jyrinä,этиҥ
102,Strömung::N,virtaus,сүүрүк
103,Tropfen::N,tippa,таммах
104,Tropfen::N,tippa,хааппыла
105,Tropfen::N,pisara,таммах
106,Tropfen::N,pisara,хааппыла
107,Schaum::N,vaahto,күүгэн
108,Schmutz::N,loka,кир
109,See::N,järvi,күөл
110,Sumpf::N,suo,бадараан
111,Moor::N,räme,дьэбэрэ
112,Wiese::N,niitty,ходуһа
113,Wald::N,metsä,ойуур
114,Hügel::N,mäki,булгунньах
115,Hügel::N,kumpu,булгунньах
116,Hügel::N,kukkula,булгунньах
117,Anhöhe::N,mäki,үрдэл
118,Anhöhe::N,kumpare,үрдэл
119,Berg::N,mäki,хайа
120,Berg::N,vuori,хайа
121,Gipfel::N,laki,чыпчаал
122,Gipfel::N,huippu,чыпчаал
123,Höhle::N,luola,хайа_хаспаҕа
124,Höhle::N,luola,көҥүс
125,Abhang::N,rinne,эниэ
126,Quelle::N,lähde,дьүүктэ
127,Bach::N,puro,үрүйэ
128,Fluss::N,joki,өрүс
129,Ufer::N,ranta,биэрэк
130,Küste::N,rannikko,кытыл
131,Festland::N,manner,кураанах сир
132,Meer::N,meri,муора
133,Bucht::N,lahti,хомо
134,Bucht::N,lahti,бухта
135,Insel::N,saari,арыы
136,Blume::N,kukka,сибэкки
137,Gras::N,ruoho,от
138,Wurzel::N,juuri,силис
139,Baum::N,puu,мас
140,Stamm::N,runko,умнас
141,Rinde::N,kuori,хатырык
142,Rinde::N,parkki,хатырык
143,Ast::N,oksa,мутук
144,Zweig::N,haara,лабаа
145,Blatt::N,lehti,сэбирдэх
146,Birke::N,koivu,хатыҥ
147,Kiefer[Baum]::N,mänty,бэс
148,Kiefer[Baum]::N,petäjä,бэс
149,Weide[Baum]::N,paju,үөт
150,Weide[Baum]::N,paju,талах
151,Tanne::N,kuusi,харыйа
152,Horn::N,sarvi,муос
153,Feder::N,sulka,куорсун
154,Feder::N,höyhen,куорсун
155,Fell::N,talja,тирии
156,Flügel::N,siipi,кынат
157,Klaue::N,kynsi,тыҥырах
158,Kralle::N,kynsi,баппаҕай
159,Schwanz::N,häntä,кутурук
160,Schwanz::N,pyrstö,кутурук
161,Ei::N,muna,сымыыт
162,Nest::N,pesä,уйа
163,Bau::N,pesä,хороон
164,Tier::N,eläin,кыыл
165,Tier::N,eläin,харамай
166,Herde::N,lauma,үөр
167,Kuh::N,lehmä,ынах
168,Bulle::N,sonni,оҕус
169,Pferd::N,hevonen,сылгы
170,Schaf::N,lammas,овца
171,Schwein::N,sika,сибиинньэ
172,Hund::N,koira,ыт
173,Katze::N,kissa,куоска
174,Bär::N,karhu,эһэ
175,Eichhörnchen::N,orava,тииҥ
176,Elch::N,hirvi,тайах
177,Fuchs::N,kettu,саһыл
178,Hase::N,jänis,куобах
179,Maus::N,hiiri,кутуйах
180,Wolf::N,susi,бөрө
181,Vogel::N,lintu,көтөр
182,Schwarm::N,parvi,бөлөх
183,Huhn::N,kana,куурусса
184,Hahn::N,kukko,бөтүүк
185,Gans::N,hanhi,хаас
186,Adler::N,kotka,хотой
187,Ente::N,ankka,кус
188,Eule::N,pöllö,мэкчиргэ
189,Kranich::N,kurki,туруйа
190,Krähe::N,varis,тураах
191,Kuckuck::N,käki,кэҕэ
192,Schwan::N,joutsen,куба
193,Fisch::N,kala,балык
194,Barsch::N,ahven,алыһар
195,Hecht::N,hauki,сордон
196,Schlange[Tier]::N,käärme,моҕой
197,Schlange[Tier]::N,käärme,эриэн үөн
198,Wurm::N,mato,үөн
199,Spinne::N,hämähäkki,ооҕуй
200,Ameise::N,muurahainen,кымырдаҕас
201,Laus::N,täi,быт
202,Mücke::N,sääski,кумаар
203,Mücke::N,hyttynen,кумаар
204,Fliege::N,kärpänen,сахсырҕа
205,Schmetterling::N,perhonen,лыах
206,Schmetterling::N,perhonen,үрүмэччи
207,Beere::N,marja,отон
208,Apfel::N,omena,яблоко
209,Pilz::N,sieni,тэллэй
210,Zwiebel::N,sipuli,луук
211,Saat::N,siemenet,сиэмэ
212,Korn::N,jyvä,сиэмэ
213,Korn::N,vilja,сиэмэ
214,Heu::N,heinä,от
215,Schale::N,kuori,хах
216,Grube::N,kuoppa,дьаама
217,Falle::N,loukku,сохсо
218,Schlinge::N,ansa,уктаа
219,Spur::N,jälki,суол
220,Asche::N,tuhka,күл
221,Dreck::N,lika,бадараан
222,Eisen::N,rauta,тимир
223,Gold::N,kulta,көмүс
224,Gold::N,kulta,кыһыл көмүс
225,Silber::N,hopea,көмүс
226,Silber::N,hopea,үрүҥ көмүс
227,Kohle::N,hiili,чох
228,Glas::N,lasi,өстүөкүлэ
229,Lehm::N,savi,туой
230,Sand::N,hiekka,кумах
231,Mensch::N,ihminen,киһи
232,Mann::N,mies,эр
233,Frau::N,nainen,дьахтар
234,Kind::N,lapsi,оҕо
235,Junge::N,poika,уол
236,Mädchen::N,tyttö,кыыс оҕо
237,Familie::N,perhe,кэргэн
238,Großvater::N,isoisä,эһэ
239,Großmutter::N,isoäiti,эбэ
240,Eltern::N,vanhemmat,аҕа-ийэ
241,Vater::N,isä,аҕа
242,Mutter::N,äiti,ийэ
243,Sohn::N,poika,уол
244,Tochter::N,tytär,кыыс
245,Bruder::N,veli,убай
246,Bruder::N,veli,быраат
247,Schwester::N,sisko,аҕас
248,Schwester::N,sisko,балыс
249,Onkel::N,eno,таай
250,Onkel::N,eno,абаҕа
251,Onkel::N,setä,таай
252,Onkel::N,setä,абаҕа
253,Tante::N,täti,эдьиий
