,Concept_ID,lbe,kk
0,Auge::N,я,көз
1,Ohr::N,вичӏи,құлақ
2,Nase::N,май,мұрын
3,Mund::N,кьацӏ,ауыз
4,Zahn::N,ккарччи,тіс
5,Zunge::N,маз,тіл
6,Lippe::N,мурччи,ерін
7,Wange::N,чӏав,ұрт
8,Gesicht::N,лажин,бет-аузы
9,Stirn::N,ненттабакӏ,маңдай
10,Haar::N,чӏара,қыл
11,Schnurrbart::N,ссирссилтту,мұрт
12,Bart::N,чӏири,сақал
13,Kinn::N,лунттубакӏ,иек
14,Kiefer[Anatomie]::N,ххинчулул,жақ
15,Kehle::N,кьакьари,алқым
16,Hals::N,ссурссу,мойын
17,Genick::N,махъабакӏ,желке
18,Kopf::N,бакӏ,кәллә
19,Rücken::N,ттиликӏ,арқа
20,Bauch::N,лякьа,қарын
21,Nabel::N,цӏумуккутӏ,кіндік
22,Busen::N,ккукку,омырау
23,Brust::N,хъазам,кеуде
24,Schulter::N,хъачӏ,иық
25,Arm::N,ка,қол
26,Ellenbogen::N,ссюрхъ,шынтақ
27,Hand::N,бартка,қол
28,Handfläche::N,хъат,алақан
29,Handfläche::N,битӏянхъ,алақан
30,Finger::N,кӏисса,саусақ
31,Fingernagel::N,михь,тырнақ
32,Nagel[Anatomie]::N,михь,тырнақ
33,Zeh::N,кӏисса,тырнақ
34,Zeh::N,кӏисса,тұяқ
35,Fuß::N,чӏанччан,аяқ-басы
36,Ferse::N,никъа,өкше
37,Ferse::N,никъа,өкшелік
38,Knie::N,ник,тізе
39,Oberschenkel::N,жира,жамбас
40,Bein::N,ччан,аяқ
41,Körper::N,чурх,дене
42,Haut::N,бурчу,тері
43,Blut::N,оь,қан
44,Ader::N,тунну,көктамыр
45,Ader::N,тунну,күретамыр
46,Sehne::N,хьхьа,сіңір
47,Knochen::N,ттаркӏ,жілік
48,Gehirn::N,ня,ми
49,Herz::N,дакӏ,жүрек
50,Herz::N,къюкӏ,жүрек
51,Magen::N,лякьа,асқазан
52,Atem::N,ссихӏ ласаву,леп
53,Atem::N,ссихӏ бигьаву,леп
54,Hunger::N,ккаши,ашаршылық
55,Träne::N,макь,жас
56,Geschmack::N,тӏин,дәм
57,Geschmack::N,тӏин,татым
58,Geschmack::N,тӏин,талғам
59,Geschmack::N,тӏааьн,дәм
60,Geschmack::N,тӏааьн,татым
61,Geschmack::N,тӏааьн,талғам
62,Geruch::N,кьанкь,иіс
63,Schlaf::N,шану,ұйқы
64,Schlaf::N,шану,ұйықтау
65,Traum::N,макӏру,түс
66,Himmel::N,ссав,аспан
67,Himmel::N,ссав,көқ
68,Himmel::N,ссав,таңдай
69,Sonne::N,баргъ,күн
70,Mond::N,барз,ай
71,Stern::N,цӏуку,жұлдыз
72,Luft::N,гьава,әуе
73,Wind::N,марч,жел
74,Welle::N,щатӏи,толқын
75,Wasser::N,щин,су
76,Stein::N,чару,тас
77,Boden::N,аьрщи,қыртыс
78,Erde::N,аьрщи,топырақ
79,Staub::N,ххит,шаң
80,Rauch::N,пуркӏу,түтін
81,Funke::N,пиягь,ұшқын
82,Feuer::N,цӏу,алау
83,Licht::N,чани,шұғыла
84,Schatten::N,ххют,көлеңке
85,Wetter::N,гьава,ауа райы
86,Nebel::N,шархь ттурлу,тұман
87,Wolke::N,ттурлу,бұлт
88,Regen::N,гъарал,жаңбыр
89,Schnee::N,марххала,қар
90,Eis::N,микӏ,мұз
91,Frost::N,дяркъу,суық
92,Frost::N,замгьар,суық
93,Kälte::N,дяркъу,ызғар
94,Kälte::N,дяркъу,суықтық
95,Hitze::N,кӏиришиву,аптап
96,Raureif::N,сил,қырау
97,Raureif::N,бурса,қырау
98,Regenbogen::N,ссурул ккуртта,кемпірқосақ
99,Donner::N,къув,күн күркіреу
100,Strömung::N,экьинанаву,ағын
101,Tropfen::N,кӏунтӏ,тамшы
102,Schaum::N,хьама,көбік
103,Schmutz::N,кьяркьи,кір
104,See::N,бяр,көл
105,Sumpf::N,кунцӏа,саз
106,Wiese::N,кьан,шалғын
107,Wald::N,вацӏа,орман
108,Hügel::N,бакӏу,төбе
109,Hügel::N,бакӏу,белес
110,Hügel::N,бакӏу,белес-белес
111,Berg::N,зунтту,тау
112,Gipfel::N,мицӏ,төбе
113,Höhle::N,нух,үңгір
114,Abhang::N,сун,бауыр
115,Quelle::N,дайдихьу,қайнар
116,Quelle::N,бакӏ,қайнар
117,Bach::N,чӏрир нех,жылға
118,Fluss::N,нех,өзен
119,Ufer::N,зума,жиек
120,Küste::N,зумаинхалу,жиегі
121,Küste::N,зумаинхалу,жағалау
122,Küste::N,зуманицӏалу,жиегі
123,Küste::N,зуманицӏалу,жағалау
124,Festland::N,кьири,құрылық
125,Meer::N,хьхьири,теңіз
126,Insel::N,жазира,арал
127,Blume::N,тӏутӏи,гүл
128,Gras::N,уртту,от
129,Wurzel::N,мархха,түбір
130,Baum::N,мурхь,ағаш
131,Baum::N,мурхь,дарақ
132,Stamm::N,ттарцӏ,сояу
133,Stamm::N,ттарцӏ,оқпан
134,Rinde::N,ккамара,қабық
135,Ast::N,матӏи,бұтақ
136,Zweig::N,къяртта,шыбық
137,Blatt::N,чӏапӏи,жапырақ
138,Birke::N,кӏялахӏи,қайың
139,Birke::N,кӏялахӏилул мурхь,қайың
140,Kiefer[Baum]::N,ттар,қарағай
141,Kiefer[Baum]::N,ттарлил мурхь,қарағай
142,Weide[Baum]::N,щавщи,тал
143,Tanne::N,ттарлил мурхь,шырша
144,Horn::N,хъи,мүйіз
145,Feder::N,лелуххул тӏиму,қаламұш
146,Fell::N,бурчу,тері
147,Flügel::N,хъа,қанат
148,Flügel::N,ххурупӏайрал тӏиму,қанат
149,Klaue::N,михь,тырнақ
150,Kralle::N,ххяппа,аяқ
151,Schwanz::N,магъ,құйрық
152,Ei::N,ккунук,жұмыртқа
153,Nest::N,кюру,ұя
154,Bau::N,цукъуккутӏ,жатақ
155,Tier::N,хӏайван,айуан
156,Tier::N,хӏайван,жануар
157,Herde::N,газу,пада
158,Kuh::N,оьл,сиыр
159,Bulle::N,ниц,өгіз
160,Pferd::N,чу,жылқы
161,Schaf::N,тта,қой
162,Schwein::N,дунгъуз,шошқа
163,Hund::N,ккаччи,ит
164,Katze::N,ччиту,мысық
165,Bär::N,цуша,аю
166,Eichhörnchen::N,бюрхттукку,тиін
167,Elch::N,ниц-бюрин,бұғы
168,Fuchs::N,цулчӏа,түлкі
169,Fuchs::N,куча цулчӏа,түлкі
170,Hase::N,бюрх,қоян
171,Maus::N,кӏулу,қаптесер
172,Wolf::N,барцӏ,бөрі
173,Wolf::N,барцӏ,қасқыр
174,Vogel::N,лелуххи,құс
175,Schwarm::N,гьухъала,топ
176,Schwarm::N,гьухъала,үйір
177,Huhn::N,аьнакӏи,тауық
178,Huhn::N,аьнакӏи,мекиен
179,Hahn::N,ажари,әтеш
180,Hahn::N,ажари,қораз
181,Gans::N,къаз,қаз
182,Adler::N,барзу,бүркіт
183,Ente::N,урдак,үйрек
184,Eule::N,ису,жапалақ
185,Eule::N,ччиккумяв,жапалақ
186,Kranich::N,кьурукь,тырна
187,Krähe::N,хъатӏу,қарға
188,Kuckuck::N,ччикку,көкек
189,Schwan::N,урттил къаз,аққу
190,Fisch::N,чавахъ,балық
191,Schlange[Tier]::N,шатта,жылан
192,Wurm::N,кьюнукьай шатта,шұбалшаң
193,Spinne::N,ххялцу,өрмекші
194,Ameise::N,митӏикьукьу,қүмырска
195,Mücke::N,мичӏак,маса
196,Fliege::N,зимиз,шыбын
197,Schmetterling::N,чӏимучӏали,көбелек
198,Beere::N,хӏаллил ахъулсса,жидек
199,Apfel::N,гьивч,алма
200,Pilz::N,ттуккул иис,қозықұйрық
201,Pilz::N,ттуккул иис,саңыраукулақ
202,Zwiebel::N,лаччул чсмусул бакӏ,жуа
203,Saat::N,гьанна,тұқым
204,Korn::N,къама,дән
205,Heu::N,ххулув,шөп
206,Schale::N,ккиртту,қабық
207,Schale::N,ккиртту,қабығы
208,Grube::N,кӏаланг,ор
209,Falle::N,къатӏа,дұзақ
210,Falle::N,къатӏа,қақпан
211,Schlinge::N,хӏатӏ,ілмек
212,Spur::N,ша,із
213,Asche::N,лах,күл
214,Dreck::N,кьяркьи,былғаныш
215,Dreck::N,венп,былғаныш
216,Eisen::N,мах,темір
217,Gold::N,муси,алтын
218,Silber::N,арцу,күміс
219,Kohle::N,кӏалаш,көмір
220,Kohle::N,хъуручӏ,көмір
221,Glas::N,пюрун,шыны
222,Lehm::N,сина аьрщи,балшық
223,Sand::N,къун,құм
224,Mensch::N,инсан,адам
225,Mann::N,чув,еркек
226,Mann::N,чув,ер адам
227,Mann::N,адимина,еркек
228,Mann::N,адимина,ер адам
229,Frau::N,щарсса,бике
230,Frau::N,щарсса,қатын
231,Frau::N,хъамитайпа,бике
232,Frau::N,хъамитайпа,қатын
233,Kind::N,чӏиви оьрчӏ,бала
234,Kind::N,чӏиви оьрчӏ,перзент
235,Junge::N,оьрчӏ,бала
236,Junge::N,оьрчӏ,ер бала
237,Junge::N,бурхьин оьрчӏ,бала
238,Junge::N,бурхьин оьрчӏ,ер бала
239,Mädchen::N,душ,қыз
240,Familie::N,кулпат,жанұя
241,Großvater::N,ттатта,ата
242,Großvater::N,ниттил ппу,ата
243,Großmutter::N,буттал нину,әже
244,Großmutter::N,буттал нину,әжей
245,Eltern::N,нину-ппу,ата-аналар
246,Vater::N,ппу,әке
247,Mutter::N,нину,ана
248,Sohn::N,арс,ұл
249,Tochter::N,душ,қызым
250,Bruder::N,уссу,бауырым
251,Schwester::N,ссу,әпке
252,Onkel::N,буттауссу,көке
253,Tante::N,буттал ссу,тәте
254,Ehemann::N,лас,ер
255,Ehefrau::N,щар,зайып
256,Ehefrau::N,щарсса,зайып
257,Freude::N,шадшиву,қуаныш
258,Freude::N,шадшиву,сүйініш
259,Freude::N,шадшиву,шат-думан
260,Freude::N,шадшиву,қуаныштылық
261,Freude::N,ххаришиву,қуаныш
262,Freude::N,ххаришиву,сүйініш
263,Freude::N,ххаришиву,шат-думан
264,Freude::N,ххаришиву,қуаныштылық
265,Gelächter::N,хъяхъаву,күлу
266,Glück::N,талихӏ,бақыт
267,Glück::N,талихӏ,бақыттылық
268,Kummer::N,дард,аза
269,Kummer::N,дард,қайғы
270,Kummer::N,дард,қасырет
271,Wunsch::N,мурад,мүдде
272,Lust::N,гьавас,тәбет
273,Lust::N,гьавас,ынтызар
274,Lust::N,гьавас,құштарлық
275,Lust::N,ччаву,тәбет
276,Lust::N,ччаву,ынтызар
277,Lust::N,ччаву,құштарлық
278,Geist::N,рухӏ,рух
279,Gedanke::N,пикри,ой
280,Gedächtnis::N,дакӏний личӏаву,ес
281,Gedächtnis::N,дакӏний личӏаву,жады
282,Gedächtnis::N,дакӏний личӏаву,ақыл-ес
283,Verstand::N,аькьлу,ақыл
284,Verstand::N,аькьлу,парасат
285,Sinn::N,мяъна,мән
286,Sinn::N,мяъна,маныз
287,Sinn::N,мяъна,мағына
288,Sinn::N,мяъна,мән-мағына
289,Grund::N,багьана,себеп
290,Wahrheit::N,тӏайламур,рас
291,Wahrheit::N,хӏакьмур,рас
292,Gespräch::N,ихтилат,әңгіме
293,Märchen::N,магьа,ертеп
294,Märchen::N,магьа,ертек
295,Erzählung::N,хавар,әңгіме
296,Nachricht::N,хавар,хабар
297,Neuigkeit::N,хавар,жаңалық
298,Name::N,цӏа,ат
299,Name::N,цӏа,атау
300,Rätsel::N,ссигьа,жұмбақ
301,Rede::N,гъалгъа,сөз
302,Sprache::N,маз,тіл
303,Stimme::N,чӏу,үн
304,Stimme::N,чӏу,әуен
305,Stimme::N,чӏу,дауыс
306,Stimme::N,чӏукӏа,үн
307,Stimme::N,чӏукӏа,әуен
308,Stimme::N,чӏукӏа,дауыс
309,Wort::N,махъ,сөз
310,Zeichen::N,лишан,ишара
311,Lärm::N,чӏу,айғай-шу
312,Lärm::N,чӏу,айғай-ұйғай
313,Laut::N,чӏу,дыбыс
314,Laut::N,чӏу,дауыс
315,Ton::N,чӏу,әуен
316,Lied::N,балай,ән
317,Lied::N,балай,жыр
318,Lied::N,балай,ән-жыр
319,Ruhe::N,дигьалагру,тыныштық
320,Leute::N,инсантал,кісілер
321,Volk::N,ил,халық
322,Volk::N,халкь,халық
323,Arbeit::N,заву,еңбек
324,Gast::N,хъамаличу,қонақ
325,Gast::N,хъамаличу,мейман
326,Geschenk::N,бухчакарши,қадия
327,Geschenk::N,лажинккакку,қадия
328,Spiel::N,тӏуркӏу,ойын
329,Gesellschaft::N,жямат,қауым
330,Gesellschaft::N,жямат,жұртшылық
331,Gesellschaft::N,ккуран,қауым
332,Gesellschaft::N,ккуран,жұртшылық
333,Hilfe::N,кумаг,жэрдем
334,Freund::N,дус,дос
335,Kamerad::N,хӏаласу,дос-жар
336,Angelegenheit::N,иш,жұмыс
337,Anzahl::N,аьдад,сан
338,Anzahl::N,аьдад,саны
339,Art::N,жинс,түр
340,Stück::N,касак,тілім
341,Teil::N,бутӏа,үлес
342,Teil::N,бутӏа,бөлшек
343,Hälfte::N,дачӏи,жарты
344,Kreis::N,кюрщан,шеңбер
345,Kreuz::N,ххач,крест
346,Linie::N,щва,сызық
347,Strich::N,щва,сызық
348,Abstand::N,манзил,ара
349,Abstand::N,манзил,аралық
350,Entfernung::N,манзил,аралық
351,Gegend::N,кӏану,өңір
352,Ort::N,кӏану,орын
353,Seite::N,чул,жақ
354,Seite::N,чул,бүйір
355,Seite::N,чулухалу,жақ
356,Seite::N,чулухалу,бүйір
357,Mitte::N,дя,ортасы
358,Gegenstand::N,зат,зат
359,Gegenstand::N,зат,нәрсе
360,Sache::N,зат,бұйым
361,Rand::N,зума,шет
362,Rand::N,зума,шеті
363,Ecke::N,мурцӏу,қыры
364,Ecke::N,мурцӏу,бұрыш
365,Spitze::N,мицӏ,ұшы
366,Ende::N,зума,аяқ
367,Ende::N,зума,соңы
368,Loch::N,ккутӏ,тесік
369,Winkel::N,мурцӏу,мүйіс
370,Muster::N,накьич,мәнер
371,Länge::N,лахъишиву,бой
372,Länge::N,лахъишиву,ұзындық
373,Höhe::N,лахъшиву,жоғарылық
374,Höhe::N,лахъшиву,биіктік
375,Gewicht::N,дуццин,салмақ
376,Gewicht::N,кӏушиву,салмақ
377,Haufen::N,бакӏу,үйме
378,Haufen::N,бакӏу,үйінді
379,Reihe::N,кьюкьа,сап
380,Boot::N,луткка,қайық
381,Ruder::N,весло,ескек
382,Ruder::N,чӏатӏа,ескек
383,Schlitten::N,чана,шана
384,Schlitten::N,санкка,шана
385,Ski::N,лижарду,шаңғы
386,Lagerfeuer::N,къавтӏн,алау
387,Last::N,гьиву,ауырлық
388,Last::N,гьиву,ауыр зат
389,Gang::N,нанаву,жүріс
390,Schritt::N,ша,адым
391,Norden::N,ухссав,солтүстік
392,Norden::N,ухссав,терістік
393,Norden::N,ухссавнил чулухалу,солтүстік
394,Norden::N,ухссавнил чулухалу,терістік
395,Süden::N,кьилва,оңтүстік
396,Westen::N,баргълагавал,батыс
397,Westen::N,баргълагавал чул,батыс
398,Osten::N,баргъбуккай чулухалу,күншығыс
399,Holz::N,тӏама,ағаш
400,Holz::N,тӏама,сүрек
401,Brett::N,тахта,тақта
402,Platte::N,гъуни,тақта
403,Stütze::N,гьалакӏу,тіреу
404,Stange::N,къазихъ,қада
405,Stock::N,ттархь,сойыл
406,Stab::N,ччантӏакъу,сырық
407,Rohr::N,бургъу,құбыр
408,Haus::N,къатта,үй
409,Heim::N,къатта,үйлі
410,Heim::N,къатта,шаңырақ
411,Ofen::N,пач,ошақ
412,Ofen::N,пач,пеш
413,Fußboden::N,чӏанкъатта,еден
414,Tisch::N,усттул,үстел
415,Stuhl::N,кӏану,орындық
416,Wiege::N,оьрчӏал кӏану,бесік
417,Bett::N,тах,кереует
418,Regal::N,чӏаму,сөре
419,Kiste::N,яшикӏ,жәшік
420,Kiste::N,къурши,жәшік
421,Fenster::N,чӏавахьулу,терезе
422,Tür::N,нуз,есік
423,Tür::N,нузкьун,есік
424,Tor::N,къапу,дарбаза
425,Tor::N,дарваза,дарбаза
426,Zaun::N,дайгьузанну,дуал
427,Dach::N,магъи,шатыр
428,Dach::N,цӏиялу,шатыр
429,Leiter::N,чуртту,саты
430,Leiter::N,чуртту,басқыш
431,Besen::N,чӏатлу,сыпырғыш
432,Spaten::N,бил,күрек
433,Schaufel::N,чӏатӏа,қалақ
434,Gabel::N,гьиссилу,аша
435,Gabel::N,гьиссилу,шанышқы
436,Löffel::N,къуса,қасық
437,Messer::N,чӏила,пышақ
438,Nagel::N,мяр,мық
439,Nagel::N,мяр,шеге
440,Netz::N,къери,керегекөз
441,Haken::N,къича,ілмек
442,Griff::N,куяму,сап
443,Griff::N,куяму,тұтқа
444,Schloss::N,кьункьула,құлып
445,Schloss::N,кьункьула,бекіткіш
446,Bild::N,сурат,сурет
447,Puppe::N,ссихьу,қуыршақ
448,Beutel::N,чантай,қапшық
449,Bündel::N,гьи,байлам
450,Bündel::N,къар,байлам
451,Eimer::N,бадра,шелек
452,Deckel::N,къапаза,жапқыш
453,Geschirr::N,пюрунчӏул,ыдыс
454,Geschirr::N,тӏахӏникӏичӏу,ыдыс
455,Sack::N,къап,қап
456,Sack::N,дарваг,қап
457,Tasse::N,пижан,шыныаяқ
458,Tasse::N,пинжан,шыныаяқ
459,Tasse::N,инкираччатӏи,шыныаяқ
460,Tasse::N,цинцилттал бушкъап,шыныаяқ
461,Topf::N,кӏункӏур,кәстрөл
462,Kessel::N,чаг,қазан
463,Kessel::N,кӏункӏур,қазан
464,Essen::N,дукия,ас
465,Essen::N,дукин,ас
466,Nahrung::N,дукра,ас
467,Nahrung::N,дукра,тамақ
468,Speise::N,дукра,тағам
469,Fleisch::N,дикӏ,ет
470,Getreide::N,къама,дәнді
