,Concept_ID,sq,ga
0,Auge::N,sy,súil
1,Ohr::N,vesh,cluas
2,Nase::N,hundë,soc
3,Mund::N,gojë,béal
4,Zahn::N,dhëmb,fiacail
5,Zunge::N,gjuhë,teanga
6,Lippe::N,buzë,liopa
7,Wange::N,faqe,grua
8,Wange::N,faqe,leiceann
9,Wange::N,mollëz,grua
10,Wange::N,mollëz,leiceann
11,Gesicht::N,fytyrë,éadan
12,Gesicht::N,fytyrë,aghaidh
13,Stirn::N,ballë,baithis
14,Stirn::N,ballë,clár éadain
15,Haar::N,flokë,gruaig
16,Schnurrbart::N,mustaqe,croiméal
17,Bart::N,mjekër,féasóg
18,Kinn::N,mjekër,smig
19,Kiefer[Anatomie]::N,nofull,giall
20,Kehle::N,fyt,scornach
21,Kehle::N,grykë,scornach
22,Hals::N,qafë,muinéal
23,Genick::N,arrëz,baic
24,Kopf::N,kokë,ceann
25,Rücken::N,kurriz,droim
26,Bauch::N,bark,bolg
27,Nabel::N,kërthizë,imleacán
28,Busen::N,gji,cíoch
29,Brust::N,gjoks,brollach
30,Brust::N,kraharor,brollach
31,Schulter::N,sup,gualainn
32,Schulter::N,krah,gualainn
33,Arm::N,krah,lámh
34,Ellenbogen::N,bërryl,uillinn
35,Hand::N,dorë,lámh
36,Handfläche::N,pëllëmbë,bos
37,Finger::N,gisht,méar
38,Fingernagel::N,thua,ionga
39,Nagel[Anatomie]::N,thua,ionga
40,Zeh::N,gisht i këmbës,ladhar
41,Fuß::N,këmbë,cos
42,Fuß::N,këmbë,troigh
43,Ferse::N,thembër,sáil
44,Knie::N,gju,glúin
45,Oberschenkel::N,kofshë,ceathrú
46,Bein::N,këmbë,cos
47,Körper::N,trup,corp
48,Körper::N,trup,colainn
49,Haut::N,lëkurë,cneas
50,Haut::N,lëkurë,craiceann
51,Blut::N,gjak,fuil
52,Ader::N,venë,
53,Sehne::N,dell,teannán
54,Sehne::N,dell,féitheog
55,Knochen::N,asht,cnámh
56,Knochen::N,kockë,cnámh
57,Gehirn::N,tru,inchinn
58,Herz::N,zemër,croí
59,Magen::N,stomak,bolg
60,Magen::N,stomak,goile
61,Leber::N,mëlçi,ae
62,Atem::N,frymë,anáil
63,Hunger::N,uri,ocras
64,Träne::N,lot,deoir
65,Geschmack::N,shije,blas
66,Geruch::N,erë,boladh
67,Schlaf::N,gjumë,suan
68,Schlaf::N,gjumë,codladh
69,Traum::N,ëndërr,taibhreamh
70,Himmel::N,qiell,spéir
71,Sonne::N,diell,grian
72,Mond::N,hënë,ré
73,Mond::N,hënë,gealach
74,Stern::N,yll,rinn
75,Stern::N,yll,réalta
76,Luft::N,ajër,aer
77,Wind::N,erë,gaoth
78,Welle::N,valë,tonn
79,Welle::N,dallgë,tonn
80,Wasser::N,ujë,uisce
81,Stein::N,gur,cloch
82,Boden::N,tokë,talamh
83,Boden::N,truall,talamh
84,Erde::N,dhe,cré
85,Erde::N,dhe,ithir
86,Erde::N,baltë,cré
87,Erde::N,baltë,ithir
88,Staub::N,pluhur,dusta
89,Staub::N,pluhur,deannach
90,Rauch::N,tym,toit
91,Rauch::N,tym,deatach
92,Funke::N,xixë,drithle
93,Funke::N,shkëndijë,drithle
