,Concept_ID,pt,is
0,Auge::N,olho,auga
1,Ohr::N,orelha,eyra
2,Nase::N,nariz,nef
3,Mund::N,boca,munnur
4,Zahn::N,dente,tönn
5,Zunge::N,língua,tunga
6,Lippe::N,lábio,vör
7,Wange::N,face,kinn
8,Wange::N,face,vangi
9,Gesicht::N,cara,andlit
10,Gesicht::N,rosto,andlit
11,Stirn::N,testa,enni
12,Haar::N,cabelo,hár
13,Schnurrbart::N,bigode,yfirskegg
14,Bart::N,barba,skegg
15,Kinn::N,queixo,haka
16,Kiefer[Anatomie]::N,maxila,kjálki
17,Kiefer[Anatomie]::N,maxila,skoltur
18,Kiefer[Anatomie]::N,mandíbula,kjálki
19,Kiefer[Anatomie]::N,mandíbula,skoltur
20,Kehle::N,garganta,kverk
21,Hals::N,colo,háls
22,Hals::N,pescoço,háls
23,Genick::N,nuca,hnakki
24,Kopf::N,cabeça,höfuð
25,Rücken::N,dorso,hryggur
26,Rücken::N,costas,hryggur
27,Bauch::N,ventre,kviður
28,Bauch::N,barriga,kviður
29,Nabel::N,umbigo,nafli
30,Busen::N,seio,barmur
31,Brust::N,peito,brjóst
32,Schulter::N,ombro,öxl
33,Arm::N,braço,armur
34,Ellenbogen::N,cotovelo,olnbogi
35,Hand::N,mão,hönd
36,Handfläche::N,palma,lófi
37,Handfläche::N,palma da mão,lófi
38,Finger::N,dedo,fingur
39,Fingernagel::N,unha,fingurnögl
40,Nagel[Anatomie]::N,unha,nögl
41,Zeh::N,dedo do pé,tá
42,Fuß::N,pé,fótur
43,Ferse::N,calcanhar,hæll
44,Knie::N,joelho,kné
45,Oberschenkel::N,coxa,læri
46,Bein::N,perna,fótleggur
47,Körper::N,corpo,búkur
48,Körper::N,corpo,líkami
49,Haut::N,pele,húð
50,Haut::N,pele,skinn
51,Blut::N,sangue,blóð
52,Ader::N,veia,æð
53,Sehne::N,tendão,sin
54,Knochen::N,osso,bein
55,Gehirn::N,cérebro,heili
56,Herz::N,coração,hjarta
57,Magen::N,estômago,magi
58,Leber::N,fígado,lifur
59,Atem::N,fôlego,andi
60,Atem::N,fôlego,andardráttur
61,Hunger::N,fome,hungur
62,Träne::N,lágrima,tár
63,Geschmack::N,gosto,smekkur
64,Geruch::N,odor,lykt
65,Geruch::N,cheiro,lykt
66,Schlaf::N,sono,svefn
67,Traum::N,sonho,draumur
68,Himmel::N,céu,himinn
69,Sonne::N,sol,sól
70,Mond::N,lua,tungl
71,Stern::N,estrela,stjarna
72,Luft::N,ar,loft
73,Wind::N,vento,vindur
74,Welle::N,onda,alda
75,Welle::N,onda,bylgja
76,Wasser::N,água,vatn
77,Stein::N,pedra,steinn
78,Boden::N,solo,botn
79,Erde::N,terra,jörð
80,Staub::N,pó,ryk
81,Staub::N,pó,duft
82,Rauch::N,fumo,reykur
83,Funke::N,faísca,neisti
84,Funke::N,centelha,neisti
85,Feuer::N,fogo,eldur
86,Licht::N,luz,ljós
87,Schatten::N,sombra,skuggi
88,Wetter::N,tempo,veður
89,Nebel::N,nevoeiro,þoka
90,Wolke::N,nuvem,ský
91,Regen::N,chuva,regn
92,Schnee::N,neve,snjór
93,Eis::N,gelo,ís
94,Frost::N,gelo,frost
95,Frost::N,geada,frost
96,Kälte::N,frio,kuldi
97,Hitze::N,ardor,hiti
98,Raureif::N,geada,hrím
99,Regenbogen::N,arco-iris,regnbogi
100,Donner::N,trovão,þruma
101,Strömung::N,corrente,straumur
102,Tropfen::N,gota,dropi
103,Schaum::N,espuma,froða
104,Schmutz::N,sujidade,óhreinindi
105,Schmutz::N,imundície,óhreinindi
106,See::N,lago,stöðuvatn
107,Sumpf::N,charco,fen
108,Sumpf::N,pântano,fen
109,Moor::N,pântano,mýri
110,Wiese::N,prado,engi
111,Wald::N,bosque,skógur
112,Wald::N,floresta,skógur
113,Hügel::N,colina,hæð
114,Hügel::N,colina,hóll
115,Anhöhe::N,alto,hæð
116,Anhöhe::N,alto,hóll
117,Anhöhe::N,outeiro,hæð
118,Anhöhe::N,outeiro,hóll
119,Berg::N,monte,fell
120,Berg::N,monte,fjall
121,Berg::N,montanha,fell
122,Berg::N,montanha,fjall
123,Gipfel::N,pico,tindur
124,Höhle::N,caverna,hellir
125,Abhang::N,encosta,hlíð
126,Abhang::N,encosta,brekka
127,Quelle::N,fonte,lind
128,Quelle::N,fonte,uppspretta
129,Bach::N,regato,lækur
130,Bach::N,ribeiro,lækur
131,Fluss::N,rio,á
132,Fluss::N,rio,fljót
133,Ufer::N,beira,árbakki
134,Ufer::N,beira,sjávarbakki
135,Küste::N,costa,strönd
136,Festland::N,terra firme,meginland
137,Meer::N,mar,haf
138,Meer::N,mar,sjór
139,Bucht::N,baía,vík
140,Insel::N,ilha,eyja
141,Blume::N,flor,blóm
142,Gras::N,erva,gras
143,Wurzel::N,raiz,rót
144,Baum::N,árvore,tré
145,Stamm::N,tronco,stofn
146,Rinde::N,casca,börkur
147,Ast::N,ramo,grein
148,Zweig::N,galho,angi
149,Zweig::N,galho,kvistur
150,Blatt::N,folha,blað
151,Birke::N,bétula,birki
152,Kiefer[Baum]::N,pinheiro,fura
153,Weide[Baum]::N,salgueiro,víðir
154,Tanne::N,abeto,greni
155,Horn::N,corno,horn
156,Horn::N,chifre,horn
157,Feder::N,pena,fjöður
158,Fell::N,pele,skinn
159,Flügel::N,asa,vængur
160,Klaue::N,pata,kló
161,Kralle::N,unha,kló
162,Kralle::N,garra,kló
163,Schwanz::N,rabo,rófa
164,Schwanz::N,rabo,skott
165,Schwanz::N,cauda,rófa
166,Schwanz::N,cauda,skott
167,Ei::N,ovo,egg
168,Nest::N,ninho,hreiður
169,Bau::N,toca,greni
170,Bau::N,toca,bæli
171,Bau::N,covil,greni
172,Bau::N,covil,bæli
173,Tier::N,animal,dýr
174,Herde::N,rebanho,hjörð
175,Kuh::N,vaca,kýr
176,Bulle::N,touro,boli
177,Pferd::N,cavalo,hestur
178,Schaf::N,ovelha,kind
179,Schwein::N,porco,svín
180,Hund::N,cão,hundur
181,Katze::N,gata,köttur
182,Bär::N,urso,björn
183,Eichhörnchen::N,esquilo,íkorni
184,Elch::N,alce,elgur
185,Fuchs::N,raposa,refur
186,Hase::N,lebre,héri
187,Maus::N,rato,mús
188,Wolf::N,lobo,úlfur
189,Vogel::N,ave,fugl
190,Vogel::N,pássaro,fugl
191,Schwarm::N,bando,sægur
192,Schwarm::N,enxame,sægur
193,Huhn::N,galinha,hæna
194,Hahn::N,galo,hani
195,Gans::N,ganso,gæs
196,Adler::N,águia,örn
