,Concept_ID,myv,br
0,Auge::N,сельме,lagad
1,Ohr::N,пиле,skouarn
2,Nase::N,судо,fri
3,Mund::N,курго,genoù
4,Zahn::N,пей,dant
5,Zunge::N,кель,teod
6,Lippe::N,турва,muzell
7,Wange::N,чамабока,chot
8,Wange::N,чамаумарь,chot
9,Gesicht::N,чама,dremm
10,Stirn::N,коня,tal
11,Haar::N,черь,blev
12,Schnurrbart::N,ус,mourenn
13,Schnurrbart::N,муюк,mourenn
14,Bart::N,сакал,barv
15,Kinn::N,уло,groñj
16,Kiefer[Anatomie]::N,пейпакар,javed
17,Kiefer[Anatomie]::N,пейловажа,javed
18,Kehle::N,кирьгапарь,gouzoug
19,Hals::N,кирьга,gouzoug
20,Genick::N,човонь,choug
21,Kopf::N,пря,penn
22,Rücken::N,копорь,kein
23,Bauch::N,пеке,kof
24,Nabel::N,почо,begel
25,Busen::N,поте,bronn
26,Brust::N,меште,bruched
27,Schulter::N,лавтов,skoaz
28,Arm::N,кедь,brec'h
29,Ellenbogen::N,кенерепакарь,ilin
30,Hand::N,кедь,dorn
31,Handfläche::N,кедькуншка,palv
32,Handfläche::N,кедьлапушка,palv
33,Finger::N,сур,biz
34,Fingernagel::N,кенже,ivin
35,Nagel[Anatomie]::N,кенже,ivin
36,Zeh::N,пильге сур,biz-troad
37,Fuß::N,пильге,troad
38,Ferse::N,кочкаря,seul
39,Knie::N,эле,glin
40,Knie::N,эзне,glin
41,Knie::N,кумажа,glin
42,Oberschenkel::N,качо,morzhed
43,Bein::N,пильге,gar
44,Körper::N,рунго,korf
45,Haut::N,киське,kroc'hen
46,Blut::N,верь,gwad
47,Ader::N,сан,gwazhi
48,Sehne::N,коське сан,stir
49,Knochen::N,пакарь,askorn
50,Gehirn::N,удем,empenn
51,Herz::N,седей,kalon
52,Magen::N,пеке,stomog
53,Leber::N,максо,avu
54,Atem::N,лексема,anal
55,Atem::N,оймень таргсема,anal
56,Hunger::N,вачочи,naon
57,Träne::N,селведь,daer
58,Geschmack::N,тансть,blaz
59,Geruch::N,чине,c'hwezh
60,Schlaf::N,удома,kousked
61,Traum::N,он,hune
62,Himmel::N,менель,oabl
63,Sonne::N,чи,heol
64,Mond::N,ков,loar
65,Stern::N,теште,steredenn
66,Luft::N,кошт,aer
67,Wind::N,варма,avel
68,Welle::N,толкун,houlenn
69,Wasser::N,ведь,dour
70,Stein::N,кев,maen
71,Boden::N,мода,tachenn
72,Erde::N,мастор,douar
73,Staub::N,пуль,poultr
74,Rauch::N,качамо,moged
75,Funke::N,сятко,ful
76,Feuer::N,тол,tan
77,Licht::N,валдо,gouloù
78,Schatten::N,сулей,disheol
79,Schatten::N,сулейкс,disheol
80,Wetter::N,ушо,amzer
81,Nebel::N,сув,brumenn
82,Wolke::N,пель,koumoulenn
83,Regen::N,пиземс,glav
84,Schnee::N,лов,erc'h
85,Eis::N,эй,skorn
86,Frost::N,кельме,rev
87,Kälte::N,якшамо,yen
88,Hitze::N,пси,tommder
89,Raureif::N,лекш,frim
90,Regenbogen::N,пурьгинечирьке,gwareg-ar-glav
91,Regenbogen::N,пурьгинеёнкс,gwareg-ar-glav
92,Donner::N,пурьгине,kurun
93,Strömung::N,чудема,red
94,Strömung::N,чудевкс,red
95,Tropfen::N,петнявкс,bannac'h
96,Tropfen::N,петнявкс,takenn
97,Schaum::N,чов,spoum
98,Schmutz::N,рудаз,fank
99,See::N,эрьке,lenn
100,Sumpf::N,чей,gwern
101,Moor::N,чей,taouarc'heg
102,Wiese::N,луга,prad
103,Wald::N,вирь,koad
104,Hügel::N,губорь,torgenn
105,Hügel::N,пандыне,torgenn
106,Anhöhe::N,губорь,run
107,Anhöhe::N,пандыне,run
108,Berg::N,пандо,menez
109,Gipfel::N,пря,barr
110,Höhle::N,пещера,kav
111,Abhang::N,пандочама,naou
112,Quelle::N,ушодкс,feunteun
113,Bach::N,чудикерькс,gwazh
114,Fluss::N,лей,stêr
115,Ufer::N,чире,ribl
116,Küste::N,лейчире,aod
117,Festland::N,мода,douar
118,Meer::N,моря,mor
119,Bucht::N,усия,mor-bihan
120,Insel::N,усия,enez
121,Blume::N,цеця,bleunienn
122,Gras::N,тикше,geot
123,Wurzel::N,юр,gwrizienn
124,Wurzel::N,ундокс,gwrizienn
125,Baum::N,чувто,gwezenn
126,Stamm::N,рунго,kef
127,Rinde::N,суд,rusk
128,Rinde::N,керь,rusk
129,Ast::N,морго,barr
130,Zweig::N,тарад,bod
131,Blatt::N,лопа,delienn
132,Birke::N,килей,bezvenn
133,Kiefer[Baum]::N,пиче,pinenn
134,Weide[Baum]::N,каль,halegenn
135,Tanne::N,куз,sapenn
136,Horn::N,сюро,korn
137,Feder::N,толга,pluñv
138,Fell::N,пона,kreoñ
139,Flügel::N,сёлмо,askell
140,Klaue::N,кенже,skilf
141,Kralle::N,кенже,skilf
142,Schwanz::N,пуло,lost
143,Ei::N,ал,vi
144,Nest::N,пизэ,neizh
145,Bau::N,варя,douarenn
146,Bau::N,пизе,douarenn
147,Tier::N,ракша,loen
148,Herde::N,стада,tropell
149,Kuh::N,скал,buoc'h
150,Bulle::N,бука,tarv
151,Pferd::N,лишме,marc'h
152,Schaf::N,реве,dañvad
153,Schwein::N,туво,pemoc'h
154,Hund::N,пине,ki
155,Hund::N,киска,ki
156,Katze::N,псака,kazh
157,Bär::N,овто,arzh
158,Eichhörnchen::N,ур,gwiñver
159,Elch::N,сярдо,karv-dour
160,Fuchs::N,ривезь,louarn
161,Hase::N,нумоло,gad
162,Maus::N,чеерь,logodenn
163,Wolf::N,верьгиз,bleiz
164,Vogel::N,нармунь,labous
165,Schwarm::N,полк,nijad
166,Schwarm::N,стада,nijad
167,Huhn::N,сараз,yar
168,Hahn::N,атякш,kilhog
169,Gans::N,гала,gwazenn
170,Gans::N,мацей,gwazenn
171,Adler::N,куцькан,erer
172,Adler::N,тумоатякш,erer
173,Ente::N,яксярго,houad
174,Eule::N,корж,toud
175,Kranich::N,карго,garan
176,Krähe::N,варака,bran
177,Kuckuck::N,куко,koukoug
178,Schwan::N,локсей,alarc'h
179,Fisch::N,кал,pesk
180,Barsch::N,окунь,brell
181,Hecht::N,щука,beked
182,Schlange[Tier]::N,гуй,naer
183,Wurm::N,сукс,preñv
184,Spinne::N,шанжав,kevnidenn
185,Ameise::N,коткудав,merion
186,Laus::N,сий,laouenn
187,Mücke::N,сеське,moustik
188,Fliege::N,карво,kelienenn
189,Schmetterling::N,нимиляв,balafenn
190,Beere::N,умарь,hog
191,Apfel::N,умарь,aval
192,Pilz::N,панго,kabell-touseg
193,Zwiebel::N,чурька,ognonenn
194,Saat::N,видьметь,had
195,Korn::N,сюро,ed
196,Heu::N,тикше,foenn
197,Schale::N,кедь,peliadur
198,Schale::N,ваткавкс,peliadur
199,Grube::N,латко,
200,Falle::N,тувор,pech
201,Falle::N,кундамка,pech
202,Schlinge::N,килькш,krouglas
203,Spur::N,челькс,
204,Spur::N,пильгеки,
205,Asche::N,кулов,ludu
206,Dreck::N,рудаз,fank
207,Eisen::N,кшни,houarn
208,Gold::N,сырне,aour
209,Silber::N,сия,arc'hant
210,Kohle::N,сэдь,glaou
211,Kohle::N,уголия,glaou
212,Glas::N,сулика,gwer
213,Lehm::N,сёвонь,
214,Sand::N,човар,traezh
215,Mensch::N,ломань,den
216,Mann::N,аля,den
217,Mann::N,цёраломань,den
218,Frau::N,ава,maouez
219,Kind::N,эйкакш,bugel
220,Junge::N,цёрыне,paotr
221,Mädchen::N,тейтерне,plac'h
222,Familie::N,семия,familh
223,Großvater::N,покштя,tad-kozh
224,Großmutter::N,баба,mamm-gozh
225,Eltern::N,тетят-ават,kerent
226,Vater::N,тетя,tad
227,Mutter::N,ава,mamm
228,Sohn::N,цёра,mab
229,Tochter::N,тейтерь,merc'h
230,Bruder::N,леля,breur
231,Bruder::N,ялакс,breur
232,Schwester::N,сазор,c'hoar
233,Onkel::N,леля,eontr
234,Tante::N,патя,moereb
235,Ehemann::N,мирде,gwaz
236,Ehefrau::N,ни,gwreg
237,Freude::N,кеняркс,levenez
238,Gelächter::N,ракамо,c'hoarzherezh
239,Gelächter::N,пейдема,c'hoarzherezh
240,Glück::N,уцяска,chañs
241,Kummer::N,рискс,doan
242,Kummer::N,мелявкс,doan
243,Wunsch::N,мель,c'hoant
244,Wunsch::N,бажамо,c'hoant
245,Lust::N,бажамо,c'hoant
246,Geist::N,ойме,spered
247,Gedanke::N,мель,soñj
248,Gedächtnis::N,мель,eñvor
249,Verstand::N,прев,skiant
250,Sinn::N,толк,ster
251,Sinn::N,смысла,ster
252,Grund::N,тувтал,kaoz
253,Wahrheit::N,видечи,gwirionez
254,Gespräch::N,кортнема,kaozeadenn
255,Märchen::N,ёвкс,kaoz korriganez
256,Erzählung::N,ёвтнема,kontadenn
257,Nachricht::N,куля,keloù
258,Neuigkeit::N,куля,kelaouenn
259,Name::N,лем,anv
260,Rätsel::N,содамоёвкс,divinatez
261,Rede::N,кортамо,diskour
262,Sprache::N,кель,yezh
263,Stimme::N,ваигель,mouezh
264,Wort::N,вал,ger
265,Zeichen::N,теште,sin
266,Ruf::N,тердема,galv
267,Lärm::N,шалнома,trouz
268,Laut::N,вайгель,
