,Concept_ID,fr,av
0,Auge::N,œil,
1,Ohr::N,oreille,гӏин
2,Nase::N,nez,мегӏер
3,Mund::N,bouche,кӏал
4,Zahn::N,dent,гӏус
5,Zunge::N,langue,мацӏ
6,Lippe::N,lèvre,кӏветӏ
7,Wange::N,joue,гӏоно
8,Gesicht::N,face,гьумер
9,Gesicht::N,visage,гьумер
10,Stirn::N,front,нодо
11,Haar::N,cheveu,рас
12,Schnurrbart::N,moustache,михъ
13,Bart::N,barbe,мегеж
14,Kinn::N,menton,нилъу
15,Kiefer[Anatomie]::N,mâchoire,чанагъ
16,Kehle::N,gorge,щекъер
17,Hals::N,cou,габур
18,Genick::N,nuque,гъванща
19,Kopf::N,tête,бетӏер
20,Rücken::N,dos,мугъ
21,Bauch::N,ventre,чехь
22,Nabel::N,nombril,цӏину
23,Busen::N,sein,керен
24,Brust::N,poitrine,керен
25,Schulter::N,épaule,гъажазубетӏер
26,Arm::N,bras,гъеж
27,Ellenbogen::N,coude,гӏункӏрукь
28,Hand::N,main,квер
29,Handfläche::N,paume,огъохъат
30,Handfläche::N,paume,жанисахъат
31,Finger::N,doigt,килищ
32,Fingernagel::N,ongle,малъ
33,Nagel[Anatomie]::N,ongle,малъ
34,Zeh::N,orteil,килищ
35,Zeh::N,doigt de pied,килищ
36,Fuß::N,pied,хӏетӏ
37,Fuß::N,pied,хӏетӏе
38,Ferse::N,talon,эгъе
39,Knie::N,genou,наку
40,Oberschenkel::N,cuisse,мачӏ
41,Bein::N,jambe,бох
42,Körper::N,corps,къаркъала
43,Haut::N,peau,тӏом
44,Blut::N,sang,би
45,Ader::N,veine,бидурихь
46,Sehne::N,tendon,
47,Knochen::N,os,ракьа
48,Gehirn::N,cerveau,гӏадалнах
49,Herz::N,cœur,ракӏ
50,Magen::N,estomac,кванирукъ
51,Leber::N,foie,тӏул
52,Atem::N,haleine,хӏухь
53,Hunger::N,faim,ракъи
54,Träne::N,larme,магӏу
55,Geschmack::N,goût,тату
56,Geschmack::N,saveur,тату
57,Geruch::N,odeur,махӏ
58,Schlaf::N,sommeil,макьу
59,Traum::N,songe,макьу
60,Himmel::N,ciel,зоб
61,Sonne::N,soleil,бакъ
62,Mond::N,lune,моцӏ
63,Stern::N,étoile,цӏва
64,Luft::N,air,гьава
65,Wind::N,vent,гьури
66,Welle::N,vague,карачел
67,Wasser::N,eau,лъим
68,Stein::N,pierre,гьецӏо
69,Boden::N,sol,ракь
70,Boden::N,terrain,ракь
71,Erde::N,terre,ракь
72,Erde::N,terre,дуниял
73,Staub::N,poussière,хӏур
74,Rauch::N,fumée,кӏкӏуй
75,Funke::N,étincelle,
76,Feuer::N,feu,цӏа
77,Licht::N,lumière,канлъи
78,Schatten::N,ombre,рагӏад
79,Wetter::N,temps,гьава-бакъ
80,Nebel::N,brume,гӏодобнакӏкӏ
81,Nebel::N,brouillard,гӏодобнакӏкӏ
82,Wolke::N,nuage,накӏкӏ
83,Regen::N,pluie,цӏад
84,Schnee::N,neige,гӏазу
85,Eis::N,glace,цӏер
86,Frost::N,gel,замгьари
87,Frost::N,gelée,замгьари
88,Kälte::N,froid,квач
89,Hitze::N,chaleur,багӏари
90,Raureif::N,givre,мартӏ
91,Regenbogen::N,arc-en-ciel,нур
92,Regenbogen::N,arc-en-ciel,чамбара
93,Donner::N,tonnerre,гъугъай
94,Donner::N,tonnerre,гъугъади
95,Strömung::N,courant,чвахи
