,Concept_ID,hr,cy
0,Auge::N,oko,llygad
1,Ohr::N,uho,clust
2,Nase::N,nos,trwyn
3,Mund::N,usta,ceg
4,Zahn::N,zub,dant
5,Zunge::N,jezik,tafod
6,Lippe::N,usna,gwefus
7,Wange::N,obraz,boch
8,Gesicht::N,lice,wyneb
9,Stirn::N,čelo,talcen
10,Haar::N,kosa,blew
11,Schnurrbart::N,brkovi,mwstas
12,Bart::N,brada,barf
13,Kinn::N,brada,gên
14,Kinn::N,podbradak,gên
15,Kiefer[Anatomie]::N,čeljust,gên
16,Kehle::N,grlo,gwddf
17,Hals::N,vrat,gwddf
18,Genick::N,zatiljak,gwar
19,Genick::N,zatiljak,gwegil
20,Kopf::N,glava,pen
21,Rücken::N,leđa,cefn
22,Rücken::N,hrbat,cefn
23,Bauch::N,trbuh,bol
24,Nabel::N,pupak,bogail
25,Busen::N,sisa,bron
26,Busen::N,njedra,bron
27,Brust::N,prsa,brest
28,Schulter::N,rame,ysgwydd
29,Schulter::N,pleći,ysgwydd
30,Arm::N,ruka,braich
31,Ellenbogen::N,lakat,penelin
32,Hand::N,ruka,llaw
33,Handfläche::N,dlan,palf
34,Finger::N,prst,bys
35,Fingernagel::N,nokat,ewin
36,Nagel[Anatomie]::N,nokat,ewin
37,Zeh::N,nozni prst,bys troed
38,Fuß::N,noga,troed
39,Fuß::N,stopalo,troed
40,Ferse::N,peta,sawdl
41,Knie::N,koljeno,glin
42,Oberschenkel::N,bedro,clun
43,Bein::N,noga,coes
44,Körper::N,tijelo,corff
45,Haut::N,put,croen
46,Haut::N,koža,croen
47,Blut::N,krv,gwaed
48,Ader::N,žila,gwythïen
49,Sehne::N,tetiva,gewyn
50,Knochen::N,kost,asgwrn
51,Herz::N,srce,calon
52,Magen::N,stomak,cylla
53,Magen::N,stomak,stumog
54,Magen::N,želudac,cylla
55,Magen::N,želudac,stumog
56,Leber::N,jetra,iau
57,Atem::N,dah,anadl
58,Hunger::N,glad,newyn
59,Träne::N,suza,deigryn
60,Geschmack::N,ukus,cyflas
61,Geruch::N,njuh,aroglau
62,Geruch::N,miris,aroglau
63,Schlaf::N,san,cwsg
64,Traum::N,san,breuddwyd
65,Himmel::N,nebo,awyr
66,Sonne::N,sunce,haul
67,Mond::N,mjesec,lleuad
68,Stern::N,zvijezda,seren
69,Luft::N,zrak,awyr
70,Wind::N,vjetar,gwynt
71,Welle::N,val,ton
72,Welle::N,talas,ton
73,Wasser::N,voda,dŵr
74,Stein::N,kamen,carreg
75,Boden::N,tlo,llawr
76,Boden::N,zemlja,llawr
77,Erde::N,zemlja,pridd
78,Staub::N,prah,llwch
79,Staub::N,prašina,llwch
80,Rauch::N,dim,mwg
81,Funke::N,iskra,gwreichioni
82,Funke::N,varnica,gwreichioni
83,Feuer::N,vatra,tân
84,Licht::N,svjetlo,golau
85,Schatten::N,hlad,cysgod
86,Schatten::N,sjena,cysgod
87,Wetter::N,vrijeme,tywydd
88,Nebel::N,magla,niwl
89,Wolke::N,oblak,cwmwl
90,Regen::N,kiša,glaw
91,Schnee::N,snijeg,ôd
92,Schnee::N,snijeg,eira
93,Eis::N,led,iâ
94,Frost::N,mraz,rhew
95,Kälte::N,studen,oerni
96,Kälte::N,studen,annwyd
97,Kälte::N,hladnoća,oerni
98,Kälte::N,hladnoća,annwyd
99,Hitze::N,vrućina,gwres
100,Raureif::N,inje,barrug
101,Regenbogen::N,duga,enfys
102,Donner::N,grom,tyrfau
103,Donner::N,grmljavina,tyrfau
104,Strömung::N,struja,cerrynt
105,Strömung::N,strujanje,cerrynt
106,Tropfen::N,kap,dafn
107,Tropfen::N,kap,diferyn
108,Tropfen::N,kaplja,dafn
109,Tropfen::N,kaplja,diferyn
110,Schaum::N,pjena,ewyn
111,Schmutz::N,nečistoća,baw
112,Schmutz::N,nečistoća,budreddi
113,Schmutz::N,prljavština,baw
114,Schmutz::N,prljavština,budreddi
115,See::N,jezero,llyn
116,Sumpf::N,bara,cors
117,Moor::N,močvara,rhos
118,Wiese::N,livada,dôl
119,Wald::N,šuma,coedwig
120,Hügel::N,brijeg,bryn
121,Hügel::N,brežuljak,bryn
122,Anhöhe::N,uzvišica,bryn
123,Berg::N,brdo,mynydd
124,Gipfel::N,vrh,copa
125,Höhle::N,pećina,ogof
126,Höhle::N,spilja,ogof
127,Abhang::N,obronak,llethr
128,Abhang::N,nizbrdica,llethr
129,Quelle::N,izvor,tarddiad
130,Quelle::N,izvor,ffynhonnell
131,Quelle::N,vrelo,tarddiad
132,Quelle::N,vrelo,ffynhonnell
133,Bach::N,potok,nant
134,Bach::N,potok,afonig
135,Bach::N,potok,cornant
136,Fluss::N,rijeka,afon
137,Ufer::N,obala,glan
138,Küste::N,obala,traeth
139,Küste::N,obala,arfordir
140,Küste::N,morska obala,traeth
141,Küste::N,morska obala,arfordir
142,Festland::N,kopno,tir
143,Meer::N,more,môr
144,Bucht::N,zaliv,bae
145,Insel::N,ada,ynys
146,Insel::N,otok,ynys
147,Blume::N,cvijet,blodyn
148,Gras::N,trava,glaswellt
149,Wurzel::N,korijen,gwreiddyn
150,Baum::N,drvo,coeden
151,Baum::N,stablo,coeden
152,Stamm::N,deblo,colfen
153,Stamm::N,deblo,boncyff
154,Stamm::N,stablo,colfen
155,Stamm::N,stablo,boncyff
156,Rinde::N,kora,rhisgl
157,Ast::N,grana,cangen
158,Zweig::N,grana,cainc
159,Zweig::N,grana,cangen
160,Blatt::N,list,deilen
161,Birke::N,breza,bedwen
162,Kiefer[Baum]::N,bor,pinwydden
163,Weide[Baum]::N,iva,helygen
164,Weide[Baum]::N,vŕba,helygen
165,Tanne::N,jela,ffynidwydden
166,Horn::N,rog,corn
167,Feder::N,pero,plufyn
168,Fell::N,koža,ffwr
169,Flügel::N,krilo,adain
170,Klaue::N,papak,crafanc
171,Kralle::N,pandža,ewin
172,Schwanz::N,rep,cwt
173,Schwanz::N,rep,cynffon
174,Ei::N,jaje,wy
175,Nest::N,gnijezdo,nyth
176,Bau::N,jazbina,ffau
177,Tier::N,životinja,anifail
178,Herde::N,krdo,praidd
179,Herde::N,krdo,diadell
180,Herde::N,stado,praidd
181,Herde::N,stado,diadell
182,Kuh::N,krava,buwch
183,Bulle::N,bik,tarw
184,Pferd::N,konj,ceffyl
185,Schaf::N,ovca,dafad
186,Schwein::N,svinja,mochyn
187,Hund::N,pas,ci
188,Hund::N,pseto,ci
189,Katze::N,mačka,cath
190,Bär::N,medvjed,arth
191,Eichhörnchen::N,vjeverica,gwiwer
192,Elch::N,los,elc
193,Fuchs::N,lisica,cadno
194,Hase::N,zec,ysgyfarnog
195,Maus::N,miš,llygoden
196,Wolf::N,vuk,blaidd
197,Wolf::N,kurjak,blaidd
198,Vogel::N,ptica,aderyn
199,Schwarm::N,roj,haid
200,Schwarm::N,jato,haid
201,Huhn::N,kokoš,cyw
202,Hahn::N,kokot,ceiliog
203,Hahn::N,pijevac,ceiliog
204,Gans::N,guska,gŵydd
205,Adler::N,orao,eryr
206,Ente::N,patka,hwyad
207,Eule::N,sova,tylluan
208,Kranich::N,ždral,garan
209,Kranich::N,ždral,crychydd
210,Krähe::N,vrana,brân
211,Kuckuck::N,kukavica,cog
212,Kuckuck::N,kukavica,cwcw
213,Schwan::N,labud,alarch
214,Fisch::N,riba,pysgod
215,Barsch::N,grgeč,draenog
216,Hecht::N,štuka,penhwyad
217,Schlange[Tier]::N,guja,neidr
218,Schlange[Tier]::N,zmija,neidr
219,Wurm::N,crv,abwydyn
220,Wurm::N,crv,pryf genwair
221,Spinne::N,pauk,cor
222,Spinne::N,pauk,pryf copyn
223,Ameise::N,mrav,morgrugyn
224,Laus::N,uš,lleuen
225,Mücke::N,komarac,gwybedyn
