,Concept_ID,ko,lbe
0,Auge::N,눈,я
1,Ohr::N,귀,вичӏи
2,Nase::N,코,май
3,Mund::N,입,кьацӏ
4,Zahn::N,이,ккарччи
5,Zunge::N,혀,маз
6,Lippe::N,입술,мурччи
7,Wange::N,뺨,чӏав
8,Gesicht::N,얼굴,лажин
9,Stirn::N,이마,ненттабакӏ
10,Haar::N,털,чӏара
11,Schnurrbart::N,윗수몀,ссирссилтту
12,Schnurrbart::N,코밑수염,ссирссилтту
13,Bart::N,수엄,чӏири
14,Kinn::N,아래턱,лунттубакӏ
15,Kiefer[Anatomie]::N,턱,ххинчулул
16,Kehle::N,인후,кьакьари
17,Hals::N,목,ссурссу
18,Genick::N,먹덜이,махъабакӏ
19,Kopf::N,머리,бакӏ
20,Rücken::N,든,ттиликӏ
21,Bauch::N,배,лякьа
22,Nabel::N,배꼽,цӏумуккутӏ
23,Busen::N,가슴속,ккукку
24,Brust::N,가슴,хъазам
25,Schulter::N,어깨,хъачӏ
26,Arm::N,팔,ка
27,Ellenbogen::N,팔쿰치,ссюрхъ
28,Hand::N,손,бартка
29,Handfläche::N,손바닥,хъат
30,Handfläche::N,손바닥,битӏянхъ
31,Finger::N,속가락,кӏисса
32,Fingernagel::N,손톱,михь
33,Nagel[Anatomie]::N,손톱,михь
34,Zeh::N,발가락,кӏисса
35,Fuß::N,발,чӏанччан
36,Ferse::N,발꿈치,никъа
37,Knie::N,무릎,ник
38,Oberschenkel::N,허벅다리,жира
39,Bein::N,다리,ччан
40,Körper::N,구간,чурх
41,Haut::N,살갗,бурчу
42,Blut::N,피,оь
43,Ader::N,정맥,тунну
44,Sehne::N,현,хьхьа
45,Knochen::N,뼈,ттаркӏ
46,Gehirn::N,뇌,ня
47,Gehirn::N,뇌수,ня
48,Herz::N,염통,дакӏ
49,Herz::N,염통,къюкӏ
50,Magen::N,위,лякьа
51,Leber::N,간,
52,Atem::N,기식,ссихӏ ласаву
53,Atem::N,기식,ссихӏ бигьаву
54,Hunger::N,공복,ккаши
55,Träne::N,눈물,макь
56,Geschmack::N,기호,тӏин
57,Geschmack::N,기호,тӏааьн
58,Geruch::N,냄새,кьанкь
59,Schlaf::N,수면,шану
60,Traum::N,쿰,макӏру
61,Himmel::N,하늘,ссав
62,Sonne::N,해,баргъ
63,Mond::N,달,барз
64,Stern::N,별,цӏуку
65,Luft::N,동준,гьава
66,Luft::N,가스채,гьава
67,Wind::N,바람,марч
68,Welle::N,물결,щатӏи
69,Wasser::N,물,щин
70,Stein::N,돌,чару
71,Boden::N,바닥,аьрщи
72,Erde::N,흙,аьрщи
73,Staub::N,먼지,ххит
74,Rauch::N,연기,пуркӏу
75,Funke::N,불티,пиягь
76,Feuer::N,불,цӏу
77,Licht::N,불,чани
78,Schatten::N,어스레함,ххют
79,Wetter::N,기상,гьава
80,Nebel::N,안개,шархь ттурлу
81,Wolke::N,구름,ттурлу
82,Regen::N,비,гъарал
83,Schnee::N,눈,марххала
84,Eis::N,얼음,микӏ
85,Frost::N,혹한,дяркъу
86,Frost::N,혹한,замгьар
87,Kälte::N,추위,дяркъу
88,Kälte::N,차가움,дяркъу
89,Hitze::N,고온,кӏиришиву
90,Hitze::N,더위,кӏиришиву
91,Regenbogen::N,무지개,ссурул ккуртта
92,Donner::N,뇌명,къув
93,Strömung::N,유동,экьинанаву
94,Tropfen::N,물방울,кӏунтӏ
95,Schaum::N,포말,хьама
96,Schmutz::N,때,кьяркьи
97,See::N,호수,бяр
98,Sumpf::N,습지,кунцӏа
99,Moor::N,저습지,
100,Wiese::N,목초지,кьан
