,Concept_ID,kn,tr
0,Auge::N,ಕಣ್ಣು,göz
1,Ohr::N,ಕಿವಿ,kulak
2,Nase::N,ಮೂಗು,burun
3,Mund::N,ಬಾಯಿ,ağız
4,Zahn::N,ಹಲ್ಲು,diş
5,Zunge::N,ನಾಲಿಗೆ,dil
6,Lippe::N,ತುಟಿ,dudak
7,Wange::N,ಗಲ್ಲ,yanak
8,Gesicht::N,ಮುಖ,yüz
9,Stirn::N,ಹಣೆ,alın
10,Haar::N,ಕೂದಲು,saç
11,Schnurrbart::N,ಮೀಸೆ,bıyık
12,Bart::N,ಗಡ್ಡ,sakal
13,Kinn::N,ಗದ್ದ,çene
14,Kiefer[Anatomie]::N,ದವಡೆ,çene
15,Kehle::N,ಗಂಟಲು,boğaz
16,Hals::N,ಕೊರಳು,boyun
17,Hals::N,ಕೊರಳು,gerdan
18,Genick::N,ಹಿಂಗತ್ತು,ense
19,Kopf::N,ತಲೆ,baş
20,Kopf::N,ತಲೆ,kafa
21,Rücken::N,ಬೆನ್ನು,arka
22,Bauch::N,ಹೊಟ್ಟೆ,karın
23,Nabel::N,ಹೊಕ್ಕುಳು,göbek
24,Busen::N,ಸ್ತನ,koyun
25,Brust::N,ಎದೆ,göğüs
26,Schulter::N,ಭುಜ,omuz
27,Arm::N,ತೋಳು,kol
28,Ellenbogen::N,ಮೊಣಕೈ,dirsek
29,Hand::N,ಕೈ,el
30,Handfläche::N,ಅಂಗೈ,avuç
31,Handfläche::N,ಅಂಗೈ,el ayası
32,Finger::N,ಕೈಬೆರಳು,parmak
33,Fingernagel::N,ಉಗುರು,el tırnağı
34,Nagel[Anatomie]::N,ಉಗುರು,tırnak
35,Zeh::N,ಕಾಲ್ಬೆರಳು,ayak parmağı
36,Fuß::N,ಪಾದ,ayak
37,Ferse::N,ಹಿಮ್ಮಡಿ,topuk
38,Knie::N,ಮಂಡಿ,diz
39,Oberschenkel::N,ತೊಡೆ,uyluk
40,Bein::N,ಕಾಲು,bacak
41,Körper::N,ದೇಹ,vücut
42,Haut::N,ಚರ್ಮ,cilt
43,Blut::N,ರಕ್ತ,kan
44,Ader::N,ನರ,damar
45,Sehne::N,ನರ,kiriş
46,Knochen::N,ಮೂಳೆ,kemik
47,Gehirn::N,ಮಿದುಳು,beyin
48,Herz::N,ಹೃದಯ,kalp
