,Concept_ID,ca,sk
0,Auge::N,ull,oko
1,Ohr::N,orella,ucho
2,Nase::N,nas,nos
3,Mund::N,boca,ústa
4,Zahn::N,dent,zub
5,Zunge::N,llēngua,jazyk
6,Lippe::N,llavi,pera
7,Wange::N,galta,líce
8,Gesicht::N,cara,tvár
9,Gesicht::N,cara,obličaj
10,Stirn::N,front,čelo
11,Haar::N,cabēll,vlas
12,Schnurrbart::N,bigoti,fúzy
13,Bart::N,barba,brada
14,Kinn::N,mentó,brada
15,Kinn::N,barbeta,brada
16,Kiefer[Anatomie]::N,queix,čeľusť
17,Kiefer[Anatomie]::N,mandíbula,čeľusť
18,Kehle::N,gola,hrdlo
19,Kehle::N,gorja,hrdlo
20,Hals::N,coll,krk
21,Genick::N,nuca,väzy
22,Kopf::N,cap,hlava
23,Rücken::N,esquena,chrbát
24,Bauch::N,panxa,brucho
25,Nabel::N,llombrígol,pupok
26,Busen::N,pit,prsia
27,Busen::N,mama,prsia
28,Brust::N,pit,hruď
29,Schulter::N,espatlla,plece
30,Arm::N,braç,rameno
31,Ellenbogen::N,colze,lakeť
32,Hand::N,mà,ruka
33,Handfläche::N,palma,dlaň
34,Finger::N,dit,prst
35,Fingernagel::N,ungla,necht
36,Nagel[Anatomie]::N,ungla,necht
37,Zeh::N,dit del peu,prst na nohe
38,Fuß::N,peu,noha
39,Ferse::N,taló,päta
40,Knie::N,genoll,koleno
41,Oberschenkel::N,cuixa,stehno
42,Bein::N,cama,noha
43,Körper::N,cos,telo
44,Haut::N,pell,koža
45,Blut::N,sang,krv
46,Ader::N,vena,žila
47,Sehne::N,tendó,šľacha
48,Knochen::N,os,kosť
49,Gehirn::N,cervell,mozog
50,Herz::N,cor,srdce
51,Magen::N,estómac,žalúdok
52,Leber::N,fetge,pečeň
53,Atem::N,alè,dych
54,Atem::N,hàlit,dych
55,Hunger::N,fam,hlad
56,Hunger::N,gana,hlad
57,Träne::N,llàgrima,slza
58,Geschmack::N,gust,chuť
59,Geschmack::N,sabor,chuť
60,Geruch::N,olor,pach
61,Schlaf::N,son,spánok
62,Traum::N,somni,sen
63,Himmel::N,celm,nebo
64,Sonne::N,sol,slnko
65,Mond::N,lluna,mesiac
66,Stern::N,estel,hviezda
67,Stern::N,estrella,hviezda
68,Luft::N,aire,vzduch
69,Wind::N,vent,vietor
70,Welle::N,ona,vlna
71,Wasser::N,āigua,voda
72,Stein::N,pedra,kameň
73,Boden::N,sòl,zem
74,Boden::N,sòl,pôda
75,Erde::N,terra,zem
76,Staub::N,pols,prach
77,Rauch::N,fum,dym
78,Funke::N,guspira,iskra
79,Funke::N,centella,iskra
80,Feuer::N,foc,oheň
81,Licht::N,llum,svetlo
82,Schatten::N,ombra,tieň
83,Wetter::N,temps,počasie
84,Nebel::N,boira,hmla
85,Wolke::N,núvol,oblak
86,Wolke::N,núvol,mračno
87,Regen::N,pluja,dážď
88,Schnee::N,neu,sneh
89,Eis::N,gel,ľad
90,Eis::N,glaç,ľad
91,Frost::N,glaçada,mráz
92,Kälte::N,fred,zima
93,Kälte::N,fred,chlad
94,Hitze::N,calor,horúčava
95,Raureif::N,gebre,srieň
96,Raureif::N,gebre,inovať
97,Regenbogen::N,arc iris,dúha
98,Donner::N,tro,hrom
99,Strömung::N,corrent,prúdenie
100,Tropfen::N,gota,kvapka
101,Schaum::N,escuma,pena
102,Schmutz::N,brutícia,špina
103,Schmutz::N,brutícia,nečistota
104,See::N,llac,jazero
105,Sumpf::N,pantà,bahno
106,Moor::N,pantà,močiar
107,Wiese::N,prat,lúka
108,Wiese::N,prada,lúka
109,Wald::N,bosc,les
110,Wald::N,bosc,hora
111,Hügel::N,puig,vŕšok
112,Hügel::N,pujol,vŕšok
113,Anhöhe::N,turó,výšina
114,Anhöhe::N,turó,vyvýšenina
115,Berg::N,muntanya,hora
116,Gipfel::N,cim,vrchol
117,Höhle::N,cova,jaskyňa
118,Abhang::N,coster,úbočie
119,Quelle::N,font,prameň
120,Bach::N,riera,potok
121,Fluss::N,riu,rieka
122,Ufer::N,riba,breh
123,Küste::N,costa,pobrežie
124,Festland::N,terra ferma,pevnina
125,Meer::N,mar,more
126,Bucht::N,cala,záliv
127,Bucht::N,cala,zátoka
128,Bucht::N,badia,záliv
129,Bucht::N,badia,zátoka
130,Insel::N,illa,ostrov
131,Blume::N,flor,kvet
132,Blume::N,flor,kvetina
133,Gras::N,herba,tráva
134,Wurzel::N,rel,koreň
135,Wurzel::N,arrel,koreň
136,Baum::N,arbre,strom
137,Stamm::N,tronc,kmeň
138,Rinde::N,escorça,kôra
139,Ast::N,branca,konár
140,Zweig::N,ram,vetva
141,Blatt::N,fulla,list
142,Birke::N,bedoll,breza
143,Kiefer[Baum]::N,pi,sosna
144,Kiefer[Baum]::N,pi,borovica
145,Weide[Baum]::N,salze,vŕba
146,Tanne::N,avet,jedľa
147,Horn::N,corn,roh
148,Horn::N,banya,roh
149,Feder::N,ploma,pero
150,Fell::N,pell,koža
151,Fell::N,pell,kožušina
152,Flügel::N,ala,krídlo
153,Klaue::N,urpa,paznecht
154,Kralle::N,grapa,pazúr
155,Schwanz::N,cua,chvost
156,Ei::N,ou,vajce
157,Ei::N,ou,vajíčko
158,Nest::N,niu,hniezdo
159,Bau::N,cau,nora
160,Tier::N,animāl,zviera
161,Herde::N,ramat,stádo
162,Kuh::N,vaca,krava
163,Bulle::N,toro,býk
164,Pferd::N,cavāll,kôň
165,Schaf::N,be,ovca
166,Schaf::N,ovella,ovca
167,Schwein::N,bacó,sviňa
168,Hund::N,ca,pes
169,Hund::N,gos,pes
170,Katze::N,gat,mačka
171,Bär::N,ós,medveď
172,Eichhörnchen::N,esquirol,veverička
173,Elch::N,ant,los
174,Fuchs::N,guilla,líška
175,Hase::N,llebre,zajac
176,Maus::N,ratolí,myš
177,Wolf::N,llop,vlk
178,Vogel::N,au,vták
179,Vogel::N,ocēll,vták
180,Schwarm::N,bandada,roj
181,Huhn::N,gallina,kurča
182,Huhn::N,gallina,sliepka
183,Hahn::N,gall,kohút
184,Gans::N,oca,hus
185,Adler::N,àguila,orol
186,Ente::N,ànec,kačka
187,Ente::N,ànec,kačica
188,Eule::N,òliba,sova
189,Eule::N,mussol,sova
190,Kranich::N,grua,žeriav
191,Krähe::N,cornella,vrana
192,Kuckuck::N,cucut,kukučka
193,Schwan::N,cigne,labuť
