,Concept_ID,mn,is
0,Auge::N,нүд,auga
1,Ohr::N,чих,eyra
2,Nase::N,хамар,nef
3,Mund::N,ам,munnur
4,Zahn::N,шүд,tönn
5,Zunge::N,хэл,tunga
6,Lippe::N,уруул,vör
7,Wange::N,хацар,kinn
8,Wange::N,хацар,vangi
9,Gesicht::N,царай,andlit
10,Gesicht::N,нүүр,andlit
11,Stirn::N,дух,enni
12,Haar::N,үс,hár
13,Schnurrbart::N,дээд сахал,yfirskegg
14,Schnurrbart::N,живэр сахал,yfirskegg
15,Bart::N,сахал,skegg
16,Kinn::N,эрүү,haka
17,Kiefer[Anatomie]::N,эрүү,kjálki
18,Kiefer[Anatomie]::N,эрүү,skoltur
19,Kehle::N,хоолой,kverk
20,Hals::N,хүзүү,háls
21,Genick::N,шил,hnakki
22,Genick::N,хүзүү,hnakki
23,Kopf::N,толгой,höfuð
24,Rücken::N,ар,hryggur
25,Rücken::N,нуруу,hryggur
26,Bauch::N,хэвлий,kviður
27,Bauch::N,гэдэс,kviður
28,Nabel::N,хүйс,nafli
29,Busen::N,хөх,barmur
30,Brust::N,цээж,brjóst
31,Schulter::N,мөр,öxl
32,Schulter::N,бугалга,öxl
33,Arm::N,гар,armur
34,Ellenbogen::N,тохой,olnbogi
35,Hand::N,гар,hönd
36,Hand::N,алга,hönd
37,Handfläche::N,алга,lófi
38,Finger::N,хуруу,fingur
39,Fingernagel::N,хурууны хумс,fingurnögl
40,Nagel[Anatomie]::N,хумс,nögl
41,Zeh::N,хуруу,tá
42,Fuß::N,хөл,fótur
43,Ferse::N,өсгий,hæll
44,Knie::N,өвдөг,kné
45,Oberschenkel::N,гуя,læri
46,Bein::N,хөл,fótleggur
47,Körper::N,бие,búkur
48,Körper::N,бие,líkami
49,Haut::N,арьс,húð
50,Haut::N,арьс,skinn
51,Blut::N,цус,blóð
52,Ader::N,судас,æð
53,Sehne::N,бүлх,sin
54,Sehne::N,шандас,sin
55,Knochen::N,яс,bein
56,Gehirn::N,тархи,heili
57,Herz::N,зүрх,hjarta
58,Magen::N,ходоод,magi
59,Leber::N,элэг,lifur
60,Atem::N,амьсгаа,andi
61,Atem::N,амьсгаа,andardráttur
62,Hunger::N,өлсгөлөн,hungur
63,Träne::N,нулимс,tár
64,Geschmack::N,амт,smekkur
65,Geruch::N,үнэр,lykt
66,Schlaf::N,нойр,svefn
67,Traum::N,зүүд,draumur
68,Himmel::N,тэнгэр,himinn
69,Himmel::N,огторгуй,himinn
70,Sonne::N,нар,sól
71,Mond::N,сар,tungl
72,Stern::N,од,stjarna
73,Luft::N,агаар,loft
74,Wind::N,салхи,vindur
75,Welle::N,долгио,alda
76,Welle::N,долгио,bylgja
77,Welle::N,давалгаа,alda
78,Welle::N,давалгаа,bylgja
79,Wasser::N,ус,vatn
80,Stein::N,чулуу,steinn
81,Boden::N,хөрс,botn
82,Erde::N,газар,jörð
83,Erde::N,шороо,jörð
84,Staub::N,тоос,ryk
85,Staub::N,тоос,duft
86,Rauch::N,утаа,reykur
87,Funke::N,оч,neisti
88,Feuer::N,гал,eldur
89,Licht::N,гэрэл,ljós
90,Licht::N,гэгээ,ljós
91,Schatten::N,сүүдэр,skuggi
92,Wetter::N,тэнгэр,veður
93,Wetter::N,цаг уур,veður
94,Nebel::N,будан,þoka
95,Wolke::N,үүл,ský
96,Regen::N,бороо,regn
97,Schnee::N,цас,snjór
98,Eis::N,мөс,ís
99,Frost::N,хүйт,frost
100,Kälte::N,хүйт,kuldi
101,Hitze::N,халуун,hiti
102,Raureif::N,цан,hrím
