,Concept_ID,av,xal
0,Ohr::N,гӏин,чикн
1,Nase::N,мегӏер,хамр
2,Mund::N,кӏал,амн
3,Zahn::N,гӏус,шүдн
4,Zunge::N,мацӏ,келн
5,Lippe::N,кӏветӏ,урл
6,Wange::N,гӏоно,халх
7,Gesicht::N,гьумер,нүр
8,Stirn::N,нодо,маңна
9,Haar::N,рас,үсн
10,Schnurrbart::N,михъ,сахл
11,Bart::N,мегеж,сахл
12,Bart::N,мегеж,өргнә сахл
13,Kinn::N,нилъу,өргн
14,Kiefer[Anatomie]::N,чанагъ,өргн
15,Kehle::N,щекъер,хол
16,Hals::N,габур,күзүн
17,Genick::N,гъванща,гиҗг
18,Kopf::N,бетӏер,толһа
19,Rücken::N,мугъ,нурһн
20,Bauch::N,чехь,гесн
21,Nabel::N,цӏину,киисн
22,Busen::N,керен,көкн
23,Brust::N,керен,чееҗ
24,Schulter::N,гъажазубетӏер,ээм
25,Arm::N,гъеж,һар
26,Ellenbogen::N,гӏункӏрукь,тоха
27,Hand::N,квер,баһлцг
28,Handfläche::N,огъохъат,альхн
29,Handfläche::N,жанисахъат,альхн
30,Finger::N,килищ,хурһн
31,Finger::N,килищ,һарин хурһн
32,Fingernagel::N,малъ,хумсн
33,Nagel[Anatomie]::N,малъ,хумсн
34,Zeh::N,килищ,хурһн
35,Zeh::N,килищ,көлин хурһн
36,Fuß::N,хӏетӏ,тавг
37,Fuß::N,хӏетӏе,тавг
38,Ferse::N,эгъе,өскә
39,Knie::N,наку,өвдг
40,Oberschenkel::N,мачӏ,һуй
41,Bein::N,бох,көл
42,Körper::N,къаркъала,махмуд
43,Haut::N,тӏом,арсн
44,Blut::N,би,цусн
45,Ader::N,бидурихь,судцн
46,Knochen::N,ракьа,ясн
47,Gehirn::N,гӏадалнах,экн
48,Herz::N,ракӏ,зүркн
49,Magen::N,кванирукъ,гесн
50,Leber::N,тӏул,элкн
51,Atem::N,хӏухь,әмсхл
52,Hunger::N,ракъи,харһнлһн
53,Träne::N,магӏу,нульмсн
54,Geschmack::N,тату,амтн
55,Geruch::N,махӏ,үнр
56,Schlaf::N,макьу,нөр
57,Traum::N,макьу,зүүдн
58,Himmel::N,зоб,теңгр
59,Sonne::N,бакъ,нарн
60,Mond::N,моцӏ,сар
61,Stern::N,цӏва,одн
62,Luft::N,гьава,аһар
63,Wind::N,гьури,салькн
64,Welle::N,карачел,дольган
65,Wasser::N,лъим,усн
66,Stein::N,гьецӏо,чолун
67,Boden::N,ракь,Һазр
68,Erde::N,ракь,Һазр
69,Erde::N,дуниял,Һазр
70,Staub::N,хӏур,тоосн
71,Rauch::N,кӏкӏуй,утан
72,Feuer::N,цӏа,һал
73,Licht::N,канлъи,герл
74,Schatten::N,рагӏад,сүүдр
75,Wetter::N,гьава-бакъ,теңгр
76,Nebel::N,гӏодобнакӏкӏ,будн
77,Wolke::N,накӏкӏ,үүлн
78,Regen::N,цӏад,хур
79,Schnee::N,гӏазу,цасн
80,Eis::N,цӏер,мөсн
81,Frost::N,замгьари,киитн
82,Kälte::N,квач,киитн
83,Hitze::N,багӏари,халун
84,Raureif::N,мартӏ,цаң
85,Raureif::N,мартӏ,кирү
86,Regenbogen::N,нур,солңһ
87,Regenbogen::N,чамбара,солңһ
88,Donner::N,гъугъай,оһтрһун дун
89,Donner::N,гъугъади,оһтрһун дун
90,Strömung::N,чвахи,урсхл
91,Tropfen::N,резел,дусал
92,Tropfen::N,тӏинкӏ,дусал
93,Tropfen::N,къатӏра,дусал
94,Tropfen::N,тӏенкӏел,дусал
95,Schaum::N,полоп,көөсн
96,Schmutz::N,чороклъи,кир
97,See::N,хӏор,нур
98,Sumpf::N,хьуцӏ,унул
99,Wiese::N,мегъ,хадлһн
100,Wiese::N,гӏурдаллъи,хадлһн
101,Wald::N,рохь,ө-модн
102,Hügel::N,гохӏ,толһа
103,Anhöhe::N,сийитма,хамр
104,Berg::N,мегӏер,уул
105,Gipfel::N,тӏогь,ора
106,Höhle::N,нохъо,хадин көндә
107,Abhang::N,лабаллъи,ташу
108,Quelle::N,ицц,булг
109,Bach::N,лъар,һооҗур
110,Fluss::N,гӏор,һол
111,Ufer::N,рагӏал,көвә
112,Küste::N,рагӏал,көвә
113,Küste::N,рагӏал,теңгсин көвә
114,Festland::N,ракь,хүүрә һазр
115,Festland::N,ракъдаллъи,хүүрә һазр
116,Meer::N,ралъад,теңгс
117,Bucht::N,кӏветӏ,цекә
118,Bucht::N,кӏветӏ,теңгсин цекә
119,Insel::N,чӏинкӏиллъи,арл
120,Blume::N,тӏегь,цецг
121,Gras::N,хер,ноһан
122,Wurzel::N,кьибил,уңг
123,Baum::N,гъветӏ,модн
124,Stamm::N,рохти,шилв
125,Stamm::N,рохти,һол модн
126,Rinde::N,макъар,көрсн
127,Ast::N,ноцӏ,ац
128,Zweig::N,гӏаркьел,ац
129,Blatt::N,тӏамах,хамтхасн
130,Birke::N,мах,хусм модн
131,Birke::N,махигъветӏ,хусм модн
132,Kiefer[Baum]::N,накӏкӏигъветӏ,шар харһа
133,Weide[Baum]::N,рицӏцӏ,удн
134,Weide[Baum]::N,рицӏцӏигъветӏ,удн
135,Tanne::N,ёлка,җөөлн цаһан модн
136,Horn::N,лълъар,өвр
137,Feder::N,хӏули,өрвлг
138,Fell::N,тӏом,арсн
139,Fell::N,цӏоко,арсн
140,Flügel::N,кваркьи,җивр
141,Klaue::N,галъ,хумсн
142,Kralle::N,квачӏ,тавг
143,Kralle::N,катиквачӏ,тавг
144,Schwanz::N,рачӏ,сүл
145,Ei::N,хоно,өндгн
146,Nest::N,бусен,үр
147,Bau::N,каратӏ,нүкн
148,Tier::N,хӏайван,мал
149,Herde::N,рехъен,сүрг мал
150,Herde::N,рехъед,сүрг мал
151,Kuh::N,гӏака,үкр
152,Bulle::N,оц,бух
153,Pferd::N,чу,мөрн
154,Schaf::N,чахъу,хөн
155,Schwein::N,болъон,һаха
156,Hund::N,гьой,ноха
157,Katze::N,кету,мис
158,Bär::N,ци,аю
159,Eichhörnchen::N,гвангва,кермн
160,Fuchs::N,цер,арат
161,Hase::N,гӏанкӏ,туула
162,Maus::N,гӏункӏкӏ,хулһн
163,Wolf::N,бацӏ,чон
164,Vogel::N,хӏинчӏ,шовун
165,Schwarm::N,тӏел,зел
166,Huhn::N,гӏанкӏу,така
167,Hahn::N,хӏелеко,эр така
168,Gans::N,хъаз,һалун
169,Adler::N,цӏум,һәрд
170,Ente::N,ордек,нуһсн
171,Eule::N,беццаруз,һурвлһ
172,Kranich::N,къункъра,тоһрун
173,Krähe::N,гъеду,шаазһа
174,Kuckuck::N,гагу,эргин хуцдг
175,Schwan::N,хӏанкъва,хун
176,Fisch::N,ччугӏа,заһсн
177,Barsch::N,окунь,шүрг
178,Hecht::N,щука,цурх
179,Schlange[Tier]::N,борохь,моһа
180,Wurm::N,хӏапара,өтн
181,Spinne::N,хъанхъра,аралҗн
182,Ameise::N,цӏунцӏра,шорһлҗн
183,Laus::N,нацӏ,бөөсн
184,Mücke::N,кӏкӏара,бөкүн
185,Fliege::N,тӏутӏ,батхн
186,Schmetterling::N,кӏалкӏучӏ,эрвәкә
187,Apfel::N,гӏеч,альмн
