,Concept_ID,ka,mhr
0,Auge::N,თვალი,шинча́
1,Ohr::N,ყური,пы́лыш
2,Nase::N,ცხვირი,нер
3,Mund::N,პირი,умша́
4,Zahn::N,კბილი,пӱй
5,Zunge::N,ენა,йы́лме
6,Lippe::N,ბაგე,тӱ́рвӧ
7,Wange::N,ლოყა,шӱ́ргӧ
8,Gesicht::N,სახე,чури́й
9,Stirn::N,შუბლი,саҥга́
10,Haar::N,თმა,ӱп
11,Schnurrbart::N,ულვაში,ӧ́рыш
12,Bart::N,წვერი,понда́ш
13,Kinn::N,ნიკაპი,оҥыла́ш
14,Kiefer[Anatomie]::N,ყბა,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ყბა,пӱйората́
16,Kehle::N,ყელი,лога́р
17,Hals::N,ყელი,шӱй
18,Hals::N,კისერი,шӱй
19,Genick::N,კეფა,шӱйло́дыш
20,Kopf::N,თავი,вуй
21,Rücken::N,ზურგი,туп
22,Bauch::N,მუცელი,мӱ́шкыр
23,Nabel::N,ჭიპი,кы́лымде
24,Busen::N,ძუძუ,чы́зе
25,Brust::N,მკერდი,оҥ
26,Schulter::N,მხარი,ва́че
27,Schulter::N,მკლავი,ва́че
28,Arm::N,ხელი,кид
29,Ellenbogen::N,იდაყვი,кынерву́й
30,Hand::N,ხელი,кид
31,Hand::N,ხელი,копа́
32,Handfläche::N,ნები,со́во
33,Handfläche::N,ხელისგული,со́во
34,Finger::N,თითი,парня́
35,Fingernagel::N,ფრჩხილი,кидкӱ́ч
36,Fingernagel::N,ფრჩხილი,парнягӱ́ч
37,Nagel[Anatomie]::N,ფრჩხილი,кӱч
38,Zeh::N,ფეხის თითი,йолварня́
39,Fuß::N,ტერფი,йол
40,Fuß::N,ტერფი,йолкопа́
41,Fuß::N,ფეხისგული,йол
42,Fuß::N,ფეხისგული,йолкопа́
43,Ferse::N,ქუსლი,тага́н
44,Knie::N,მუხლი,пулву́й
45,Oberschenkel::N,ბარძაყი,э́рде
46,Bein::N,ფეხი,йол
47,Körper::N,ტანი,кап
48,Körper::N,სხეული,кап
49,Haut::N,კანი,кова́ште
50,Blut::N,სისხლი,вӱр
51,Ader::N,ძარღვი,шӧн
52,Sehne::N,მყესი,шӧн
53,Sehne::N,მყესი,кӱсе́н
54,Knochen::N,ძვალი,лу
55,Gehirn::N,ტვინი,вем
56,Gehirn::N,ტვინი,вуйве́м
57,Herz::N,გული,шӱм
58,Magen::N,კუჭი,пага́р
59,Leber::N,ღვიძლი,мокш
60,Atem::N,სუნთქვა,шӱ́лыш
61,Hunger::N,შიმშილი,шужыма́ш
62,Träne::N,ცრემლი,шинчавӱ́д
63,Geschmack::N,გემო,там
64,Geruch::N,სუნი,пуш
65,Schlaf::N,ძილი,о́мо
66,Traum::N,სიზმარი,йӱдо́мо
67,Himmel::N,ცა,кава́
68,Sonne::N,მზე,ке́че
69,Mond::N,მთვარე,ты́лзе
70,Stern::N,ვარსკვლავი,шӱ́дыр
71,Luft::N,ჰაერი,юж
72,Wind::N,ქარი,марде́ж
73,Welle::N,ტალღა,то́лкын
74,Wasser::N,წყალი,вӱд
75,Stein::N,ქვა,кӱ
76,Boden::N,მიწა,рок
77,Erde::N,ნიადაგი,мла́нде
78,Staub::N,მტვერი,пура́к
79,Rauch::N,ბოლი,шикш
80,Rauch::N,კვამლი,шикш
81,Funke::N,ნაკვესი,сеске́м
82,Funke::N,ნაკვესი,тулйы́п
83,Feuer::N,ცეცხლი,тул
84,Licht::N,შუქი,со́то
85,Licht::N,სინათლე,со́то
