,Concept_ID,hr,he
386,Last::N,tovar,משא
387,Gang::N,hod,הליכה
388,Schritt::N,korak,צעד
389,Norden::N,sjever,צפון
390,Süden::N,jug,דרום
391,Westen::N,zapad,מערב
392,Osten::N,istok,מזרח
393,Holz::N,drvo,עץ
394,Brett::N,daska,קרש
395,Platte::N,ploča,לוח
396,Stütze::N,potpora,משען
397,Stange::N,motka,מוט
398,Stock::N,štap,מקל
399,Stock::N,palica,מקל
400,Stab::N,štap,מוט
401,Stab::N,šipka,מוט
402,Rohr::N,cijev,צנור
403,Haus::N,kuća,בית
404,Heim::N,dom,בית
405,Ofen::N,peć,תנור
406,Fußboden::N,pod,רצפה
407,Tisch::N,stol,שלחן
408,Tisch::N,trpeza,שלחן
409,Stuhl::N,stolac,כסא
410,Stuhl::N,stolica,כסא
411,Wiege::N,kolijevka,ערש
412,Bett::N,krevet,מטה
413,Bett::N,postelja,מטה
414,Regal::N,polica,מדף
415,Kiste::N,sanduk,תבה
416,Kiste::N,sanduk,ארגז
417,Fenster::N,prozor,חלון
418,Tür::N,vrata,דלת
419,Tor::N,vrata,שער
420,Tor::N,kapija,שער
421,Zaun::N,plot,גדר
422,Zaun::N,ograda,גדר
423,Dach::N,krov,גג
424,Leiter::N,ljestve,סלם
425,Leiter::N,ljestvice,סלם
426,Besen::N,metla,מטאטא
427,Spaten::N,ašov,את
428,Schaufel::N,lopata,את
429,Gabel::N,viljuška,מזלג
430,Löffel::N,žlica,כף
431,Messer::N,nož,סכין
432,Nagel::N,čavao,מסמר
433,Netz::N,mreža,רשת
434,Haken::N,kuka,וו
435,Haken::N,kuka,קרס
436,Griff::N,držak,ידית
437,Griff::N,ručica,ידית
438,Schloss::N,brava,מנעול
439,Bild::N,slika,תמונה
440,Figur::N,figura,פסל
441,Puppe::N,lutka,בבה
442,Beutel::N,kesa,שק
443,Bündel::N,snop,צרור
444,Bündel::N,svežanj,צרור
445,Tasche::N,torba,שקית
446,Tasche::N,taška,שקית
447,Eimer::N,kabao,דלי
448,Deckel::N,poklopac,מכסה
449,Geschirr::N,suđe,כלים
450,Geschirr::N,posuđe,כלים
451,Sack::N,džak,שק
452,Sack::N,vreća,שק
453,Tasse::N,šalica,ספל
454,Topf::N,lonac,סיר
455,Kessel::N,kazan,קנקן
456,Essen::N,obrok,אכל
457,Essen::N,obrok,ארוחה
458,Nahrung::N,hrana,הזנה
459,Nahrung::N,hrana,תזונה
460,Speise::N,jelo,מאכל
461,Speise::N,jelo,ארוחה
462,Fleisch::N,meso,בשר
463,Getreide::N,žito,דגן
464,Getreide::N,žitarice,דגן
465,Brei::N,kaša,מחית
466,Brot::N,kruh,לחם
467,Scheibe::N,kriška,עגול
468,Scheibe::N,kriška,פרוסה
469,Fett::N,mast,שמן
470,Fett::N,salo,שמן
471,Butter::N,buter,חמאה
472,Butter::N,maslac,חמאה
473,Öl::N,ulje,שמן
474,Salz::N,sol,מלח
475,Suppe::N,supa,מרק
476,Honig::N,med,דבש
477,Milch::N,mlijeko,חלב
