,Concept_ID,de,bn
0,Auge::N,Auge,চক্ষু
1,Ohr::N,Ohr,কর্ণ
2,Nase::N,Nase,নাক
3,Mund::N,Mund,মুখ
4,Zahn::N,Zahn,দাঁত
5,Zunge::N,Zunge,জিহবা
6,Lippe::N,Lippe,অধর
7,Wange::N,Wange,গণ্ড
8,Gesicht::N,Gesicht,মুখমণ্ডল
9,Stirn::N,Stirn,কপাল
10,Haar::N,Haar,চুল
11,Schnurrbart::N,Schnurrbart,গোঁফ
12,Bart::N,Bart,শ্মশ্রু
13,Kinn::N,Kinn,চিবুক
14,Kiefer[Anatomie]::N,Kiefer,চোয়াল
15,Kehle::N,Kehle,কণ্ঠ
16,Hals::N,Hals,গল
17,Genick::N,Genick,ঘাড়
18,Kopf::N,Kopf,মাথা
19,Rücken::N,Rücken,পৃষ্ঠ
20,Bauch::N,Bauch,উদর
21,Nabel::N,Nabel,নাভি
22,Busen::N,Busen,স্তন
23,Brust::N,Brust,বুক
24,Schulter::N,Schulter,স্কন্ধ
25,Arm::N,Arm,বাহু
26,Ellenbogen::N,Ellenbogen,কনুই
27,Hand::N,Hand,হাত
28,Handfläche::N,Handfläche,করতল
29,Finger::N,Finger,আঙ্গুল
30,Fingernagel::N,Fingernagel,হাতের নখ
31,Nagel[Anatomie]::N,Nagel,নখ
32,Zeh::N,Zeh,আঙ্গুল
33,Fuß::N,Fuß,পা
34,Ferse::N,Ferse,গোড়ালি
35,Knie::N,Knie,হাঁটু
36,Oberschenkel::N,Oberschenkel,ঊরু
37,Bein::N,Bein,পা
38,Körper::N,Körper,দেহ
39,Haut::N,Haut,ত্বক
40,Blut::N,Blut,রক্ত
41,Ader::N,Ader,শিরা
42,Sehne::N,Sehne,কণ্ডরা
43,Knochen::N,Knochen,অস্থি
44,Gehirn::N,Gehirn,মস্তিষ্ক
45,Herz::N,Herz,হৃৎপিণ্ড
46,Magen::N,Magen,পাকস্থলী
47,Leber::N,Leber,যকৃৎ
48,Atem::N,Atem,শ্বাস
49,Hunger::N,Hunger,ক্ষুধা
50,Träne::N,Träne,অশ্রু
51,Geschmack::N,Geschmack,স্বাদ
52,Geruch::N,Geruch,গন্ধ
53,Schlaf::N,Schlaf,ঘুম
54,Traum::N,Traum,স্বপ্ন
55,Himmel::N,Himmel,আকাশ
56,Sonne::N,Sonne,সূর্য
57,Mond::N,Mond,চন্দ্র
58,Stern::N,Stern,নক্ষত্র
59,Luft::N,Luft,বায়ু
60,Wind::N,Wind,বাতাস
61,Welle::N,Welle,ঢেউ
62,Welle::N,Welle,তরঙ্গ
63,Wasser::N,Wasser,জল
64,Stein::N,Stein,ঢিল
65,Stein::N,Stein,প্রস্তর
66,Boden::N,Boden,ভূতল
67,Erde::N,Erde,ভূমি
68,Staub::N,Staub,ধুলা
69,Rauch::N,Rauch,ধোঁয়া
70,Funke::N,Funke,স্ফুলিঙ্গ
71,Feuer::N,Feuer,অগ্নি
72,Licht::N,Licht,আলো
73,Schatten::N,Schatten,ছায়া
74,Wetter::N,Wetter,আবহাওয়া
75,Nebel::N,Nebel,কুহেলিকা
76,Wolke::N,Wolke,মেঘ
