,Concept_ID,xal,ga
0,Auge::N,нүдн,súil
1,Ohr::N,чикн,cluas
2,Nase::N,хамр,soc
3,Mund::N,амн,béal
4,Zahn::N,шүдн,fiacail
5,Zunge::N,келн,teanga
6,Lippe::N,урл,liopa
7,Wange::N,халх,grua
8,Wange::N,халх,leiceann
9,Gesicht::N,нүр,éadan
10,Gesicht::N,нүр,aghaidh
11,Stirn::N,маңна,baithis
12,Stirn::N,маңна,clár éadain
13,Haar::N,үсн,gruaig
14,Schnurrbart::N,сахл,croiméal
15,Bart::N,сахл,féasóg
16,Bart::N,өргнә сахл,féasóg
17,Kinn::N,өргн,smig
18,Kiefer[Anatomie]::N,өргн,giall
19,Kehle::N,хол,scornach
20,Hals::N,күзүн,muinéal
21,Genick::N,гиҗг,baic
22,Kopf::N,толһа,ceann
23,Rücken::N,нурһн,droim
24,Bauch::N,гесн,bolg
25,Nabel::N,киисн,imleacán
26,Busen::N,көкн,cíoch
27,Brust::N,чееҗ,brollach
28,Schulter::N,ээм,gualainn
29,Arm::N,һар,lámh
30,Ellenbogen::N,тоха,uillinn
31,Hand::N,баһлцг,lámh
32,Handfläche::N,альхн,bos
33,Finger::N,хурһн,méar
34,Finger::N,һарин хурһн,méar
35,Fingernagel::N,хумсн,ionga
36,Nagel[Anatomie]::N,хумсн,ionga
37,Zeh::N,хурһн,ladhar
38,Zeh::N,көлин хурһн,ladhar
39,Fuß::N,тавг,cos
40,Fuß::N,тавг,troigh
41,Ferse::N,өскә,sáil
42,Knie::N,өвдг,glúin
43,Oberschenkel::N,һуй,ceathrú
44,Bein::N,көл,cos
45,Körper::N,махмуд,corp
46,Körper::N,махмуд,colainn
47,Haut::N,арсн,cneas
48,Haut::N,арсн,craiceann
49,Blut::N,цусн,fuil
50,Ader::N,судцн,
51,Sehne::N,шүрүсн,teannán
52,Sehne::N,шүрүсн,féitheog
53,Knochen::N,ясн,cnámh
54,Gehirn::N,экн,inchinn
55,Herz::N,зүркн,croí
56,Magen::N,гесн,bolg
57,Magen::N,гесн,goile
58,Leber::N,элкн,ae
59,Atem::N,әмсхл,anáil
60,Hunger::N,харһнлһн,ocras
61,Träne::N,нульмсн,deoir
62,Geschmack::N,амтн,blas
63,Geruch::N,үнр,boladh
64,Schlaf::N,нөр,suan
65,Schlaf::N,нөр,codladh
66,Traum::N,зүүдн,taibhreamh
67,Himmel::N,теңгр,spéir
68,Sonne::N,нарн,grian
69,Mond::N,сар,ré
70,Mond::N,сар,gealach
71,Stern::N,одн,rinn
72,Stern::N,одн,réalta
73,Luft::N,аһар,aer
74,Wind::N,салькн,gaoth
75,Welle::N,дольган,tonn
76,Wasser::N,усн,uisce
77,Stein::N,чолун,cloch
78,Boden::N,Һазр,talamh
79,Erde::N,Һазр,cré
80,Erde::N,Һазр,ithir
81,Staub::N,тоосн,dusta
82,Staub::N,тоосн,deannach
83,Rauch::N,утан,toit
84,Rauch::N,утан,deatach
85,Funke::N,очн,drithle
86,Feuer::N,һал,tine
87,Licht::N,герл,solas
88,Schatten::N,сүүдр,scáth
89,Wetter::N,теңгр,aimsir
90,Nebel::N,будн,ceo
91,Wolke::N,үүлн,néal
92,Wolke::N,үүлн,scamall
93,Regen::N,хур,báisteach
94,Regen::N,хур,fearthainn
95,Schnee::N,цасн,sneachta
96,Eis::N,мөсн,oighear
97,Frost::N,киитн,sioc
98,Kälte::N,киитн,fuacht
99,Hitze::N,халун,teas
100,Hitze::N,халун,teocht
101,Raureif::N,цаң,sioc bán
102,Raureif::N,кирү,sioc bán
103,Regenbogen::N,солңһ,stua ceatha
104,Regenbogen::N,солңһ,bogha báistí
105,Donner::N,оһтрһун дун,toirneach
106,Strömung::N,урсхл,sruth
107,Tropfen::N,дусал,deoir
108,Schaum::N,көөсн,cúr
109,Schmutz::N,кир,salachar
110,See::N,нур,loch
111,Sumpf::N,унул,portach
112,Moor::N,улм,caorán
113,Moor::N,улм,móinteán
114,Wiese::N,хадлһн,cluain
115,Wiese::N,хадлһн,móinéar
116,Wald::N,ө-модн,coill
117,Wald::N,ө-модн,foraois
118,Hügel::N,толһа,ard
119,Anhöhe::N,хамр,ard
120,Anhöhe::N,хамр,ardán
121,Berg::N,уул,sliabh
122,Gipfel::N,ора,barr
123,Gipfel::N,ора,mullach
124,Höhle::N,хадин көндә,uaimh
125,Höhle::N,хадин көндә,pluais
126,Abhang::N,ташу,fána
127,Quelle::N,булг,foinse
128,Bach::N,һооҗур,sruthán
129,Fluss::N,һол,abhainn
130,Ufer::N,көвә,bruach
131,Küste::N,көвә,cósta
132,Küste::N,көвә,cladach
133,Küste::N,теңгсин көвә,cósta
134,Küste::N,теңгсин көвә,cladach
135,Festland::N,хүүрә һазр,míntír
136,Meer::N,теңгс,muir
137,Meer::N,теңгс,farraige
138,Bucht::N,цекә,bá
139,Bucht::N,цекә,cuan
140,Bucht::N,теңгсин цекә,bá
141,Bucht::N,теңгсин цекә,cuan
142,Insel::N,арл,inis
143,Insel::N,арл,oileán
144,Blume::N,цецг,bláth
145,Gras::N,ноһан,féar
146,Wurzel::N,уңг,rúta
147,Wurzel::N,уңг,fréamh
148,Baum::N,модн,crann
149,Stamm::N,шилв,stoc
150,Stamm::N,шилв,tamhan
151,Stamm::N,һол модн,stoc
152,Stamm::N,һол модн,tamhan
153,Rinde::N,көрсн,coirt
154,Rinde::N,көрсн,craiceann
155,Ast::N,ац,géag
156,Zweig::N,ац,géag
157,Zweig::N,ац,craobh
158,Blatt::N,хамтхасн,duille
159,Blatt::N,хамтхасн,duilleog
160,Birke::N,хусм модн,beith
161,Birke::N,хусм модн,crann beithe
162,Kiefer[Baum]::N,шар харһа,péine
163,Weide[Baum]::N,удн,saileach
164,Tanne::N,җөөлн цаһан модн,giúis
165,Horn::N,өвр,adharc
166,Feder::N,өрвлг,cleite
167,Fell::N,арсн,clúmh
168,Flügel::N,җивр,eite
169,Flügel::N,җивр,sciathán
170,Klaue::N,хумсн,crúb
171,Klaue::N,хумсн,crobh
172,Kralle::N,тавг,crobh
173,Schwanz::N,сүл,eireaball
174,Ei::N,өндгн,ubh
175,Nest::N,үр,nead
176,Bau::N,нүкн,brocais
177,Tier::N,мал,ainmhí
178,Tier::N,мал,beithíoch
179,Herde::N,сүрг мал,tréad
180,Kuh::N,үкр,bó
181,Bulle::N,бух,tarbh
182,Pferd::N,мөрн,each
183,Pferd::N,мөрн,capall
184,Schaf::N,хөн,caora
185,Schwein::N,һаха,muc
186,Hund::N,ноха,madra
187,Katze::N,мис,cat
188,Bär::N,аю,béar
189,Eichhörnchen::N,кермн,iora
190,Elch::N,хандһа,eilc
191,Fuchs::N,арат,sionnach
192,Fuchs::N,арат,madra rua
193,Hase::N,туула,giorria
194,Maus::N,хулһн,luch
195,Wolf::N,чон,mac tíre
196,Vogel::N,шовун,éan
197,Schwarm::N,зел,saithe
198,Huhn::N,така,cearc
199,Hahn::N,эр така,coileach
200,Gans::N,һалун,gé
201,Adler::N,һәрд,iolar
202,Ente::N,нуһсн,lacha
203,Eule::N,һурвлһ,ulchabhán
204,Kranich::N,тоһрун,grús
205,Krähe::N,шаазһа,caróg
206,Krähe::N,шаазһа,préachán
207,Kuckuck::N,эргин хуцдг,cuach
208,Schwan::N,хун,eala
209,Fisch::N,заһсн,iasc
210,Barsch::N,шүрг,péirse
211,Hecht::N,цурх,liús
212,Schlange[Tier]::N,моһа,nathair
213,Wurm::N,өтн,péist
214,Spinne::N,аралҗн,damhán alla
215,Ameise::N,шорһлҗн,seangán
216,Laus::N,бөөсн,míol
217,Mücke::N,бөкүн,muiscít
218,Mücke::N,бөкүн,corrmhíol
219,Fliege::N,батхн,cuil
220,Fliege::N,батхн,cuileog
221,Schmetterling::N,эрвәкә,féileacán
222,Beere::N,бөөлҗрһн,caor
223,Apfel::N,альмн,úll
224,Pilz::N,теңгрин ки,beacán
225,Pilz::N,теңгрин ки,muisiriún
226,Zwiebel::N,мәңгрснә толһа,oinniún
227,Saat::N,буудян экн,síol
228,Korn::N,экн,gráinne
229,Heu::N,өвсн,féar
230,Schale::N,хальсн,scaimh
231,Grube::N,нүкн,poll
232,Falle::N,урх,gaiste
233,Falle::N,хавх,gaiste
234,Schlinge::N,бүтү,sealán
235,Spur::N,мөр,rian
236,Asche::N,үмсн,luaith
237,Dreck::N,бальчг,salachar
238,Eisen::N,төмр,iarann
239,Gold::N,алтн,ór
240,Silber::N,мөңгн,airgead
