,Concept_ID,da,fi
0,Auge::N,øje,silmä
1,Ohr::N,øre,korva
2,Nase::N,næse,nenä
3,Mund::N,mund,suu
4,Zahn::N,tand,hammas
5,Zunge::N,tunge,kieli
6,Lippe::N,læbe,huuli
7,Wange::N,kind,poski
8,Gesicht::N,ansigt,naama
9,Gesicht::N,ansigt,kasvot
10,Stirn::N,pande,otsa
11,Haar::N,hår,hius
12,Haar::N,hår,tukka
13,Schnurrbart::N,overskæg,viikset
14,Bart::N,skæg,parta
15,Kinn::N,hage,leuka
16,Kiefer[Anatomie]::N,kæbe,leukaluu
17,Kehle::N,strube,kurkku
18,Hals::N,hals,kaula
19,Genick::N,nakke,niska
20,Kopf::N,hoved,pää
21,Rücken::N,ryg,selkä
22,Bauch::N,mave,maha
23,Bauch::N,mave,vatsa
24,Nabel::N,navle,napa
25,Busen::N,barm,rinta
26,Brust::N,bryst,rinta
27,Schulter::N,skulder,olka
28,Schulter::N,skulder,hartia
29,Schulter::N,skulder,olkapää
30,Arm::N,arm,käsivarsi
31,Ellenbogen::N,albue,kyynärpää
32,Hand::N,hånd,käsi
33,Handfläche::N,håndflade,kämmen
34,Finger::N,finger,sormi
35,Fingernagel::N,fingernegl,kynsi
36,Nagel[Anatomie]::N,negl,kynsi
37,Zeh::N,tå,varvas
38,Fuß::N,fod,jalka
39,Ferse::N,hæl,kantapää
40,Knie::N,knæ,polvi
41,Oberschenkel::N,lår,reisi
42,Bein::N,ben,jalka
43,Körper::N,krop,keho
44,Körper::N,krop,ruumis
45,Körper::N,legeme,keho
46,Körper::N,legeme,ruumis
47,Haut::N,hud,iho
48,Blut::N,blod,veri
49,Ader::N,åre,suoni
50,Sehne::N,sene,jänne
51,Knochen::N,ben,luu
52,Gehirn::N,hjerne,aivot
53,Herz::N,hjerte,sydän
54,Magen::N,mave,maha
55,Magen::N,mave,vatsa
56,Leber::N,lever,maksa
57,Atem::N,ånde,henki
58,Atem::N,ånde,hengitys
59,Hunger::N,sult,nälkä
60,Träne::N,tåre,kyynel
61,Geschmack::N,smag,maku
62,Geruch::N,lugt,haju
63,Schlaf::N,søvn,uni
64,Traum::N,drøm,uni
65,Himmel::N,himmel,taivas
66,Sonne::N,sol,aurinko
67,Mond::N,måne,kuu
68,Stern::N,stjerne,tähti
69,Luft::N,luft,ilma
70,Wind::N,vind,tuuli
71,Welle::N,bølge,aalto
72,Wasser::N,vand,vesi
73,Stein::N,sten,kivi
74,Boden::N,jord,maa
75,Boden::N,jord,maaperä
76,Erde::N,jord,maa
77,Staub::N,støv,pöly
78,Rauch::N,røg,savu
79,Funke::N,gnist,kipinä
80,Feuer::N,ild,tuli
81,Licht::N,lys,valo
82,Schatten::N,skygge,varjo
83,Wetter::N,vejr,sää
84,Nebel::N,tåge,sumu
85,Wolke::N,sky,pilvi
86,Regen::N,regn,sade
87,Schnee::N,sne,lumi
88,Eis::N,is,jää
89,Frost::N,frost,halla
90,Frost::N,frost,pakkanen
91,Kälte::N,kulde,vilu
92,Kälte::N,kulde,kylmyys
93,Hitze::N,hede,helle
94,Hitze::N,hede,kuumuus
95,Raureif::N,rimfrost,huurre
96,Regenbogen::N,regnbue,sateenkaari
97,Donner::N,torden,jyrinä
98,Strömung::N,strømning,virtaus
99,Tropfen::N,dråbe,tippa
100,Tropfen::N,dråbe,pisara
101,Schaum::N,skum,vaahto
102,Schmutz::N,snavs,loka
103,See::N,sø,järvi
104,Sumpf::N,sump,suo
105,Moor::N,mose,räme
106,Wiese::N,eng,niitty
107,Wald::N,skov,metsä
108,Hügel::N,høj,mäki
109,Hügel::N,høj,kumpu
110,Hügel::N,høj,kukkula
111,Hügel::N,bakke,mäki
112,Hügel::N,bakke,kumpu
113,Hügel::N,bakke,kukkula
114,Anhöhe::N,høj,mäki
115,Anhöhe::N,høj,kumpare
116,Anhöhe::N,bakke,mäki
117,Anhöhe::N,bakke,kumpare
118,Berg::N,bjerg,mäki
119,Berg::N,bjerg,vuori
