,Concept_ID,cs,zh
0,Auge::N,oko,眼睛
1,Ohr::N,ucho,耳朵
2,Nase::N,nos,鼻子
3,Mund::N,pusa,嘴
4,Zahn::N,zub,牙齿
5,Zunge::N,jazyk,舌头
6,Lippe::N,ret,嘴唇
7,Wange::N,tvář,面颊
8,Gesicht::N,obličej,脸
9,Stirn::N,čelo,额
10,Haar::N,vlas,头发
11,Haar::N,vlasy,头发
12,Schnurrbart::N,kníry,髭须
13,Bart::N,vousy,胡子
14,Kinn::N,brada,下巴
15,Kiefer[Anatomie]::N,čelist,颌
16,Kehle::N,hrdlo,嗓子
17,Hals::N,krk,颈
18,Genick::N,týl,后颈
19,Kopf::N,hlava,头
20,Rücken::N,záda,背
21,Rücken::N,hřbet,背
22,Bauch::N,břicho,肚子
23,Nabel::N,pupek,肚脐
24,Busen::N,ňadra,胸脯
25,Brust::N,prsa,胸
26,Schulter::N,plece,肩膀
27,Schulter::N,rameno,肩膀
28,Arm::N,ruka,臂膀
29,Ellenbogen::N,loket,肘
30,Hand::N,ruka,手
31,Handfläche::N,dlaň,手掌
32,Finger::N,prst,手指
33,Fingernagel::N,nehet,指甲
34,Nagel[Anatomie]::N,nehet,指甲
35,Zeh::N,prst u nohy,脚趾
36,Fuß::N,noha,脚
37,Ferse::N,pata,后跟
38,Knie::N,koleno,膝
39,Oberschenkel::N,stehno,大腿
40,Bein::N,noha,腿
41,Körper::N,tělo,身体
42,Haut::N,kůže,皮肤
43,Blut::N,krev,血
44,Ader::N,céva,血管
45,Sehne::N,šlacha,腱
46,Knochen::N,kost,骨
47,Gehirn::N,mozek,脑
48,Herz::N,srdce,心
49,Magen::N,žaludek,胃
50,Leber::N,játra,肝
51,Atem::N,dech,呼吸
52,Hunger::N,hlad,饿
53,Träne::N,slza,眼泪
54,Geschmack::N,vkus,味道
55,Geruch::N,vůně,气味
56,Geruch::N,zápach,气味
57,Schlaf::N,spánek,睡眠
58,Traum::N,sen,梦
59,Himmel::N,nebe,天空
60,Sonne::N,slunce,太阳
61,Mond::N,měsíc,月亮
62,Stern::N,hvězda,星
63,Luft::N,vzduch,空气
64,Wind::N,vítr,风
65,Welle::N,vlna,波
66,Wasser::N,voda,水
67,Stein::N,kámen,石头
68,Boden::N,půda,地面
69,Erde::N,země,地
70,Staub::N,prach,灰尘
71,Rauch::N,dým,烟
72,Rauch::N,kouř,烟
73,Funke::N,jiskra,火花
74,Feuer::N,oheň,火
75,Licht::N,světlo,光
76,Schatten::N,stín,影子
77,Wetter::N,počasí,天气
78,Nebel::N,mlha,雾
79,Wolke::N,mrak,云
80,Wolke::N,oblak,云
81,Regen::N,déšť,雨
82,Schnee::N,sníh,雪
83,Eis::N,led,冰
84,Frost::N,mráz,霜冻
85,Kälte::N,chlad,寒冷
86,Hitze::N,horko,炎热
87,Raureif::N,jinovatka,霜
88,Regenbogen::N,duha,虹
89,Donner::N,hrom,雷
90,Strömung::N,proudění,水流
91,Tropfen::N,kapka,滴
92,Schaum::N,pěna,泡沫
93,Schmutz::N,špína,赃物
94,See::N,jezero,湖
95,Sumpf::N,močál,沼泽
96,Sumpf::N,bažina,沼泽
97,Moor::N,bažina,沼泽
98,Moor::N,slatina,沼泽
99,Wiese::N,louka,草地
100,Wald::N,les,森林
101,Hügel::N,kopec,丘陵
102,Anhöhe::N,pahorek,山丘
103,Berg::N,hora,山
104,Gipfel::N,vrchol,峰
105,Höhle::N,jeskyně,洞穴
106,Abhang::N,svah,斜坡
107,Abhang::N,stráň,斜坡
108,Quelle::N,pramen,泉
109,Bach::N,potok,溪
110,Fluss::N,řeka,河流
111,Ufer::N,břeh,岸
112,Küste::N,pobřeží,海岸
113,Festland::N,souš,大陆
114,Festland::N,pevnina,大陆
115,Meer::N,moře,海
116,Bucht::N,záliv,海湾
117,Bucht::N,zátoka,海湾
118,Insel::N,ostrov,岛
119,Blume::N,květina,花
120,Gras::N,tráva,草
121,Wurzel::N,kořen,根
122,Baum::N,strom,树
123,Stamm::N,kmen,树干
124,Rinde::N,kůra,树皮
125,Ast::N,větev,树枝
126,Zweig::N,větev,树枝
127,Blatt::N,lupen,叶子
128,Birke::N,bříza,桦木
129,Kiefer[Baum]::N,sosna,松树
130,Kiefer[Baum]::N,borovice,松树
131,Weide[Baum]::N,vrba,柳树
132,Tanne::N,jedle,冷杉
133,Horn::N,roh,角
134,Feder::N,pero,羽毛
135,Fell::N,srst,皮毛
136,Flügel::N,křídlo,翅膀
137,Klaue::N,dráp,爪子
138,Klaue::N,pazneht,爪子
139,Kralle::N,dráp,爪子
140,Schwanz::N,ocas,尾巴
141,Ei::N,vejce,蛋
142,Nest::N,hnízdo,巢
143,Bau::N,nora,穴
144,Tier::N,zvíře,动物
145,Herde::N,stádo,群
146,Kuh::N,kráva,母牛
147,Bulle::N,býk,公牛
148,Pferd::N,kůň,马
149,Schaf::N,ovce,羊
150,Schwein::N,vepř,猪
151,Schwein::N,prase,猪
152,Hund::N,pes,狗
153,Katze::N,kočka,猫
154,Bär::N,medvěd,熊
155,Eichhörnchen::N,veverka,松鼠
156,Elch::N,los,麋鹿
157,Fuchs::N,liška,狐狸
158,Hase::N,zajíc,兔子
159,Maus::N,myš,老鼠
160,Wolf::N,vlk,狼
161,Vogel::N,pták,鸟
162,Schwarm::N,roj,群
163,Schwarm::N,hejno,群
164,Huhn::N,kuře,鸡
165,Huhn::N,slepice,鸡
166,Hahn::N,kohout,公鸡
167,Gans::N,husa,鹅
168,Adler::N,orel,鹰
169,Ente::N,kachna,鸭
170,Eule::N,sova,猫头鹰
171,Kranich::N,jeřáb,鹤
172,Krähe::N,vrána,乌鸦
173,Kuckuck::N,kukačka,布谷鸟
174,Schwan::N,labuť,天鹅
175,Fisch::N,ryba,鱼
176,Barsch::N,okoun,鲈鱼
177,Hecht::N,štika,狗鱼
178,Schlange[Tier]::N,had,蛇
179,Wurm::N,červ,蠕虫
180,Spinne::N,pavouk,蜘蛛
181,Ameise::N,mravenec,蚂蚁
182,Laus::N,veš,虱子
183,Mücke::N,komár,蚊子
184,Fliege::N,moucha,苍蝇
185,Schmetterling::N,motýl,蝴蝶
186,Beere::N,bobule,将果
187,Apfel::N,jablko,苹果
188,Pilz::N,houba,蘑菇
189,Zwiebel::N,cibule,洋葱
190,Saat::N,osivo,种子
191,Korn::N,zrno,谷粒
192,Heu::N,seno,干草
193,Schale::N,slupka,壳
194,Schale::N,skořápka,壳
195,Grube::N,jáma,坑
196,Falle::N,past,圈套
197,Falle::N,léčka,圈套
198,Schlinge::N,smyčka,活扣
199,Spur::N,stopa,踪迹
200,Asche::N,popel,灰烬
201,Dreck::N,špína,污垢
202,Eisen::N,železo,铁
203,Gold::N,zlato,金子
204,Silber::N,stříbro,银
205,Kohle::N,uhlí,煤
206,Glas::N,sklo,玻璃
207,Lehm::N,jíl,粘土
208,Lehm::N,hlína,粘土
209,Sand::N,písek,沙
210,Mensch::N,člověk,人
211,Mann::N,muž,男子
212,Frau::N,žena,妇女
213,Kind::N,dítě,小孩
214,Junge::N,hoch,男孩
215,Junge::N,chlapec,男孩
216,Mädchen::N,děvče,女孩
217,Familie::N,rodina,家庭
218,Großvater::N,děd,祖父
219,Großvater::N,dědeček,祖父
220,Großmutter::N,babička,祖母
221,Eltern::N,rodiče,父母
222,Vater::N,otec,父亲
223,Mutter::N,matka,母亲
224,Sohn::N,syn,儿子
