,Concept_ID,kl,nl
0,Auge::N,isi,oog
1,Ohr::N,siut,oor
2,Mund::N,paaq,mond
3,Mund::N,qaneq,mond
4,Zahn::N,kigut,tand
5,Zunge::N,oqaq,tong
6,Lippe::N,qarloq,lip
7,Wange::N,ersaq,wang
8,Gesicht::N,kiinaq,gelaat
9,Gesicht::N,kiinaq,gezicht
10,Stirn::N,qaaq,voorhoofd
11,Haar::N,meqqoq,haar
12,Bart::N,umik,baard
13,Kinn::N,talloq,kin
14,Kiefer[Anatomie]::N,alleroq,kaak
15,Kehle::N,malaq,keel
16,Kehle::N,malaq,strot
17,Hals::N,qungaseq,hals
18,Genick::N,pukusuk,nek
19,Kopf::N,niaqoq,hoofd
20,Rücken::N,qimerlut,rug
21,Bauch::N,naaq,buik
22,Nabel::N,qalaseq,navel
23,Busen::N,iviangeq,boezem
24,Brust::N,iviangeq,borst
25,Schulter::N,ersik,schouder
26,Schulter::N,assaqqoq,schouder
27,Arm::N,taleq,arm
28,Ellenbogen::N,ikusik,elleboog
29,Hand::N,assak,hand
30,Handfläche::N,itumak,handpalm
31,Finger::N,inuak,vinger
32,Fingernagel::N,kikiak,nagel
33,Nagel[Anatomie]::N,kukik,nagel
34,Zeh::N,isigak,teen
35,Ferse::N,kimmik,hak
36,Ferse::N,kimmik,hiel
37,Knie::N,seeqqoq,knie
38,Oberschenkel::N,uppat,dij
39,Oberschenkel::N,quttoraq,dij
40,Bein::N,isigak,been
41,Körper::N,timi,lichaam
42,Haut::N,mattak,huid
43,Blut::N,aak,bloed
44,Ader::N,taqaq,ader
45,Sehne::N,ujalu,pees
46,Sehne::N,ujaloq,pees
47,Knochen::N,saanikut,bot
48,Knochen::N,saanikut,been
49,Knochen::N,saanikut,knook
50,Gehirn::N,qarasaq,hersenen
51,Herz::N,uummat,hart
52,Magen::N,aqajaroq,maag
53,Leber::N,tinguk,lever
54,Atem::N,anerneq,adem
55,Hunger::N,kaanneq,honger
56,Träne::N,qia,traan
57,Träne::N,qiak,traan
58,Geschmack::N,qilanaartuut,smaak
59,Geruch::N,tipi,geur
60,Geruch::N,tipik,geur
61,Traum::N,sinnattoq,droom
62,Traum::N,sinnattugaq,droom
63,Himmel::N,qilak,hemel
64,Sonne::N,seqineq,zon
65,Mond::N,qaammat,maan
66,Stern::N,ulloriaq,ster
67,Luft::N,silaannaq,lucht
68,Wind::N,anori,wind
69,Wind::N,anorsarik,wind
70,Welle::N,aalappaa,golf
71,Wasser::N,imeq,water
72,Stein::N,ujarak,steen
73,Boden::N,nateq,grond
74,Erde::N,issoq,aarde
75,Staub::N,pujualanerit,stof
76,Staub::N,pujoralanerit,stof
77,Rauch::N,iseq,rook
78,Rauch::N,pujoq,rook
79,Funke::N,illoorneq,vonk
80,Feuer::N,inneq,vuur
81,Licht::N,qaamaneq,licht
82,Schatten::N,tarraq,schaduw
83,Wetter::N,sila,weer
84,Nebel::N,pujoq,mist
85,Nebel::N,pujoq,nevel
86,Wolke::N,nuia,wolk
87,Regen::N,sialuk,regen
88,Schnee::N,aput,sneeuw
89,Eis::N,siku,ijs
90,Frost::N,issi,vorst
91,Frost::N,issik,vorst
92,Kälte::N,issi,kou
93,Kälte::N,issi,koude
94,Hitze::N,kianneq,hitte
95,Hitze::N,kiassuseq,hitte
96,Raureif::N,kaneq,rijp
97,Regenbogen::N,neriusaaq,regenboog
98,Donner::N,kalleq,donder
99,Tropfen::N,kuseriarneq,druppel
100,Schaum::N,qapuk,schuim
101,Schmutz::N,minguk,vuil
102,See::N,taseq,meer
103,Sumpf::N,maqulluk,moeras
104,Wiese::N,masarsuk,wei
105,Wiese::N,masarsuk,weide
106,Hügel::N,qattuneq,heuvel
107,Hügel::N,majuariaq,heuvel
108,Hügel::N,majorajaaq,heuvel
109,Hügel::N,qaqqannguaq,heuvel
110,Berg::N,qaqqaq,berg
111,Höhle::N,qaarusuk,hol
112,Abhang::N,ippik,helling
113,Abhang::N,sivinganeq,helling
114,Abhang::N,sivingajaaq,helling
115,Abhang::N,kussangajaaq,helling
116,Bach::N,kuunnguaq,beek
117,Fluss::N,kuuk,stroom
118,Ufer::N,sissap sinaa,wal
119,Ufer::N,sissap sinaa,oever
120,Küste::N,sineriak,kust
121,Meer::N,imaq,zee
122,Bucht::N,ikeq,baai
123,Bucht::N,ikeq,inham
124,Bucht::N,kangerluk,baai
125,Bucht::N,kangerluk,inham
126,Bucht::N,kangerliumaneq,baai
127,Bucht::N,kangerliumaneq,inham
128,Insel::N,qeqertaq,eiland
129,Blume::N,naasoq,bloem
130,Gras::N,ivigaq,gras
131,Wurzel::N,niulutaq,wortel
132,Baum::N,orpik,boom
133,Stamm::N,kanaartaq,stam
134,Rinde::N,ameraq,schors
