,Concept_ID,hi,lt
0,Auge::N,आँख,akis
1,Auge::N,चक्षु,akis
2,Ohr::N,कान,ausis
3,Ohr::N,कर्ण,ausis
4,Nase::N,नाक,nosis
5,Nase::N,नासा,nosis
6,Mund::N,मुख,burna
7,Mund::N,मुँह,burna
8,Zahn::N,दंत,dantis
9,Zahn::N,दाँत,dantis
10,Zunge::N,जीभ,liežuvis
11,Zunge::N,ज़बान,liežuvis
12,Zunge::N,जिह्वा,liežuvis
13,Lippe::N,ओंठ,lūpa
14,Lippe::N,होंठ,lūpa
15,Wange::N,गाल,žandas
16,Wange::N,गाल,skruostas
17,Wange::N,कपोल,žandas
18,Wange::N,कपोल,skruostas
19,Gesicht::N,मुँह,veidas
20,Gesicht::N,चेहरा,veidas
21,Stirn::N,माथा,kakta
22,Stirn::N,मस्तक,kakta
23,Haar::N,बाल,plaukai
24,Schnurrbart::N,मूँछें,ūsai
25,Bart::N,दाढ़ी,barzda
26,Kinn::N,चिबुक,smakras
27,Kiefer[Anatomie]::N,जबड़ा,žandikaulis
28,Kehle::N,गला,gerklė
29,Hals::N,गला,kaklas
30,Hals::N,गरदन,kaklas
31,Genick::N,गरदन,sprandas
32,Genick::N,ग्रीवा,sprandas
33,Kopf::N,सिर,galva
34,Kopf::N,शीर्ष,galva
35,Rücken::N,पीठ,nugara
36,Bauch::N,उदर,pilvas
37,Nabel::N,नाभि,bamba
38,Nabel::N,ढोंढी,bamba
39,Busen::N,कुच,krūtinė
40,Busen::N,स्तन,krūtinė
41,Brust::N,वक्ष,krūtis
42,Schulter::N,कंधा,petys
43,Schulter::N,स्कंध,petys
44,Arm::N,बाँह,ranka
45,Arm::N,बाज़ू,ranka
46,Ellenbogen::N,कुहनी,alkūnė
47,Hand::N,हाथ,ranka
48,Hand::N,हाथ,plaštaka
49,Hand::N,हस्त,ranka
50,Hand::N,हस्त,plaštaka
51,Handfläche::N,हथेली,delnas
52,Handfläche::N,हथेली,plaštaka
53,Finger::N,उँगली,pirštas
54,Finger::N,अँगुली,pirštas
55,Fingernagel::N,नख,nagas
56,Fingernagel::N,नाख़ून,nagas
57,Nagel[Anatomie]::N,नख,nagas
58,Nagel[Anatomie]::N,नाख़ून,nagas
59,Zeh::N,उँगली,pirštas
60,Zeh::N,पाँव की उँगली,pirštas
61,Fuß::N,चरण,pėda
62,Fuß::N,पाँव,pėda
63,Ferse::N,एड़ी,kulnas
64,Knie::N,जानु,kelis
65,Knie::N,घुटना,kelis
66,Oberschenkel::N,उरु,kulšis
67,Oberschenkel::N,उरु,šlaunis
68,Bein::N,टाँग,koja
69,Körper::N,तन,kūnas
70,Körper::N,देह,kūnas
71,Körper::N,शरीर,kūnas
72,Haut::N,चर्म,oda
73,Haut::N,त्वचा,oda
74,Blut::N,लहू,kraujas
75,Blut::N,ख़ून,kraujas
76,Ader::N,रग,kraujagyslė
77,Ader::N,शिरा,kraujagyslė
78,Sehne::N,कंडरा,sausgyslė
79,Sehne::N,स्नायु,sausgyslė
80,Knochen::N,अस्थि,kaulas
81,Gehirn::N,दिमाग़,smegenys
82,Gehirn::N,मस्तिष्क,smegenys
83,Herz::N,दिल,širdis
84,Herz::N,हृदय,širdis
85,Magen::N,मेदा,skrandis
86,Magen::N,अमाशय,skrandis
87,Leber::N,जिगर,kepenys
88,Leber::N,यकृत्,kepenys
89,Atem::N,दम,kvapas
90,Atem::N,साँस,kvapas
91,Atem::N,श्वास,kvapas
92,Hunger::N,भूख,badas
93,Hunger::N,भूख,alkis
94,Hunger::N,क्षुधा,badas
95,Hunger::N,क्षुधा,alkis
96,Träne::N,आँसू,ašara
97,Träne::N,अश्रु,ašara
98,Geschmack::N,स्वाद,skonis
99,Geschmack::N,ज़ायक़ा,skonis
100,Geruch::N,बू,kvapas
101,Geruch::N,गंध,kvapas
102,Schlaf::N,नींद,miegas
103,Schlaf::N,निद्रा,miegas
104,Traum::N,सपना,sapnas
105,Traum::N,स्वप्न,sapnas
106,Himmel::N,आकाश,dangus
107,Himmel::N,आसमान,dangus
108,Sonne::N,रवि,saulė
109,Sonne::N,सूरज,saulė
110,Sonne::N,सूर्य,saulė
111,Mond::N,चाँद,mėnulis
112,Mond::N,चंद्र,mėnulis
113,Stern::N,तारा,žvaigždė
114,Stern::N,सितारा,žvaigždė
115,Luft::N,हवा,oras
116,Luft::N,वायु,oras
117,Wind::N,पाद,vėjas
118,Welle::N,लहर,banga
119,Welle::N,लहर,vilnis
120,Welle::N,तरंग,banga
121,Welle::N,तरंग,vilnis
122,Wasser::N,जल,vanduo
123,Wasser::N,पानी,vanduo
124,Stein::N,पत्थर,akmuo
125,Boden::N,मिट्टी,žemė
126,Boden::N,मिट्टी,dugnas
127,Erde::N,भूमि,žemė
128,Erde::N,ज़मीन,žemė
129,Staub::N,धूल,dulkės
130,Rauch::N,धूआँ,dūmai
131,Rauch::N,धुम्र,dūmai
132,Funke::N,चिनगारी,kibirkštis
133,Funke::N,स्फुलिंग,kibirkštis
134,Feuer::N,आग,ugnis
