,Concept_ID,ko,he
0,Auge::N,눈,עין
1,Ohr::N,귀,אזן
2,Nase::N,코,אף
3,Nase::N,코,חטם
4,Mund::N,입,פה
5,Zahn::N,이,שן
6,Zunge::N,혀,לשון
7,Lippe::N,입술,שפה
8,Wange::N,뺨,לחי
9,Gesicht::N,얼굴,פנים
10,Stirn::N,이마,מצח
11,Haar::N,털,שערה
12,Schnurrbart::N,윗수몀,שפם
13,Schnurrbart::N,코밑수염,שפם
14,Bart::N,수엄,זקן
15,Kinn::N,아래턱,סנטר
16,Kiefer[Anatomie]::N,턱,לסת
17,Kehle::N,인후,גרון
18,Hals::N,목,צואר
19,Genick::N,먹덜이,ערף
20,Kopf::N,머리,ראש
21,Rücken::N,든,גב
22,Bauch::N,배,בטן
23,Nabel::N,배꼽,טבור
24,Busen::N,가슴속,שד
25,Brust::N,가슴,חזה
26,Schulter::N,어깨,כתף
27,Arm::N,팔,זרוע
28,Ellenbogen::N,팔쿰치,מרפק
29,Hand::N,손,יד
30,Handfläche::N,손바닥,כף יד
31,Finger::N,속가락,אצבע
32,Fingernagel::N,손톱,צפרן
33,Nagel[Anatomie]::N,손톱,צפרן
34,Zeh::N,발가락,אצבע
35,Fuß::N,발,רגל
36,Ferse::N,발꿈치,עקב
37,Knie::N,무릎,ברך
38,Oberschenkel::N,허벅다리,ירך
39,Bein::N,다리,רגל
40,Körper::N,구간,גוף
41,Haut::N,살갗,עור
42,Blut::N,피,דם
43,Ader::N,정맥,וריד
44,Sehne::N,현,גיד
45,Knochen::N,뼈,עצם
46,Gehirn::N,뇌,מוח
47,Gehirn::N,뇌수,מוח
48,Herz::N,염통,לב
49,Magen::N,위,קבה
50,Leber::N,간,כבד
51,Atem::N,기식,נשימה
52,Hunger::N,공복,רעב
53,Träne::N,눈물,דמעה
54,Geschmack::N,기호,טעם
55,Geruch::N,냄새,ריח
56,Schlaf::N,수면,שנה
57,Traum::N,쿰,חלום
58,Himmel::N,하늘,שמים
59,Sonne::N,해,שמש
60,Mond::N,달,ירח
61,Stern::N,별,כוכב
62,Luft::N,동준,אויר
63,Luft::N,가스채,אויר
64,Wind::N,바람,רוח
65,Welle::N,물결,גל
66,Wasser::N,물,מים
67,Stein::N,돌,אבן
68,Boden::N,바닥,קרקע
69,Erde::N,흙,אדמה
70,Staub::N,먼지,אבק
71,Rauch::N,연기,עשן
72,Funke::N,불티,ניצוץ
73,Feuer::N,불,אש
74,Licht::N,불,אור
75,Schatten::N,어스레함,צל
76,Wetter::N,기상,מזג אויר
77,Nebel::N,안개,ערפל
78,Wolke::N,구름,ענן
79,Regen::N,비,גשם
80,Schnee::N,눈,שלג
81,Eis::N,얼음,קרח
82,Frost::N,혹한,צנה
83,Kälte::N,추위,קר
84,Kälte::N,차가움,קר
85,Hitze::N,고온,חם
86,Hitze::N,더위,חם
87,Regenbogen::N,무지개,קשת
88,Donner::N,뇌명,רעם
89,Strömung::N,유동,זרימה
90,Tropfen::N,물방울,טפה
91,Schaum::N,포말,קצף
92,Schmutz::N,때,לכלוך
93,See::N,호수,אגם
94,Sumpf::N,습지,בצה
95,Moor::N,저습지,בצה
96,Wiese::N,목초지,מרעה
97,Wald::N,숲,יער
98,Hügel::N,언덕,תל
99,Anhöhe::N,언덕,מעלה
100,Berg::N,산,הר
101,Gipfel::N,졀졍,פסגה
102,Höhle::N,공동,מערה
103,Abhang::N,몰매,מדרון
104,Abhang::N,몰매,שפוע
105,Quelle::N,근원,מעין
106,Bach::N,내,נחל
107,Fluss::N,강,נהר
108,Ufer::N,강변,גדה
109,Ufer::N,바닷가,גדה
110,Küste::N,해변,חוף
111,Küste::N,해변가,חוף
112,Festland::N,본토,יבשה
113,Meer::N,바다,ים
114,Bucht::N,협만,מפרץ
115,Insel::N,섬,אי
116,Blume::N,꽃,פרח
117,Gras::N,풀,דשא
118,Wurzel::N,뿌리,שרש
119,Baum::N,나무,עץ
120,Stamm::N,대,גזע
121,Rinde::N,나무껍질,קלפת עץ
122,Ast::N,가지,ענף
123,Zweig::N,가지,ענף
124,Blatt::N,잎,עלה
125,Birke::N,자작나무,שדר
126,Kiefer[Baum]::N,소나무,ארן
127,Weide[Baum]::N,쉬양버들,ערבה
128,Tanne::N,전나무,אשוח
129,Horn::N,뿔,קרן
130,Feder::N,깃털,נוצה
131,Fell::N,피혁모피,פרוה
132,Flügel::N,날개,כנף
133,Klaue::N,갈고리 발톺,טלף
134,Kralle::N,발툭,טפר
135,Schwanz::N,꼬리,זנב
136,Ei::N,알,ביצה
137,Nest::N,보금자리,קן
138,Bau::N,굴,מחלה
139,Tier::N,짐승,חיה
140,Herde::N,가축의떼,עדר
141,Kuh::N,암소,פרה
142,Bulle::N,황소,פר
143,Pferd::N,말,סוס
144,Schaf::N,양,כבשה
145,Schwein::N,돼지,חזיר
146,Hund::N,개,כלב
147,Katze::N,고양이,חתול
148,Bär::N,콤,דב
149,Eichhörnchen::N,다람쥐,סנאי
150,Elch::N,고라니,דישון
151,Fuchs::N,여우,שועל
152,Hase::N,토끼,ארנב
153,Maus::N,쥐,עכבר
154,Wolf::N,늑대,זאב
155,Vogel::N,새,צפור
156,Schwarm::N,뗴,נחיל
157,Schwarm::N,뗴,להקה
158,Huhn::N,암탉,תרנגלת
159,Hahn::N,수탉,תרנגול
160,Gans::N,거위,אוז
161,Adler::N,수리,עיט
162,Ente::N,오리,ברוז
163,Eule::N,부엉이,ינשוף
164,Kranich::N,두루미,עגור
165,Kranich::N,두루미,כרוכיה
166,Krähe::N,까마귀,עורב
