,Concept_ID,ko,uk
0,Auge::N,눈,око
1,Ohr::N,귀,вухо
2,Nase::N,코,ніс
3,Mund::N,입,рот
4,Zahn::N,이,зуб
5,Zunge::N,혀,язик
6,Lippe::N,입술,губа
7,Wange::N,뺨,щока
8,Gesicht::N,얼굴,обличчя
9,Stirn::N,이마,лоб
10,Haar::N,털,волосся
11,Schnurrbart::N,윗수몀,вуса
12,Schnurrbart::N,코밑수염,вуса
13,Bart::N,수엄,борода
14,Kinn::N,아래턱,підборіддя
15,Kiefer[Anatomie]::N,턱,щелепа
16,Kehle::N,인후,горло
17,Hals::N,목,шия
18,Genick::N,먹덜이,потилиця
19,Kopf::N,머리,голова
20,Rücken::N,든,спина
21,Bauch::N,배,живіт
22,Nabel::N,배꼽,пупок
23,Busen::N,가슴속,груди
24,Brust::N,가슴,груди
25,Schulter::N,어깨,плече
26,Arm::N,팔,рука
27,Ellenbogen::N,팔쿰치,лікоть
28,Hand::N,손,рука
29,Handfläche::N,손바닥,долоня
30,Finger::N,속가락,палець
31,Fingernagel::N,손톱,ніготь
32,Nagel[Anatomie]::N,손톱,ніготь
33,Zeh::N,발가락,палець на нозі
34,Fuß::N,발,нога
35,Ferse::N,발꿈치,п’ятка
36,Knie::N,무릎,коліно
37,Oberschenkel::N,허벅다리,стегно
38,Bein::N,다리,нога
39,Körper::N,구간,тіло
40,Haut::N,살갗,шкіра
41,Blut::N,피,кров
42,Ader::N,정맥,вена
43,Sehne::N,현,сухожилля
44,Knochen::N,뼈,кістка
45,Gehirn::N,뇌,мозок
46,Gehirn::N,뇌수,мозок
47,Herz::N,염통,серце
48,Magen::N,위,шлунок
49,Leber::N,간,печінка
50,Atem::N,기식,дихання
51,Hunger::N,공복,голод
52,Träne::N,눈물,сльоза
53,Geschmack::N,기호,смак
54,Geruch::N,냄새,запах
55,Schlaf::N,수면,сон
56,Schlaf::N,수면,сплячка
57,Traum::N,쿰,сон
58,Himmel::N,하늘,небо
59,Sonne::N,해,сонце
60,Mond::N,달,місяць
61,Stern::N,별,зірка
62,Luft::N,동준,повітря
63,Luft::N,가스채,повітря
64,Wind::N,바람,вітер
65,Welle::N,물결,хвиля
66,Wasser::N,물,вода
67,Stein::N,돌,камінь
68,Boden::N,바닥,ґрунт
69,Erde::N,흙,земля
70,Staub::N,먼지,пил
71,Rauch::N,연기,дим
72,Funke::N,불티,іскра
73,Feuer::N,불,вогонь
74,Licht::N,불,світло
75,Schatten::N,어스레함,тінь
76,Wetter::N,기상,погода
77,Nebel::N,안개,туман
78,Wolke::N,구름,хмара
79,Regen::N,비,дощ
80,Schnee::N,눈,сніг
81,Eis::N,얼음,лід
82,Frost::N,혹한,мороз
83,Kälte::N,추위,холод
84,Kälte::N,차가움,холод
85,Hitze::N,고온,жар
86,Hitze::N,더위,жар
87,Regenbogen::N,무지개,райдуга
88,Donner::N,뇌명,грім
89,Strömung::N,유동,струмина
90,Tropfen::N,물방울,крапля
91,Schaum::N,포말,піна
92,Schmutz::N,때,бруд
93,See::N,호수,озеро
94,Sumpf::N,습지,драговина
95,Moor::N,저습지,болото
96,Wiese::N,목초지,луг
97,Wiese::N,목초지,лука
98,Wald::N,숲,ліс
99,Hügel::N,언덕,горб
100,Anhöhe::N,언덕,височина
101,Berg::N,산,гора
102,Gipfel::N,졀졍,вершина
103,Höhle::N,공동,печера
104,Abhang::N,몰매,схил
105,Quelle::N,근원,джерело
106,Bach::N,내,струмок
107,Fluss::N,강,річка
108,Ufer::N,강변,берег
109,Ufer::N,바닷가,берег
