,Concept_ID,cs,mn
0,Auge::N,oko,нүд
1,Ohr::N,ucho,чих
2,Nase::N,nos,хамар
3,Mund::N,pusa,ам
4,Zahn::N,zub,шүд
5,Zunge::N,jazyk,хэл
6,Lippe::N,ret,уруул
7,Wange::N,tvář,хацар
8,Gesicht::N,obličej,царай
9,Gesicht::N,obličej,нүүр
10,Stirn::N,čelo,дух
11,Haar::N,vlas,үс
12,Haar::N,vlasy,үс
13,Schnurrbart::N,kníry,дээд сахал
14,Schnurrbart::N,kníry,живэр сахал
15,Bart::N,vousy,сахал
16,Kinn::N,brada,эрүү
17,Kiefer[Anatomie]::N,čelist,эрүү
18,Kehle::N,hrdlo,хоолой
19,Hals::N,krk,хүзүү
20,Genick::N,týl,шил
21,Genick::N,týl,хүзүү
22,Kopf::N,hlava,толгой
23,Rücken::N,záda,ар
24,Rücken::N,záda,нуруу
25,Rücken::N,hřbet,ар
26,Rücken::N,hřbet,нуруу
27,Bauch::N,břicho,хэвлий
28,Bauch::N,břicho,гэдэс
29,Nabel::N,pupek,хүйс
30,Busen::N,ňadra,хөх
31,Brust::N,prsa,цээж
32,Schulter::N,plece,мөр
33,Schulter::N,plece,бугалга
34,Schulter::N,rameno,мөр
35,Schulter::N,rameno,бугалга
36,Arm::N,ruka,гар
37,Ellenbogen::N,loket,тохой
38,Hand::N,ruka,гар
39,Hand::N,ruka,алга
40,Handfläche::N,dlaň,алга
41,Finger::N,prst,хуруу
42,Fingernagel::N,nehet,хурууны хумс
43,Nagel[Anatomie]::N,nehet,хумс
44,Zeh::N,prst u nohy,хуруу
45,Fuß::N,noha,хөл
46,Ferse::N,pata,өсгий
47,Knie::N,koleno,өвдөг
48,Oberschenkel::N,stehno,гуя
49,Bein::N,noha,хөл
50,Körper::N,tělo,бие
51,Haut::N,kůže,арьс
52,Blut::N,krev,цус
53,Ader::N,céva,судас
54,Sehne::N,šlacha,бүлх
55,Sehne::N,šlacha,шандас
56,Knochen::N,kost,яс
57,Gehirn::N,mozek,тархи
58,Herz::N,srdce,зүрх
59,Magen::N,žaludek,ходоод
60,Leber::N,játra,элэг
61,Atem::N,dech,амьсгаа
62,Hunger::N,hlad,өлсгөлөн
63,Träne::N,slza,нулимс
64,Geschmack::N,vkus,амт
65,Geruch::N,vůně,үнэр
66,Geruch::N,zápach,үнэр
67,Schlaf::N,spánek,нойр
68,Traum::N,sen,зүүд
69,Himmel::N,nebe,тэнгэр
70,Himmel::N,nebe,огторгуй
71,Sonne::N,slunce,нар
72,Mond::N,měsíc,сар
73,Stern::N,hvězda,од
74,Luft::N,vzduch,агаар
75,Wind::N,vítr,салхи
76,Welle::N,vlna,долгио
77,Welle::N,vlna,давалгаа
78,Wasser::N,voda,ус
79,Stein::N,kámen,чулуу
80,Boden::N,půda,хөрс
81,Erde::N,země,газар
82,Erde::N,země,шороо
83,Staub::N,prach,тоос
84,Rauch::N,dým,утаа
85,Rauch::N,kouř,утаа
86,Funke::N,jiskra,оч
87,Feuer::N,oheň,гал
88,Licht::N,světlo,гэрэл
89,Licht::N,světlo,гэгээ
90,Schatten::N,stín,сүүдэр
91,Wetter::N,počasí,тэнгэр
92,Wetter::N,počasí,цаг уур
93,Nebel::N,mlha,будан
94,Wolke::N,mrak,үүл
95,Wolke::N,oblak,үүл
96,Regen::N,déšť,бороо
97,Schnee::N,sníh,цас
98,Eis::N,led,мөс
99,Frost::N,mráz,хүйт
100,Kälte::N,chlad,хүйт
101,Hitze::N,horko,халуун
102,Raureif::N,jinovatka,цан
103,Raureif::N,jinovatka,хяруу
104,Regenbogen::N,duha,солонго
105,Donner::N,hrom,тэнгэрийн дуу
106,Strömung::N,proudění,урсгал
107,Tropfen::N,kapka,дусал
108,Schaum::N,pěna,хөөс
109,Schmutz::N,špína,хир
110,Schmutz::N,špína,шавхай
111,See::N,jezero,нуур
112,Sumpf::N,močál,намаг
113,Sumpf::N,močál,балчиг
114,Sumpf::N,bažina,намаг
115,Sumpf::N,bažina,балчиг
116,Moor::N,bažina,хүлрийн намаг
117,Moor::N,slatina,хүлрийн намаг
118,Wiese::N,louka,нуга
119,Wald::N,les,ой
