,Concept_ID,no,kl
0,Auge::N,øye,isi
1,Ohr::N,øre,siut
2,Nase::N,nese,
3,Mund::N,munn,paaq
4,Mund::N,munn,qaneq
5,Zahn::N,tann,kigut
6,Zunge::N,tunge,oqaq
7,Lippe::N,leppe,qarloq
8,Wange::N,kinn,ersaq
9,Gesicht::N,fjes,kiinaq
10,Gesicht::N,ansikt,kiinaq
11,Stirn::N,panne,qaaq
12,Haar::N,hår,meqqoq
13,Schnurrbart::N,bart,
14,Bart::N,skjegg,umik
15,Kinn::N,hake,talloq
16,Kiefer[Anatomie]::N,kjeve,alleroq
17,Kehle::N,strupe,malaq
18,Hals::N,hals,qungaseq
19,Genick::N,nakke,pukusuk
20,Kopf::N,hode,niaqoq
21,Rücken::N,rygg,qimerlut
22,Bauch::N,buk,naaq
23,Bauch::N,mage,naaq
24,Nabel::N,navle,qalaseq
25,Busen::N,barm,iviangeq
26,Brust::N,bryst,iviangeq
27,Schulter::N,skulder,ersik
28,Schulter::N,skulder,assaqqoq
29,Arm::N,arm,taleq
30,Ellenbogen::N,albue,ikusik
31,Hand::N,hånd,assak
32,Handfläche::N,håndflate,itumak
33,Finger::N,finger,inuak
34,Fingernagel::N,fingernegl,kikiak
35,Nagel[Anatomie]::N,negl,kukik
36,Zeh::N,tå,isigak
37,Fuß::N,fot,
38,Ferse::N,hæl,kimmik
39,Knie::N,kne,seeqqoq
40,Oberschenkel::N,lår,uppat
41,Oberschenkel::N,lår,quttoraq
42,Bein::N,bein,isigak
43,Körper::N,kropp,timi
44,Körper::N,legeme,timi
45,Haut::N,hud,mattak
46,Haut::N,skinn,mattak
47,Blut::N,blod,aak
48,Ader::N,åre,taqaq
49,Sehne::N,sene,ujalu
50,Sehne::N,sene,ujaloq
51,Knochen::N,bein,saanikut
52,Knochen::N,knokkel,saanikut
53,Gehirn::N,hjerne,qarasaq
54,Herz::N,hjerte,uummat
55,Magen::N,mage,aqajaroq
56,Leber::N,lever,tinguk
57,Atem::N,pust,anerneq
58,Hunger::N,sult,kaanneq
59,Träne::N,tåre,qia
60,Träne::N,tåre,qiak
61,Geschmack::N,smak,qilanaartuut
62,Geruch::N,lukt,tipi
63,Geruch::N,lukt,tipik
