,Concept_ID,lez,os
0,Auge::N,вил,цӕст
1,Ohr::N,яб,хъус
2,Nase::N,нер,фындз
3,Mund::N,сив,дзых
4,Zahn::N,сас,дӕндаг
5,Zahn::N,свах,дӕндаг
6,Zunge::N,мез,ӕвзаг
7,Lippe::N,пӏуз,был
8,Wange::N,хъвехъ,рус
9,Wange::N,хъвехъ,уадул
10,Wange::N,хъвехъ,ӕхсӕрфарс
11,Gesicht::N,ччин,цӕсгом
12,Stirn::N,пел,ных
13,Haar::N,чӏар,хил
14,Schnurrbart::N,спел,рихи
15,Schnurrbart::N,спелар,рихи
16,Bart::N,ччуру,зачъе
17,Kinn::N,чене,роцъо
18,Kiefer[Anatomie]::N,чене,ӕфсӕр
19,Kehle::N,туьд,хъуыр
20,Hals::N,гардан,къубал
21,Genick::N,кьам,къӕбут
22,Kopf::N,кьил,сӕр
23,Rücken::N,далу,фӕсонтӕ
24,Bauch::N,руфун,гуыбын
25,Nabel::N,пицӏ,бикъ
26,Busen::N,мам,дзидзи
27,Brust::N,хур,риу
28,Schulter::N,къуьн,уӕхск
29,Arm::N,гъил,цонг
30,Ellenbogen::N,кьуьнт,рæмбын
31,Hand::N,капаш,къух
32,Handfläche::N,капан юкь,армытъӕпӕн
33,Finger::N,тӏуб,ӕнруылдз
34,Fingernagel::N,кек,ных
35,Nagel[Anatomie]::N,кек,ных
36,Zeh::N,кул,къух
37,Fuß::N,кӏвач,фад
38,Ferse::N,дабан,зӕвӕт
39,Knie::N,мет,уӕраг
40,Bein::N,кӏвач,зӕнг
41,Körper::N,беден,буар
42,Haut::N,хам,царм
43,Blut::N,иви,туг
44,Ader::N,дамар,дадзин
45,Ader::N,дамар,тугдадзин
46,Sehne::N,кьуру дамар,хъиутæ
47,Sehne::N,кьуру дамар,нуар
48,Knochen::N,кӏараб,стӕг
49,Gehirn::N,мефт,магъз
50,Herz::N,рикӏ,зӕрдӕ
51,Magen::N,хук,ахсӕн
52,Leber::N,лекь,игæр
53,Atem::N,ял,улӕфт
54,Atem::N,нефес,улӕфт
55,Hunger::N,каш,стонг
56,Träne::N,вилин нагъв,цæссыг
57,Geschmack::N,дад,ад
58,Geschmack::N,тӏям,ад
59,Geruch::N,ни,смаг
60,Schlaf::N,ахвар,хуыссӕг
61,Traum::N,ахвар,фын
62,Himmel::N,цав,арв
63,Himmel::N,цав,уӕларв
64,Sonne::N,рагъ,хур
65,Mond::N,варз,мӕй
66,Stern::N,гъед,стъалы
67,Luft::N,гьава,уӕлдӕф
68,Wind::N,гар,дымгӕ
69,Welle::N,лепе,уылӕн
70,Wasser::N,яд,дон
71,Stein::N,къван,дур
72,Boden::N,накьв,зӕхх
73,Erde::N,ччил,сыджыт
74,Staub::N,руг,рыг
75,Rauch::N,гум,фӕздӕг
76,Funke::N,цӏелхем,цӕхӕр
77,Feuer::N,цӏай,зынг
78,Licht::N,экв,рухс
79,Schatten::N,серин,аууон
80,Wetter::N,гьава,боныхъӕд
81,Nebel::N,ччилин циф,мигъ
82,Wolke::N,циф,ӕврагъ
83,Regen::N,марф,уарын
84,Schnee::N,жив,мит
85,Eis::N,мурк,их
86,Frost::N,аяз,ихæн
87,Kälte::N,мекь,уазал
88,Kälte::N,мекьивал,уазал
89,Hitze::N,зегьем,ӕнтӕф
90,Raureif::N,къирав,халас
91,Regenbogen::N,яргъируш,арвырон
92,Regenbogen::N,яргъируш,арвырдын
93,Donner::N,цавун ван,æрвнæрын
94,Tropfen::N,стӏал,æртах
95,Schaum::N,каф,фынк
96,Schmutz::N,чирк,цъыф
97,Schmutz::N,кьуруш,цъыф
98,See::N,вир,цад
99,Sumpf::N,уьлен,цъыфдзаст
100,Wiese::N,векь,уыгӕрдӕн
101,Wald::N,там,хъӕд
102,Hügel::N,кӏунтӏ,обау
103,Hügel::N,кӏунтӏ,къуыбыр
104,Anhöhe::N,тепе,уæлвæз
105,Anhöhe::N,тепе,уæлхох
106,Anhöhe::N,гьуьндуьрвал,уæлвæз
107,Anhöhe::N,гьуьндуьрвал,уæлхох
108,Berg::N,дагъ,хох
109,Gipfel::N,кӏукӏ,цъупп
110,Höhle::N,кьветӏ,лӕгӕт
111,Abhang::N,гуьне,къул
112,Quelle::N,чешме,суадон
113,Bach::N,булах,мӕсчъыдон
114,Fluss::N,вацӏ,дон
115,Fluss::N,вацӏ,цӕугӕдон
116,Ufer::N,къерех,был
117,Küste::N,къерех,донбыл
118,Festland::N,кьурамат,сурзæхх
119,Meer::N,гьуьл,денджыз
120,Bucht::N,бухта,донбакæлæн
121,Insel::N,остров,сакъадах
122,Blume::N,цуьк,дидинӕг
123,Gras::N,хъач,кӕрдӕг
124,Wurzel::N,дувул,уидаг
125,Baum::N,ттар,бӕлас
126,Stamm::N,тан,хӕтӕл
127,Rinde::N,чкал,цъар
128,Ast::N,тӏур,арх
129,Zweig::N,хел,къалиу
130,Blatt::N,пеш,сыф
131,Birke::N,верх,бæрз
132,Kiefer[Baum]::N,шамагъаж,нӕзы
133,Weide[Baum]::N,цӏвелин ттар,хӕрис
134,Tanne::N,ель,наз
135,Horn::N,карч,сыкъа
136,Feder::N,цӏакул,сис
137,Fell::N,хам,царм
138,Flügel::N,лув,базыр
139,Klaue::N,къармах,ных
140,Kralle::N,пац,дзӕмбы
141,Kralle::N,тапас,дзӕмбы
142,Schwanz::N,ттум,къӕдзил
143,Ei::N,кака,айк
144,Nest::N,муг,ахстон
145,Bau::N,тӏеквен,хуынкъ
146,Tier::N,гьайван,сырд
147,Tier::N,гьайван,цӕрӕгой
148,Herde::N,суьруь,дзуг
149,Herde::N,суьруь,рӕгъау
150,Kuh::N,ккал,хъуг
151,Bulle::N,яц,гал
152,Bulle::N,бугъа,гал
153,Pferd::N,балкӏан,бӕх
154,Schaf::N,хеб,фыс
155,Schwein::N,вак,хуы
156,Hund::N,кицӏ,куыдз
157,Katze::N,кац,гӕды
158,Bär::N,сев,арс
159,Eichhörnchen::N,белка,æхсæрæг
160,Elch::N,лось,цæгатаг саг
161,Fuchs::N,сикӏ,рувас
162,Hase::N,къуьр,тæрхъус
163,Maus::N,кьиф,мыст
164,Wolf::N,жанавур,бирӕгъ
165,Vogel::N,луван ничхир,цъиу
166,Vogel::N,луван ничхир,маргъ
167,Schwarm::N,луж,бал
168,Huhn::N,верч,карк
169,Hahn::N,кӏек,уасӕг
170,Gans::N,къаз,хъаз
171,Adler::N,лекь,цӕргӕс
172,Ente::N,пӏатӏ,ацц
173,Eule::N,тӏиб, уыг
174,Eule::N,тӏиб,сидахъ
175,Kranich::N,дурна,зырнæг
176,Kranich::N,дурна,хърихъупп
177,Krähe::N,къаргъа,халон
178,Kuckuck::N,кукупӏ,гаккук
179,Schwan::N,къугь,доныхъаз
180,Fisch::N,гъед,кӕсаг
181,Barsch::N,окунь,окунь
182,Hecht::N,щука,хихор кӕсаг
183,Schlange[Tier]::N,илан,калм
184,Schlange[Tier]::N,гъуьлягъ,калм
185,Wurm::N,квак,зулкъ
186,Wurm::N,квак,къуыдыргалм
187,Spinne::N,хуьшрекан,хӕлуарӕг
188,Ameise::N,цегв,мæлдзыг
189,Laus::N,нет,сыст
190,Mücke::N,ветӏ,къогъо
191,Fliege::N,тӏветӏ,бындз
192,Schmetterling::N,чепелукь,гæлæбу
193,Beere::N,куьлуь емиш,гагадыргъ
194,Apfel::N,ич,фӕткъуы
195,Pilz::N,къарникъуз,зокъо
196,Pilz::N,къарникъуз,къозо
197,Zwiebel::N,чичӏек,хъӕдындз
198,Saat::N,тумар,тауинаг
199,Saat::N,тумар,мыггаг
200,Korn::N,твар,мыггаг
201,Korn::N,твар,тауинаг
202,Heu::N,векь,хос
203,Heu::N,векьер,хос
204,Schale::N,пириш,цъар
205,Schale::N,хъуьруьш,цъар
206,Grube::N,фур,урм
207,Grube::N,фур,къахт
208,Grube::N,фур,дзыхъхъ
209,Falle::N,ракьар,цъысым
210,Falle::N,ракьар,къӕппӕг
211,Schlinge::N,гьалкъа,цасм
212,Spur::N,гел,фæд
213,Asche::N,руьхъ,фӕнык
214,Asche::N,руьхъ,ӕртхутӕг
215,Dreck::N,чирк,цъыф
216,Dreck::N,кьуруш,цъыф
217,Eisen::N,ракь,ӕфсӕйнаг
218,Gold::N,алтун,сыгъзӕрин
219,Silber::N,гимиш,ӕвзист
220,Kohle::N,цӏивин,ӕвзалы
221,Glas::N,шуьше,авг
222,Lehm::N,ччеб,ӕлыг
223,Sand::N,къум,змис
224,Mensch::N,инсан,лӕг
225,Mensch::N,инсан,адӕймаг
226,Mensch::N,инсан,удгоймаг
227,Mann::N,итим,лӕг
228,Mann::N,итим,нӕлгоймаг
229,Frau::N,паб,сылгоймаг
230,Frau::N,дишегьли,сылгоймаг
231,Kind::N,аял,сывӕллон
