,Concept_ID,lt,te
0,Auge::N,akis,కన్ను
1,Ohr::N,ausis,చెవి
2,Nase::N,nosis,ముక్కు
3,Mund::N,burna,నోరు
4,Zahn::N,dantis,పల్లు
5,Zunge::N,liežuvis,నాలుక
6,Lippe::N,lūpa,పెదవి
7,Wange::N,žandas,చెంప
8,Wange::N,skruostas,చెంప
9,Gesicht::N,veidas,ముఖము
10,Stirn::N,kakta,నుదురు
11,Haar::N,plaukai,వెండ్రుక
12,Schnurrbart::N,ūsai,మీసము
13,Bart::N,barzda,గడ్డము
14,Kinn::N,smakras,గడ్డము
15,Kiefer[Anatomie]::N,žandikaulis,దౌడ
16,Kehle::N,gerklė,గొంతు
17,Hals::N,kaklas,మెడ
18,Genick::N,sprandas,మూపు
19,Kopf::N,galva,తల
20,Rücken::N,nugara,వెన్ను
21,Bauch::N,pilvas,కడుపు
22,Nabel::N,bamba,బొడ్డు
23,Busen::N,krūtinė,స్తనము
24,Brust::N,krūtis,ఱొమ్ము
25,Schulter::N,petys,భుజము
26,Arm::N,ranka,చేయి
27,Ellenbogen::N,alkūnė,మోచేయి
28,Hand::N,ranka,చేయి
29,Hand::N,plaštaka,చేయి
30,Handfläche::N,delnas,అరచేయు
31,Handfläche::N,plaštaka,అరచేయు
32,Finger::N,pirštas,చేతిప్రేలు
33,Fingernagel::N,nagas,గోరు
34,Nagel[Anatomie]::N,nagas,గోరు
35,Zeh::N,pirštas,కాలిప్రేలు
36,Fuß::N,pėda,అడుగు
37,Ferse::N,kulnas,మడమ
38,Knie::N,kelis,మోకాలు
39,Oberschenkel::N,kulšis,తొడ
40,Oberschenkel::N,šlaunis,తొడ
41,Bein::N,koja,కాలు
42,Körper::N,kūnas,కాయము
43,Haut::N,oda,చర్మము
44,Blut::N,kraujas,రక్తము
45,Ader::N,kraujagyslė,సిర
46,Sehne::N,sausgyslė,స్నాయువు
47,Knochen::N,kaulas,ఎముక
48,Gehirn::N,smegenys,మెదడు
49,Herz::N,širdis,హృదయము
50,Magen::N,skrandis,కడుపు
51,Leber::N,kepenys,కాలేయము
52,Atem::N,kvapas,ఉపిరి
53,Hunger::N,badas,ఆకలి
54,Hunger::N,alkis,ఆకలి
55,Träne::N,ašara,కన్నీటిచుక్క
56,Geschmack::N,skonis,రుచి
57,Geruch::N,kvapas,వాసన
58,Schlaf::N,miegas,నిద్ర
59,Traum::N,sapnas,కల
60,Himmel::N,dangus,ఆకాశము
61,Sonne::N,saulė,సూర్యుడు
62,Mond::N,mėnulis,చంద్రుడు
63,Stern::N,žvaigždė,నక్షత్రము
64,Luft::N,oras,గాలి
65,Wind::N,vėjas,వీచుచున్నగాలి
66,Welle::N,banga,అల
67,Welle::N,vilnis,అల
68,Wasser::N,vanduo,నీరు
69,Stein::N,akmuo,ఱాయి
70,Boden::N,žemė,నేల
71,Boden::N,dugnas,నేల
72,Erde::N,žemė,మన్ను
73,Staub::N,dulkės,దుమ్ము
74,Rauch::N,dūmai,పొగ
75,Funke::N,kibirkštis,అగ్నికణము
76,Feuer::N,ugnis,అగ్ని
77,Licht::N,šviesa,కాంతి
78,Schatten::N,paūksmė,నీడ
79,Wetter::N,oras,వాతావరణ స్థితి
80,Nebel::N,migla,పొగమంచు
81,Nebel::N,rūkas,పొగమంచు
82,Wolke::N,debesis,మేఘము
83,Regen::N,lietus,వాన
84,Schnee::N,sniegas,హిమము
85,Eis::N,ledas,మంచుగడ్డ
86,Frost::N,šalna,పేరిన మంచు
87,Kälte::N,šaltis,చలి
88,Hitze::N,karštis,వేడిమి
89,Raureif::N,šerkšnas,మంచు
90,Regenbogen::N,vaivorykštė,ఇంద్రధనుస్సు
91,Donner::N,perkūnas,ఉరుము
92,Donner::N,griaustinis,ఉరుము
93,Strömung::N,tėkmė,ప్రవాహము
94,Tropfen::N,lašas,చుక్క
95,Schaum::N,putos,నురుగు
96,Schmutz::N,purvas,మైల
97,See::N,ežeras,సరస్సు
98,Sumpf::N,klampynė,చిత్తడినేల
99,Sumpf::N,liūnas,చిత్తడినేల
100,Moor::N,pelkė,చిత్తడినేల
101,Wiese::N,pieva,పచ్చిక బయలు
102,Wald::N,miškas,అడవి
103,Hügel::N,kalva,చివ్నకొండ
104,Anhöhe::N,kauburys,కొండ
105,Berg::N,kalnas,పర్వతము
106,Gipfel::N,viršūnė,శిఖరము
107,Höhle::N,ola,గుహ
108,Abhang::N,šlaitas,ఏటవాలు
109,Abhang::N,nuokalnė,ఏటవాలు
110,Quelle::N,versmė,మూలము
111,Quelle::N,šaltinis,మూలము
112,Bach::N,upelis,కాలువ
113,Fluss::N,upė,నది
114,Ufer::N,krantas,తీరము
115,Küste::N,pajūris,తీరము
116,Festland::N,sausuma,భూమి
117,Meer::N,jūra,సముద్రము
118,Bucht::N,įlanka,మరుగు
119,Bucht::N,užutekis,మరుగు
120,Insel::N,sala,దీవి
121,Blume::N,gėlė,పుష్పము
122,Gras::N,žolė,పచ్చగడ్డి
123,Wurzel::N,šaknis,వేరు
124,Baum::N,medis,చెట్టు
125,Stamm::N,kamienas,చెట్టుబోదె
126,Rinde::N,žievė,చెట్టుపట్ట
127,Ast::N,šaka,కొమ్మ
128,Zweig::N,šakelė,చివుకు
129,Blatt::N,lapas,ఆకు
130,Birke::N,beržas,తరహా చెట్టు
131,Kiefer[Baum]::N,pušis,దేవదారు చెట్టు
132,Weide[Baum]::N,karklas,జాతిచెట్టు
133,Tanne::N,eglė,దేవదారుచెట్టు
