,Concept_ID,kn,pl
0,Auge::N,ಕಣ್ಣು,oko
1,Ohr::N,ಕಿವಿ,ucho
2,Nase::N,ಮೂಗು,nos
3,Mund::N,ಬಾಯಿ,usta
4,Zahn::N,ಹಲ್ಲು,ząb
5,Zunge::N,ನಾಲಿಗೆ,język
6,Lippe::N,ತುಟಿ,warga
7,Wange::N,ಗಲ್ಲ,policzek
8,Gesicht::N,ಮುಖ,twarz
9,Stirn::N,ಹಣೆ,czoło
10,Haar::N,ಕೂದಲು,włos
11,Haar::N,ಕೂದಲು,włosy
12,Schnurrbart::N,ಮೀಸೆ,wąsy
13,Bart::N,ಗಡ್ಡ,broda
14,Kinn::N,ಗದ್ದ,podbródek
15,Kiefer[Anatomie]::N,ದವಡೆ,czeluść
16,Kehle::N,ಗಂಟಲು,gardło
17,Hals::N,ಕೊರಳು,szyja
18,Genick::N,ಹಿಂಗತ್ತು,kark
19,Kopf::N,ತಲೆ,głowa
20,Rücken::N,ಬೆನ್ನು,plecy
21,Rücken::N,ಬೆನ್ನು,grzbiet
22,Bauch::N,ಹೊಟ್ಟೆ,brzuch
23,Nabel::N,ಹೊಕ್ಕುಳು,pępek
24,Busen::N,ಸ್ತನ,biust
25,Brust::N,ಎದೆ,pierś
26,Schulter::N,ಭುಜ,bark
27,Schulter::N,ಭುಜ,ramię
28,Arm::N,ತೋಳು,ręka
29,Arm::N,ತೋಳು,ramię
30,Ellenbogen::N,ಮೊಣಕೈ,łokieć
31,Hand::N,ಕೈ,dłoń
32,Handfläche::N,ಅಂಗೈ,dłoń
33,Finger::N,ಕೈಬೆರಳು,palec
34,Fingernagel::N,ಉಗುರು,paznokieć
35,Nagel[Anatomie]::N,ಉಗುರು,paznokieć
36,Zeh::N,ಕಾಲ್ಬೆರಳು,palec
37,Fuß::N,ಪಾದ,stopa
38,Ferse::N,ಹಿಮ್ಮಡಿ,pięta
39,Knie::N,ಮಂಡಿ,kolano
40,Oberschenkel::N,ತೊಡೆ,udo
41,Bein::N,ಕಾಲು,noga
42,Körper::N,ದೇಹ,ciało
43,Haut::N,ಚರ್ಮ,skóra
44,Blut::N,ರಕ್ತ,krew
45,Ader::N,ನರ,żyła
46,Sehne::N,ನರ,ścięgno
47,Knochen::N,ಮೂಳೆ,kość
48,Gehirn::N,ಮಿದುಳು,mózg
49,Herz::N,ಹೃದಯ,serce
50,Magen::N,ಉದರ,żołądek
51,Leber::N,ಯಕೃತ್ತು,wątroba
52,Atem::N,ಉಸಿರು,dech
53,Atem::N,ಉಸಿರು,oddech
54,Hunger::N,ಹಸಿವು,głód
55,Träne::N,ಕಣ್ಣೀರು,łza
56,Geschmack::N,ರುಚಿ,smak
