,Concept_ID,da,ba
0,Auge::N,øje,күҙ
1,Ohr::N,øre,ҡолаҡ
2,Nase::N,næse,танау
3,Mund::N,mund,ауыҙ
4,Zahn::N,tand,теш
5,Zunge::N,tunge,тел
6,Lippe::N,læbe,ирен
7,Wange::N,kind,яцаҡтар
8,Gesicht::N,ansigt,бит
9,Stirn::N,pande,маңлай
10,Haar::N,hår,сәс
11,Schnurrbart::N,overskæg,мылтыҡ
12,Bart::N,skæg,һаҡал
13,Kinn::N,hage,эйэк
14,Kiefer[Anatomie]::N,kæbe,яңаҡ һөйәге
15,Kehle::N,strube,тамаҡ
16,Hals::N,hals,муйын
17,Genick::N,nakke,соңҡа
18,Kopf::N,hoved,баш
19,Rücken::N,ryg,арҡа
20,Bauch::N,mave,ҡорһаҡ
21,Nabel::N,navle,кендек
22,Busen::N,barm,күкрәк
23,Brust::N,bryst,түш
24,Schulter::N,skulder,яурын
25,Arm::N,arm,ҡул
26,Ellenbogen::N,albue,терһәк
27,Hand::N,hånd,ҡул
28,Hand::N,hånd,ҡул суғы
29,Handfläche::N,håndflade,ус төбө
30,Finger::N,finger,бармаҡ
31,Fingernagel::N,fingernegl,тырнаҡ
32,Nagel[Anatomie]::N,negl,тырнаҡ
33,Zeh::N,tå,бармаҡ
34,Fuß::N,fod,табан
35,Ferse::N,hæl,үксә
36,Knie::N,knæ,тубыҡ
37,Oberschenkel::N,lår,сандыр
38,Bein::N,ben,аяҡ
39,Körper::N,krop,тән
40,Körper::N,legeme,тән
41,Haut::N,hud,тире
42,Blut::N,blod,ҡан
43,Ader::N,åre,тамыр
44,Sehne::N,sene,һеңер
45,Sehne::N,sene,тарамыш
46,Knochen::N,ben,һойәк
47,Gehirn::N,hjerne,мейе
48,Herz::N,hjerte,йорәк
49,Magen::N,mave,ашҡаҙан
50,Leber::N,lever,бауыр
51,Atem::N,ånde,һулыш
52,Hunger::N,sult,аслыҡ
53,Träne::N,tåre,күҙ иәше
54,Geschmack::N,smag,тәм
55,Geruch::N,lugt,еҫ
56,Schlaf::N,søvn,йоҡлау
57,Traum::N,drøm,төш
58,Himmel::N,himmel,күк
59,Sonne::N,sol,ҡояш
60,Mond::N,måne,ай
61,Stern::N,stjerne,йондоҙ
62,Luft::N,luft,һауа
63,Wind::N,vind,ел
64,Welle::N,bølge,тулҡын
65,Wasser::N,vand,һыу
66,Stein::N,sten,таш
67,Boden::N,jord,тупраҡ
68,Erde::N,jord,балсҡ
69,Staub::N,støv,туҙан
70,Rauch::N,røg,төтөн
71,Funke::N,gnist,осҡон
72,Feuer::N,ild,ут
