,Concept_ID,az,cs
0,Auge::N,göz,oko
1,Ohr::N,qulaq,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,pusa
4,Zahn::N,diş,zub
5,Zunge::N,dil,jazyk
6,Lippe::N,dodaq,ret
7,Wange::N,yanaq,tvář
8,Gesicht::N,üz,obličej
9,Stirn::N,alın,čelo
10,Haar::N,saç,vlas
11,Haar::N,saç,vlasy
12,Schnurrbart::N,bığ,kníry
13,Bart::N,saqqal,vousy
14,Kinn::N,çənə,brada
15,Kiefer[Anatomie]::N,çənə,čelist
16,Kehle::N,boğaz,hrdlo
17,Hals::N,boyun,krk
18,Genick::N,ənsə,týl
19,Kopf::N,baş,hlava
20,Rücken::N,bel,záda
21,Rücken::N,bel,hřbet
22,Bauch::N,qarın,břicho
23,Nabel::N,göbək,pupek
24,Busen::N,məmə,ňadra
25,Brust::N,döş,prsa
26,Schulter::N,çiyin,plece
27,Schulter::N,çiyin,rameno
28,Arm::N,qol,ruka
29,Ellenbogen::N,dirsək,loket
30,Hand::N,əl,ruka
31,Handfläche::N,ovuc,dlaň
32,Finger::N,barmaq,prst
33,Fingernagel::N,barmaq dırnağı,nehet
34,Nagel[Anatomie]::N,dırnak,nehet
35,Zeh::N,ayaq barmağı,prst u nohy
36,Fuß::N,ayaq,noha
37,Ferse::N,daban,pata
38,Knie::N,diz,koleno
39,Oberschenkel::N,bud,stehno
40,Bein::N,qıç,noha
41,Körper::N,əndam,tělo
42,Haut::N,dəri,kůže
43,Blut::N,qan,krev
44,Ader::N,damar,céva
45,Sehne::N,vətər,šlacha
46,Knochen::N,sümük,kost
47,Gehirn::N,beyin,mozek
48,Herz::N,ürək,srdce
49,Magen::N,mədə,žaludek
50,Leber::N,qara ciyər,játra
51,Atem::N,nəfəs,dech
52,Hunger::N,aclıq,hlad
53,Träne::N,göz yaşı,slza
54,Geschmack::N,tam,vkus
55,Geschmack::N,ləzzət,vkus
56,Geruch::N,qoxu,vůně
57,Geruch::N,qoxu,zápach
58,Schlaf::N,yuxu,spánek
59,Traum::N,röya,sen
60,Himmel::N,göy,nebe
61,Himmel::N,səma,nebe
62,Sonne::N,günəş,slunce
63,Mond::N,ay,měsíc
64,Stern::N,ulduz,hvězda
65,Luft::N,hava,vzduch
66,Wind::N,yel,vítr
67,Wind::N,külək,vítr
68,Welle::N,dalğa,vlna
69,Wasser::N,su,voda
70,Stein::N,daş,kámen
71,Boden::N,yer,půda
72,Boden::N,zəmin,půda
73,Erde::N,yer torpaq,země
74,Staub::N,toz,prach
75,Rauch::N,tüstü,dým
76,Rauch::N,tüstü,kouř
77,Funke::N,qığılcım,jiskra
78,Feuer::N,od,oheň
79,Licht::N,işıq,světlo
80,Schatten::N,kölgə,stín
81,Wetter::N,hava,počasí
82,Nebel::N,duman,mlha
83,Wolke::N,bulud,mrak
84,Wolke::N,bulud,oblak
85,Regen::N,yağış,déšť
86,Regen::N,yağmur,déšť
87,Schnee::N,qar,sníh
88,Eis::N,buz,led
89,Frost::N,ayaz,mráz
90,Kälte::N,soyuq,chlad
91,Hitze::N,coşğunluq,horko
92,Raureif::N,qırov,jinovatka
93,Regenbogen::N,göy qurşağı,duha
94,Donner::N,göy gurultusu,hrom
95,Strömung::N,axın,proudění
96,Tropfen::N,damcı,kapka
97,Schaum::N,köpük,pěna
98,Schmutz::N,çamır,špína
99,See::N,göl,jezero
100,Sumpf::N,bataqlıq,močál
101,Sumpf::N,bataqlıq,bažina
102,Moor::N,bataqlıq,bažina
103,Moor::N,bataqlıq,slatina
104,Wiese::N,çəmən,louka
105,Wald::N,meşə,les
106,Hügel::N,təpə,kopec
107,Anhöhe::N,təpə,pahorek
108,Berg::N,dağ,hora
109,Gipfel::N,zirvə,vrchol
110,Höhle::N,mağara,jeskyně
111,Abhang::N,yamac,svah
112,Abhang::N,yamac,stráň
113,Quelle::N,bulaq,pramen
114,Bach::N,kiçik çay,potok
115,Fluss::N,çay,řeka
116,Ufer::N,kənar,břeh
117,Küste::N,sahil,pobřeží
118,Festland::N,materik,souš
119,Festland::N,materik,pevnina
120,Meer::N,dəniz,moře
121,Bucht::N,körfəz,záliv
122,Bucht::N,körfəz,zátoka
123,Insel::N,ada,ostrov
124,Blume::N,çiçək,květina
125,Gras::N,ot,tráva
126,Wurzel::N,kök,kořen
127,Baum::N,ağac,strom
128,Stamm::N,gövdə,kmen
129,Rinde::N,qabıq,kůra
130,Ast::N,şax,větev
131,Zweig::N,budaq,větev
132,Blatt::N,yarpaq,lupen
133,Birke::N,tozağacı,bříza
134,Kiefer[Baum]::N,şam,sosna
135,Kiefer[Baum]::N,şam,borovice
136,Weide[Baum]::N,söyüd,vrba
137,Tanne::N,küknar,jedle
138,Horn::N,buynuz,roh
139,Feder::N,tük,pero
140,Feder::N,lələk,pero
141,Fell::N,xəz,srst
142,Flügel::N,qanad,křídlo
143,Klaue::N,pəncə,dráp
144,Klaue::N,pəncə,pazneht
145,Kralle::N,dırnaq,dráp
146,Schwanz::N,quyruq,ocas
147,Ei::N,yumurta,vejce
148,Nest::N,yuva,hnízdo
149,Bau::N,yuva,nora
150,Tier::N,heyvan,zvíře
151,Herde::N,sürü,stádo
152,Kuh::N,inək,kráva
153,Bulle::N,öküz,býk
154,Pferd::N,at,kůň
155,Schaf::N,qoyun,ovce
