,Concept_ID,sv,es
0,Auge::N,öga,ojo
1,Ohr::N,öra,oreja
2,Nase::N,näsa,nariz
3,Mund::N,mun,boca
4,Zahn::N,tand,diente
5,Zunge::N,tunga,lengua
6,Lippe::N,läpp,labio
7,Wange::N,kind,mejilla
8,Gesicht::N,syn,cara
9,Gesicht::N,ansikte,cara
10,Stirn::N,panna,frente
11,Haar::N,hår,cabello
12,Schnurrbart::N,mustasch,bigote
13,Bart::N,skägg,barba
14,Kinn::N,haka,barbilla
15,Kiefer[Anatomie]::N,käke,mandíbula
16,Kehle::N,strupe,garganta
17,Hals::N,hals,cuello
18,Genick::N,nacke,nuca
19,Genick::N,nacke,cerviz
20,Kopf::N,huvud,cabeza
21,Rücken::N,rygg,espalda
22,Bauch::N,buk,vientre
23,Bauch::N,mage,vientre
24,Nabel::N,navel,ombligo
25,Busen::N,barm,pecho
26,Brust::N,bröst,pecho
27,Schulter::N,skuldra,hombro
28,Arm::N,arm,brazo
29,Ellenbogen::N,armbåge,codo
30,Hand::N,hand,mano
31,Handfläche::N,handflata,palma
32,Finger::N,finger,dedo
33,Fingernagel::N,fingernagel,uña
34,Nagel[Anatomie]::N,nagel,uña
35,Zeh::N,tå,dedo del pie
36,Fuß::N,fot,pie
37,Ferse::N,häl,talón
38,Knie::N,knä,rodilla
39,Oberschenkel::N,lår,muslo
40,Bein::N,ben,pierna
41,Körper::N,kropp,cuerpo
42,Haut::N,hud,piel
43,Haut::N,skinn,piel
44,Blut::N,blod,sangre
45,Ader::N,åder,vena
46,Sehne::N,sena,tendón
47,Knochen::N,ben,hueso
48,Gehirn::N,hjärna,cerebro
49,Gehirn::N,hjärna,encéfalo
50,Herz::N,hjärta,corazón
51,Magen::N,mage,estómago
52,Leber::N,lever,hígado
53,Atem::N,anda,aliento
54,Atem::N,andedräkt,aliento
55,Hunger::N,svält,hambre
56,Hunger::N,hunger,hambre
57,Träne::N,tår,lágrima
58,Geschmack::N,smak,gusto
59,Geruch::N,lukt,olor
60,Schlaf::N,sömn,sueño
61,Traum::N,dröm,sueño
62,Traum::N,dröm,ensueño
63,Himmel::N,himmel,cielo
64,Sonne::N,sol,sol
65,Mond::N,måne,luna
66,Stern::N,stjärna,estrella
67,Luft::N,luft,aire
68,Wind::N,vind,viento
69,Welle::N,våg,ola
70,Welle::N,våg,onda
71,Welle::N,bölja,ola
72,Welle::N,bölja,onda
73,Wasser::N,vatten,agua
74,Stein::N,sten,piedra
75,Boden::N,mark,suelo
76,Erde::N,jord,tierra
77,Staub::N,damm,polvo
78,Rauch::N,rök,humo
79,Funke::N,gnista,chispa
80,Feuer::N,eld,fuego
81,Licht::N,ljus,luz
82,Schatten::N,skugga,sombra
83,Wetter::N,väder,tiempo
84,Nebel::N,dimma,niebla
85,Nebel::N,töcken,niebla
86,Wolke::N,sky,nube
87,Wolke::N,moln,nube
88,Regen::N,regn,lluvia
89,Schnee::N,snö,nieve
90,Eis::N,is,hielo
91,Frost::N,frost,helada
92,Kälte::N,köld,frío
93,Hitze::N,hetta,calor
94,Raureif::N,rimfrost,escarcha
95,Regenbogen::N,regnbåge,arco iris
96,Donner::N,åska,trueno
97,Donner::N,dunder,trueno
98,Strömung::N,strömning,corriente
99,Tropfen::N,dropper,gota
100,Schaum::N,skum,espuma
101,Schmutz::N,lort,suciedad
102,Schmutz::N,smuts,suciedad
103,See::N,sjö,lago
104,Sumpf::N,träsk,pantano
105,Moor::N,myr,turbera
106,Moor::N,mosse,turbera
107,Wiese::N,äng,prado
108,Wiese::N,äng,pradera
109,Wald::N,skog,bosque
110,Hügel::N,höjd,colina
111,Hügel::N,kulle,colina
112,Anhöhe::N,höjd,cerro
113,Anhöhe::N,backe,cerro
114,Berg::N,berg,monte
115,Berg::N,berg,montaña
116,Berg::N,fjäll,monte
117,Berg::N,fjäll,montaña
118,Gipfel::N,topp,cima
119,Gipfel::N,topp,cumbre
120,Höhle::N,håla,cueva
121,Höhle::N,håla,caverna
122,Höhle::N,grotta,cueva
123,Höhle::N,grotta,caverna
124,Abhang::N,slänt,cuesta
125,Abhang::N,slänt,declive
126,Abhang::N,sluttning,cuesta
127,Abhang::N,sluttning,declive
128,Quelle::N,källa,fuente
129,Quelle::N,källa,manantial
130,Bach::N,bäck,arroyo
131,Fluss::N,älv,río
132,Fluss::N,flod,río
133,Ufer::N,strand,orilla
134,Küste::N,kust,costa
135,Festland::N,fastland,tierra firme
136,Meer::N,hav,mar
137,Bucht::N,vik,cala
138,Bucht::N,vik,bahía
139,Bucht::N,bukt,cala
140,Bucht::N,bukt,bahía
141,Insel::N,ö,isla
142,Blume::N,blomma,flor
143,Blume::N,blomster,flor
144,Gras::N,gräs,hierba
145,Wurzel::N,rot,raíz
146,Baum::N,träd,árbol
147,Stamm::N,stam,tronco
148,Rinde::N,bark,corteza
149,Ast::N,gren,rama
150,Zweig::N,kvist,ramo
151,Blatt::N,löv,hoja
152,Blatt::N,blad,hoja
153,Birke::N,björk,abedul
154,Kiefer[Baum]::N,tall,pino
155,Weide[Baum]::N,pil,sauce
156,Weide[Baum]::N,vide,sauce
157,Tanne::N,gran,abeto
158,Horn::N,horn,asta
159,Horn::N,horn,cuerno
160,Feder::N,fjäder,pluma
161,Fell::N,fäll,piel
162,Fell::N,skinn,piel
163,Flügel::N,vinge,ala
164,Klaue::N,klöv,garra
165,Kralle::N,klo,uña
166,Kralle::N,klo,garra
167,Schwanz::N,svans,cola
168,Schwanz::N,stjärt,cola
169,Ei::N,ägg,huevo
170,Nest::N,rede,nido
171,Nest::N,näste,nido
172,Bau::N,bo,madriguera
173,Tier::N,djur,animal
174,Herde::N,flock,rebaño
175,Kuh::N,ko,vaca
176,Bulle::N,tjur,toro
177,Pferd::N,häst,caballo
178,Schaf::N,får,oveja
179,Schwein::N,svin,cerdo
180,Hund::N,hund,perro
181,Katze::N,katt,gato
182,Bär::N,björn,oso
183,Eichhörnchen::N,ekorre,ardilla
184,Elch::N,älg,alce
185,Fuchs::N,räv,zorro
186,Hase::N,hare,liebre
187,Maus::N,mus,ratón
188,Wolf::N,varg,lobo
189,Vogel::N,fågel,ave
190,Vogel::N,fågel,pájaro
191,Schwarm::N,svärm,bandada
192,Huhn::N,höns,gallina
193,Hahn::N,tupp,gallo
194,Gans::N,gås,oca
195,Gans::N,gås,ganso
196,Adler::N,örn,águila
197,Ente::N,anka,pato
198,Eule::N,uggla,lechuza
199,Kranich::N,trana,grulla
200,Krähe::N,kråka,corneja
201,Kuckuck::N,gök,cuco
202,Schwan::N,svan,cisne
203,Fisch::N,fisk,pez
204,Barsch::N,abborre,perca
205,Hecht::N,gädda,lucio
206,Schlange[Tier]::N,orm,serpiente
207,Wurm::N,mask,gusano
208,Spinne::N,spindel,araña
209,Ameise::N,myra,hormiga
210,Laus::N,lus,piojo
211,Mücke::N,mygga,mosquito
212,Fliege::N,fluga,mosca
213,Schmetterling::N,fjäril,mariposa
214,Beere::N,bär,baya
215,Apfel::N,äpple,manzana
216,Pilz::N,svamp,seta
217,Pilz::N,svamp,hongo
218,Zwiebel::N,lök,cebolla
219,Saat::N,sådd,siembra
220,Korn::N,korn,grano
221,Heu::N,hö,heno
222,Schale::N,skal,cáscara
223,Grube::N,grop,foso
224,Falle::N,fälla,trampa
225,Schlinge::N,snara,lazo
226,Spur::N,spår,huella
227,Asche::N,aska,ceniza
228,Dreck::N,lort,suciedad
229,Eisen::N,järn,hierro
230,Gold::N,guld,oro
231,Silber::N,silver,plata
232,Kohle::N,kol,carbón
233,Glas::N,glas,vidrio
234,Glas::N,glas,cristal
235,Lehm::N,lera,barro
236,Sand::N,sand,arena
237,Mensch::N,människa,hombre
238,Mensch::N,människa,ser humano
239,Mann::N,man,hombre
240,Frau::N,kvinna,mujer
241,Kind::N,barn,niño
242,Junge::N,pojke,chico
