,Concept_ID,zh,ku
0,Auge::N,眼睛,çav
1,Ohr::N,耳朵,guh
2,Nase::N,鼻子,bêvil
3,Mund::N,嘴,dev
4,Zahn::N,牙齿,didan
5,Zunge::N,舌头,ziman
6,Lippe::N,嘴唇,lêv
7,Wange::N,面颊,dêm
8,Wange::N,面颊,hinarik
9,Gesicht::N,脸,rû
10,Stirn::N,额,enî
11,Haar::N,头发,por
12,Schnurrbart::N,髭须,simbêl
13,Bart::N,胡子,rih
14,Kinn::N,下巴,zenî
15,Kiefer[Anatomie]::N,颌,arguşk
16,Kehle::N,嗓子,qirik
17,Hals::N,颈,stû
18,Hals::N,颈,qirik
19,Genick::N,后颈,stû
20,Kopf::N,头,serî
21,Rücken::N,背,pişt
22,Bauch::N,肚子,ûr
23,Bauch::N,肚子,zik
24,Nabel::N,肚脐,navik
25,Busen::N,胸脯,sîng
26,Brust::N,胸,sîng
27,Schulter::N,肩膀,mil
28,Arm::N,臂膀,çepil
29,Ellenbogen::N,肘,enîşk
30,Hand::N,手,dest
31,Handfläche::N,手掌,kefadest
32,Finger::N,手指,tilî
33,Fingernagel::N,指甲,neynuk
34,Nagel[Anatomie]::N,指甲,bizmar
35,Zeh::N,脚趾,tilî linga
36,Fuß::N,脚,ling
37,Ferse::N,后跟,pahnî
38,Knie::N,膝,kabok
39,Oberschenkel::N,大腿,rahn
40,Bein::N,腿,çip
41,Körper::N,身体,laş
42,Körper::N,身体,gowde
43,Haut::N,皮肤,çerm
44,Blut::N,血,xwîn
45,Ader::N,血管,reh
46,Sehne::N,腱,reh
47,Knochen::N,骨,hestî
48,Gehirn::N,脑,mêjî
49,Herz::N,心,dil
50,Magen::N,胃,navêş
51,Leber::N,肝,kezeb
52,Atem::N,呼吸,hilm
53,Hunger::N,饿,birçîtî
54,Träne::N,眼泪,hêstir
55,Geschmack::N,味道,tam
56,Geruch::N,气味,bêhn
57,Schlaf::N,睡眠,xew
58,Traum::N,梦,xewn
59,Himmel::N,天空,ezman
60,Sonne::N,太阳,roj
61,Mond::N,月亮,heyv
62,Stern::N,星,stêrk
63,Luft::N,空气,ba
64,Wind::N,风,ba
65,Welle::N,波,şewl
66,Wasser::N,水,av
67,Stein::N,石头,kevir
68,Boden::N,地面,herd
69,Erde::N,地,ax
70,Staub::N,灰尘,toz
71,Rauch::N,烟,dû
72,Funke::N,火花,çirûşk
73,Feuer::N,火,agir
74,Licht::N,光,ronahî
75,Schatten::N,影子,sî
76,Wetter::N,天气,hewa
77,Nebel::N,雾,mij
78,Wolke::N,云,ewr
79,Regen::N,雨,baran
80,Schnee::N,雪,berf
81,Eis::N,冰,qeşa
82,Frost::N,霜冻,xûsik
83,Kälte::N,寒冷,serma
84,Hitze::N,炎热,germayî
85,Raureif::N,霜,şext
86,Regenbogen::N,虹,heftreng
87,Donner::N,雷,gire-gir
88,Strömung::N,水流,şewl
89,Tropfen::N,滴,dilop
90,Schaum::N,泡沫,kef
91,Schmutz::N,赃物,gemar
92,See::N,湖,gol
93,Sumpf::N,沼泽,hezek
94,Moor::N,沼泽,mafêl
95,Wiese::N,草地,sûrik
96,Wald::N,森林,çiya
97,Wald::N,森林,daristan
98,Hügel::N,丘陵,gir
99,Anhöhe::N,山丘,sere gir
100,Berg::N,山,kaş
101,Gipfel::N,峰,sere gir
102,Höhle::N,洞穴,şikeft
103,Abhang::N,斜坡,kaş
104,Quelle::N,泉,kanî
105,Bach::N,溪,çem
106,Fluss::N,河流,çem
107,Fluss::N,河流,rûbar
108,Ufer::N,岸,kevî
109,Küste::N,海岸,berav
110,Festland::N,大陆,bejahî
111,Meer::N,海,behr
112,Bucht::N,海湾,derav
113,Insel::N,岛,girav
114,Blume::N,花,kulînk
115,Gras::N,草,giha
116,Wurzel::N,根,reh
117,Baum::N,树,dar
118,Stamm::N,树干,bavik
119,Rinde::N,树皮,qaqil
120,Ast::N,树枝,gulî
121,Zweig::N,树枝,şax
122,Blatt::N,叶子,pel
123,Birke::N,桦木,dara sipî
124,Kiefer[Baum]::N,松树,dara bî
125,Weide[Baum]::N,柳树,dara belalûk
126,Tanne::N,冷杉,merx
127,Horn::N,角,strô
128,Feder::N,羽毛,pîrtîk
129,Fell::N,皮毛,heyar
130,Flügel::N,翅膀,per
131,Klaue::N,爪子,napîk
132,Kralle::N,爪子,dinik
133,Kralle::N,爪子,dirnax
134,Schwanz::N,尾巴,dûv
135,Ei::N,蛋,hêk
136,Nest::N,巢,hêlîn
137,Bau::N,穴,avahî
138,Tier::N,动物,heywan
139,Herde::N,群,hoz
140,Kuh::N,母牛,çêlek
141,Bulle::N,公牛,ga
142,Pferd::N,马,hesp
143,Schaf::N,羊,mîh
144,Schwein::N,猪,beraz
145,Hund::N,狗,seh
146,Katze::N,猫,pişîk
147,Bär::N,熊,hirç
148,Eichhörnchen::N,松鼠,pilûr
149,Elch::N,麋鹿,pazkovî
150,Fuchs::N,狐狸,rovî
151,Hase::N,兔子,kîroşk
152,Maus::N,老鼠,mişk
153,Wolf::N,狼,gur
154,Vogel::N,鸟,çûk
155,Schwarm::N,群,lufik
156,Huhn::N,鸡,mirîşk
157,Hahn::N,公鸡,dîk
158,Gans::N,鹅,qaz
159,Adler::N,鹰,eylo
160,Ente::N,鸭,werdek
161,Eule::N,猫头鹰,bûm
162,Eule::N,猫头鹰,kund
163,Kranich::N,鹤,quling
164,Krähe::N,乌鸦,qijik
165,Kuckuck::N,布谷鸟,pepûk
166,Schwan::N,天鹅,qû
167,Fisch::N,鱼,masî
168,Barsch::N,鲈鱼,okûn
169,Hecht::N,狗鱼,mesîyê lûf
170,Schlange[Tier]::N,蛇,mar
171,Wurm::N,蠕虫,kurm
172,Spinne::N,蜘蛛,pîrê
