,Concept_ID,kv,he
0,Auge::N,син,עין
1,Ohr::N,пель,אזן
2,Nase::N,ныр,אף
3,Nase::N,ныр,חטם
4,Mund::N,ӧм,פה
5,Zahn::N,пинь,שן
6,Zunge::N,кыв,לשון
7,Lippe::N,тырп,שפה
8,Wange::N,рожабан,לחי
9,Gesicht::N,бан,פנים
10,Stirn::N,кымӧс,מצח
11,Haar::N,юрси,שערה
12,Schnurrbart::N,уссэз,שפם
13,Bart::N,тош,זקן
14,Kinn::N,тшӧка,סנטר
15,Kiefer[Anatomie]::N,ан,לסת
16,Kehle::N,юан,גרון
17,Hals::N,юан,צואר
18,Genick::N,юр бӧр,ערף
19,Kopf::N,юр,ראש
20,Rücken::N,мышк,גב
21,Bauch::N,кынӧм,בטן
22,Nabel::N,гӧг,טבור
23,Busen::N,морос,שד
24,Brust::N,морос,חזה
25,Schulter::N,пельпон,כתף
26,Arm::N,ки,זרוע
27,Ellenbogen::N,гырдзза,מרפק
28,Hand::N,кикар,יד
29,Handfläche::N,ки пыдӧс,כף יד
30,Finger::N,чунь,אצבע
31,Fingernagel::N,гыж,צפרן
32,Nagel[Anatomie]::N,гыж,צפרן
33,Zeh::N,чунь,אצבע
34,Fuß::N,кокпыдӧс,רגל
35,Ferse::N,кокдзир,עקב
36,Knie::N,пидзӧс,ברך
37,Oberschenkel::N,лядьбей,ירך
38,Bein::N,кок,רגל
39,Körper::N,вывтыр,גוף
40,Haut::N,кучик,עור
41,Blut::N,вир,דם
42,Ader::N,сӧн,וריד
43,Sehne::N,жила,גיד
44,Knochen::N,коска,עצם
45,Gehirn::N,вем,מוח
46,Herz::N,сьӧлӧм,לב
47,Magen::N,жӧвдӧк,קבה
48,Leber::N,мус,כבד
49,Atem::N,лолалӧм,נשימה
50,Hunger::N,тшыг,רעב
51,Träne::N,синва,דמעה
52,Geschmack::N,кӧр,טעם
53,Geruch::N,дук,ריח
54,Schlaf::N,он,שנה
55,Traum::N,вӧт,חלום
56,Himmel::N,небо,שמים
57,Sonne::N,шондi,שמש
58,Mond::N,тӧлiсь,ירח
59,Stern::N,кӧдзыв,כוכב
60,Luft::N,ру,אויר
61,Wind::N,тӧв,רוח
62,Welle::N,гы,גל
63,Wasser::N,ва,מים
64,Stein::N,из,אבן
65,Boden::N,му,קרקע
66,Erde::N,му,אדמה
67,Staub::N,бус,אבק
68,Rauch::N,тшын,עשן
69,Funke::N,бичир,ניצוץ
70,Feuer::N,би,אש
71,Licht::N,би,אור
72,Schatten::N,вуджӧр,צל
