,Concept_ID,nl,hr
0,Auge::N,oog,oko
1,Ohr::N,oor,uho
2,Nase::N,neus,nos
3,Mund::N,mond,usta
4,Zahn::N,tand,zub
5,Zunge::N,tong,jezik
6,Lippe::N,lip,usna
7,Wange::N,wang,obraz
8,Gesicht::N,gelaat,lice
9,Gesicht::N,gezicht,lice
10,Stirn::N,voorhoofd,čelo
11,Haar::N,haar,kosa
12,Schnurrbart::N,snor,brkovi
13,Bart::N,baard,brada
14,Kinn::N,kin,brada
15,Kinn::N,kin,podbradak
16,Kiefer[Anatomie]::N,kaak,čeljust
17,Kehle::N,keel,grlo
18,Kehle::N,strot,grlo
19,Hals::N,hals,vrat
20,Genick::N,nek,zatiljak
21,Kopf::N,hoofd,glava
22,Rücken::N,rug,leđa
23,Rücken::N,rug,hrbat
24,Bauch::N,buik,trbuh
25,Nabel::N,navel,pupak
26,Busen::N,boezem,sisa
27,Busen::N,boezem,njedra
28,Brust::N,borst,prsa
29,Schulter::N,schouder,rame
30,Schulter::N,schouder,pleći
31,Arm::N,arm,ruka
32,Ellenbogen::N,elleboog,lakat
33,Hand::N,hand,ruka
34,Handfläche::N,handpalm,dlan
35,Finger::N,vinger,prst
36,Fingernagel::N,nagel,nokat
37,Nagel[Anatomie]::N,nagel,nokat
38,Zeh::N,teen,nozni prst
39,Fuß::N,voet,noga
40,Fuß::N,voet,stopalo
41,Ferse::N,hak,peta
42,Ferse::N,hiel,peta
43,Knie::N,knie,koljeno
44,Oberschenkel::N,dij,bedro
45,Bein::N,been,noga
46,Körper::N,lichaam,tijelo
47,Haut::N,huid,put
48,Haut::N,huid,koža
49,Blut::N,bloed,krv
50,Ader::N,ader,žila
51,Sehne::N,pees,tetiva
52,Knochen::N,bot,kost
53,Knochen::N,been,kost
54,Knochen::N,knook,kost
55,Gehirn::N,hersenen,
56,Herz::N,hart,srce
57,Magen::N,maag,stomak
58,Magen::N,maag,želudac
59,Leber::N,lever,jetra
60,Atem::N,adem,dah
61,Hunger::N,honger,glad
62,Träne::N,traan,suza
63,Geschmack::N,smaak,ukus
64,Geruch::N,geur,njuh
65,Geruch::N,geur,miris
66,Schlaf::N,slaap,san
67,Traum::N,droom,san
68,Himmel::N,hemel,nebo
69,Sonne::N,zon,sunce
70,Mond::N,maan,mjesec
71,Stern::N,ster,zvijezda
72,Luft::N,lucht,zrak
73,Wind::N,wind,vjetar
74,Welle::N,golf,val
75,Welle::N,golf,talas
76,Wasser::N,water,voda
77,Stein::N,steen,kamen
78,Boden::N,grond,tlo
79,Boden::N,grond,zemlja
80,Erde::N,aarde,zemlja
81,Staub::N,stof,prah
82,Staub::N,stof,prašina
83,Rauch::N,rook,dim
84,Funke::N,vonk,iskra
85,Funke::N,vonk,varnica
86,Feuer::N,vuur,vatra
87,Licht::N,licht,svjetlo
88,Schatten::N,schaduw,hlad
89,Schatten::N,schaduw,sjena
90,Wetter::N,weer,vrijeme
91,Nebel::N,mist,magla
92,Nebel::N,nevel,magla
93,Wolke::N,wolk,oblak
94,Regen::N,regen,kiša
95,Schnee::N,sneeuw,snijeg
96,Eis::N,ijs,led
97,Frost::N,vorst,mraz
98,Kälte::N,kou,studen
99,Kälte::N,kou,hladnoća
100,Kälte::N,koude,studen
101,Kälte::N,koude,hladnoća
102,Hitze::N,hitte,vrućina
103,Raureif::N,rijp,inje
104,Regenbogen::N,regenboog,duga
105,Donner::N,donder,grom
106,Donner::N,donder,grmljavina
107,Strömung::N,stroming,struja
108,Strömung::N,stroming,strujanje
109,Tropfen::N,druppel,kap
110,Tropfen::N,druppel,kaplja
111,Schaum::N,schuim,pjena
112,Schmutz::N,vuil,nečistoća
113,Schmutz::N,vuil,prljavština
114,See::N,meer,jezero
115,Sumpf::N,moeras,bara
116,Moor::N,veen,močvara
117,Wiese::N,wei,livada
118,Wiese::N,weide,livada
119,Wald::N,bos,šuma
120,Hügel::N,heuvel,brijeg
121,Hügel::N,heuvel,brežuljak
122,Anhöhe::N,hoogte,uzvišica
123,Berg::N,berg,brdo
124,Gipfel::N,top,vrh
125,Höhle::N,hol,pećina
126,Höhle::N,hol,spilja
127,Abhang::N,helling,obronak
128,Abhang::N,helling,nizbrdica
129,Quelle::N,bron,izvor
130,Quelle::N,bron,vrelo
131,Bach::N,beek,potok
132,Fluss::N,stroom,rijeka
133,Ufer::N,wal,obala
134,Ufer::N,oever,obala
135,Küste::N,kust,obala
136,Küste::N,kust,morska obala
137,Festland::N,vasteland,kopno
138,Meer::N,zee,more
139,Bucht::N,baai,zaliv
140,Bucht::N,inham,zaliv
141,Insel::N,eiland,ada
142,Insel::N,eiland,otok
143,Blume::N,bloem,cvijet
144,Gras::N,gras,trava
145,Wurzel::N,wortel,korijen
146,Baum::N,boom,drvo
147,Baum::N,boom,stablo
148,Stamm::N,stam,deblo
149,Stamm::N,stam,stablo
150,Rinde::N,schors,kora
151,Ast::N,tak,grana
152,Zweig::N,twijg,grana
153,Blatt::N,blad,list
154,Birke::N,berk,breza
155,Kiefer[Baum]::N,den,bor
156,Weide[Baum]::N,wilg,iva
157,Weide[Baum]::N,wilg,vŕba
158,Tanne::N,spar,jela
159,Horn::N,hoorn,rog
160,Feder::N,veer,pero
161,Feder::N,pluim,pero
162,Fell::N,vel,koža
163,Flügel::N,vleugel,krilo
164,Klaue::N,klauw,papak
165,Kralle::N,klauw,pandža
166,Schwanz::N,staart,rep
167,Ei::N,ei,jaje
168,Nest::N,nest,gnijezdo
169,Bau::N,hol,jazbina
170,Tier::N,dier,životinja
171,Herde::N,kudde,krdo
172,Herde::N,kudde,stado
173,Kuh::N,koe,krava
174,Bulle::N,stier,bik
175,Pferd::N,paard,konj
176,Schaf::N,schaap,ovca
177,Schwein::N,varken,svinja
178,Hund::N,hond,pas
179,Hund::N,hond,pseto
180,Katze::N,kat,mačka
181,Bär::N,beer,medvjed
182,Eichhörnchen::N,eekhoorntje,vjeverica
183,Elch::N,eland,los
184,Fuchs::N,vos,lisica
185,Hase::N,haas,zec
186,Maus::N,muis,miš
187,Wolf::N,wolf,vuk
188,Wolf::N,wolf,kurjak
189,Vogel::N,vogel,ptica
190,Schwarm::N,zwerm,roj
191,Schwarm::N,zwerm,jato
192,Huhn::N,kip,kokoš
193,Huhn::N,hoen,kokoš
194,Hahn::N,haan,kokot
195,Hahn::N,haan,pijevac
196,Gans::N,gans,guska
197,Adler::N,arend,orao
198,Ente::N,eend,patka
199,Eule::N,uil,sova
200,Kranich::N,kraanvogel,ždral
201,Krähe::N,kraai,vrana
202,Kuckuck::N,koekoek,kukavica
203,Schwan::N,zwaan,labud
204,Fisch::N,vis,riba
205,Barsch::N,baars,grgeč
206,Hecht::N,snoek,štuka
207,Schlange[Tier]::N,slang,guja
208,Schlange[Tier]::N,slang,zmija
209,Wurm::N,worm,crv
