,Concept_ID,ko,bg
0,Auge::N,눈,око
1,Ohr::N,귀,ухо
2,Nase::N,코,нос
3,Mund::N,입,уста
4,Zahn::N,이,зъб
5,Zunge::N,혀,език
6,Lippe::N,입술,устна
7,Wange::N,뺨,буза
8,Gesicht::N,얼굴,лице
9,Gesicht::N,얼굴,образ
10,Stirn::N,이마,чело
11,Haar::N,털,коса
12,Haar::N,털,косъм
13,Schnurrbart::N,윗수몀,мустаци
14,Schnurrbart::N,코밑수염,мустаци
15,Bart::N,수엄,брада
16,Kinn::N,아래턱,брада
17,Kinn::N,아래턱,брадичка
18,Kiefer[Anatomie]::N,턱,челюст
19,Kehle::N,인후,гърло
20,Hals::N,목,врат
21,Genick::N,먹덜이,тил
22,Kopf::N,머리,глава
23,Rücken::N,든,гръб
24,Bauch::N,배,корем
25,Nabel::N,배꼽,пъп
26,Busen::N,가슴속,бозка
27,Brust::N,가슴,гръд
28,Schulter::N,어깨,рамо
29,Schulter::N,어깨,плещи
30,Arm::N,팔,ръка
31,Ellenbogen::N,팔쿰치,лакът
32,Hand::N,손,ръка
33,Hand::N,손,китка
34,Handfläche::N,손바닥,длан
35,Finger::N,속가락,пръст
36,Fingernagel::N,손톱,нокът
37,Nagel[Anatomie]::N,손톱,нокът
38,Zeh::N,발가락,пръст на крак
39,Fuß::N,발,крак
40,Fuß::N,발,нога
41,Ferse::N,발꿈치,пета
42,Knie::N,무릎,коляно
43,Oberschenkel::N,허벅다리,бедро
44,Bein::N,다리,крак
45,Bein::N,다리,нога
46,Körper::N,구간,тяло
47,Haut::N,살갗,кожа
48,Blut::N,피,кръв
49,Ader::N,정맥,вена
50,Ader::N,정맥,артерия
51,Sehne::N,현,жила
52,Sehne::N,현,сухожилие
53,Knochen::N,뼈,кост
54,Gehirn::N,뇌,мозък
55,Gehirn::N,뇌수,мозък
56,Herz::N,염통,сърце
57,Magen::N,위,стомах
58,Leber::N,간,черен дроб
59,Atem::N,기식,дишане
60,Hunger::N,공복,глад
61,Träne::N,눈물,сълза
62,Geschmack::N,기호,вкус
63,Geruch::N,냄새,миризма
64,Schlaf::N,수면,сън
65,Traum::N,쿰,сън
66,Himmel::N,하늘,небе
67,Sonne::N,해,слънце
68,Mond::N,달,луна
69,Mond::N,달,месец
70,Stern::N,별,звезда
71,Luft::N,동준,въздух
72,Luft::N,가스채,въздух
73,Wind::N,바람,вятър
74,Welle::N,물결,вълна
75,Wasser::N,물,вода
76,Stein::N,돌,камък
77,Boden::N,바닥,земя
78,Boden::N,바닥,почва
79,Erde::N,흙,земя
80,Erde::N,흙,почва
81,Staub::N,먼지,прах
82,Rauch::N,연기,дим
83,Rauch::N,연기,пушек
84,Funke::N,불티,искра
85,Feuer::N,불,огън
86,Licht::N,불,светлина
87,Schatten::N,어스레함,сянка
88,Wetter::N,기상,време
89,Nebel::N,안개,мъгла
90,Wolke::N,구름,облак
91,Regen::N,비,дъжд
92,Schnee::N,눈,сняг
93,Eis::N,얼음,лед
94,Frost::N,혹한,мраз
95,Kälte::N,추위,студ
96,Kälte::N,차가움,студ
97,Hitze::N,고온,жега
98,Hitze::N,고온,горещина
99,Hitze::N,더위,жега
100,Hitze::N,더위,горещина
101,Regenbogen::N,무지개,дъга
102,Donner::N,뇌명,гръм
103,Strömung::N,유동,течение
104,Tropfen::N,물방울,капка
105,Schaum::N,포말,пяна
106,Schmutz::N,때,кал
107,Schmutz::N,때,мръсотия
108,See::N,호수,езеро
109,Sumpf::N,습지,блато
110,Moor::N,저습지,мочурище
111,Wiese::N,목초지,ливада
112,Wald::N,숲,гора
113,Hügel::N,언덕,рид
114,Hügel::N,언덕,хълм
115,Anhöhe::N,언덕,могила
116,Anhöhe::N,언덕,възвишение
117,Berg::N,산,планина
118,Gipfel::N,졀졍,връх
119,Höhle::N,공동,пещера
120,Abhang::N,몰매,склон
121,Abhang::N,몰매,стръмнина
122,Quelle::N,근원,извор
123,Bach::N,내,поток
124,Fluss::N,강,река
125,Ufer::N,강변,бряг
126,Ufer::N,바닷가,бряг
127,Küste::N,해변,бряг
