,Concept_ID,ba,is
0,Auge::N,күҙ,auga
1,Ohr::N,ҡолаҡ,eyra
2,Nase::N,танау,nef
3,Mund::N,ауыҙ,munnur
4,Zahn::N,теш,tönn
5,Zunge::N,тел,tunga
6,Lippe::N,ирен,vör
7,Wange::N,яцаҡтар,kinn
8,Wange::N,яцаҡтар,vangi
9,Gesicht::N,бит,andlit
10,Stirn::N,маңлай,enni
11,Haar::N,сәс,hár
12,Schnurrbart::N,мылтыҡ,yfirskegg
13,Bart::N,һаҡал,skegg
14,Kinn::N,эйэк,haka
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,kjálki
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,skoltur
17,Kehle::N,тамаҡ,kverk
18,Hals::N,муйын,háls
19,Genick::N,соңҡа,hnakki
20,Kopf::N,баш,höfuð
21,Rücken::N,арҡа,hryggur
22,Bauch::N,ҡорһаҡ,kviður
23,Nabel::N,кендек,nafli
24,Busen::N,күкрәк,barmur
25,Brust::N,түш,brjóst
26,Schulter::N,яурын,öxl
27,Arm::N,ҡул,armur
28,Ellenbogen::N,терһәк,olnbogi
29,Hand::N,ҡул,hönd
30,Hand::N,ҡул суғы,hönd
31,Handfläche::N,ус төбө,lófi
32,Finger::N,бармаҡ,fingur
33,Fingernagel::N,тырнаҡ,fingurnögl
34,Nagel[Anatomie]::N,тырнаҡ,nögl
35,Zeh::N,бармаҡ,tá
36,Fuß::N,табан,fótur
37,Ferse::N,үксә,hæll
38,Knie::N,тубыҡ,kné
39,Oberschenkel::N,сандыр,læri
40,Bein::N,аяҡ,fótleggur
41,Körper::N,тән,búkur
42,Körper::N,тән,líkami
43,Haut::N,тире,húð
44,Haut::N,тире,skinn
45,Blut::N,ҡан,blóð
46,Ader::N,тамыр,æð
47,Sehne::N,һеңер,sin
48,Sehne::N,тарамыш,sin
49,Knochen::N,һойәк,bein
50,Gehirn::N,мейе,heili
51,Herz::N,йорәк,hjarta
52,Magen::N,ашҡаҙан,magi
53,Leber::N,бауыр,lifur
54,Atem::N,һулыш,andi
55,Atem::N,һулыш,andardráttur
56,Hunger::N,аслыҡ,hungur
57,Träne::N,күҙ иәше,tár
58,Geschmack::N,тәм,smekkur
59,Geruch::N,еҫ,lykt
60,Schlaf::N,йоҡлау,svefn
61,Traum::N,төш,draumur
62,Himmel::N,күк,himinn
63,Sonne::N,ҡояш,sól
64,Mond::N,ай,tungl
65,Stern::N,йондоҙ,stjarna
66,Luft::N,һауа,loft
67,Wind::N,ел,vindur
68,Welle::N,тулҡын,alda
69,Welle::N,тулҡын,bylgja
