,Concept_ID,es,xal
0,Auge::N,ojo,нүдн
1,Ohr::N,oreja,чикн
2,Nase::N,nariz,хамр
3,Mund::N,boca,амн
4,Zahn::N,diente,шүдн
5,Zunge::N,lengua,келн
6,Lippe::N,labio,урл
7,Wange::N,mejilla,халх
8,Gesicht::N,cara,нүр
9,Stirn::N,frente,маңна
10,Haar::N,cabello,үсн
11,Schnurrbart::N,bigote,сахл
12,Bart::N,barba,сахл
13,Bart::N,barba,өргнә сахл
14,Kinn::N,barbilla,өргн
15,Kiefer[Anatomie]::N,mandíbula,өргн
16,Kehle::N,garganta,хол
17,Hals::N,cuello,күзүн
18,Genick::N,nuca,гиҗг
19,Genick::N,cerviz,гиҗг
20,Kopf::N,cabeza,толһа
21,Rücken::N,espalda,нурһн
22,Bauch::N,vientre,гесн
23,Nabel::N,ombligo,киисн
24,Busen::N,pecho,көкн
25,Brust::N,pecho,чееҗ
26,Schulter::N,hombro,ээм
27,Arm::N,brazo,һар
28,Ellenbogen::N,codo,тоха
29,Hand::N,mano,баһлцг
30,Handfläche::N,palma,альхн
31,Finger::N,dedo,хурһн
32,Finger::N,dedo,һарин хурһн
33,Fingernagel::N,uña,хумсн
34,Nagel[Anatomie]::N,uña,хумсн
35,Zeh::N,dedo del pie,хурһн
36,Zeh::N,dedo del pie,көлин хурһн
37,Fuß::N,pie,тавг
38,Ferse::N,talón,өскә
39,Knie::N,rodilla,өвдг
40,Oberschenkel::N,muslo,һуй
41,Bein::N,pierna,көл
42,Körper::N,cuerpo,махмуд
43,Haut::N,piel,арсн
44,Blut::N,sangre,цусн
45,Ader::N,vena,судцн
46,Sehne::N,tendón,шүрүсн
47,Knochen::N,hueso,ясн
48,Gehirn::N,cerebro,экн
49,Gehirn::N,encéfalo,экн
50,Herz::N,corazón,зүркн
51,Magen::N,estómago,гесн
52,Leber::N,hígado,элкн
53,Atem::N,aliento,әмсхл
54,Hunger::N,hambre,харһнлһн
55,Träne::N,lágrima,нульмсн
56,Geschmack::N,gusto,амтн
57,Geruch::N,olor,үнр
58,Schlaf::N,sueño,нөр
59,Traum::N,sueño,зүүдн
60,Traum::N,ensueño,зүүдн
61,Himmel::N,cielo,теңгр
62,Sonne::N,sol,нарн
63,Mond::N,luna,сар
64,Stern::N,estrella,одн
65,Luft::N,aire,аһар
66,Wind::N,viento,салькн
67,Welle::N,ola,дольган
68,Welle::N,onda,дольган
69,Wasser::N,agua,усн
70,Stein::N,piedra,чолун
71,Boden::N,suelo,Һазр
72,Erde::N,tierra,Һазр
73,Staub::N,polvo,тоосн
74,Rauch::N,humo,утан
75,Funke::N,chispa,очн
76,Feuer::N,fuego,һал
77,Licht::N,luz,герл
78,Schatten::N,sombra,сүүдр
79,Wetter::N,tiempo,теңгр
80,Nebel::N,niebla,будн
81,Wolke::N,nube,үүлн
82,Regen::N,lluvia,хур
83,Schnee::N,nieve,цасн
84,Eis::N,hielo,мөсн
85,Frost::N,helada,киитн
86,Kälte::N,frío,киитн
87,Hitze::N,calor,халун
88,Raureif::N,escarcha,цаң
89,Raureif::N,escarcha,кирү
90,Regenbogen::N,arco iris,солңһ
91,Donner::N,trueno,оһтрһун дун
92,Strömung::N,corriente,урсхл
93,Tropfen::N,gota,дусал
94,Schaum::N,espuma,көөсн
95,Schmutz::N,suciedad,кир
96,See::N,lago,нур
97,Sumpf::N,pantano,унул
98,Moor::N,turbera,улм
99,Wiese::N,prado,хадлһн
100,Wiese::N,pradera,хадлһн
101,Wald::N,bosque,ө-модн
102,Hügel::N,colina,толһа
103,Anhöhe::N,cerro,хамр
104,Berg::N,monte,уул
105,Berg::N,montaña,уул
