,Concept_ID,hy,udm
0,Auge::N,աչք,син
1,Ohr::N,ականջ,пель
2,Nase::N,քիթ,ныр
3,Mund::N,բերան,ым
4,Zahn::N,ատամ,пинь
5,Zunge::N,լեզու,кыл
6,Lippe::N,շրթունք,ымдур
7,Wange::N,այտ,бам
8,Wange::N,թուշ,бам
9,Gesicht::N,դեմք,ымныр
10,Stirn::N,ճակատ,кымес
11,Haar::N,մազ,йырси
12,Schnurrbart::N,բեղ,мыйык
13,Bart::N,մորուք,туш
14,Kinn::N,կզակ,ангес
15,Kiefer[Anatomie]::N,ծնոտ,ан
16,Kiefer[Anatomie]::N,ծնոտ,анлы
17,Kehle::N,կոկորդ,гульым
18,Hals::N,վիզ,чырты
19,Hals::N,պարանոց,чырты
20,Genick::N,ծոծրակ,йырбер
21,Kopf::N,գլուխ,йыр
22,Rücken::N,մեջք,мыш
23,Bauch::N,փոր,кӧт
24,Bauch::N,որովայն,кӧт
25,Nabel::N,պորտ,гогы
26,Busen::N,ծոց,ноны
27,Brust::N,կուրծք,мӧля
28,Schulter::N,ուս,пельпум
29,Arm::N,թեւ,суй
30,Arm::N,բազուկ,суй
31,Ellenbogen::N,արմունկ,гырпум
32,Hand::N,ձեռք,ки
33,Handfläche::N,ափ,ки пыдэс
34,Handfläche::N,ափ,кырым пыдэс
35,Finger::N,մատ,чиньы
36,Fingernagel::N,եղունգ,гижы
37,Fingernagel::N,եղունգ,гиждӥнь
38,Nagel[Anatomie]::N,եղունգ,гижы
39,Zeh::N,ոտքի մատ,пыдчиньы
40,Fuß::N,ոտք,пыд
41,Ferse::N,գարշապար,пыдбер
42,Knie::N,ծունկ,пыдес
43,Oberschenkel::N,ազդր,макес
44,Bein::N,ոտք,пыд
45,Körper::N,մարմին,мугор
46,Körper::N,մարմին,вылтыр
47,Haut::N,մաշկ,ку
48,Blut::N,արյուն,вир
49,Ader::N,երակ,вирсэр
50,Sehne::N,ջիղ,вуж
51,Sehne::N,ձգտան,вуж
52,Knochen::N,ոսկոր,лы
53,Gehirn::N,խելք,вим
54,Herz::N,սիրտ,сюлэм
55,Magen::N,ստամոքս,ӝуш
56,Leber::N,լյարդ,мус
57,Atem::N,շունչ,лул
58,Atem::N,շունչ,шокан
59,Hunger::N,քաղց,кӧтсюман
60,Träne::N,արտասուք,синкыли
61,Geschmack::N,համ,шӧм
62,Geschmack::N,բուրմունք,шӧм
63,Geruch::N,հոտ,зын
64,Geruch::N,բուրում,зын
65,Schlaf::N,քուն,вӧт
66,Traum::N,երազ,уйвӧт
67,Himmel::N,երկինք,ин
68,Sonne::N,արեւ,шунды
69,Mond::N,լուսին,толэзь
70,Stern::N,աստղ,кизили
71,Luft::N,օդ,омыр
72,Wind::N,քամի,тӧл
73,Welle::N,ալիք,тулкым
74,Wasser::N,ջուր,ву
75,Stein::N,քար,из
76,Boden::N,գետին,музъем
77,Erde::N,հող,му
78,Staub::N,փոշի,пыль
79,Rauch::N,ծուխ,ӵын
80,Funke::N,կայծ,гизьы
81,Feuer::N,կրակ,тыл
82,Feuer::N,հրդեհ,тыл
83,Licht::N,լույս,тыл
84,Schatten::N,ստվեր,вужер
85,Wetter::N,եղանակ,куазь
86,Nebel::N,մեգ,бус
87,Nebel::N,մառախուղ,бус
88,Wolke::N,ամպ,пилем
89,Regen::N,անձրև,зор
90,Schnee::N,ձյուն,лымы
91,Eis::N,սառույց,йӧ
92,Frost::N,սառնամանիք,кезьыт
93,Kälte::N,դող,кезьыт
94,Hitze::N,շոգ,пӧсь
95,Raureif::N,ցօղեղեամ,гӧр
96,Regenbogen::N,ծիածան,вуюись
97,Donner::N,որոտ,гудыри
98,Strömung::N,հոսանք,бызён
99,Tropfen::N,կաթիլ,шапык
100,Schaum::N,փրփուր,шукы
101,Schmutz::N,կեղտ,нӧд
102,Schmutz::N,կեղտ,дэри
103,See::N,լիճ,ты
104,Sumpf::N,ճահիճ,нюр
105,Moor::N,ճահիճ,нюр
106,Wiese::N,մարգագետին,возь
107,Wiese::N,մարգագետին,возьвыл
108,Wald::N,անտառ,сик
109,Wald::N,անտառ,нюлэс
110,Hügel::N,բլուր,выр
111,Hügel::N,բլուր,вырйыл
112,Anhöhe::N,բարձունք,выр
113,Anhöhe::N,բարձունք,вырйыл
114,Berg::N,լեռ,гурезь
115,Gipfel::N,գագաթ,йыл
116,Gipfel::N,կատար,йыл
117,Höhle::N,քարայր,гу
118,Abhang::N,լանջ,бам
119,Abhang::N,զառիվայր,бам
120,Quelle::N,աղբյուր,ошмес
121,Bach::N,վտակ,пичи шур
122,Fluss::N,գետ,шур
123,Ufer::N,ծովափ,ярдур
124,Küste::N,ափ,вудур
125,Küste::N,ծովափ,вудур
126,Festland::N,ցամաք,мувыр
127,Meer::N,ծով,зарезь
128,Bucht::N,հաչիւն,вукож
129,Insel::N,վղզի,вумуӵ
130,Insel::N,վղզի,шормуӵ
131,Blume::N,ծաղիկ,сяська
132,Gras::N,խոտ,турын
133,Wurzel::N,արմատ,выжы
134,Baum::N,ծառ,пу
135,Stamm::N,իրան,модос
136,Rinde::N,կեղեւ,сул
137,Rinde::N,հաչոց,сул
138,Ast::N,ճյուղ,ул
139,Zweig::N,ճյուղ,вай
140,Blatt::N,տերեւ,куар
141,Birke::N,ցարասի,кызьпу
142,Kiefer[Baum]::N,սոճի,пужым
143,Weide[Baum]::N,ուռենի,бадьпу
144,Tanne::N,եղեւին,кыз
145,Feder::N,փետուր,тылы
146,Fell::N,մորթի,ку
147,Flügel::N,թեւ,бурд
148,Klaue::N,չանչ,гижы
149,Kralle::N,ճանկ,пыд
150,Schwanz::N,պոչ,быж
151,Ei::N,ձու,пуз
152,Ei::N,ձու,кукей
153,Nest::N,բույն,кар
154,Nest::N,բույն,пузкар
155,Bau::N,որջ,кар
156,Bau::N,որջ,гу
157,Bau::N,բայոց,кар
158,Bau::N,բայոց,гу
159,Tier::N,կենդանի,пӧйшур
160,Herde::N,հոտ,уллё
161,Kuh::N,կով,скал
162,Bulle::N,ցուլ,ош
163,Bulle::N,ցուլ,пороз
164,Pferd::N,ձի,вал
165,Schaf::N,ոչխար,ыж
166,Schwein::N,խոզ,парсь
167,Hund::N,շուն,пуны
168,Katze::N,կատու,коӵыш
169,Bär::N,արջ,гондыр
170,Eichhörnchen::N,սկյուռ,коньы
171,Elch::N,հիւսիսային եղջերու,койык
172,Fuchs::N,աղվես,ӟичы
173,Hase::N,նապաստակ,кеч
174,Maus::N,մուկ,шыр
175,Wolf::N,գայլ,кион
176,Vogel::N,թռչուն,тылобурдо
177,Schwarm::N,երամ,уллё
178,Huhn::N,հավ,курег
179,Hahn::N,աքաղաղ,атас
180,Gans::N,սագ,ӟазег
181,Adler::N,արծիվ,ӧрзи
182,Ente::N,բադ,ӵӧж
183,Eule::N,բու,кучыран
184,Kranich::N,կռունկ,тури
185,Krähe::N,ագռավ,куака
186,Kuckuck::N,կուկու,кикы
187,Schwan::N,կարապ,юсь
188,Fisch::N,ձուկ,чорыг
189,Barsch::N,պերկես,юш
190,Hecht::N,գայլաձուկ,чипей
191,Schlange[Tier]::N,օձ,кый
192,Wurm::N,որդ,нумыр
193,Wurm::N,ճիճու,нумыр
194,Spinne::N,սարդ,чонари
195,Ameise::N,միջյուն,кузьыли
196,Laus::N,ոջիլ,тэй
197,Mücke::N,մժղուկ,нымы
198,Mücke::N,մժղուկ,чибинь
199,Fliege::N,ճանճ,кут
200,Schmetterling::N,թիթեռ,бубыли
201,Beere::N,հատապտուղ,узы-боры
202,Apfel::N,խնձոր,яблок
203,Pilz::N,սունկ,губи
204,Zwiebel::N,սոխ,сугон
205,Saat::N,սերմ,кидыс
206,Korn::N,հատիկ,тысь
207,Heu::N,խոտ,турын
208,Schale::N,կեղեւ,кыд
209,Grube::N,փոս,гу
210,Grube::N,փոս,гоп
211,Falle::N,ծուղակ,налик
212,Schlinge::N,խեղդան,гиӟ
213,Schlinge::N,խեղդան,герд
214,Spur::N,հետք,пытьы
215,Spur::N,հետք,бервыл
216,Asche::N,մոխիր,пень
217,Dreck::N,աղտ,дэри
218,Eisen::N,երկաթ,корт
219,Gold::N,ոսկի,зарни
220,Silber::N,արծաթ,азвесь
221,Kohle::N,քարածուխ,эгыр
222,Glas::N,ապակի,стекло
223,Glas::N,ապակի,пияла
224,Lehm::N,կավ,сюй
225,Sand::N,ավազ,луо
226,Mensch::N,մարդ,мурт
227,Mensch::N,մարդ,адями
228,Mann::N,մարդ,воргорон
229,Mann::N,տղամարդ,воргорон
230,Frau::N,կին,кышномурт
231,Kind::N,զավակ,нуны
232,Kind::N,զավակ,пинал
233,Junge::N,տղա,пи
234,Mädchen::N,աղջիկ,ныл
235,Familie::N,ընտանիք,семья
236,Großvater::N,պապ,песятай
237,Großvater::N,պապ,пересь атай
238,Großmutter::N,տատ,песянай
239,Großmutter::N,տատ,пересь анай
240,Eltern::N,ծնողներ,атай-анай
241,Eltern::N,ծնողներ,бубы-мумы
242,Vater::N,հայր,айы
243,Vater::N,հայր,атай
244,Mutter::N,մայր,мумы
245,Sohn::N,որդի,пи
246,Tochter::N,աղջիկ,ныл
247,Tochter::N,դուստր,ныл
248,Bruder::N,եղբայր,агай
249,Schwester::N,քույր,апа
250,Schwester::N,քույր,сузэр
251,Onkel::N,քեռի,агай
252,Onkel::N,հորեղբայր,агай
253,Tante::N,մորաքույր,апа
254,Tante::N,մորաքույր,кенак
255,Ehemann::N,մարդ,карт
256,Ehemann::N,ամուսին,карт
257,Ehefrau::N,կին ամուսին,кышно
258,Freude::N,ուրախություն,шумпотон
259,Gelächter::N,ծիծաղ,горем
260,Glück::N,երջանկություն,шуд
261,Kummer::N,վիշտ,кайгу
262,Kummer::N,վիշտ,куректон
263,Wunsch::N,ցանկություն,мылпотон
264,Lust::N,փափագ,потон
265,Lust::N,իղձ,потон
266,Geist::N,ոգի,лул
267,Gedanke::N,միտք,малпан
268,Gedächtnis::N,հիշողություն,йырсазь
269,Gedächtnis::N,հիշողություն,тодэваён
270,Verstand::N,խելք,йырвизь
271,Sinn::N,իմաստ,смысл
272,Grund::N,պատճառ,муг
273,Grund::N,պատճառ,ньӧм
274,Wahrheit::N,ճշմարտություն,зэм
275,Wahrheit::N,ճշմարտություն,шонер
276,Gespräch::N,զրույց,вераськон
277,Märchen::N,պայիկի պատմություն,выжыкыл
278,Erzählung::N,պատմվածք,верос
279,Erzählung::N,պատմություն,верос
280,Nachricht::N,հաղորդագրություն,ивор
281,Neuigkeit::N,լուր,выльивор
282,Neuigkeit::N,նորություն,выльивор
283,Name::N,անուն,ним
284,Rätsel::N,բարդ խնդիր,мадькыл
285,Rede::N,ճառ,верам
286,Rede::N,ելույթ,верам
287,Sprache::N,լեզու,кыл
288,Stimme::N,ձայն,куара
289,Wort::N,բառ,кыл
290,Zeichen::N,նշան,пус
291,Zeichen::N,նշան,тодмет
292,Ruf::N,կոչ,ӧтён
293,Ruf::N,կոչ,чортон
294,Ruf::N,կանչ,ӧтён
295,Ruf::N,կանչ,чортон
296,Lärm::N,աղմուկ,ӵашетон
297,Laut::N,հնչյուն,куара
298,Laut::N,ձայն,куара
299,Ton::N,տոն,куара
300,Lied::N,երգ,кырӟан
301,Ruhe::N,անդորրություն,чалмыт улон
302,Leute::N,մարդիկ,адямиос
303,Volk::N,ազգ,калык
304,Arbeit::N,գործ,уж
305,Arbeit::N,աշխատանք,уж
306,Gast::N,հյուր,куно
307,Geschenk::N,նվեր,салам
308,Geschenk::N,նվեր,кузьым
309,Spiel::N,խաղ,шудон
310,Gesellschaft::N,ընկերություն,калык
311,Hilfe::N,օգնությթուն,юрттон
312,Freund::N,ընկեր,эш
313,Freund::N,ընկեր,юлтош
314,Freund::N,բարեկամ,эш
315,Freund::N,բարեկամ,юлтош
316,Kamerad::N,ուղեկից,тодмо
317,Angelegenheit::N,բան,уж
318,Angelegenheit::N,գործ,уж
319,Anzahl::N,քանակ,лыд
320,Anzahl::N,գումար,лыд
321,Art::N,տեսակ,тус
322,Stück::N,կտոր,юдэс
323,Teil::N,մաս,люкет
324,Hälfte::N,կես,ӝыны
325,Kreis::N,շիջանակ,котырес
326,Kreuz::N,խաչ,крест
