,Concept_ID,os,de
0,Auge::N,цӕст,Auge
1,Ohr::N,хъус,Ohr
2,Nase::N,фындз,Nase
3,Mund::N,дзых,Mund
4,Zahn::N,дӕндаг,Zahn
5,Zunge::N,ӕвзаг,Zunge
6,Lippe::N,был,Lippe
7,Wange::N,рус,Wange
8,Wange::N,уадул,Wange
9,Wange::N,ӕхсӕрфарс,Wange
10,Gesicht::N,цӕсгом,Gesicht
11,Stirn::N,ных,Stirn
12,Haar::N,хил,Haar
13,Schnurrbart::N,рихи,Schnurrbart
14,Bart::N,зачъе,Bart
15,Kinn::N,роцъо,Kinn
16,Kiefer[Anatomie]::N,ӕфсӕр,Kiefer
17,Kehle::N,хъуыр,Kehle
18,Hals::N,къубал,Hals
19,Genick::N,къӕбут,Genick
20,Kopf::N,сӕр,Kopf
21,Rücken::N,фӕсонтӕ,Rücken
22,Bauch::N,гуыбын,Bauch
23,Nabel::N,бикъ,Nabel
24,Busen::N,дзидзи,Busen
25,Brust::N,риу,Brust
26,Schulter::N,уӕхск,Schulter
27,Arm::N,цонг,Arm
28,Ellenbogen::N,рæмбын,Ellenbogen
29,Hand::N,къух,Hand
30,Handfläche::N,армытъӕпӕн,Handfläche
31,Finger::N,ӕнруылдз,Finger
32,Fingernagel::N,ных,Fingernagel
33,Nagel[Anatomie]::N,ных,Nagel
34,Zeh::N,къух,Zeh
35,Fuß::N,фад,Fuß
36,Ferse::N,зӕвӕт,Ferse
37,Knie::N,уӕраг,Knie
38,Oberschenkel::N,агъд,Oberschenkel
39,Bein::N,зӕнг,Bein
40,Körper::N,буар,Körper
41,Haut::N,царм,Haut
42,Blut::N,туг,Blut
43,Ader::N,дадзин,Ader
44,Ader::N,тугдадзин,Ader
45,Sehne::N,хъиутæ,Sehne
46,Sehne::N,нуар,Sehne
47,Knochen::N,стӕг,Knochen
48,Gehirn::N,магъз,Gehirn
49,Herz::N,зӕрдӕ,Herz
50,Magen::N,ахсӕн,Magen
51,Leber::N,игæр,Leber
52,Atem::N,улӕфт,Atem
53,Hunger::N,стонг,Hunger
54,Träne::N,цæссыг,Träne
55,Geschmack::N,ад,Geschmack
56,Geruch::N,смаг,Geruch
57,Schlaf::N,хуыссӕг,Schlaf
58,Traum::N,фын,Traum
59,Himmel::N,арв,Himmel
60,Himmel::N,уӕларв,Himmel
61,Sonne::N,хур,Sonne
62,Mond::N,мӕй,Mond
63,Stern::N,стъалы,Stern
64,Luft::N,уӕлдӕф,Luft
65,Wind::N,дымгӕ,Wind
66,Welle::N,уылӕн,Welle
67,Wasser::N,дон,Wasser
68,Stein::N,дур,Stein
69,Boden::N,зӕхх,Boden
70,Erde::N,сыджыт,Erde
71,Staub::N,рыг,Staub
72,Rauch::N,фӕздӕг,Rauch
73,Funke::N,цӕхӕр,Funke
74,Feuer::N,зынг,Feuer
75,Licht::N,рухс,Licht
76,Schatten::N,аууон,Schatten
77,Wetter::N,боныхъӕд,Wetter
78,Nebel::N,мигъ,Nebel
79,Wolke::N,ӕврагъ,Wolke
80,Regen::N,уарын,Regen
81,Schnee::N,мит,Schnee
82,Eis::N,их,Eis
83,Frost::N,ихæн,Frost
84,Kälte::N,уазал,Kälte
85,Hitze::N,ӕнтӕф,Hitze
86,Raureif::N,халас,Raureif
87,Regenbogen::N,арвырон,Regenbogen
88,Regenbogen::N,арвырдын,Regenbogen
89,Donner::N,æрвнæрын,Donner
90,Strömung::N,цыд,Strömung
91,Tropfen::N,æртах,Tropfen
92,Schaum::N,фынк,Schaum
93,Schmutz::N,цъыф,Schmutz
94,See::N,цад,See
95,Sumpf::N,цъыфдзаст,Sumpf
96,Moor::N,цъыфдзаст,Moor
97,Wiese::N,уыгӕрдӕн,Wiese
98,Wald::N,хъӕд,Wald
99,Hügel::N,обау,Hügel
100,Hügel::N,къуыбыр,Hügel
101,Anhöhe::N,уæлвæз,Anhöhe
102,Anhöhe::N,уæлхох,Anhöhe
103,Berg::N,хох,Berg
104,Gipfel::N,цъупп,Gipfel
105,Höhle::N,лӕгӕт,Höhle
106,Abhang::N,къул,Abhang
107,Quelle::N,суадон,Quelle
108,Bach::N,мӕсчъыдон,Bach
109,Fluss::N,дон,Fluss
110,Fluss::N,цӕугӕдон,Fluss
111,Ufer::N,был,Ufer
112,Küste::N,донбыл,Küste
113,Festland::N,сурзæхх,Festland
114,Meer::N,денджыз,Meer
115,Bucht::N,донбакæлæн,Bucht
116,Insel::N,сакъадах,Insel
117,Blume::N,дидинӕг,Blume
118,Gras::N,кӕрдӕг,Gras
119,Wurzel::N,уидаг,Wurzel
120,Baum::N,бӕлас,Baum
121,Stamm::N,хӕтӕл,Stamm
122,Rinde::N,цъар,Rinde
123,Ast::N,арх,Ast
124,Zweig::N,къалиу,Zweig
125,Blatt::N,сыф,Blatt
126,Birke::N,бæрз,Birke
127,Kiefer[Baum]::N,нӕзы,Kiefer
128,Weide[Baum]::N,хӕрис,Weide
129,Tanne::N,наз,Tanne
130,Horn::N,сыкъа,Horn
