,Concept_ID,os,fi
0,Auge::N,цӕст,silmä
1,Ohr::N,хъус,korva
2,Nase::N,фындз,nenä
3,Mund::N,дзых,suu
4,Zahn::N,дӕндаг,hammas
5,Zunge::N,ӕвзаг,kieli
6,Lippe::N,был,huuli
7,Wange::N,рус,poski
8,Wange::N,уадул,poski
9,Wange::N,ӕхсӕрфарс,poski
10,Gesicht::N,цӕсгом,naama
11,Gesicht::N,цӕсгом,kasvot
12,Stirn::N,ных,otsa
13,Haar::N,хил,hius
14,Haar::N,хил,tukka
15,Schnurrbart::N,рихи,viikset
16,Bart::N,зачъе,parta
17,Kinn::N,роцъо,leuka
18,Kiefer[Anatomie]::N,ӕфсӕр,leukaluu
19,Kehle::N,хъуыр,kurkku
20,Hals::N,къубал,kaula
21,Genick::N,къӕбут,niska
22,Kopf::N,сӕр,pää
23,Rücken::N,фӕсонтӕ,selkä
24,Bauch::N,гуыбын,maha
25,Bauch::N,гуыбын,vatsa
26,Nabel::N,бикъ,napa
27,Busen::N,дзидзи,rinta
28,Brust::N,риу,rinta
29,Schulter::N,уӕхск,olka
30,Schulter::N,уӕхск,hartia
31,Schulter::N,уӕхск,olkapää
32,Arm::N,цонг,käsivarsi
33,Ellenbogen::N,рæмбын,kyynärpää
34,Hand::N,къух,käsi
35,Handfläche::N,армытъӕпӕн,kämmen
36,Finger::N,ӕнруылдз,sormi
37,Fingernagel::N,ных,kynsi
38,Nagel[Anatomie]::N,ных,kynsi
39,Zeh::N,къух,varvas
40,Fuß::N,фад,jalka
41,Ferse::N,зӕвӕт,kantapää
42,Knie::N,уӕраг,polvi
43,Oberschenkel::N,агъд,reisi
44,Bein::N,зӕнг,jalka
45,Körper::N,буар,keho
46,Körper::N,буар,ruumis
47,Haut::N,царм,iho
48,Blut::N,туг,veri
49,Ader::N,дадзин,suoni
50,Ader::N,тугдадзин,suoni
51,Sehne::N,хъиутæ,jänne
52,Sehne::N,нуар,jänne
53,Knochen::N,стӕг,luu
54,Gehirn::N,магъз,aivot
55,Herz::N,зӕрдӕ,sydän
56,Magen::N,ахсӕн,maha
57,Magen::N,ахсӕн,vatsa
58,Leber::N,игæр,maksa
59,Atem::N,улӕфт,henki
60,Atem::N,улӕфт,hengitys
61,Hunger::N,стонг,nälkä
62,Träne::N,цæссыг,kyynel
63,Geschmack::N,ад,maku
64,Geruch::N,смаг,haju
65,Schlaf::N,хуыссӕг,uni
66,Traum::N,фын,uni
67,Himmel::N,арв,taivas
68,Himmel::N,уӕларв,taivas
69,Sonne::N,хур,aurinko
70,Mond::N,мӕй,kuu
71,Stern::N,стъалы,tähti
72,Luft::N,уӕлдӕф,ilma
73,Wind::N,дымгӕ,tuuli
74,Welle::N,уылӕн,aalto
