,Concept_ID,kv,uk
0,Auge::N,син,око
1,Ohr::N,пель,вухо
2,Nase::N,ныр,ніс
3,Mund::N,ӧм,рот
4,Zahn::N,пинь,зуб
5,Zunge::N,кыв,язик
6,Lippe::N,тырп,губа
7,Wange::N,рожабан,щока
8,Gesicht::N,бан,обличчя
9,Stirn::N,кымӧс,лоб
10,Haar::N,юрси,волосся
11,Schnurrbart::N,уссэз,вуса
12,Bart::N,тош,борода
13,Kinn::N,тшӧка,підборіддя
14,Kiefer[Anatomie]::N,ан,щелепа
15,Kehle::N,юан,горло
16,Hals::N,юан,шия
17,Genick::N,юр бӧр,потилиця
18,Kopf::N,юр,голова
19,Rücken::N,мышк,спина
20,Bauch::N,кынӧм,живіт
21,Nabel::N,гӧг,пупок
22,Busen::N,морос,груди
23,Brust::N,морос,груди
24,Schulter::N,пельпон,плече
25,Arm::N,ки,рука
26,Ellenbogen::N,гырдзза,лікоть
27,Hand::N,кикар,рука
28,Handfläche::N,ки пыдӧс,долоня
29,Finger::N,чунь,палець
30,Fingernagel::N,гыж,ніготь
31,Nagel[Anatomie]::N,гыж,ніготь
32,Zeh::N,чунь,палець на нозі
33,Fuß::N,кокпыдӧс,нога
34,Ferse::N,кокдзир,п’ятка
35,Knie::N,пидзӧс,коліно
36,Oberschenkel::N,лядьбей,стегно
37,Bein::N,кок,нога
38,Körper::N,вывтыр,тіло
39,Haut::N,кучик,шкіра
40,Blut::N,вир,кров
41,Ader::N,сӧн,вена
42,Sehne::N,жила,сухожилля
43,Knochen::N,коска,кістка
44,Gehirn::N,вем,мозок
45,Herz::N,сьӧлӧм,серце
46,Magen::N,жӧвдӧк,шлунок
47,Leber::N,мус,печінка
48,Atem::N,лолалӧм,дихання
49,Hunger::N,тшыг,голод
50,Träne::N,синва,сльоза
51,Geschmack::N,кӧр,смак
52,Geruch::N,дук,запах
53,Schlaf::N,он,сон
54,Schlaf::N,он,сплячка
55,Traum::N,вӧт,сон
56,Himmel::N,небо,небо
57,Sonne::N,шондi,сонце
58,Mond::N,тӧлiсь,місяць
59,Stern::N,кӧдзыв,зірка
60,Luft::N,ру,повітря
61,Wind::N,тӧв,вітер
62,Welle::N,гы,хвиля
63,Wasser::N,ва,вода
64,Stein::N,из,камінь
65,Boden::N,му,ґрунт
66,Erde::N,му,земля
67,Staub::N,бус,пил
68,Rauch::N,тшын,дим
69,Funke::N,бичир,іскра
70,Feuer::N,би,вогонь
71,Licht::N,би,світло
72,Schatten::N,вуджӧр,тінь
73,Wetter::N,погоддя,погода
74,Nebel::N,туман,туман
75,Wolke::N,кымӧр,хмара
76,Regen::N,зэр,дощ
77,Schnee::N,лым,сніг
78,Eis::N,йы,лід
79,Frost::N,мороз,мороз
80,Kälte::N,кӧдзыт,холод
81,Hitze::N,ӧд,жар
82,Raureif::N,кижа,іній
83,Regenbogen::N,енӧшка,райдуга
84,Donner::N,гым,грім
85,Strömung::N,визывтӧм,струмина
86,Tropfen::N,тёп,крапля
87,Schaum::N,быг,піна
88,Schmutz::N,нять,бруд
89,See::N,ты,озеро
90,Sumpf::N,арай,драговина
91,Moor::N,нюр,болото
92,Wiese::N,видз,луг
93,Wiese::N,видз,лука
94,Wald::N,вӧр,ліс
95,Hügel::N,мыльк,горб
96,Anhöhe::N,вывтас,височина
97,Anhöhe::N,вылынін,височина
98,Berg::N,керӧс,гора
99,Gipfel::N,йыв,вершина
100,Höhle::N,нора,печера
101,Abhang::N,покат,схил
102,Quelle::N,больган,джерело
103,Bach::N,шор,струмок
104,Fluss::N,ю,річка
105,Ufer::N,берег,берег
