,Concept_ID,fr,ml
0,Auge::N,œil,കണ്ണ്
1,Ohr::N,oreille,ചെവി
2,Nase::N,nez,മൂക്ക്
3,Mund::N,bouche,വായ
4,Zahn::N,dent,പല്ല്
5,Zunge::N,langue,നാക്ക്
6,Lippe::N,lèvre,ചുണ്ട്
7,Wange::N,joue,കവിൾത്തടം
8,Gesicht::N,face,മുഖം
9,Gesicht::N,visage,മുഖം
10,Stirn::N,front,നെറ്റി
11,Haar::N,cheveu,തലമുടി
12,Schnurrbart::N,moustache,മീശ
13,Bart::N,barbe,താടിരോമം
14,Kinn::N,menton,താടി
15,Kiefer[Anatomie]::N,mâchoire,താടിയെല്ല്
16,Kehle::N,gorge,കണ്ഠനാളം
17,Hals::N,cou,കഴുത്ത്
18,Genick::N,nuque,പിടലി
19,Kopf::N,tête,തല
20,Rücken::N,dos,മുതുക്
21,Bauch::N,ventre,നയറ്
22,Nabel::N,nombril,നാഭി
23,Busen::N,sein,സ്തനം
24,Brust::N,poitrine,സ്തനം
25,Schulter::N,épaule,തോൾ
26,Arm::N,bras,കൈ
27,Ellenbogen::N,coude,കൈമുട്ട്
28,Hand::N,main,കൈ
29,Handfläche::N,paume,ഉള്ളം കൈ
30,Finger::N,doigt,വിരൽ
31,Fingernagel::N,ongle,നഖം
32,Nagel[Anatomie]::N,ongle,നഖം
33,Zeh::N,orteil,കാൽവിരൽ
34,Zeh::N,doigt de pied,കാൽവിരൽ
35,Fuß::N,pied,കാൽപ്പാദം
36,Ferse::N,talon,ഉപ്പൂറ്റി
37,Knie::N,genou,കാൽമുട്ട്
38,Oberschenkel::N,cuisse,തുട
39,Bein::N,jambe,കാൽ
40,Körper::N,corps,ശരീരം
41,Haut::N,peau,ചർമ്മം
42,Blut::N,sang,രക്തം
43,Ader::N,veine,ഞരമ്പ്
44,Sehne::N,tendon,സ്നായു
45,Knochen::N,os,അസ്ഥി
46,Gehirn::N,cerveau,തലച്ചോറ്
47,Herz::N,cœur,ഹൃദയം
48,Magen::N,estomac,വയർ
49,Leber::N,foie,കരൾ
50,Atem::N,haleine,ശ്വാസം
51,Hunger::N,faim,വിശപ്പ്
52,Träne::N,larme,കണ്ണീർ
53,Geschmack::N,goût,രുചി
54,Geschmack::N,saveur,രുചി
55,Geruch::N,odeur,ഗന്ധം
56,Schlaf::N,sommeil,ഉറകും
57,Traum::N,songe,സ്വപ്നം
58,Himmel::N,ciel,ആകാശം
59,Sonne::N,soleil,സൂര്യൻ
60,Mond::N,lune,ചന്ദ്രൻ
61,Stern::N,étoile,നക്ഷത്രം
62,Luft::N,air,കാറ്റ്
63,Wind::N,vent,കാറ്റ്
64,Welle::N,vague,തിരമാല
65,Wasser::N,eau,വെള്ളം
66,Stein::N,pierre,ശില
67,Stein::N,pierre,കല്ല്
68,Boden::N,sol,തറ
69,Boden::N,sol,നിലം
70,Boden::N,terrain,തറ
71,Boden::N,terrain,നിലം
72,Erde::N,terre,മണ്ണ്
73,Staub::N,poussière,പൊടി
74,Rauch::N,fumée,പുക
75,Funke::N,étincelle,തീപ്പൊരി
76,Feuer::N,feu,തീ
77,Licht::N,lumière,വിളക്ക്
78,Licht::N,lumière,സൂര്യപ്രകാശം
79,Schatten::N,ombre,തണൽ
80,Wetter::N,temps,കാലാവസ്ഥ
