,Concept_ID,sah,hr
0,Auge::N,харах,oko
1,Ohr::N,кулгаах,uho
2,Nase::N,мурун,nos
3,Mund::N,айах,usta
4,Zahn::N,тиис,zub
5,Zunge::N,тыл,jezik
6,Lippe::N,уос,usna
7,Wange::N,иэдэс,obraz
8,Gesicht::N,сирэй,lice
9,Stirn::N,сүүс,čelo
10,Haar::N,баттах,kosa
11,Schnurrbart::N,уос бытыга,brkovi
12,Bart::N,сэҥийэ бытыга,brada
13,Kinn::N,сэҥийэ,brada
14,Kinn::N,сэҥийэ,podbradak
15,Kiefer[Anatomie]::N,сыҥаах,čeljust
16,Kehle::N,тамах,grlo
17,Kehle::N,күөмэй,grlo
18,Hals::N,моой,vrat
19,Genick::N,кэтэх,zatiljak
20,Kopf::N,бас,glava
21,Rücken::N,көҕүс,leđa
22,Rücken::N,көҕүс,hrbat
23,Bauch::N,ис,trbuh
24,Nabel::N,киин,pupak
25,Busen::N,эмиий,sisa
26,Busen::N,эмиий,njedra
27,Brust::N,түөс,prsa
28,Schulter::N,сарын,rame
29,Schulter::N,сарын,pleći
30,Arm::N,илии,ruka
31,Ellenbogen::N,тоҕонох,lakat
32,Hand::N,илии,ruka
33,Handfläche::N,ытыс,dlan
34,Finger::N,тарбах,prst
35,Fingernagel::N,тыҥырах,nokat
36,Nagel[Anatomie]::N,тыҥырах,nokat
37,Zeh::N,тарбах,nozni prst
38,Fuß::N,уллуҥах,noga
39,Fuß::N,уллуҥах,stopalo
40,Ferse::N,тилэх,peta
41,Knie::N,тобук,koljeno
42,Knie::N,дьилбэк,koljeno
43,Oberschenkel::N,уллук,bedro
44,Oberschenkel::N,өттүк,bedro
45,Bein::N,атах,noga
46,Körper::N,бэйэ,tijelo
47,Haut::N,тирии,put
48,Haut::N,тирии,koža
49,Blut::N,хаан,krv
50,Ader::N,вена,žila
51,Ader::N,күөх_тымыр,žila
52,Sehne::N,иҥиир,tetiva
53,Knochen::N,уҥуох,kost
54,Knochen::N,уҥгуох,kost
55,Gehirn::N,мэйии,
56,Herz::N,сүрэх,srce
57,Magen::N,куртах,stomak
58,Magen::N,куртах,želudac
59,Leber::N,быар,jetra
60,Atem::N,тыын,dah
61,Hunger::N,аас,glad
62,Träne::N,харах уута,suza
63,Geschmack::N,амтан,ukus
64,Geruch::N,сыт,njuh
65,Geruch::N,сыт,miris
66,Schlaf::N,утуйуу,san
67,Traum::N,түүл,san
68,Himmel::N,халлаан,nebo
69,Sonne::N,күн,sunce
70,Mond::N,ый,mjesec
71,Stern::N,сулус,zvijezda
72,Luft::N,салгын,zrak
73,Wind::N,тыал,vjetar
74,Welle::N,долгун,val
75,Welle::N,долгун,talas
76,Welle::N,балхаан,val
77,Welle::N,балхаан,talas
78,Wasser::N,уу,voda
79,Stein::N,таас,kamen
80,Boden::N,сир,tlo
81,Boden::N,сир,zemlja
82,Erde::N,буор,zemlja
83,Staub::N,быыл,prah
84,Staub::N,быыл,prašina
85,Rauch::N,буруо,dim
86,Funke::N,кыым,iskra
87,Funke::N,кыым,varnica
88,Feuer::N,уот,vatra
89,Licht::N,уот,svjetlo
90,Schatten::N,күлүк,hlad
91,Schatten::N,күлүк,sjena
92,Wetter::N,күн-дьыл,vrijeme
93,Nebel::N,туман,magla
94,Wolke::N,былыт,oblak
95,Regen::N,самыыр,kiša
96,Schnee::N,хаар,snijeg
97,Eis::N,муус,led
98,Frost::N,тымныы,mraz
99,Kälte::N,тымныы,studen
100,Kälte::N,тымныы,hladnoća
101,Hitze::N,куйаас,vrućina
102,Raureif::N,кырыа,inje
103,Regenbogen::N,кустук,duga
104,Donner::N,этиҥ,grom
105,Donner::N,этиҥ,grmljavina
106,Strömung::N,сүүрүк,struja
107,Strömung::N,сүүрүк,strujanje
108,Tropfen::N,таммах,kap
109,Tropfen::N,таммах,kaplja
110,Tropfen::N,хааппыла,kap
111,Tropfen::N,хааппыла,kaplja
112,Schaum::N,күүгэн,pjena
113,Schmutz::N,кир,nečistoća
114,Schmutz::N,кир,prljavština
115,See::N,күөл,jezero
116,Sumpf::N,бадараан,bara
117,Moor::N,дьэбэрэ,močvara
118,Wiese::N,ходуһа,livada
119,Wald::N,ойуур,šuma
120,Hügel::N,булгунньах,brijeg
121,Hügel::N,булгунньах,brežuljak
122,Anhöhe::N,үрдэл,uzvišica
123,Berg::N,хайа,brdo
124,Gipfel::N,чыпчаал,vrh
125,Höhle::N,хайа_хаспаҕа,pećina
126,Höhle::N,хайа_хаспаҕа,spilja
127,Höhle::N,көҥүс,pećina
128,Höhle::N,көҥүс,spilja
129,Abhang::N,эниэ,obronak
130,Abhang::N,эниэ,nizbrdica
131,Quelle::N,дьүүктэ,izvor
132,Quelle::N,дьүүктэ,vrelo
133,Bach::N,үрүйэ,potok
