,Concept_ID,hr,br
0,Auge::N,oko,lagad
1,Ohr::N,uho,skouarn
2,Nase::N,nos,fri
3,Mund::N,usta,genoù
4,Zahn::N,zub,dant
5,Zunge::N,jezik,teod
6,Lippe::N,usna,muzell
7,Wange::N,obraz,chot
8,Gesicht::N,lice,dremm
9,Stirn::N,čelo,tal
10,Haar::N,kosa,blev
11,Schnurrbart::N,brkovi,mourenn
12,Bart::N,brada,barv
13,Kinn::N,brada,groñj
14,Kinn::N,podbradak,groñj
15,Kiefer[Anatomie]::N,čeljust,javed
16,Kehle::N,grlo,gouzoug
17,Hals::N,vrat,gouzoug
18,Genick::N,zatiljak,choug
19,Kopf::N,glava,penn
20,Rücken::N,leđa,kein
21,Rücken::N,hrbat,kein
22,Bauch::N,trbuh,kof
23,Nabel::N,pupak,begel
24,Busen::N,sisa,bronn
25,Busen::N,njedra,bronn
26,Brust::N,prsa,bruched
27,Schulter::N,rame,skoaz
28,Schulter::N,pleći,skoaz
29,Arm::N,ruka,brec'h
30,Ellenbogen::N,lakat,ilin
31,Hand::N,ruka,dorn
32,Handfläche::N,dlan,palv
33,Finger::N,prst,biz
34,Fingernagel::N,nokat,ivin
35,Nagel[Anatomie]::N,nokat,ivin
36,Zeh::N,nozni prst,biz-troad
37,Fuß::N,noga,troad
38,Fuß::N,stopalo,troad
39,Ferse::N,peta,seul
40,Knie::N,koljeno,glin
41,Oberschenkel::N,bedro,morzhed
42,Bein::N,noga,gar
43,Körper::N,tijelo,korf
44,Haut::N,put,kroc'hen
45,Haut::N,koža,kroc'hen
46,Blut::N,krv,gwad
47,Ader::N,žila,gwazhi
48,Sehne::N,tetiva,stir
49,Knochen::N,kost,askorn
50,Herz::N,srce,kalon
51,Magen::N,stomak,stomog
52,Magen::N,želudac,stomog
53,Leber::N,jetra,avu
54,Atem::N,dah,anal
55,Hunger::N,glad,naon
56,Träne::N,suza,daer
57,Geschmack::N,ukus,blaz
58,Geruch::N,njuh,c'hwezh
59,Geruch::N,miris,c'hwezh
60,Schlaf::N,san,kousked
61,Traum::N,san,hune
62,Himmel::N,nebo,oabl
63,Sonne::N,sunce,heol
64,Mond::N,mjesec,loar
65,Stern::N,zvijezda,steredenn
66,Luft::N,zrak,aer
67,Wind::N,vjetar,avel
68,Welle::N,val,houlenn
69,Welle::N,talas,houlenn
70,Wasser::N,voda,dour
71,Stein::N,kamen,maen
72,Boden::N,tlo,tachenn
73,Boden::N,zemlja,tachenn
74,Erde::N,zemlja,douar
75,Staub::N,prah,poultr
76,Staub::N,prašina,poultr
77,Rauch::N,dim,moged
78,Funke::N,iskra,ful
79,Funke::N,varnica,ful
80,Feuer::N,vatra,tan
81,Licht::N,svjetlo,gouloù
82,Schatten::N,hlad,disheol
