,Concept_ID,lez,cs
0,Auge::N,вил,oko
1,Ohr::N,яб,ucho
2,Nase::N,нер,nos
3,Mund::N,сив,pusa
4,Zahn::N,сас,zub
5,Zahn::N,свах,zub
6,Zunge::N,мез,jazyk
7,Lippe::N,пӏуз,ret
8,Wange::N,хъвехъ,tvář
9,Gesicht::N,ччин,obličej
10,Stirn::N,пел,čelo
11,Haar::N,чӏар,vlas
12,Haar::N,чӏар,vlasy
13,Schnurrbart::N,спел,kníry
14,Schnurrbart::N,спелар,kníry
15,Bart::N,ччуру,vousy
16,Kinn::N,чене,brada
17,Kiefer[Anatomie]::N,чене,čelist
18,Kehle::N,туьд,hrdlo
19,Hals::N,гардан,krk
20,Genick::N,кьам,týl
21,Kopf::N,кьил,hlava
22,Rücken::N,далу,záda
23,Rücken::N,далу,hřbet
24,Bauch::N,руфун,břicho
25,Nabel::N,пицӏ,pupek
26,Busen::N,мам,ňadra
27,Brust::N,хур,prsa
28,Schulter::N,къуьн,plece
29,Schulter::N,къуьн,rameno
30,Arm::N,гъил,ruka
31,Ellenbogen::N,кьуьнт,loket
32,Hand::N,капаш,ruka
33,Handfläche::N,капан юкь,dlaň
34,Finger::N,тӏуб,prst
35,Fingernagel::N,кек,nehet
36,Nagel[Anatomie]::N,кек,nehet
37,Zeh::N,кул,prst u nohy
38,Fuß::N,кӏвач,noha
39,Ferse::N,дабан,pata
40,Knie::N,мет,koleno
41,Bein::N,кӏвач,noha
42,Körper::N,беден,tělo
43,Haut::N,хам,kůže
44,Blut::N,иви,krev
45,Ader::N,дамар,céva
46,Sehne::N,кьуру дамар,šlacha
47,Knochen::N,кӏараб,kost
48,Gehirn::N,мефт,mozek
49,Herz::N,рикӏ,srdce
50,Magen::N,хук,žaludek
51,Leber::N,лекь,játra
52,Atem::N,ял,dech
53,Atem::N,нефес,dech
54,Hunger::N,каш,hlad
55,Träne::N,вилин нагъв,slza
56,Geschmack::N,дад,vkus
57,Geschmack::N,тӏям,vkus
58,Geruch::N,ни,vůně
59,Geruch::N,ни,zápach
60,Schlaf::N,ахвар,spánek
61,Traum::N,ахвар,sen
62,Himmel::N,цав,nebe
63,Sonne::N,рагъ,slunce
64,Mond::N,варз,měsíc
65,Stern::N,гъед,hvězda
66,Luft::N,гьава,vzduch
67,Wind::N,гар,vítr
68,Welle::N,лепе,vlna
69,Wasser::N,яд,voda
70,Stein::N,къван,kámen
71,Boden::N,накьв,půda
72,Erde::N,ччил,země
73,Staub::N,руг,prach
74,Rauch::N,гум,dým
75,Rauch::N,гум,kouř
76,Funke::N,цӏелхем,jiskra
77,Feuer::N,цӏай,oheň
78,Licht::N,экв,světlo
79,Schatten::N,серин,stín
