,Concept_ID,os,vep
0,Auge::N,цӕст,sil'm
1,Ohr::N,хъус,korv
2,Nase::N,фындз,nena
3,Mund::N,дзых,su
4,Zahn::N,дӕндаг,pi
5,Zahn::N,дӕндаг,hambaz
6,Zunge::N,ӕвзаг,kel'
7,Lippe::N,был,hul'
8,Wange::N,рус,modpolišk
9,Wange::N,уадул,modpolišk
10,Wange::N,ӕхсӕрфарс,modpolišk
11,Gesicht::N,цӕсгом,mod
12,Stirn::N,ных,oc
13,Haar::N,хил,tuk
14,Haar::N,хил,hibuz
15,Schnurrbart::N,рихи,habinod
16,Bart::N,зачъе,bard
17,Kinn::N,роцъо,löug
18,Kiefer[Anatomie]::N,ӕфсӕр,hambazlu
19,Kehle::N,хъуыр,kurk
20,Hals::N,къубал,kagl
21,Genick::N,къӕбут,tagarai
22,Kopf::N,сӕр,pä
23,Rücken::N,фӕсонтӕ,sel'g
24,Bauch::N,гуыбын,vac
25,Bauch::N,гуыбын,koht
26,Nabel::N,бикъ,naba
27,Busen::N,дзидзи,niža
28,Brust::N,риу,rind
29,Schulter::N,уӕхск,oug
30,Arm::N,цонг,käzi
31,Ellenbogen::N,рæмбын,künambruz
32,Hand::N,къух,käzi
33,Hand::N,къух,käzitera
34,Handfläche::N,армытъӕпӕн,kämen
35,Finger::N,ӕнруылдз,sor'm
36,Fingernagel::N,ных,künz'
37,Nagel[Anatomie]::N,ных,künz'
38,Zeh::N,къух,barbaz
39,Fuß::N,фад,jaug
40,Ferse::N,зӕвӕт,kand
41,Knie::N,уӕраг,komb
42,Knie::N,уӕраг,pol'v
43,Oberschenkel::N,агъд,riiže
44,Bein::N,зӕнг,jaug
45,Körper::N,буар,hibj
46,Haut::N,царм,nahk
47,Blut::N,туг,čak
48,Blut::N,туг,veri
49,Ader::N,дадзин,son'
50,Ader::N,тугдадзин,son'
51,Sehne::N,хъиутæ,jände
52,Sehne::N,нуар,jände
53,Knochen::N,стӕг,lu
54,Gehirn::N,магъз,aivod
55,Herz::N,зӕрдӕ,südäin
56,Magen::N,ахсӕн,südäikoht
57,Leber::N,игæр,maks
58,Atem::N,улӕфт,hengaiduz
59,Hunger::N,стонг,näl'g
60,Träne::N,цæссыг,kündal'
61,Geschmack::N,ад,magu
62,Geruch::N,смаг,haju
63,Schlaf::N,хуыссӕг,uni
64,Traum::N,фын,unikuva
65,Himmel::N,арв,taivaz
66,Himmel::N,уӕларв,taivaz
67,Sonne::N,хур,päiväine
68,Mond::N,мӕй,kudmaine
69,Stern::N,стъалы,tähtaz
70,Luft::N,уӕлдӕф,il'm
71,Wind::N,дымгӕ,döl
72,Wind::N,дымгӕ,tullei
73,Welle::N,уылӕн,ald
74,Welle::N,уылӕн,laineh
75,Wasser::N,дон,vezi
76,Stein::N,дур,kivi
77,Boden::N,зӕхх,ma
78,Boden::N,зӕхх,pohj
79,Erde::N,сыджыт,ma
80,Staub::N,рыг,pölü
81,Rauch::N,фӕздӕг,savu
82,Funke::N,цӕхӕр,kibin
83,Feuer::N,зынг,lämoi
84,Licht::N,рухс,vauktuz
85,Schatten::N,аууон,pil'vez
86,Schatten::N,аууон,kuvahaine
87,Wetter::N,боныхъӕд,sä
88,Nebel::N,мигъ,sumeg
89,Wolke::N,ӕврагъ,pil'v
90,Regen::N,уарын,vihm
91,Schnee::N,мит,lumi
92,Eis::N,их,jä
93,Frost::N,ихæн,hala
94,Frost::N,ихæн,pakaine
95,Kälte::N,уазал,vilu
96,Hitze::N,ӕнтӕф,räk
97,Raureif::N,халас,hüde
98,Regenbogen::N,арвырон,jumalanbembel'
99,Regenbogen::N,арвырдын,jumalanbembel'
100,Donner::N,æрвнæрын,juru
