,Concept_ID,kn,en
0,Auge::N,ಕಣ್ಣು,eye
1,Ohr::N,ಕಿವಿ,ear
2,Nase::N,ಮೂಗು,nose
3,Mund::N,ಬಾಯಿ,mouth
4,Zahn::N,ಹಲ್ಲು,tooth
5,Zunge::N,ನಾಲಿಗೆ,tongue
6,Lippe::N,ತುಟಿ,lip
7,Wange::N,ಗಲ್ಲ,cheek
8,Gesicht::N,ಮುಖ,face
9,Stirn::N,ಹಣೆ,forehead
10,Haar::N,ಕೂದಲು,hair
11,Schnurrbart::N,ಮೀಸೆ,moustache
12,Bart::N,ಗಡ್ಡ,beard
13,Kinn::N,ಗದ್ದ,chin
14,Kiefer[Anatomie]::N,ದವಡೆ,jaw
15,Kehle::N,ಗಂಟಲು,throat
16,Hals::N,ಕೊರಳು,neck
17,Genick::N,ಹಿಂಗತ್ತು,nape
18,Kopf::N,ತಲೆ,head
19,Rücken::N,ಬೆನ್ನು,back
20,Rücken::N,ಬೆನ್ನು,spine
21,Bauch::N,ಹೊಟ್ಟೆ,belly
22,Nabel::N,ಹೊಕ್ಕುಳು,navel
23,Busen::N,ಸ್ತನ,bosom
24,Brust::N,ಎದೆ,chest
25,Brust::N,ಎದೆ,breast
26,Schulter::N,ಭುಜ,shoulder
27,Arm::N,ತೋಳು,arm
28,Ellenbogen::N,ಮೊಣಕೈ,elbow
29,Hand::N,ಕೈ,hand
30,Handfläche::N,ಅಂಗೈ,palm
31,Finger::N,ಕೈಬೆರಳು,finger
32,Fingernagel::N,ಉಗುರು,fingernail
33,Nagel[Anatomie]::N,ಉಗುರು,nail
34,Zeh::N,ಕಾಲ್ಬೆರಳು,toe
35,Fuß::N,ಪಾದ,foot
36,Ferse::N,ಹಿಮ್ಮಡಿ,heel
37,Knie::N,ಮಂಡಿ,knee
38,Oberschenkel::N,ತೊಡೆ,thigh
39,Bein::N,ಕಾಲು,leg
40,Körper::N,ದೇಹ,body
41,Haut::N,ಚರ್ಮ,skin
42,Blut::N,ರಕ್ತ,blood
43,Ader::N,ನರ,vein
44,Sehne::N,ನರ,sinew
45,Knochen::N,ಮೂಳೆ,bone
46,Gehirn::N,ಮಿದುಳು,brain
47,Herz::N,ಹೃದಯ,heart
48,Magen::N,ಉದರ,stomach
49,Leber::N,ಯಕೃತ್ತು,liver
50,Atem::N,ಉಸಿರು,breath
51,Hunger::N,ಹಸಿವು,hunger
52,Träne::N,ಕಣ್ಣೀರು,tear
53,Geschmack::N,ರುಚಿ,flavour
54,Geschmack::N,ರುಚಿ,flavor
55,Geruch::N,ವಾಸನೆ,odour
56,Geruch::N,ವಾಸನೆ,odor
57,Schlaf::N,ನಿದ್ರೆ,sleep
58,Traum::N,ಕನಸು,dream
59,Himmel::N,ಬಾನು,sky
60,Sonne::N,ಸೂರ್ಯ,sun
61,Mond::N,ಚಂದ್ರ,moon
62,Stern::N,ಚುಕ್ಕಿ,star
63,Luft::N,ವಾಯು,air
64,Wind::N,ಗಾಳಿ,wind
65,Welle::N,ಅಲೆ,wave
