,Concept_ID,sah,sl
0,Auge::N,харах,okó
1,Ohr::N,кулгаах,uhó
2,Nase::N,мурун,nós
3,Mund::N,айах,ústa
4,Zahn::N,тиис,zób
5,Zunge::N,тыл,jêzik
6,Lippe::N,уос,ústnica
7,Wange::N,иэдэс,líce
8,Gesicht::N,сирэй,oblíčje
9,Stirn::N,сүүс,čêlo
10,Haar::N,баттах,lás
11,Schnurrbart::N,уос бытыга,bŕki
12,Bart::N,сэҥийэ бытыга,bráda
13,Kinn::N,сэҥийэ,bráda
14,Kiefer[Anatomie]::N,сыҥаах,čeljúst
15,Kehle::N,тамах,gŕlo
16,Kehle::N,күөмэй,gŕlo
17,Hals::N,моой,vrát
18,Genick::N,кэтэх,zatílnik
19,Kopf::N,бас,gláva
20,Rücken::N,көҕүс,hrbèt
21,Bauch::N,ис,trébuh
22,Nabel::N,киин,pópek
23,Busen::N,эмиий,nédrja
24,Brust::N,түөс,pŕsi
25,Schulter::N,сарын,ráma
26,Schulter::N,сарын,plêče
27,Arm::N,илии,rôka
28,Ellenbogen::N,тоҕонох,komólec
29,Hand::N,илии,rôka
30,Handfläche::N,ытыс,dlán
31,Finger::N,тарбах,pŕst
32,Fingernagel::N,тыҥырах,nóht na rôki
33,Nagel[Anatomie]::N,тыҥырах,nóht
34,Zeh::N,тарбах,pŕst na nôgi
35,Fuß::N,уллуҥах,nôga
36,Ferse::N,тилэх,pêta
37,Knie::N,тобук,koléno
38,Knie::N,дьилбэк,koléno
39,Oberschenkel::N,уллук,stêgno
40,Oberschenkel::N,өттүк,stêgno
41,Bein::N,атах,nôga
42,Körper::N,бэйэ,teló
43,Haut::N,тирии,kóža
44,Blut::N,хаан,krí
45,Ader::N,вена,žíla
46,Ader::N,күөх_тымыр,žíla
47,Sehne::N,иҥиир,kíta
48,Knochen::N,уҥуох,kóst
49,Knochen::N,уҥгуох,kóst
50,Gehirn::N,мэйии,možgáni
51,Herz::N,сүрэх,srcé
52,Magen::N,куртах,želódec
53,Leber::N,быар,jétra
54,Atem::N,тыын,díh
55,Hunger::N,аас,glád
56,Träne::N,харах уута,sólza
57,Geschmack::N,амтан,okús
58,Geruch::N,сыт,vónj
59,Schlaf::N,утуйуу,sèn
60,Schlaf::N,утуйуу,spánec
61,Traum::N,түүл,sánje
62,Himmel::N,халлаан,nebó
63,Sonne::N,күн,sónce
64,Mond::N,ый,lúna
65,Mond::N,ый,mésec
66,Stern::N,сулус,zvézda
67,Luft::N,салгын,zràk
68,Wind::N,тыал,véter
69,Welle::N,долгун,vál
70,Welle::N,балхаан,vál
71,Wasser::N,уу,vôda
72,Stein::N,таас,kámen
73,Boden::N,сир,tlà
74,Erde::N,буор,pŕst
75,Erde::N,буор,zêmlja
76,Staub::N,быыл,práh
77,Rauch::N,буруо,dìm
78,Funke::N,кыым,ískra
79,Feuer::N,уот,ôgenj
80,Licht::N,уот,lúč
81,Schatten::N,күлүк,sénca
82,Wetter::N,күн-дьыл,vrême
83,Nebel::N,туман,meglà
84,Wolke::N,былыт,oblák
85,Regen::N,самыыр,dèž
86,Schnee::N,хаар,snég
87,Eis::N,муус,léd
88,Frost::N,тымныы,zmrzál
89,Kälte::N,тымныы,mràz
90,Hitze::N,куйаас,pripéka
91,Raureif::N,кырыа,ívje
92,Raureif::N,кырыа,slána
93,Regenbogen::N,кустук,mávrica
94,Donner::N,этиҥ,gròm
95,Strömung::N,сүүрүк,strúja
96,Tropfen::N,таммах,káplja
97,Tropfen::N,хааппыла,káplja
98,Schaum::N,күүгэн,péna
99,Schmutz::N,кир,nesnága
100,See::N,күөл,jézero
101,Sumpf::N,бадараан,močvírje
102,Moor::N,дьэбэрэ,bárje
103,Wiese::N,ходуһа,trávnik
104,Wald::N,ойуур,lés
105,Wald::N,ойуур,gòzd
106,Hügel::N,булгунньах,brég
107,Hügel::N,булгунньах,goríca
108,Anhöhe::N,үрдэл,gríč
109,Anhöhe::N,үрдэл,višína
110,Berg::N,хайа,gôra
111,Berg::N,хайа,planína
112,Gipfel::N,чыпчаал,vŕh
113,Höhle::N,хайа_хаспаҕа,jáma
114,Höhle::N,хайа_хаспаҕа,votlína
115,Höhle::N,көҥүс,jáma
116,Höhle::N,көҥүс,votlína
117,Abhang::N,эниэ,pobóčje
118,Quelle::N,дьүүктэ,izvír
119,Bach::N,үрүйэ,pôtok
120,Fluss::N,өрүс,réka
121,Ufer::N,биэрэк,brég
122,Küste::N,кытыл,obála
123,Küste::N,кытыл,obréžje
124,Festland::N,кураанах сир,celína
125,Festland::N,кураанах сир,kopnína
126,Meer::N,муора,mórje
127,Bucht::N,хомо,zalív
128,Bucht::N,бухта,zalív
129,Insel::N,арыы,ôtok
130,Blume::N,сибэкки,cvetlíca
131,Gras::N,от,tráva
132,Wurzel::N,силис,korenína
133,Baum::N,мас,drevó
134,Stamm::N,умнас,dêblo
135,Rinde::N,хатырык,lúbje
136,Rinde::N,хатырык,skórja
137,Ast::N,мутук,véja
138,Zweig::N,лабаа,véja
