,Concept_ID,sq,tt
0,Auge::N,sy,күз
1,Ohr::N,vesh,колак
2,Nase::N,hundë,борын
3,Mund::N,gojë,авыз
4,Mund::N,gojë,тамак
5,Zahn::N,dhëmb,теш
6,Zunge::N,gjuhë,тел
7,Lippe::N,buzë,ирен
8,Wange::N,faqe,яңак
9,Wange::N,mollëz,яңак
10,Gesicht::N,fytyrë,йөз
11,Stirn::N,ballë,маңгай
12,Haar::N,flokë,чәч
13,Schnurrbart::N,mustaqe,мыек
14,Bart::N,mjekër,сакал
15,Kinn::N,mjekër,ияк
16,Kiefer[Anatomie]::N,nofull,казналык
17,Kehle::N,fyt,тамак
18,Kehle::N,grykë,тамак
19,Hals::N,qafë,бугаз
20,Genick::N,arrëz,җилкә
21,Kopf::N,kokë,баш
22,Rücken::N,kurriz,сырт
23,Bauch::N,bark,корсак
24,Nabel::N,kërthizë,кендек
25,Busen::N,gji,түш
26,Brust::N,gjoks,имчәк
27,Brust::N,gjoks,күкрәк
28,Brust::N,kraharor,имчәк
29,Brust::N,kraharor,күкрәк
30,Schulter::N,sup,иңбаш
31,Schulter::N,sup,кулбаш
32,Schulter::N,krah,иңбаш
33,Schulter::N,krah,кулбаш
34,Arm::N,krah,кул
35,Ellenbogen::N,bërryl,терсәк
36,Hand::N,dorë,кул
37,Handfläche::N,pëllëmbë,уч
38,Finger::N,gisht,бармак
39,Fingernagel::N,thua,тырнак
40,Nagel[Anatomie]::N,thua,тырнак
41,Zeh::N,gisht i këmbës,бармак
42,Fuß::N,këmbë,табан
43,Ferse::N,thembër,үкчә
44,Knie::N,gju,тез
45,Oberschenkel::N,kofshë,бот
46,Bein::N,këmbë,аяк
47,Körper::N,trup,тән
48,Körper::N,trup,җисем
49,Haut::N,lëkurë,тире
50,Blut::N,gjak,кан
51,Ader::N,venë,тамыр
52,Sehne::N,dell,сеңер
53,Knochen::N,asht,сөяк
54,Knochen::N,kockë,сөяк
55,Gehirn::N,tru,ми
56,Herz::N,zemër,йөрәк
57,Magen::N,stomak,ашказаны
58,Leber::N,mëlçi,бавыр
59,Atem::N,frymë,сулыш
60,Hunger::N,uri,ачлык
61,Träne::N,lot,яшь
62,Geschmack::N,shije,тәм
63,Geschmack::N,shije,зәвык
64,Geruch::N,erë,ис
65,Schlaf::N,gjumë,йокы
66,Traum::N,ëndërr,төш
67,Himmel::N,qiell,күк
68,Sonne::N,diell,кояш
69,Mond::N,hënë,ай
70,Stern::N,yll,йолдыз
71,Luft::N,ajër,һава
72,Wind::N,erë,җил
73,Welle::N,valë,дулкын
74,Welle::N,dallgë,дулкын
75,Wasser::N,ujë,су
76,Stein::N,gur,таш
77,Boden::N,tokë,туфрак
78,Boden::N,truall,туфрак
79,Erde::N,dhe,җир
80,Erde::N,baltë,җир
81,Staub::N,pluhur,тузан
82,Rauch::N,tym,төтен
83,Funke::N,xixë,очкын
84,Funke::N,shkëndijë,очкын
85,Feuer::N,zjarr,ут
86,Licht::N,dritë,якты
87,Schatten::N,hije,күләгә
88,Wetter::N,mot,һава
89,Nebel::N,mjegull,томан
90,Wolke::N,re,болыт
91,Regen::N,shi,яңгыр
92,Schnee::N,borë,кар
93,Eis::N,akull,боз
94,Frost::N,ngricë,суык
95,Frost::N,ngricë,салкын
96,Kälte::N,të ftohtë,суык
97,Kälte::N,të ftohtë,салкын
98,Hitze::N,vapë,эсселек
99,Hitze::N,nxehtësi,эсселек
100,Raureif::N,cikmë,бәс
101,Raureif::N,cikmë,сыкы
102,Regenbogen::N,ylber,салават күпере
103,Donner::N,gjëmim,күкрәү
104,Donner::N,bubullimë,күкрәү
105,Strömung::N,rrymë,агыш'агым
106,Tropfen::N,pikë,тамчы
107,Schaum::N,shkumë,күбек
108,Schmutz::N,baltë,пычрак
109,See::N,liqen,күл
110,Sumpf::N,batak,саз
111,Moor::N,kënetë,торфлык
112,Wiese::N,livadh,болын
113,Wald::N,pyll,урман
114,Hügel::N,kodër,калку
115,Anhöhe::N,bregore,үр
116,Berg::N,mal,тау
117,Gipfel::N,kulm,оч
118,Höhle::N,shpellë,мәгарә
