,Concept_ID,en,hi
702,Land::N,country,मुल्क
703,Staat::N,state,राज्य
704,Staat::N,state,राष्ट्र
705,König::N,king,राजा
706,König::N,king,बादशाह
707,Macht::N,power,शासन
708,Macht::N,power,सत्ता
709,Grenze::N,border,सरहद
710,Krieg::N,war,जंग
711,Krieg::N,war,युद्ध
712,Feind::N,enemy,शत्रु
713,Feind::N,enemy,दुश्मन
714,Gewalt::N,violence,हिंसा
715,Kampf::N,fight,लड़ाई
716,Kampf::N,fight,संघर्ष
717,Bogen[Waffe]::N,bow,कमान
718,Pfeil::N,arrow,बान
719,Gewehr::N,gun,बंदूक़
720,Fehler::N,mistake,भूल
721,Fehler::N,mistake,ग़लती
722,Lüge::N,lie,झूठ
723,Lüge::N,lie,असत्य
724,Schaden::N,damage,हानि
725,Schaden::N,damage,नुक़सान
726,Unglück::N,misfortune,मुसीबत
727,Unglück::N,misfortune,विपात्ति
728,Schuld::N,fault,दोष
729,Schuld::N,fault,क़सूर
730,Alter::N,age,आयु
731,Alter::N,age,उम्र
732,Schluss::N,conclusion,अंत
733,Schluss::N,conclusion,समाप्ति
734,Zeit::N,time,काल
735,Zeit::N,time,वक़्त
736,Tag::N,day,दिन
737,Tag::N,day,रोज़
738,Morgen::N,morning,सुबह
739,Mittag::N,noon,दोपहर
740,Mittag::N,noon,मध्याह्न
741,Abend::N,evening,शाम
742,Abend::N,evening,संध्या
743,Nacht::N,night,रात
744,Nacht::N,night,रात्रि
745,Woche::N,week,हफ़्ता
746,Monat::N,month,मास
747,Monat::N,month,महीना
748,Jahr::N,year,बरस
749,Jahr::N,year,वर्ष
750,Frühling::N,spring,वसंत
751,Sommer::N,summer,गरमी
752,Sommer::N,summer,ग्रीष्म
753,Herbst::N,autumn,शरत्
754,Herbst::N,autumn,पतझड़
755,Winter::N,winter,जाड़ा
756,Winter::N,winter,सर्दियाँ
757,Januar::N,January,जनवरी
758,Februar::N,February,फ़रवरी
759,März::N,March,मार्च
760,April::N,April,अप्रैल
761,Mai::N,May,मई
762,Juni::N,June,जून
763,Juli::N,July,जुलाई
764,August::N,August,अगस्त
765,September::N,September,सितंबर
766,Oktober::N,October,अक्तूबर
767,November::N,November,नवंबर
768,Dezember::N,December,दिसंबर
769,Montag::N,Monday,पीर
770,Montag::N,Monday,सोमवार
771,Dienstag::N,Tuesday,मंगलवार
772,Mittwoch::N,Wednesday,बुधवार
773,Donnerstag::N,Thursday,गुरुवार
774,Donnerstag::N,Thursday,बृहस्पतिवार
775,Freitag::N,Friday,शुक्रवार
776,Samstag::N,Saturday,सनीचर
777,Samstag::N,Saturday,शनिवार
778,Sonntag::N,Sunday,इतवार
779,Sonntag::N,Sunday,रविवार
780,groß::A,big,बड़ा
781,klein::A,little,कम
782,klein::A,little,छोटा
783,lang::A,long,लंबा
784,lang::A,long,दीर्घ
785,kurz::A,short,लधु
786,kurz::A,short,छोटा
787,breit::A,wide,चौड़ा
788,schmal::A,narrow,तंग
789,schmal::A,narrow,सँकरा
790,dicht::A,dense,सघन
791,dick[Gegenstand]::A,thick,मोटा
792,dünn::A,thin,महीन
793,dünn::A,thin,बारीक
794,fein::A,delicate,कोमल
795,fein::A,delicate,सूक्ष्म
796,fest::A,firm,दृढ़
797,fest::A,firm,मज़बूत
798,flach::A,flat,चपटा
799,glatt::A,smooth,चौरस
800,glatt::A,smooth,चिकना
801,hart::A,hard,कठोर
802,hart::A,hard,सख़्त
803,weich::A,soft,नरम
804,weich::A,soft,मुलायम
805,rund::A,round,गोल
806,rund::A,round,वर्तुल
807,spitz::A,pointed,नुकीला
808,scharf::A,sharp,पैना
809,stumpf::A,blunt,भोथरा
810,schwer::A,heavy,भारी
811,schwer::A,heavy,वज़नी
812,schön::A,beautiful,सुंदर
813,heiß::A,hot,उष्ण
814,warm::A,warm,गरम
815,kalt::A,cold,सर्द
816,kühl::A,cool,ठंडा
817,frisch::A,fresh,तर
818,frisch::A,fresh,ताज़ा
819,feucht::A,damp,नम
820,feucht::A,damp,भीगा
821,nass::A,wet,गीला
822,trocken::A,dry,सूखा
823,trocken::A,dry,ख़ुश्क
824,voll::A,full,भरा
825,voll::A,full,पूरा
826,leer::A,empty,ख़ाली
827,offen::A,open,खुला
828,geschlossen::A,closed,बंद
829,sauber::A,clean,साफ़
830,sauber::A,clean,सुथरा
831,schmutzig::A,dirty,गंदा
832,roh::A,raw,कच्चा
833,reif::A,ripe,पक्व
834,reif::A,ripe,पक्का
835,lecker::A,delicious,मज़ेदार
836,lecker::A,delicious,स्वादिष्ट
837,süß::A,sweet,मीठा
838,bitter::A,bitter,कटु
839,bitter::A,bitter,कड़वा
840,sauer::A,sour,खट्टा
841,hell::A,bright,रोशन
842,dunkel::A,dark,अँधेरा
843,schwarz::A,black,काला
844,schwarz::A,black,स्याह
845,weiß::A,white,सफ़ेद
846,rot::A,red,लाल
847,rot::A,red,सुर्ख़
848,gelb::A,yellow,पीला
849,gelb::A,yellow,ज़र्द
850,blau::A,blue,नीला
851,blau::A,blue,आसमानी
852,grün::A,green,हरा
853,grau::A,grey,धूसर
854,bunt::A,colourful,रंगीन
855,bunt::A,colourful,बहुरंगा
856,bunt::A,colorful,रंगीन
857,bunt::A,colorful,बहुरंगा
858,billig::A,cheap,सस्ता
859,teuer::A,dear,महँगा
860,wertvoll::A,precious,क़ीमती
861,wertvoll::A,precious,मूल्यवान्
862,blind::A,blind,अंधा
863,taub::A,deaf,बहरा
864,kräftig::A,powerful,ताक़तवर
865,kräftig::A,powerful,शक्तिशाली
866,stark::A,strong,प्रबल
867,stark::A,strong,बलवान्
868,schwach::A,weak,कमज़ोर
869,fett::A,fat,मोटा
870,fett::A,fat,मांसल
871,schlank::A,slim,पतला
872,schlank::A,slim,छरहरा
873,hübsch::A,pretty,सुंदर
874,hübsch::A,pretty,ख़ूबसूरत
875,böse::A,evil,पापी
876,böse::A,evil,दुष्ट
877,dumm::A,stupid,मूर्ख
878,dumm::A,stupid,बुद्धू
879,faul::A,lazy,आलसी
880,faul::A,lazy,सुस्त
881,fleißig::A,diligent,मेहनती
882,fleißig::A,diligent,परिश्रमी
883,geizig::A,stingy,कृपण
884,geizig::A,stingy,कंजूस
885,klug::A,clever,समझदार
886,klug::A,clever,होशियार
887,klug::A,clever,अक़्लमंद
888,geschickt::A,skilful,किशल
889,geschickt::A,skillful,किशल
890,lieb::A,dear,प्रिय
891,lieb::A,dear,प्यारा
892,lustig::A,merry,हँसमुख
893,lustig::A,merry,ख़ुशदिल
894,sanft::A,gentle,नम्र
895,hungrig::A,hungry,भूखा
896,krank::A,sick,बीमार
897,krank::A,sick,अस्वस्थ
898,nackt::A,naked,नग्न
899,traurig::A,sad,उदास
900,traurig::A,sad,रंजीदा
901,lebendig::A,living,जीता
902,lebendig::A,living,ज़िंदा
903,gut::A,good,अच्छा
904,schlecht::A,bad,बुरा
905,schlecht::A,bad,ख़राब
906,richtig::A,correct,ठीक
907,schlimm::A,nasty,बुरा
908,schlimm::A,nasty,अप्रिय
909,wahr::A,true,सच
910,alt::A,old,पुराना
911,neu::A,new,नया
912,ehemalig::A,former,भूतपूर्व
913,alt[Lebewesen]::A,aged,बूढ़ा
914,alt[Lebewesen]::A,aged,वृद्ध
915,jung::A,young,जवान
916,arm::A,poor,ग़रीब
917,reich::A,rich,धनी
918,reich::A,rich,अमीर
919,bekannt::A,familiar,मालूम
920,berühmt::A,famous,मशहूर
921,berühmt::A,famous,प्रसिद्ध
922,fremd::A,foreign,विदेशी
923,fremd::A,foreign,अपरिचित
924,verschieden::A,different,अलग
925,verschieden::A,different,भिन्न
926,nah::A,near,नज़दीकी
927,fern::A,far,दूर
928,fern::A,far,दूरस्थ
929,linker::A,left,बायाँ
930,rechter::A,right,दायाँ
931,rechter::A,right,दाहिना
932,anderer::A,other,अन्य
933,anderer::A,other,दूसरा
934,erster::A,first,पहला
935,erster::A,first,प्रथम
936,zweiter::A,second,दूसरा
937,zweiter::A,second,द्वितीय
938,dritter::A,third,तीसरा
939,letzter::A,last,अंतिम
940,letzter::A,last,आख़िरी
941,allein::ADV,alone,तनहा
942,allein::ADV,alone,अकेले
943,auf einmal::ADV,at once,वक़्त में
944,zusammen::ADV,together,एक साथ
945,zusammen::ADV,together,साथ साथ
946,lange::ADV,long,देर तक
947,plötzlich::ADV,suddenly,सहसा
948,plötzlich::ADV,suddenly,अचानक
949,sofort::ADV,instantly,तुरंत
950,später::ADV,later,बाद को
951,später::ADV,later,बाद में
952,jetzt::ADV,now,अब
953,jetzt::ADV,now,अभी
954,heute::ADV,today,आज
955,morgen::ADV,tomorrow,कल
956,bald::ADV,soon,जल्दी
957,dann::ADV,then,तब
958,gestern::ADV,yesterday,कल
959,einst::ADV,once,एक दिन
960,einst::ADV,once,पहले कभी
