,Concept_ID,sk,sq
0,Auge::N,oko,sy
1,Ohr::N,ucho,vesh
2,Nase::N,nos,hundë
3,Mund::N,ústa,gojë
4,Zahn::N,zub,dhëmb
5,Zunge::N,jazyk,gjuhë
6,Lippe::N,pera,buzë
7,Wange::N,líce,faqe
8,Wange::N,líce,mollëz
9,Gesicht::N,tvár,fytyrë
10,Gesicht::N,obličaj,fytyrë
11,Stirn::N,čelo,ballë
12,Haar::N,vlas,flokë
13,Schnurrbart::N,fúzy,mustaqe
14,Bart::N,brada,mjekër
15,Kinn::N,brada,mjekër
16,Kiefer[Anatomie]::N,čeľusť,nofull
17,Kehle::N,hrdlo,fyt
18,Kehle::N,hrdlo,grykë
19,Hals::N,krk,qafë
20,Genick::N,väzy,arrëz
21,Kopf::N,hlava,kokë
22,Rücken::N,chrbát,kurriz
23,Bauch::N,brucho,bark
24,Nabel::N,pupok,kërthizë
25,Busen::N,prsia,gji
26,Brust::N,hruď,gjoks
27,Brust::N,hruď,kraharor
28,Schulter::N,plece,sup
29,Schulter::N,plece,krah
30,Arm::N,rameno,krah
31,Ellenbogen::N,lakeť,bërryl
32,Hand::N,ruka,dorë
33,Handfläche::N,dlaň,pëllëmbë
34,Finger::N,prst,gisht
35,Fingernagel::N,necht,thua
36,Nagel[Anatomie]::N,necht,thua
37,Zeh::N,prst na nohe,gisht i këmbës
38,Fuß::N,noha,këmbë
39,Ferse::N,päta,thembër
40,Knie::N,koleno,gju
41,Oberschenkel::N,stehno,kofshë
42,Bein::N,noha,këmbë
43,Körper::N,telo,trup
44,Haut::N,koža,lëkurë
45,Blut::N,krv,gjak
46,Ader::N,žila,venë
47,Sehne::N,šľacha,dell
48,Knochen::N,kosť,asht
49,Knochen::N,kosť,kockë
50,Gehirn::N,mozog,tru
51,Herz::N,srdce,zemër
52,Magen::N,žalúdok,stomak
53,Leber::N,pečeň,mëlçi
54,Atem::N,dych,frymë
55,Hunger::N,hlad,uri
56,Träne::N,slza,lot
57,Geschmack::N,chuť,shije
58,Geruch::N,pach,erë
59,Schlaf::N,spánok,gjumë
60,Traum::N,sen,ëndërr
61,Himmel::N,nebo,qiell
62,Sonne::N,slnko,diell
63,Mond::N,mesiac,hënë
64,Stern::N,hviezda,yll
65,Luft::N,vzduch,ajër
66,Wind::N,vietor,erë
67,Welle::N,vlna,valë
68,Welle::N,vlna,dallgë
69,Wasser::N,voda,ujë
70,Stein::N,kameň,gur
71,Boden::N,zem,tokë
72,Boden::N,zem,truall
73,Boden::N,pôda,tokë
74,Boden::N,pôda,truall
75,Erde::N,zem,dhe
76,Erde::N,zem,baltë
77,Staub::N,prach,pluhur
78,Rauch::N,dym,tym
79,Funke::N,iskra,xixë
80,Funke::N,iskra,shkëndijë
81,Feuer::N,oheň,zjarr
82,Licht::N,svetlo,dritë
83,Schatten::N,tieň,hije
84,Wetter::N,počasie,mot
85,Nebel::N,hmla,mjegull
86,Wolke::N,oblak,re
87,Wolke::N,mračno,re
88,Regen::N,dážď,shi
89,Schnee::N,sneh,borë
90,Eis::N,ľad,akull
91,Frost::N,mráz,ngricë
92,Kälte::N,zima,të ftohtë
93,Kälte::N,chlad,të ftohtë
94,Hitze::N,horúčava,vapë
95,Hitze::N,horúčava,nxehtësi
96,Raureif::N,srieň,cikmë
97,Raureif::N,inovať,cikmë
98,Regenbogen::N,dúha,ylber
99,Donner::N,hrom,gjëmim
100,Donner::N,hrom,bubullimë
101,Strömung::N,prúdenie,rrymë
102,Tropfen::N,kvapka,pikë
103,Schaum::N,pena,shkumë
104,Schmutz::N,špina,baltë
105,Schmutz::N,nečistota,baltë
106,See::N,jazero,liqen
107,Sumpf::N,bahno,batak
108,Moor::N,močiar,kënetë
109,Wiese::N,lúka,livadh
110,Wald::N,les,pyll
111,Wald::N,hora,pyll
112,Hügel::N,vŕšok,kodër
113,Anhöhe::N,výšina,bregore
114,Anhöhe::N,vyvýšenina,bregore
115,Berg::N,hora,mal
116,Gipfel::N,vrchol,kulm
117,Höhle::N,jaskyňa,shpellë
118,Höhle::N,jaskyňa,zgafelle
119,Abhang::N,úbočie,shpat
120,Abhang::N,úbočie,tatëpjetë
121,Quelle::N,prameň,krua
122,Quelle::N,prameň,burim
123,Bach::N,potok,virua
124,Fluss::N,rieka,lumë
125,Ufer::N,breh,breg
126,Küste::N,pobrežie,anëdet
127,Küste::N,pobrežie,bregdet
128,Festland::N,pevnina,kontinent
129,Meer::N,more,det
130,Bucht::N,záliv,gji deti
131,Bucht::N,zátoka,gji deti
132,Insel::N,ostrov,ishull
133,Insel::N,ostrov,ujdhesë
134,Blume::N,kvet,lule
135,Blume::N,kvetina,lule
136,Gras::N,tráva,bar
137,Wurzel::N,koreň,rrënjë
138,Baum::N,strom,pemë
139,Stamm::N,kmeň,trung
140,Rinde::N,kôra,lëvore
141,Ast::N,konár,degë
142,Zweig::N,vetva,bisk
143,Blatt::N,list,fletë
144,Blatt::N,list,gjethe
145,Birke::N,breza,mështekën
146,Kiefer[Baum]::N,sosna,pishë
147,Kiefer[Baum]::N,borovica,pishë
148,Weide[Baum]::N,vŕba,shelg
149,Tanne::N,jedľa,bredh
150,Horn::N,roh,bri
151,Feder::N,pero,pupël
152,Fell::N,koža,lëkurë
153,Fell::N,kožušina,lëkurë
154,Flügel::N,krídlo,krah
155,Flügel::N,krídlo,fletë
156,Klaue::N,paznecht,kthetër
157,Kralle::N,pazúr,thua
158,Kralle::N,pazúr,kthetër
159,Schwanz::N,chvost,bisht
160,Ei::N,vajce,vezë
161,Ei::N,vajíčko,vezë
162,Nest::N,hniezdo,fole
163,Bau::N,nora,strofkë
164,Tier::N,zviera,kafshë
165,Herde::N,stádo,kope
166,Herde::N,stádo,grigjë
167,Kuh::N,krava,lopë
168,Bulle::N,býk,dem
169,Pferd::N,kôň,kalë
170,Schaf::N,ovca,dele
171,Schwein::N,sviňa,derr
172,Hund::N,pes,qen
173,Katze::N,mačka,mace
174,Bär::N,medveď,ari
175,Eichhörnchen::N,veverička,ketër
176,Elch::N,los,dre brilopatë
177,Fuchs::N,líška,dhelpër
178,Hase::N,zajac,lepur
179,Maus::N,myš,mi
180,Wolf::N,vlk,ujk
181,Vogel::N,vták,zog
182,Vogel::N,vták,shpend
183,Schwarm::N,roj,luzmë
184,Huhn::N,kurča,pulë
185,Huhn::N,sliepka,pulë
186,Hahn::N,kohút,gjel
187,Hahn::N,kohút,këndes
188,Gans::N,hus,patë
189,Adler::N,orol,shqiponjë
190,Ente::N,kačka,rosë
191,Ente::N,kačica,rosë
192,Eule::N,sova,buf
193,Kranich::N,žeriav,lejlek
194,Kranich::N,žeriav,kurrillë
195,Krähe::N,vrana,sorrë
196,Kuckuck::N,kukučka,qyqe
197,Schwan::N,labuť,mjellmë
198,Fisch::N,ryba,peshk
199,Barsch::N,ostriež,purtekë
200,Hecht::N,šťuka,mlysh
201,Schlange[Tier]::N,had,gjarpër
202,Wurm::N,červ,krimb
203,Spinne::N,pavúk,marimangë
204,Ameise::N,mravec,thnegël
205,Ameise::N,mravec,milingonë
206,Laus::N,voš,morr
207,Mücke::N,komár,kunup
208,Mücke::N,komár,mushkonjë
209,Fliege::N,mucha,mizë
210,Schmetterling::N,motýľ,flutur
211,Beere::N,bobuľa,frutë
212,Beere::N,bobuľa,manaferrë
